2Sam.0.0	¶ The seconde Boke of Samuel otherwyse called the seconde boke of the kynges.
2Sam.15.13	And there cam a messenger to Dauid Ꟶ sayd: the hertes of the men of Israel are turned after Absalom.
2Sam.15.14	And Dauid sayde vnto all his seruauntes that were wt him at Ierusalem: vp, that we maye be gone, for we shall not else escape from Absalom. Make spede, to departe: leste he come sodenlie, and catche vs, Ꟶ bringe some myscheffe vpon vs, and smyte the cytie with the edge of the swerde.
2Sam.15.15	And the kynges seruauntes sayde vnto him: beholde, thy seruauntes are redye, to do whatsoeuer my Lord the kyng shall apoynte.
2Sam.15.16	And the kynge Ꟶ all his housholde departed a fote. And he left behinde hym ten concubines, to kepe the house.
2Sam.15.17	And so the kynge Ꟶ all the people went out a fote, Ꟶ taryed in a place that was farre of.
2Sam.15.18	And all his seruauntes went about him. And all the Cerethites and all the Phelethites and all the Gethites (euen .vj. hundred men whych were come a fote from Geth) went before the kynge.
2Sam.15.19	Then sayde the kynge to Ithai the Gethite, wherfore commest thou wyth vs? Returne and abide with the kynge, for thou art a straunger, and art remoued from thyne awne place.
2Sam.15.20	Thou camest but yesterdaye, and shulde I vnquyet the to daye to go wt vs? I wyll go whether I can. Therfore returne thou, Ꟶ carye agayne thy brethren. Mercye and truthe.
2Sam.15.21	And Ithai answered the kynge and sayd: as trulye as God lyueth Ꟶ as my Lord the kinge lyueth, in what place my Lord the kynge shalbe, whether in deeth or lyfe, euen there also wyll thy seruaunt be.
2Sam.15.22	And Dauid the kynge sayde to Ithai: come then and go forwarde. And Ithai the Gethite went forth, Ꟶ all hys men, Ꟶ all the chyldren that were wt hym.
2Sam.15.23	And all the countreye wepte wyth a loude voyce, Ꟶ so dyd all the people that went forth. The kynge also hym selfe passed ouer the broke Kydron. And all the people went towarde the waye that leadeth to the wyldernesse.
2Sam.15.24	And Sadock and all the Leuites were wyth him, and bare the arcke of the apoyntment of God. And there they set downe the Arcke of God. And Abiathar went vp, vntill the people were all come ouer, out of the cytie.
2Sam.15.25	And the kynge sayde vnto Sadock. Carye the Arcke of God agayne into the cytie. If I shall fynde fauoure in the eyes of the Lorde, he will bringe me agayne, and shewe me both it, Ꟶ the tabernacle therof.
2Sam.15.26	But and yf the Lorde thus saye: I haue no lust vnto the, beholde, here am I, let him do wyth me, what semeth good in his eyes.
2Sam.15.27	The kynge sayde also vnto Sadock the preaste: Art not thou a Sear? Returne into the citie in peace. And take your two sonnes wyth you: Ahimaaz thy sonne, and Ionathas the sonne of Abiathar.
2Sam.15.28	Beholde, I will tarye in the feldes of the wyldernesse, vntyll there come some worde from you to be tolde me.
2Sam.15.29	Sadock therfore and Abiathar caryed the Arcke of God agayne to Ierusalem, and they taryed there.
2Sam.15.30	And Dauid went vpon mount olyuet, and wepte as he went, and had his heed couered, Ꟶ went barefote. And all the people that was wyth hym, had euery man hys heed couered, and as they went vp, they wepte also.
2Sam.15.31	And one tolde Dauid sayenge: Ahithophel is one of them that haue conspired wyth Absalom. And Dauid sayde. O Lorde, turne the councell of Ahithophel into folyshenes.
2Sam.15.32	When Dauid was come to the toppe of the mount he worshypped God: and beholde, Husai the Arachite came agaynst hym with hys coote torne, and hauynge erth vpon his heed.
2Sam.15.33	Unto whome Dauid sayde: yf thou go wyth me, thou shalt be a burthen vnto me.
2Sam.15.34	But yf thou returne to the cytie, Ꟶ saye vnto Absalom: I wyll be thy seruaunt O kynge: (as I haue thus longe bene thy fathers seruaunt, so am I nowe thy seruaunt) thou mayst for my sake destroye the councell of Ahithophel.
2Sam.15.35	And thou hast there with the Sadock and Abiathar the Preastes, vnto whom thou shalt shewe all that thou canst heare out of the kynges house.
2Sam.15.36	And beholde, they haue there wyth them theyr two sonnes: Ahimaaz Sadockes sonne, and Ionathas Abiathars sonne: by them also shall ye sende me all that ye can heare.
2Sam.15.37	And so Husai Dauids frende gat hym to the cytie. And Absalom also entred into Ierusalem.
2Sam.16.1	And when Dauid was a lytle past the toppe of the hyll: beholde ziba the seruaunt of Miphiboseth came to mete hym with a couple of Asses sadeled, and vpon them two hundred loues and one hundred bonches of Resynges, and an hundred frayles of dryed fygges, and a bottell of wyne.
2Sam.16.2	And the kyng sayd vnto ziba: what meanest thou wyth these? And ziba sayde. They be Asses for the kynges houshold to ryde on, and bread and frute for the younge men to eate, and wyne: that such as be faynt in the wyldernesse, maye drynk.
2Sam.16.3	And the kynge sayde: where is thy masters sonne? ziba answered vnto the kynge: beholde, he taryeth styll at Ierusalem. For he sayde: thys daye shall the house of Israel restore me the kyngdome of my father.
2Sam.16.4	Then sayde the kyng to ziba, beholde, thyne are all that pertayned vnto Miphiboseth. And ziba sayde: I do homage to the. I beseche the that I maye fynde grace in thy syght, my Lorde, O kynge.
2Sam.16.5	And when kynge Dauid came to Bahurim: beholde, thence cam out a man of the kynred of the house of Saul, named Semei the sonne of Gera, and he cam out cursynge.
2Sam.16.6	And he cast stones at Dauid, and at all the seruauntes of kynge Dauid: And all the people also and all the men of warre were on hys ryght hande, and on hys lefte,
2Sam.16.7	And thus sayde Semei whan he cursed: come forthe, come forth thou bloude sheder, and thou man of Belyall.
2Sam.16.8	The Lorde hath brought vpon the all the bloude of the house of Saul, in whose steade thou hast raygned, and the Lord hath delyuered the kyngdom into the hande of Absalom thy sonne. And beholde thou art come to thy mischeffe, because thou art a bloudesheder.
2Sam.16.9	Then sayde Abisai the sonne of zaruia vnto the kynge: why doth thys deed dogg cursse my Lorde the kynge? let me go nowe, and take of the heed of hym.
2Sam.16.10	And the kynge sayde: what haue I to do wyth you ye sonnes of zaruia: let hym cursse: for the Lorde hath bydden hym cursse Dauid, Who dare then saye: Wherfore hast thou done so?
2Sam.16.11	And Dauid sayde to Abisai, and to all his seruauntes, beholde, my sonne whych cam of myne awne bodye, seketh my lyfe. How moche more then maye thys sonne of Iemini do it? Suffre him to cursse for the Lord hath bydden him:
2Sam.16.12	haplye the Lorde wyll loke on my wepyng eyes Ꟶ wretchednesse, Ꟶ do me good for hys curssynge this daye.
2Sam.16.13	And as Dauid and his men went by the waye, Semei went alonge on the hylles syde ouer agaynst hym, Ꟶ curssed as he went, and threwe stones at him, and cast dust.
2Sam.16.14	And the kynge and all that were with him cam werye, and refresshed them selues there.
2Sam.16.15	And Absalom and all the people of the men of Israel came to Ierusalem, and Ahithophel was wyth him.
2Sam.16.16	And as sone as Husai the Arachite was come vnto Absalom, he sayde vnto hym: God saue the kynge, God saue the kyng.
2Sam.16.17	And Absalom sayde agayne to Husai: is this the kyndnesse thou owest to thy frende? Why wentest thou not wyth hym?
2Sam.16.18	Husai answered vnto Absalom: naye not so, but whom the Lorde and this people and all the men of Israel chose, hys will I be, and with hym wyll I dwell.
2Sam.16.19	Moreouer, vnto whome shall I do seruice, but euen to hys sonne? And as I was seruaunt before wt thy father, euen so shall I be with the.
2Sam.16.20	Then spake Absalom to Ahithophell: geue councell, what is best for vs to do.
2Sam.16.21	And Ahithophell sayde vnto Absalom: get the in vnto thy fathers concubines, which he hath lefte to kepe the house. And all Israel shall heare, that thou art cast out of thy father: then shall the handes of all that are wyth the, be stronge.
2Sam.16.22	And so they pitched Absalom a tent vpon the toppe of the house. And he went in vnto hys fathers concubynes in the syght of all Israel.
2Sam.16.23	And the councell of Ahithophel which he counceled in those dayes, was as a man had asked councell of God: euen so was all the councell of Ahithophel, both wyth Dauid and wyth Absalom.
2Sam.17.1	Ahithophel sayde vnto Absalom: let me chose out nowe twelue thousande men. And I will vp, Ꟶ folowe after Dauid thys nyght.
2Sam.17.2	And I wyll come vpon hym, whyle he is werye and weake handed, and wyll feare hym: And all the people that are with hym, shall flee. And so will I smyte the kynge onlye,
2Sam.17.3	and wyll bryng agayne all the people vnto the, euen as easely as yf I wolde brynge anye other thing. And whan I haue slayne the man whom thou sekest, all the people shall haue rest.
2Sam.17.4	And the saying pleased Absalom well, and all the elders of Israel.
2Sam.17.5	Then sayde Absalom: call also Husai the Arachite, and let vs heare his councell.
2Sam.17.6	When Husai was come to Absalom, Absalom spake vnto hym, sayinge: Ahithophel hath geuen soche councell: Shall we do after his saying, or no? tell thou.
2Sam.17.7	Husai answered vnto Absalom: the councell that Ahithophel hath geuen, is not good at this tyme:
2Sam.17.8	For (sayd Husai) thou knowest thy father, Ꟶ his men, howe that they be strong. And they be chafed in their myndes, and are euen as a Beare robbed of her whelpes in the felde. Thy father is a man also practised in warre, Ꟶ maketh no tarienge with the people.
2Sam.17.9	Beholde he lurketh now in some caue, or in some other stronge place. And though some of his men be ouerthrowen at the fyrst brunt, yet they that heare it will saye: The people that foloweth Absalom, be put to the worsse.
2Sam.17.10	And the best men thou hast whose herttes are as the hertes of Lyons, shall shrynke therat. For all Israel knoweth, that thy father is a myghtye man, and they whych be wyth him are all men of warre.
2Sam.17.11	Therfore my councell is, that all Israel be geathered vnto the, from Dan to Beerseba, (which are as the sande of the see in nombre) and that thou go to batayle in thyne awne person.
2Sam.17.12	For so shall we come vpon him in one place or other, where we shall fynde hym, Ꟶ we will fall vpon him euen as thicke as the dewe falleth on the grounde. And of all the men that are wyth hym, we shall not leaue hym one.
2Sam.17.13	Moreouer, yf he be gotten into a towne then shall all the men of Israel bringe ropes to that cytie, and we wyll drawe it into the ryuer, vntyll there be not one stone founde there.
2Sam.17.14	And Absalom and all the men of Israel sayde: the councell of Husai the Arachite is better, then the councell of Ahithophell. For it was euen the Lordes determinaycon to destroye the good councell of Ahithophel: that the Lorde myght brynge euell vpon Absalom.
2Sam.17.15	Then sayde Husai vnto Sadock and Abiathar the Preastes of this and that maner dyd Ahithophel and the elders of Israel councell Absalom. And thus and thus haue I counceled.
2Sam.17.16	Nowe therfore send quicklye, and shewe Dauid saying tarye not all nyght in the feldes of the wyldernesse, but gett the ouer, lest the kynge be deuoured and all the people that are wt hym.
2Sam.17.17	Nowe Ionathas and Ahimaaz abode by the well Rogell: (for they myght not be sene to come into the cytie.) And a wenche went and tolde them. And they went, Ꟶ shewed kynge Dauid.
2Sam.17.18	Neuerthelesse a lad sawe them, and tolde it to Absalom. But they went both of them awaye quycklye, and cam to a mannes house in Bahurim, which had a well in his yarde into the whych they went downe.
2Sam.17.19	And a woman toke and sprede a couerlet ouer the welles mouth, and strawed fyrmentie corne theron. And the thynge was not spyed.
2Sam.17.20	And when Absaloms seruauntes came to the wyfe to the house, they sayde. Where is Ahimaaz Ꟶ Ionathas? The woman answered them they be gone ouer the lytell broke of water. And when they had sought them and coulde not fynde them, they returned to Ierusalem.
2Sam.17.21	And as sone as they were departed, the other came out of the well, and went and tolde kynge Dauid, and sayde vnto hym: vp, and get you quyckly ouer the water for soche councel hath Ahithophel geuen, agaynst you.
2Sam.17.22	Then Dauid arose, Ꟶ all the people that were wt hym, and they were come ouer Iordan be that it was daye: so that there lacked not one of them, that was not come ouer Iordan.
2Sam.17.23	And when Ahithophel sawe, that his councell was not folowed, he sadelled his Asse, Ꟶ arose, Ꟶ gate hym home to hys awne house, and to hys awne cytie, and put hys housholde in order, and hanged him selfe, and dyed, and was buryed in the sepulchre of hys father.
2Sam.17.24	Then Dauid came to Mahenaim. And Absalom passed ouer Iordan, he and all the men of Israel with him.
2Sam.17.25	And Absalom made Amasa captayne of the hoste in stede of Ioab, whych Amasa was a mannes sonne named Iethra an Israhelite, that went into Abigail the daughter of Nahas syster to zeruia Ioabs mother.
2Sam.17.26	So Israel and Absalom pytched in the lande of Gilead.
2Sam.17.27	And when Dauid was come to Mahanaim, Sobi the sonne of Nahas out of Rabba the citie of the children of Ammon, Ꟶ Machir the sonne of Ammiel out of Lodeber, and Berzelai the Gileadite out of Roglim,
2Sam.17.28	brought beddes, basens, erthen vesselles, wheat Ꟶ barly, floure, and parched corne, beanes, rice, ootmell, hony,
2Sam.17.29	butter, shepe and chese of kyene, for Dauid and all the people that were with him, to eate. For they sayd: The people is hongrye, weerye, and thyrstye in the wyldernesse.
2Sam.18.1	And Dauid nombred the people that were wyth hym, and sett captaynes of thousandes and of hundredes ouer them.
2Sam.18.2	And Dauid sent forth the thirde parte of the people vnder the hande of Ioab, and another parte vnder the hande of Abisai the sonne of zeruia Ioabs brother, and the other thyrde parte vnder the hande of Ithai the Gethite. And the kynge sayde vnto the people: I wyll go with you also.
2Sam.18.3	And the people answered: Thou shalt not go forth: for yf we fle, oure aduersaries will not care for vs: nether shall they regard vs, though halfe vs were slayne: but thou art worth ten thousande of vs: Wherfore it is better, that thou succoure vs out of the cytie.
2Sam.18.4	And the kynge sayde vnto them: what semeth you best, that wyll I do. And the kynge stode by the gate syde, and all the people came out by hundredes and by thousandes.
2Sam.18.5	And the kynge commaunded Ioab Ꟶ Abisai, Ꟶ Ithai sayeng: intreate the younge man Absalom gently for my sake. And all the people hearde, that the kynge gaue all the captaynes charge concernynge Absalom.
2Sam.18.6	And so the people went out into the felde agaynst Israel, and the battel was in the woode of Ephraim:
2Sam.18.7	Where the people of Israel were put to the worsse before the seruauntes of Dauid, Ꟶ there was a great slaughter that daye, euen of twentye thousande men.
2Sam.18.8	For the felde was fought there in dyuerse places, all abroade vpon the erthe. And the wodd deuoured moo people that daye, than dyd the swerde.
2Sam.18.9	And Absalom came before the seruauntes of Dauid rydynge vpon a Mule, whych caryed hym vnder the thicke bowes of a great Oke. And his heed was caught of the Oke, and he was lifte vp betwene heuen Ꟶ erthe: Ꟶ the Mule that was vnder hym, went his waye.
2Sam.18.10	And one that saw it tolde Ioab, sayeng: beholde, I sawe Absalom hange in an Ocke:
2Sam.18.11	and Ioab sayde vnto the man that tolde him. Yf thou dydest se hym, why dydest not thou there smyte him to the ground, Ꟶ I wold haue geuen the ten sicles of siluer, Ꟶ a girdle?
2Sam.18.12	The man sayde vnto Ioab: though thou woldest laye a thousande sycles of syluer in my hande, yet wolde I not stretche out myne hande agaynst the kynges sonne. For we hearde with oure eares when the kynge charged the, and Abisai and Ithai, sayenge: Beware, that none touch the younge man Absalom:
2Sam.18.13	Moreouer, yf I had done it, I shulde haue done agaynst myne owne life: for there is no matter hyd from the kinge: yee and thou thy selfe woldest haue bene agaynst me.
2Sam.18.14	Then sayde Ioab: I may not stande thus taryeng wyth the. And he toke thre speares in his hande, Ꟶ thrust them thorowe Absalom, while he was yet a lyue on the bodye of the tree.
2Sam.18.15	And ten seruauntes that bare Ioabs wepons, turned, and smote Absalom and slue him.
2Sam.18.16	And when Ioab blewe the trompet, the people returned from folowynge Israel: for Ioab spared the people.
2Sam.18.17	And they toke Absalom, and cast hym into a great pytt in the wood, Ꟶ layed a myghtie great heape of stones vpon hym. And all Israel fled to their tentes.
2Sam.18.18	And thys Absalom yet in hys lyfe tyme toke counsell Ꟶ reared vp a piller, whyche is in kynges dale. For he sayd: I haue no sonne. And therfore to kepe my name in remembraunce do I it. And he called the pyller after hys awne name. And it is called vnto thys daye: Absaloms pyller.
2Sam.18.19	Then sayde Ahimaaz the sonne of Sadock: let me runne nowe, and beare the kyng tydinges, how that the Lorde hath iudged hym quyte of the hande of hys enemyes.
2Sam.18.20	And Ioab sayd vnto hym: thou art no man to beare good tydynges to daye: thou shalt beare tydynges another tyme: but to daye thou shalt beare none, because the kynges sonne is deed.
2Sam.18.21	Then sayde Ioab to Chusi: go and tell the kynge, what thou hast sene: And Chusi bowed him selfe vnto Ioab, and ranne.
2Sam.18.22	Then sayd Ahimaaz the sonne of Sadock agayne to Ioab: come what come wyll, let me also runne after Chusi. And Ioab sayd: Wherfore wilt thou runne my sonne? seing that for the tydynges thou shalt haue no rewarde: well (sayde he) come what will, let me runne.
2Sam.18.23	He sayd vnto him: runne. Then Ahimaaz ranne by the playne waye, and came before Chusi.
2Sam.18.24	And Dauid sat betwene the two gates. And the watcheman went vp to the rouffe ouer the gate vnto the walle, Ꟶ lyfte vp hys eyes, and sawe: Ꟶ beholde, there cam a man runnynge alone.
2Sam.18.25	And the watcheman cryed, Ꟶ tolde the kynge. And the kynge sayde: yf he be alone, there is good tydinges in his mouth. And he came, Ꟶ drewe nye.
2Sam.18.26	And the watcheman sawe another man runnynge, and he called vnto the porter and sayde: beholde, there commeth another man runnynge alone. And the kynge sayde: he is also a tydinges brynger.
2Sam.18.27	And the watcheman sayde. me thynketh the runnynge of the formost is lyke the runnynge of Ahimaaz the sonne of Sadock The kynge sayde: he is a good man, and commeth with good tydinges.
2Sam.18.28	And Ahimaaz called, Ꟶ sayde vnto the kynge: good tydinges, and he fell downe flatt to the erth vpon his face before the kynge, and sayde: blessed be the Lorde thy God, which hath shutt vp the men that lyft vp their handes agaynst my Lorde the kynge.
2Sam.18.29	And the kynge sayde: is the younge man Absalom safe? Ahimaaz answered: When Ioab sent (Chusi) the kynges seruaunt, and me thy seruaunt, I sawe much a doo. But I whotte not what it was.
2Sam.18.30	And the kynge sayde vnto him: turne, and stande here. And he turned, and stode styll.
2Sam.18.31	And beholde, Chusi came also, and sayde: Good tydinges my Lorde the kynge, For the Lorde hath quytte the thys daye out of the hande of all them that rose agaynst the.
2Sam.18.32	And the Kynge sayde vnto Chusi. Is the younge man Absalom safe? Chusi answered: The enemyes of my Lord the kynge, and all that ryse agaynst the, to do the hurt, be as that younge man is.
2Sam.18.33	And the kynge was moued, and went vp to a chambre ouer the gate, and wept. And as he went, thus he sayde: O my sonne Absalom, my sonne, my sonne Absalom, wolde God I had dyed for the: O Absalom my sonne, my sonne.
2Sam.19.1	And it was tolde Ioab: beholde, the kynge wepeth and mourneth for Absalom.
2Sam.19.2	And the victorie of that daye was turned into mournynge vnto all the people. For the people hearde saye that daye, howe the kynge sorowed for hys sonne.
2Sam.19.3	And the people stale awaye that daye from goynge into the cytie, as people confounded stele awaye, when they flee in battel.
2Sam.19.4	But the kynge hyd his face, and cryed with a loude voyce. O my sone Absalom, O Absalon my sonne, my sonne.
2Sam.19.5	And Ioab came into the house to the kynge, and sayde: thou hast shamed this daye the faces of all thy seruauntes, which this daye haue saued thy lyfe, and the lyues of thy sonnes and of thy daughters, Ꟶ the lyues of thy wiues, and of thy concubynes,
2Sam.19.6	in that thou louest thyne enemyes, and hatest thy frendes. For thou hast declared thys daye, that thou regardest nether thy Lordes nor seruauntes. And this daye I do perceaue, that yf Absalom had lyued, Ꟶ all we had dyed this daye, that had pleased the well.
2Sam.19.7	Nowe therfore vp, and come out, and speake kyndely vnto thy seruauntes: For I swere by the Lorde, except thou come out, there will not tarye one man with the thys nyght. And that wilbe worsse vnto the, then all the euell that fell on the from thy youth vnto thys houre.
2Sam.19.8	Then the kynge arose, and satt downe in the Gate. And they tolde vnto all the people, sayinge: Beholde, the kynge doth sytt in the Gate. And all the people came before the kinge. But Israel fled, euery man to hys tent.
2Sam.19.9	And it fortuned that all the people were at stryffe thorowe out all the trybes of Israel, sayinge: the kyng saued vs out of the hande of oure enemyes, he delyuered vs out of the hande of the Philistines, and nowe he is fleed out of the lande for Absalom.
2Sam.19.10	But Absalom whom we anoynted ouer vs, is deed in battell. Therfore, why are ye so styll, that ye brynge not the kynge agayne?
2Sam.19.11	And kyng Dauid sent to Sadock and Abiathar the preastes, sayinge: speake vnto the elders of Iuda Ꟶ saye: why are ye behynde, to brynge the kynge agayne to his house, seynge that soch tydinges is come from all Israel vnto the kynge euen to hys house?
2Sam.19.12	Ye are my brethren, my bones Ꟶ my fleshe: wherfore then are ye the last that bringe the kynge home agayne?
2Sam.19.13	And saye ye to Amasa: art thou not of my bone Ꟶ of my fleshe? God do so and so to me, yf thou be not captayne of the host to me for euer in the roume of Ioab.
2Sam.19.14	And he bowed the hertes of all the men of Iuda, euen, as the hert of one man: so that they sent this worde to the kyng: Returne thou with all thy seruauntes.
2Sam.19.15	So the kynge returned, Ꟶ came to Iordan. And Iuda came to Gilgal, for to go downe to mete the kynge, Ꟶ to conueye him ouer Iordan.
2Sam.19.16	And Simei the sonne of Gera, the sonne of Iemini, whych was of Bahurim, hasted, and came with the men of Iuda to mete king Dauid,
2Sam.19.17	and there were a thousande men of Beniamin wt hym, Ꟶ ziba the seruaunt of the house of Saul and his .xv. sonnes and twentye seruauntes with him. And they went quyckly ouer Iordan before the kynge. And there went ouer a boate
2Sam.19.18	that caryed ouer the kynges housholde and they dyd him pleasure. And Simei the sonne of Gera fell before the kynge (as he was come ouer Iordan)
2Sam.19.19	and sayde vnto him: let not my Lorde impute wickednesse vnto me, ner remember the thinges (that they seruaunt dyd wickedly when my Lorde the kyng departed out of Ierusalem) that the kyng shulde take it to herte.
2Sam.19.20	For thy seruaunt doth knowe, howe that I haue done amysse. And therfore beholde, I am the fyrst this daye of all the house of Ioseph, that am come to go downe, to mete my Lorde the kynge.
2Sam.19.21	But Abisai the sonne of zeruia answered, and sayde: shall not Semei dye for this, because he cursed the Lords anoynted?
2Sam.19.22	And Dauid sayde: what matter is betwene you and me ye sonnes of zeruia? For thys daye ye be aduersaryes vnto me. Shall there any man dye this daye in Israel? Do not I knowe, that I am this daye kynge ouer Israel?
2Sam.19.23	And therfore the kynge sayde vnto Semei: thou shalt not dye, Ꟶ the kynge sware vnto him.
2Sam.19.24	And Miphiboseth the sonne of Saul came also to mete the kynge, Ꟶ had nether wasshed his fete, ner shauen his beerde, ner wasshed his clothes from the tyme the kynge departed, vntyll he came agayne in peace.
2Sam.19.25	And it fortuned that when he was come to Ierusalem, and mett the kynge, the kynge sayde vnto him: wherfore wentest not thou wyth me Miphiboseth?
2Sam.19.26	He answered: my Lorde, O kynge, my seruaunt deceaued me. For thy seruaunt sayde I wolde haue mine Asse sadled to ryde theron, for to go to the kynge, because thy seruaunt is lame.
2Sam.19.27	And ziba hath falsely reported of thy seruaunt vnto my Lorde the kynge. And my Lorde the kynge is as an angel of God: do therfore what semeth good in thine eyes.
2Sam.19.28	For all my fathers house were but deed men before my Lorde the kynge: and yet dydest thou put thy seruaunt amonge them that dyd eate at thyne awne table. What ryght therfore haue I yet, to crye any more vnto the kynge?
2Sam.19.29	And the kynge sayde vnto him: Why speakest thou yet in thyne awne cause? I haue sayde: thou and ziba deuide the landes betwene you.
2Sam.19.30	And Miphiboseth sayde vnto the kynge: yee lett him take all: for so moch as my Lorde the kynge is come agayne in peace vnto his awne house.
2Sam.19.31	And Berselai the Gileadite came downe from Roglim, and went ouer Iordan with the kyng, to convaye him ouer Iordan:
2Sam.19.32	Berselai was a very aged man, euen foure skore yere olde, Ꟶ prouyded the kynge of sustenaunce, whyle he laye at Mahanaim: for he was a man of verye great substaunce.
2Sam.19.33	And the kynge sayde vnto Berselai: come thou with me, Ꟶ I will fede the with me in Ierusalem.
2Sam.19.34	And Berselai sayde vnto the kynge: I am thus olde, and howe am I able to go vp with the kynge vnto Ierusalem?
2Sam.19.35	I am this daye foure skore yere olde: and can I decerne betwene good and euell? Hath thy seruaunt any tast in that he eateth or drincketh? Can he heare any more the voyce of synginge men Ꟶ women? Wherfore then shulde thy seruaunt be yet a burthen vnto my Lorde the kynge?
2Sam.19.36	Thy seruaunt will go a lytle waye ouer Iordan with the kynge: and why wyll the kynge recompence it me with soch a rewarde?
2Sam.19.37	O let thy seruaunt turne back agayne, that I maye dye in myne awne cytie, and (be buryed) in the graue of my father and of my mother. Beholde, here is thy seruaunt Chimeam: let him go with my Lorde the kynge, and do to him, what shall please the:
2Sam.19.38	And the kynge answered: Chimeam shall go with me. And I will do to him that thou shalt be content with. And whatsoeuer thou shalt requyre of me, that same will I do for the.
2Sam.19.39	And all the people went ouer Iordan. And when the kynge was come ouer Iordan, he kyssed Berselai, and blessed him, Ꟶ he went backe agayne vnto his awne place.
2Sam.19.40	And then the kynge went to Gilgal, and Chimeam went with him, Ꟶ so dyd all the people of Iuda, and brought ouer the kynge, and there were but halfe the men of Israel.
2Sam.19.41	And beholde, all the men of Israel came to the kynge, and sayde vnto him, why haue oure brethren the men of Iuda stolen the awaye and haue brought the kyng Ꟶ his housholde, and all Dauids men with him ouer Iordan?
2Sam.19.42	And all the men of Iuda answered the men of Israel: the kynge is nere of kynne to vs: wherfore be ye angrye for that matter? thynke ye that we eate of the kynges cost, or that we take vs any gyftes?
2Sam.19.43	And the men of Israel answered the men of Iuda and sayde: we haue ten partes in the kynge, Ꟶ haue therto more ryght to Dauid then ye. Why then dyd ye despyse vs, that oure aduise shulde not be fyrst had in restoringe oure kynge agayne? And the wordes of the men of Iuda were fearcer, then the wordes of the men of Israel.
2Sam.20.1	Whan there cam thither a certayne man of Belial (named Seba, the sonne of Bichri, a man of gemini) he blew a trompet Ꟶ sayde: we haue no parte in Dauid, neither haue we enheritaunce in the sonne of Isai, let the men of Israel departe vnto there tentes.
2Sam.20.2	And so euery man of Israel went from Dauid, and folowed Seba the sonne of Bichri. But the men of Iuda claue fast vnto their kynge, from Iordan to Ierusalem.
2Sam.20.3	And Dauid came to his house to Ierusalem, and toke the ten women his concubines, that he had left behynde him to kepe the house, and put them in warde, and fedd them: but laye no moare wyth them. And so they were enclosed vnto the daye of their deeth, lyuynge in wedowhode.
2Sam.20.4	Then sayde the kynge to Amasa: call me the men of Iuda togeather agaynst the thirde daye, and be thou here also.
2Sam.20.5	And so Amasa went to gather the men of Iuda to geather: but taried longer, then the tyme which he had appoynted him.
2Sam.20.6	And Dauid sayde to Abisai: nowe shall Seba the sonne of Bichri do vs more harme, then dyd Absalom. Take thou therfore thy Lordes seruauntes, Ꟶ folowe after him: lest he gett him walled cyties, and escape vs.
2Sam.20.7	And there went out after hym Ioabs men, and the Crethites and the Phelethites, and all the myghtiest men. And they departed out of Ierusalem to folowe after Seba the sonne of Bichri.
2Sam.20.8	And when they were at the great stone in Gibeon, Amasa went before them. And Ioabs garment (that he had about him) was gyrde vnto him, and he had gyrded theron, a knyfe, which was ioyned fast to hys loynes, in soch a sheth that (as he went) it fell some tymes out.
2Sam.20.9	And Ioab sayde to Amasa: art thou in health my brother? And Ioab toke Amasa by the chynne with the ryght hande, to kysse hym.
2Sam.20.10	But Amasa toke no hede to the knyffe that was in Ioabs hande, for therwith he smote hym in the short rybbes, and shed out hys bowelles to the grounde, and thrust at him nomore, and he dyed. So Ioab and Abisai his brother folowed after Seba the sonne of Bichri.
2Sam.20.11	And one of Ioabs men stode by him, and sayde: He that beareth any fauoure to Ioab, or good will to Dauid, let him go after Ioab?
2Sam.20.12	And Amasa laye walowed in bloude, in the myddes of the waye. And there was a man, which when he sawe that all the people stode styll, he rowled Amasa out of the waye into the felde, Ꟶ cast a cloth vpon him, because he sawe that euery one that came, stode styll by hym.
2Sam.20.13	And as sone as he was tombeled out of the waye, all the people went after Ioab, to folowe after Seba the sonne of Bichri.
2Sam.20.14	And he went thorowe all the trybes of Israel vnto Abel, and to Bethmaacha and all the places of Barim. And they geathered together, and went after him.
2Sam.20.15	And they came, Ꟶ beseged him in Abel Ꟶ in Bethmaacha And they cast vp a bancke agaynst the cytie that stode in the valleye. All the people that was with Ioab, thrust at the wall to ouerthrowe it.
2Sam.20.16	Then cryed a wyse woman out of the cytie, heare heare, byd Ioab come hither, that I maye speake with hym.
2Sam.20.17	When Ioab was come vnto her, the woman sayde: art thou Ioab? He answered: I am he. She sayde vnto him: heare the wordes of thy handmayde? And he answered: I do heare.
2Sam.20.18	And she sayde agayne: They spake in the olde tyme, sayinge: men must aske peace first, how moche rather shulde they so do to Abell? For so haue they contynued hytherto:
2Sam.20.19	I am one of them that are peaceable and faythfull in Israel. And thou goest about to destroye a citie and a mother in Israel. Why wilt thou deuoure the enheritaunce of the Lorde?
2Sam.20.20	And Ioab answered, and sayde: God forbyd, God forbid it me, that I shulde ether deuoure or destroye.
2Sam.20.21	The matter is not so: but a man of mount Ephraim (Seba the sonne of Bichri by name) hath lyfte vp his hande agaynst the kynge, euen against Dauid. Delyuer vs him only, and I will departe from the cytie. And the woman sayde vnto Ioab: Beholde, his heed shalbe throwen to the, ouer the wall.
