Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.17.1	And the Lorde spake vnto Moses, saying:
Num.17.2	speake vnto the children of Israel: and take of euery prynce of them a rodd, after the houses of their fathers, euen twelue roddes: and write euery mans name vpon his rodd.
Num.17.3	And wryte Aarons name vpon the rodd of Leui: for euery rodd is for a house of their fathers.
Num.17.4	And put them in the tabernacle of witnes, euen in the place where I mete you.
Num.17.5	And the mans rod whom I chose, shall blossome. And I wyll make cease from me the grudgynges of the chyldren of Israel, whereby they grudge agaynst you.
Num.17.6	And Moses spake vnto the chyldren of Israel, and all the prynces gaue hym euery prince ouer their fathers houses, a rod, euen twelue roddes: and the rodd of Aaron was among the roddes.
Num.17.7	And Moses put the roddes before the Lorde in the tabernacle of witnes.
Num.17.8	And on the morowe, Moses went into the tabernacle of witnes: and beholde, the rodd of Aaron for the house of Leui was budded, and bare blossomes and almondes.
Num.17.9	And Moses brought out all the roddes from before the Lorde vnto all the chyldren of Israel: and they loked vpon them, and toke euery man his rodd.
Num.17.10	And the Lord sayde vnto Moses: bring Aarons rod agayne before the witnes to be kepte for a token of the childrens rebellyon, and that their murmuring maye cease from me, and that they dye not.
Num.17.11	And Moses dyd as the Lorde commaunded him, euen so dyd he.
Num.17.12	And the children of Israel spake vnto Moses, saying: beholde, we are wasted awaye Ꟶ consumed: we all come to naught:
Num.17.13	whosoeuer commeth nye the dwellyng of the Lord, dyeth. Shall we vtterly consume awaye?
Num.18.1	And the Lorde sayde vnto Aaron Thou and thy sonnes and thy fathers house with the shall beare the faute of that which is done amysse in the holy place. And thou and thy sonnes wt the shall beare the faute of that which is done amysse in your presthode.
Num.18.2	And thy brethren of the trybe of Leui and of thy fathers housholde thou shalt take vnto the, that they maye be ioyned vnto the and minystre vnto the: euen vnto the and thy sonnes with the before the tabernacle of witnes.
Num.18.3	They shall wayte vpon the and vpon all the tabernacle: onely let them not come nye the vesselles of the sanctuary and the alter, that they and ye also dye not.
Num.18.4	And they shalbe by the, and wayte on the tabernacle of witnes for all the seruyce of the tabernacle, and let no straunger come nye vnto you.
Num.18.5	Therfore shall ye kepe the holy place and the aulter, that ther fall no more wrath vpon the chyldren of Israel:
Num.18.6	beholde, I haue taken your brethren the Leuites from amonge the the childreen of Israel, which as a gyft of yours are geuen vnto the Lorde, to do the seruyce of the tabernacle of witnes.
Num.18.7	Therfore shalt thou and thy sonnes with the take hede vnto your preastes offyce for all thynges that perteyne vnto the aulter, and for all that are within the vayle. And se that ye serue: for I haue geuen your prestes office vnto you as a gyft: and therfore the straunger that commeth nye, must be slayne.
Num.18.8	And the Lorde spake vnto Aaron: behold, I haue geuen the the kepynge of myne heue offerynges of all the halowed thynges of the chyldren of Israel. Euen vnto the, I haue geuen them for the anoyntinge, and to thy sonnes, for a dutye for euer.
Num.18.9	Thys shall be thyne of most holy from the fyre of the altare. All theyr sacrifyces for all theyr meateofferynges, synne offerynges or trespace offerynges, which they brynge vnto me, are most holy. It is thyne and thy sonnes.
Num.18.10	In the most holy place shalt thou eat it: and all that are males shall eat of it: let it be holy vnto the.
Num.18.11	And this also is thyne the heueofferynges of theyr gyftes, thorowe out all the waueofferynges of the chyldren of Israel: I haue geuen them vnto the and thy sonnes, and thy daughters with the, to be a dutye for euer and all that are cleane in thy house, shall eate of it,
Num.18.12	all the fatt of the oyle, and all the fatt of the wyne and of the corne, whyche they shall offre vnto the Lord for fyrst frutes, the same haue I geuen vnto the.
Num.18.13	And whatsoeuer is fyrst rype in theyr lande whych they brynge vnto the Lord, shalbe thyne: and all that are cleane in thyne house, shall eate of it.
Num.18.14	All dedicate thinges in Israel, shalbe thyne.
Num.18.15	All that breaketh the matrice in all fleshe that men brynge vnto the Lorde, whether it be of men or beastes, shalbe thyne. Neuerthelater the fyrstborne of man shalt thou redeme, and the fyrstborne of vncleane beastes shalt thou redeme lykewyse. Those that are to be redemed,
Num.18.16	shalt thou redeme from the age of a moneth, for the value of the money, namely for fyue sycles after the sycle of the sanctuari. A sycle maketh twentye halfpens.
Num.18.17	But the fyrstborne of oxen, shepe and goates shalt thou not redeme. For they are holy, therfore thou shalt sprynkle theyr bloude vpon the alter, and shalt burne theyr fatt vpon the sacrifyce for a swete sauoure vnto the Lorde.
Num.18.18	And the flesh of them is thyne as the wauebrest and the ryght shoulder. These are thyne.
Num.18.19	All the holy heueofferynges whych the chyldren of Israel offre vnto the Lorde, haue I geuen the and thy sonnes and thy daughters wyth the, to be a dutye foreuer: let it be a salted couenaunte for euer, before the Lorde, both vnto the Ꟶ to thy seed with the.
Num.18.20	And the Lorde spake vnto Aaron thou shalt haue none enheritaunce in their lande, nether shalt thou haue any parte amonge them. I am thy parte and thy enherytaunce amonge the chyldren of Israel.
Num.18.21	Beholde, I haue geuen the chyldren of Leui all the tenth in Israel to enheryte, for the seruyce whiche they serue in the tabernacle of witnesse.
Num.18.22	Neither must the chyldren of Israel henceforth come nye the tabernacle of witnesse, lest they beare synne and dye.
Num.18.23	But the Leuites shall do the seruice in the tabernacle of witnesse Ꟶ beare theyr synne, It shalbe a lawe foreuer in youre generacyons, that amonge the chyldren of Israel they possesse none enheritaunce.
Num.18.24	But the tythes of the chyldren of Israel whyche they paye as an heue offerynge vnto the Lorde, I haue geuen the Leuites to enheret. And therfore I haue sayed vnto them. Amonge the chyldren of Israel ye shall possesse none enheritaunce.
Num.18.25	And the Lorde spake vnto Moses saying:
Num.18.26	speake vnto the Leuites and saye vnto them when ye take of the chyldren of Israel the tythes which I haue geuen you of them for youre enheritaunce, ye shall take an heueofferynge of that same for the Lorde: euen the tenth parte of that tythe.
Num.18.27	And thys youre heueoffering shalbe rekened vnto you, euen as though it were of the corne of the barne, or out of the fulnesse of the wyne presse.
Num.18.28	Of thys maner ye shall therfore separate an heueofferynge vnto the Lorde, of all youre tythes which ye receaue of the chyldren of Israel, and ye shall geue ther of vnto the Lord an heueofferynge, whyche shall belonge to Aaron the preaste.
Num.18.29	Of all youre gyftes, ye shal take out all the Lordes heueofferynges euen the fatt of theyr halowed thynges.
Num.18.30	Therfore thou shalt saye vnto them: when ye haue taken awaye the fatt of it from it, it shalbe counted vnto the Leuites, as yf it were the encrease of the corne floore, or the increase of the wyne presse.
Num.18.31	And ye shall eate it in all places, both ye and youre housholdes, for it is youre rewarde for youre seruyce in the tabernacle of witnesse.
Num.18.32	And ye shall beare no synne by the reason of it, when ye haue taken from it the fatt of it: nether shall ye vnhalowe the holy thynges of the children of Israel lest ye dye.
Num.19.1	And the Lorde spake vnto Moses and Aaron sayinge:
Num.19.2	this is the ordinaunce of the lawe whyche the Lorde hath commaunded sayinge: speake vnto the chyldren of Israel, that they brynge the a redd kowe without spot, and wherin is no blemish, and vpon which neuer came yocke.
Num.19.3	And ye shall geue her vnto Eleazar the preaste, that he maye brynge her without the hoste, Ꟶ cause her to be slayne before hys face.
Num.19.4	And let Eleazar the preast take of her bloude with hys fynger, and sprynkle it before the tabernacle of witnesse seuen tymes. And cause the kowe to be burnt in his syghte
Num.19.5	wt hyr skynne, fleshe and bloude. And the dounge of hyr shall he burne also.
Num.19.6	And let the preast take Cedar wodd, and Isope and purple cloth, and cast it vpon the kowe as she burneth.
Num.19.7	Then let the preast wash hys clothes, and he shall bathe hys flesh in water, and then come into the hoste, and the preast shalbe vncleane vnto the euen.
Num.19.8	And he that burneth her, shall wassh his clothes in water, and bathe his fleshe in water, and be vncleane vntill euen.
Num.19.9	And a man that is cleane, shall take vp the asshes of the kowe, and put them without the hoste in a cleane place. And it shall be kepte for the multitude of the chyldren of Israel for a sprenklynge water and for an atonement of synne.
Num.19.10	Therfore, he that gathered the asshes of the kowe, shall washe hys clothes, Ꟶ remayne vncleane vntyll euen. And thys shalbe vnto the chyldren of Israel and vnto the straunger that dwelleth amonge them, a statute for euer.
Num.19.11	He that toucheth the deed body of any man, shalbe vncleane seuen dayes.
Num.19.12	And he shall purifye hym selfe with thys water the thyrde daye and the seuenth daye, and he shalbe cleane. But yf he purifye not hym selfe the thyrde daye and the seuenth daye, he shal not be cleane.
Num.19.13	Whosoeuer toucheth the coarse of any man that is deed, and sprynkleth not hym selfe, defyleth the dwellynge of the Lorde: and that soule shalbe roted out of Israel, because the sprynklyng water was not sprenkled vpon hym. He shalbe therfore vncleane, and hys vnclennesse shall remayne vppon hym.
Num.19.14	Thys is the lawe of the man that dyeth in a tent: all that come into the tent, and all that is in the tent, shalbe vncleane seuen dayes.
Num.19.15	And all the vessels that be open whych haue no lyd nor couerynge vpon them, shalbe vncleane.
Num.19.16	And whosouer toucheth one that is slayne with a swerde in the feldes, or a deed persone, or a bone of a deed man, or a graue: shall be vncleane seuen dayes.
Num.19.17	Therfore, for an vncleane persone they shall take of the burnt asshes of the synofferynge, Ꟶ runnynge water shall be put therto in a vessell.
Num.19.18	And let a cleane persone take Isope and dyppe it in the water, Ꟶ sprynkle it vpon the tent, and vpon all the vessels, and on the soules that were there in, and vpon hym that touched a bone, or a slayne persone, or a deed body, or a graue.
Num.19.19	And the cleane persone shall sprynkle vpon the vncleane the thirde daye and the seuenth daye. And the seuenth daye he shall purifye him selfe, Ꟶ wasshe hys clothes, Ꟶ bathe him selfe in water, and shalbe cleane at euen.
Num.19.20	But the man that is vncleane, and sprynkleth not him selfe, the same soule shalbe destroyed from amonge the congregacyon: because he hath defyled the holy place of the Lorde, and the sprynklynge water hath not bene sprynkled vpon him, therfore shall he remayne vncleane. And thys shalbe a perpetuall lawe vnto them. And he that sprynkleth the sprynklynge water, shall washe his clothes.
Num.19.21	And he that toucheth the sprynklyng water shalbe vncleane vntyll euen.
Num.19.22	And whatsoeuer the vncleane persone toucheth, shalbe vncleane. And the soule that toucheth it, shalbe vncleane vntyll the euen.
Num.20.1	And the children of Israel came wt the whole multitude into the deserte of Sin in the fyrst moneth, and the people abode at Cades. And there dyed MirIam, and was buryed there.
Num.20.2	But there was no water for the multitude, and they gathered them selues together agaynst Moses Ꟶ Aaron.
Num.20.3	And the people chode with Moses, and spake, sayinge: wolde God that we had perysshed, when oure brethren dyed before the Lorde.
Num.20.4	Why haue ye brought the congregacyon of the Lorde vnto thys wyldernesse, that both we and oure catell shulde dye in it?
Num.20.5	Wherfore haue ye made vs to go oute of Egypte, to brynge vs into this vngracious place, which is no place of seed nor of fygges nor vynes, nor of pomgranates, nether is there any water to drynke?
Num.20.6	And Moses and Aaron went from the congregacyon vnto the dore of the tabernacle of witnesse, and fell vpon theyr faces. And the glory of the Lorde appered vnto them.
Num.20.7	And the Lorde spake vnto Moses sayinge:
Num.20.8	take the rodd, and gether thou and thy brother Aaron the congregacyon together, and speake vnto the rocke before theyr eyes, and it shall geue forth hys water. And thou shalt brynge them water out of the rocke, to geue the company dryncke, and theyr beastes also.
Num.20.9	And Moses toke the rodd from before the Lorde, as he commaunded hym.
Num.20.10	And Moses Ꟶ Aaron gethered the congregacyon together before the rocke: and Moses sayde vnto them: heare ye rebellyons, must we fett you water oute of thys rocke?
Num.20.11	And Moses lyfte vp hys hande, and with hys rodd he smote the rocke two tymes, and the water came oute aboundantly, and the multitude drancke and theyr beastes also.
Num.20.12	And the Lorde spake vnto Moses Ꟶ Aaron: because ye beleued me not, to sanctifye me in the eyes of the chyldren of Israel, therfore ye shall not brynge thys congregacyon into the lande whyche I haue geuen them.
Num.20.13	Thys is the water of stryffe, because the chyldren of Israel stroue with the Lorde, Ꟶ he was sanctifyed in them.
Num.20.14	And Moses sent messengers from Cades vnto the kynge of Edom. Thus sayeth thy brother Israel: Thou knowest all the trauell that hath happened vs,
Num.20.15	Oure fathers went doune into Egpte, and we haue dwelt in Egypte a longe tyme, and the Egypcians vexed vs Ꟶ oure fathers.
Num.20.16	And whan we cryed vnto the Lorde, he herde oure voyce, and sent an angell, and hath fett vs vp out of Egypt. And beholde, we are in Cades, euen in the vttermost cyte of thy border.
Num.20.17	We wyll go now thorow thy countre: but we will not go thorowe the feldes or vyneyardes, nether wyll we dryncke of the water of the fountaynes, we wyll go by the kynges hye waye, and nether turne vnto the ryghte hande nor to the lefte, vntyll we be past thy countre.
Num.20.18	And Edom answered hym. Thou shalt not go by me, lest I come out agaynst the with the swerde.
Num.20.19	The chyldren of Israel sayde vnto hym: we wyll go by the beaten waye: and yf I and my catell drynke of thy water, I wyll paye for it I wyll but onely (without any harme) go thorowe on my fete.
Num.20.20	He answered. Thou shalt not go thorowe. And Edom came oute agaynst hym with moche people, and wyth a myghtie power.
Num.20.21	And thus Edom denied to geue Israel passage thorow his countre: wherfore Israel turned awaye from hym.
Num.20.22	And the chyldren of Israel departed from Cades, and came vnto mount Hor wyth all the congregacyon.
Num.20.23	And the Lorde spake vnto Moses and Aaron in mount Hor, harde by the coaste of the londe of Edom sayinge:
Num.20.24	Aaron shall be gathered vnto hys people, for he shall not come into the lande whych I haue geuen vnto the chyldren of Israel: because ye disobeyed my mouth at the water of stryffe.
Num.20.25	Take Aaron and Eleazar his sonne, and brynge them vp into mount Hor,
Num.20.26	and thou shalt strype Aaron out of hys vestimentes, and put them vpon Eleazar hys sonne, and Aaron shalbe gathered vnto hys people and shall dye there.
Num.20.27	And Moses dyd as the Lorde commaunded: and they went vp into mount Hor in the syghte of all the multitude.
Num.20.28	And Moses toke of Aarons clothes, and put them vpon Eleazar hys sonne and Aaron dyed there in the toppe of the mount.
Num.20.29	And Moses and Eleazar came doune oute of the mount. Whan all the multytude sawe that Aaron was deed, they mourned for Aaron thyrtye dayes, thorowe oute all the housholdes of Israel.
Num.21.1	And when kynge Arad the Cananite whyche dwelt towarde the south, harde tell that Israel came vp the waye that the spyes had founde oute, he foughte agaynst Israel, and toke some of them presoners.
Num.21.2	And Israel vowed a vowe vnto the Lorde, and sayde: If thou wylt delyuer this people into my hande, I wyll vtterly destroye theyr cyties.
Num.21.3	And the Lorde herde the voyce of Israel, and deliuered them the Cananites. And they destroyed them and theyr cyties, Ꟶ called the name of the place Horma.
Num.21.4	And they departed from mount Hor by the waye of the redd see: to compasse the land of Edom. And the soule of the people faynted by the waye.
Num.21.5	And the people spake agaynst God Ꟶ agaynst Moses wherfore hast thou brought vs oute of Egypte, for to dye in the wildernesse? for here is nether bread nor water, Ꟶ oure soule lotheth thys lyghte breade.
Num.21.6	Wherfore the Lorde sent fyerye serpentes amonge the people, whych stonge them: and moche people of Israel dyed.
Num.21.7	Therfore the people came to Moses and sayde: we haue synned, for we haue spoken agaynst the Lorde Ꟶ agaynst the, make intercessyon to the Lorde, that he take awaye the serpentes from vs. And Moses made intercessyon for the people.
Num.21.8	And the Lorde sayde vnto Moses: make the a fyrie serpent Ꟶ set it vp for a sygne, that as many as are bytten, maye loke vpon it, Ꟶ lyue.
Num.21.9	And Moses made a serpent of brasse, and set it vp for a sygne. And when the serpentes had bytten any man, he behelde the serpent of brasse, and was healed.
Num.21.10	And the chyldren of Israel departed thence, and pytched in Oboth.
Num.21.11	And they departed from Oboth, and pitched at the heapes of Abarim: euen in the wyldernesse whyche is by the playne of Moab on the east syde.
Num.21.12	And they remoued thence, and pytched vpon the ryuer of zarad.
Num.21.13	And they departed thence, and pytched on the other syde of Arnon, which is in the wyldernesse, and commeth oute of the costes of the Amorites: for Arnon is the border of Moab, betwene Moab and the Amorites.
Num.21.14	Wherfore it is spoken in the boke of the warre of the Lord, what thynge he dyd in the redd see, Ꟶ in the ryuers of Arnon.
Num.21.15	And the heade of the ryuers, that goeth downe to the dwellyng of Ar, and stretcheth vnto the border of Moab:
Num.21.16	from thence it turneth vnto Beer. The same is Beer, or well wherof the Lorde spake vnto Moses: gether the people together, and I wyll geue them water.
Num.21.17	Then Israel sange thys songe: Aryse vp well, singe ye vnto him.
Num.21.18	The princes dygged thys well, the captaynes of the people dygged it, with the teacher, and with theyr staues. And from the wyldernesse they went to Matana,
Num.21.19	and from Matana to Nahaliel, Ꟶ from Nahaliel to Bamoth,
Num.21.20	and from Bamoth to the valay that is in the felde of Moab vnto the top of the hyll that appeareth before Iesimon.
Num.21.21	And Israel sent messengers vnto Sehon, kynge of the Amorites, sayinge:
Num.21.22	I wyll go thorowe thy lande: we wyll not tourne into thy feldes or vyneyardes, nether drynke of the waters of the well: but we wyll go a longe by the kynges hye waye, vntyll we be past thy countre.
Num.21.23	But Sehon wolde geue Israel no licence to passe thorowe hys countre, but gethered all hys people together and went oute agaynst Israel into the wyldernesse. And he came to Iaheza and foughte agaynst Israel.
Num.21.24	And Israel smote him in the edge of the swerde, and conquered hys lande, from Arnon vnto Iakob: and vnto the chyldren of Ammon. For the border of the chyldren of Ammon was, stronge.
Num.21.25	And Israel toke all these cities and dwelt in all the cyties of the Amorites: in Hesbon and in all the townes that longe therto.
Num.21.26	For Hesbon was the cytie of Sehon the kynge of the Amorites, whyche fought before agaynst the kynge of the Moabites, and toke all his lande out of hys hande, euen vnto Arnon.
Num.21.27	Wherfore they saye in the prouerbe: come to Hesbon, and let the cytye of Sehon be bylt Ꟶ repayred:
Num.21.28	for there is a fyre gone out of Hesbon, and a flamme from the cytie of Sehon, and hath consumed Ar in Moab, and the inheritours of the hye places in Arnon.
Num.21.29	Wo be to the Moab: o people of Chamos, ye are vndone, he hath put his sonnes to flyghte, and hys daughters to captiuyte vnto Sehon kynge of the Amorites.
Num.21.30	Theyr empire is lost from Hesbon vnto Dibon, and we made a wyldernesse euen vnto Nopha, whych reacheth vnto Mediba.
Num.21.31	And thus Israel dwelt in the lande of the Amorites.
Num.21.32	And Moses sent to serche oute Iaezer, and they toke townes belongynge therto, and rooted oute the Amorites that were there in.
Num.21.33	And they tourned and went vp towarde Basan. And Og the kynge of Basan came out agaynst them, he and all his people to fyght at Adrei.
Num.21.34	And the Lorde sayde vnto Moses, feare him not, for I haue delyuered him in thy hande, and all his people, and hys lande. And thou shalt do to him as thou dydest vnto Sehon the kyng of the Amorites which dwelt at Hesbon.
Num.21.35	They smote hym therfore, and his sonnes, and all his people, vntill ther was nothinge lefte him. And they conquered hys lande.
Num.22.1	And the chyldren of Israel departed and pytched in the feldes of Moab, on the othersyde of Iordane, ouer against Iericho.
Num.22.2	And Balac the sonne of ziphor sawe all that Israel had done to the Amorites:
Num.22.3	and the Moabites were sore afrayed of the people, because they were many, and stode in feare of the chyldren of Israel.
Num.22.4	And Moab sayde vnto the elders of Madian: now shall this companye lycke vs vp all that are rounde aboute vs, as an oxe lycketh vp the grasse of the felde. And Balac the sonne of ziphor was kynge of the Moabites at that tyme.
Num.22.5	He sent messengers therfore vnto Balaam the sonne of Beor in Pethor (whych is by the ryuer in the lande of the chyldren of his folke) to call him, sayinge: beholde, there is a people come oute of Egypte, Ꟶ beholde, they couer the face of the erth, Ꟶ dwell ouer agaynst me.
Num.22.6	Come nowe therfore Ꟶ curse thys people for my sake. For they are to myghtie for me, yf so perauenture I myght be able to smyte them Ꟶ to dryue them oute of the lande. For I wote that he whome thou blessest, is blessed, and whome thou cursest is cursed.
Num.22.7	And the elders of Moab and the elders of Madian departed, hauynge the rewarde of the sothsayinge in theyr hande. And they came vnto Balaam, and tolde him the wordes of Balac.
Num.22.8	He answered them: tary here thys nyght, and I wyll brynge you worde, euen as the Lord shall saye vnto me. And the Lordes of Moab abode with Balaam.
Num.22.9	And God came vnto Balaam and sayde, what men are these wyth the?
Num.22.10	And Balaam sayde vnto God: Balac the sonne of ziphor kynge of Moab hath sent vnto me, sayinge:
Num.22.11	beholde, there is a people come out of Egypt and couereth the face of the erth: come nowe therfore, and curse them for my sake, yf so peraduenture I maye be able to ouercome them in batell, and to dryue them oute.
Num.22.12	And God sayde vnto Balaam: Go not thou with them, nether curse the people, for they are blessed.
Num.22.13	And Balaam rose vp in the mornynge Ꟶ sayde vnto the Lordes of Balac: get you vnto youre lande: for the Lorde wyll not suffre me to go wyth you.
Num.22.14	And the Lordes of Moab rose vp, Ꟶ went vnto Balac and sayde: Balaam wolde not come wyth vs.
Num.22.15	And Balac sent agayne a greatter companye of Lordes and more honorable then they:
Num.22.16	whyche came to Balaam, and told him: Thus sayeth Balac the sonne of ziphor: oh, let nothynge let the, but come vnto me,
Num.22.17	for I wyll greatly promote the vnto greate honoure, and wyll do whatsoeuer thou sayest vnto me, come I praye the, curse thys people for my sake:
Num.22.18	And Balaam answered and sayde vnto the seruauntes of Balac: If Balac wolde geue me hys housefull of syluer and golde, I cannot go beyonde the worde of the Lord my God, to do lesse or moare.
Num.22.19	Nowe therfore tarye ye here thys nyghte: that I maye wete, what the Lorde wyll saye vnto me moare.
Num.22.20	And God came vnto Balaam by nyghte, Ꟶ sayde vnto him: If the men come to call the, ryse vp and go with them: but loke what I saye vnto the, that shalt thou do.
Num.22.21	And Balaam rose vp early, and sadeld hys asse, Ꟶ went with the Lordes of Moab.
Num.22.22	And the countenaunce of God was angrye because he went. And the angell of the Lorde stode in the waye agaynst hym, as he rode vpon hys asse, and hys two seruauntes were with hym.
Num.22.23	And when the asse sawe the angell of the Lorde stande in the waye, and hauynge a swerde drawen in his hande, the asse turned asyde oute of the waye, and went out into the felde. And Balaam smote the asse, to turne her into the waye.
Num.22.24	But the angell of the Lord stode in a path betwene the vyneyardes, and there was a wall on the one syde Ꟶ another on the other.
Num.22.25	And when the asse sawe the angell of the Lorde, she wrenched vnto the wall, and thrust Balaams fote vnto the wall, and he smote her agayne.
Num.22.26	And the angell of the Lorde went forther and stode in a narowe place, where was no waye to tourne, ether to the ryght hande or to the lyfte.
Num.22.27	And when the asse sawe the angell of the Lorde, she fell downe vnder Balaam: and Balaam was wroth, and smote the asse with a staffe.
Num.22.28	And the Lorde opened the mouth of the asse, Ꟶ she sayed vnto Balaam: what haue I done vnto the, that thou hast smytten me nowe thre tymes?
Num.22.29	And Balaam sayde vnto the Asse: because thou hast mocked me: I wolde also there were a swerde in myne hande, for euen nowe wolde I kyll the.
Num.22.30	And the asse sayde vnto Balaam: am not I thyne Asse whyche thou hast rydden vpon sence thou wast borne vnto thys daye? Was I euer wont to do so vnto the? he sayde: nay.
Num.22.31	And the Lorde opened the eyes of Balaam and he sawe the angell of the Lorde standinge in the waye, hauynge a swerde drawen in hys hande. He bowed hym selfe therfore, and fell flat on hys face.
Num.22.32	And the angell of the Lorde sayde vnto hym: Wherfore hast thou smyten thyne asse thre tymes? beholde, I came out as an aduersary, because thou makest thy waye contrary vnto me,
Num.22.33	and the asse sawe me, and went backe fro me thre tymes: or els yf she had not turned fro me I had suerly slayne the, and saued her alyue.
Num.22.34	Balaam sayd vnto the angell of the Lord: I haue synned: for I wist not that thou stodest in the waye agaynst me Nowe therfore yf it displease the I wyll turne home agayne.
Num.22.35	The angell sayde vnto Balaam: go with the men: but, what I saye vnto the, that shalt thou speake. And so Balaam went with the Lordes of Balac.
Num.22.36	And when Balac herde that Balaam was come, he went out to mete hym vnto a cytie of Moab, whiche is in the border of Arnon, euen in the vtmost coast.
Num.22.37	And Balac sayde vnto Balaam: dyd I not sende for the, to call the? And wherfore camest thou not vnto me? because I am not able to promote the vnto honoure?
Num.22.38	And Balaam made answere vnto Balac: Loo, I am come vnto the. And can I nowe saye any thinge at all. The worde that God putteth in my mouthe, that shall I speake.
Num.22.39	And Balaam went wyth Balac, and they came vnto a cytie of stretes.
Num.22.40	And Balac offered oxen and shepe, and sent for Balaam and for the Lordes that were with hym.
Num.22.41	And on the morowe Balac toke Balaam, and brought hym vp into the hye place of Baal, that thence he myght se the vtmost parte of the people.
Num.23.1	And Balaam sayd vnto Balac: bylde me here seuen alters and prepare me here seuen oxen and seuen rammes.
Num.23.2	And Balac dyd as Balaam sayde. And Balac and Balaam offered on euery alter an oxe and a ram.
Num.23.3	And Balaam sayd vnto Balac: stande by the sacrifyce, and I wyll goo yf happly the Lorde wyll mete me: and whatsoeuer he sheweth me, I will tell the, and he went forth alone.
Num.23.4	But God met Balaam, and Balaam sayde vnto hym: I haue prepared seuen alters, and haue offered vpon euery alter, an oxe and a ram.
Num.23.5	And the Lorde put a sayinge in Balams mouth, and sayde: go agayn to Balac and saye on thys wyse.
Num.23.6	And whan he went agayne vnto him, loo, he stode by hys sacrifice, he and all the Lordes of Moab.
Num.23.7	And he toke vp hys parable and sayde Balac the kynge of Moab hath fett me from Mesopotamia out of the mountaynes of the east (sayinge:) come, curse Iacob for my sake: come, Ꟶ defye Israel.
Num.23.8	Howe shall I curse him, whom God hath not cursed? or howe shall I defye him, whom God hath not defyed?
Num.23.9	from the toppe of the rockes I se hym, and from the hylles I beholde hym: loo, the people shall dwell by them selfe, and shall not be rekened among the nacyons.
Num.23.10	Who can tell the dust of Iacob, and the nombre of the fourth parte of Israel? I praye God, that my soule maye dye the death of the ryghteous, Ꟶ that my last ende maye be lyke hys.
Num.23.11	And Balac sayde vnto Balaam: what hast thou done vnto me? I fett the to curse myne enemyes, and beholde, thou hast blessed them.
Num.23.12	He answered and sayde: must I not kepe that Ꟶ speake it, whych the Lorde hath put in my mouthe?
Num.23.13	And Balac sayde vnto hym: Come I praye the with me vnto another place, whence thou mayest se them, and thou shalt se but the vtmost parte of them, and shalt not se them all: curse them out of that place for my sake.
Num.23.14	And he brought him into a felde (where men myght se farre of) euen to the toppe of an hyll, and bylt seuen alters, and offered an oxe and a ram on euery alter.
Num.23.15	And he sayd vnto Balac: stande here by thy sacrifyce, whyle I go yonder.
Num.23.16	And the Lord mett Balaam, and put a worde in hys mouth Ꟶ sayd: go agayne vnto Balac, and thus saye.
Num.23.17	And when he came to hym: beholde, he stode by his sacrifyce, Ꟶ the Lordes of Moab with hym. And Balac sayde vnto him: what hath the Lorde sayde?
Num.23.18	And he toke vp his parable Ꟶ answered: ryse vp Balac and heare, and herken vnto me thou sonne of ziphor.
Num.23.19	God is not a man that he shulde lye, nether the sonne of a man that he shulde repent: shulde he saye, and not doo? or shulde he speake, and not make it good?
Num.23.20	beholde, I haue taken vpon me to blesse, for he hath blessed, and it is not in my power to alter it.
Num.23.21	He behelde no vanyte in Iacob, nor sawe trauayll in Israel. The Lorde hys God is wt him, and the presence of the kyng is amonge them.
Num.23.22	God brought them oute of Egypte, he hath strength as an vnicorne.
Num.23.23	There is no sorcery in Iacob, nor sothsaying in Israel. It is nowe tolde vnto Iacob Ꟶ Israel, what God hath wrought.
Num.23.24	Beholde, the people shal ryse vp as a lyonesse, and heue vp hym selfe as a lyon. He shall not lye downe, vntill he eate of the praye, and drynke the bloude of them that are slayne.
Num.23.25	And Balac sayde vnto Balaam: nether curse them nor blesse them.
Num.23.26	But Balaam answered and sayde vnto Balac: tolde not I the sayinge: all that the Lorde speaketh, that I must doo?
Num.23.27	And Balac sayde vnto Balaam: come I praye the, and I wyll brynge the yet vnto another place: yf peraduenture it shall please God, that thou mayst thence curse them for my sake.
Num.23.28	And Balac broughte Balaam vnto the toppe of Peor, that boweth toward the wyldernesse of Iesymmom.
Num.23.29	And Balaam sayde vnto Balac: make me here seuen alters, and prepare me here seuen oxen, and seuen rammes.
Num.23.30	And Balac dyd as Balaam had sayde, and offered an oxe and a ram on euery alter.
Num.24.1	And when Balaam sawe that it pleased the Lorde that he shulde blesse Israel, he went not as he dyd twyse before to fett sothsayinge, but sett hys face towarde the wyldernesse.
Num.24.2	And Balaam lyfte vp hys eyes, and loked vpon Israel as he laye accordyng to his trybes, and the spirite of God came vpon him.
Num.24.3	And he toke vp hys parable and sayde: Balaam the sonne of Beor hath sayde Ꟶ the man whose eye is open hath sayd:
Num.24.4	he hath sayde, whyche heareth the wordes of God and seyth the visyons of the almyghtie, and falleth doune with open eyes.
Num.24.5	Howe goodly are thy tentes o Iacob, and thyne habitacyons o Israel?
Num.24.6	Euen as the valeyes are they layed abrode, and as gardens by the ryuers syde: as the tentes whyche the Lorde hath pytched, and as cyperstrees besyde the waters.
