Lev.0.0	¶ The thyrde boke of Moses called in the Hebrue Uariah: and in the Latyn. Leuiticus
Lev.14.34	when ye be come vnto the lande of Canaan whych I geue you in possessyon. And yf I put the plage of leprosye in a house of the lande of youre possessyon,
Lev.14.35	he that oweth the house shall come, and tell the preaste, sayinge: me thynke that there is as it were a leprosy in the house.
Lev.14.36	And the preaste shall commaunde them to emptie the house, before the Preaste goo into it to se the plage: that all that is in the house be not made vncleane, and then must the Preaste go in to se the house.
Lev.14.37	If the Preaste also se that the plage is in the walles of the house, and that there be holowe strakes pale or rede whych seme to be lower then the wall it selfe,
Lev.14.38	the Preaste shall go out at the house dores, and shut vp the house seuen dayes.
Lev.14.39	And the Preaste shall come agayne the seuenth daye, and yf he se that the plage be increased in the walles of the house,
Lev.14.40	the Preaste shall commaunde them to take awaye the stones in which the plage is, Ꟶ let them cast them into a foule place without the cytie,
Lev.14.41	and he shall commaunde the house to be scraped wythyn rounde aboute, and powre out the dust (that they scrape of) wythout the cytie into a foule place.
Lev.14.42	And they shall take other stones, and put them in the places of those stones, and other morter, to plaster the house wythall.
Lev.14.43	And yf the plage come agayne and breake out in the house, after that he hath taken awaye the stones Ꟶ scraped the walles of the house, and after that he hath playstered the house anewe:
Lev.14.44	the preaste shall come and se it. And yf he perceaue that the plage hath growne further in the house, it is a fretynge leprosye in the house. It is therfore vncleane.
Lev.14.45	And he shall breake downe the house. And the stones of it, Ꟶ the tymbre therof, Ꟶ all the morter of the house, shall he carye out of the cytye vnto a foule place.
Lev.14.46	Moreouer he that goeth into the house all the whyle that it is shut vp, shalbe vncleane vntyll the euen:
Lev.14.47	He that slepeth in the house, shall wasshe hys clothes: he lykewyse that eateth in the house, shall wasshe hys clothes.
Lev.14.48	And yf the Preaste come and se, that the plage hath sprede no further in the house (after that it is newe plastered) the preste shall iudge that house cleane, because the plage is healed.
Lev.14.49	And let hym take to clense the house wythall: two byrdes, cedar wodd, purple clothe and ysope.
Lev.14.50	And he shall kyll one of the byrdes in an erthen vessell and vpon runnynge water:
Lev.14.51	Ꟶ take the cedar wodd, Ꟶ the ysope, Ꟶ the purple wt the lyuynge byrde, Ꟶ dyppe them in the bloude of the slayne byrde, and in the runnynge water, and sprynkle the house seuen tymes,
Lev.14.52	Ꟶ clense the house with the bloud of the byrde and wyth the runnynge water, with the lyuinge byrde, with the cedar wodd, and the ysope, and the purple clothe.
Lev.14.53	But he shall lett the lyuynge byrde flee oute of the towne into the brode feldes, and so make an attonement for the house, and it shalbe cleane.
Lev.14.54	Thys is the lawe for all maner plage of leprosye and breakynge out,
Lev.14.55	and of the leprosye of clothe and house:
Lev.14.56	for a swellynge for a scabbe, and for a whyte blyster.
Lev.14.57	To teache whan it must be made vncleane and cleane. Thys is the lawe of leprosye.
Lev.15.1	And the Lorde spake vnto Moses and Aaron sayinge:
Lev.15.2	Speake vnto the chyldren of Israel, and saye vnto them: Whosoeuer hath a runnynge yssue out of hys fleshe, is vncleane by reason of that yssue.
Lev.15.3	And this shall be the token of hys vnclennesse in hys yssue: when he is vncleane. If hys fleshe runne, or yf hys fleshe congele by the reason of hys yssue, then is it vncleanesse.
Lev.15.4	Euery couche wheron he lyeth that hath the yssue, is vncleane: and euery thynge wheron he sytteth, is vncleane:
Lev.15.5	Whosoeuer toucheth is couche, shall washe his clothes, Ꟶ bath him selfe in water, Ꟶ be vncleane vntyll the euen.
Lev.15.6	And he that sytteth on any thynge wheron he satt that hath the yssue, shall washe hys clothes, and bathe hym selfe in water, Ꟶ be vncleane vntyll the euenynge.
Lev.15.7	He that toucheth the fleshe of him that hath the yssue, shall wasshe hys clothes, and bathe hym selfe in water, and be vncleane vnto the euen.
Lev.15.8	If he also that hath the yssue, spyt vpon hym that is cleane, he shall washe his clothes, Ꟶ bathe hym selfe in water, and be vncleane vntyll euen.
Lev.15.9	And what horse harnesse soeuer he rydeth vpon that hath the yssue, shalbe vncleane.
Lev.15.10	And whosoeuer toucheth any thinge that was vnder hym, shalbe vncleane vnto the euen. And he that beareth any soche thinges, shall washe hys clothes, and bathe hym selfe in water, and be vncleane vnto the euen.
Lev.15.11	And whosoeuer he toucheth that hath the yssue (Ꟶ haue not fyrst wasshed hys handes in water) shall washe hys clothes, Ꟶ bathe hym selfe in water, and be vncleane vnto the euen.
Lev.15.12	The vessell of erth that he toucheth, whych hath the yssue, shalbe broken: and all vessels of wodd shalbe rynsed in water.
Lev.15.13	When he also that hath an yssue, is clensed of hys yssue, he shall nombre .vij. dayes for hys clensynge, and wasshe hys clothes, Ꟶ bathe hys fleshe in runnynge water, and so shall he be cleane.
Lev.15.14	And the .viij. daye he shall take to him two turtyll doues or two younge pygeons, and come before the Lorde vnto the dore of the tabernacle of witnesse, Ꟶ geue them vnto the Preaste.
Lev.15.15	And the Preaste shall offer them: the one for a synne offrynge, and the other for a burntoffrynge: and the preast shall make an attonement for hym before the Lorde, as concernynge hys yssue.
Lev.15.16	If any mans seede departe from hym in hys slepe, he shall wasshe his fleshe in water, and be vncleane vntyll euen.
Lev.15.17	And all the clothes and all the furres wherin is suche seede of slepe, shalbe wasshed with water, and be vncleane vnto the euen.
Lev.15.18	And yf he that hath suche an yssue of sede, do lye wyth a woman, they shall both wasshe them selues with water, and be vncleane vntyll euen.
Lev.15.19	Yf a womans naturall course of bloude do runne, she shalbe put aparte .vij. dayes: whosoeuer toucheth her, shalbe vncleane vnto the euen.
Lev.15.20	And all that she lyeth vpon, in the tyme of hyr naturall disease, shalbe vncleane,
Lev.15.21	lyke as euery thynge also that she sytteth vpon, is vncleane. Whosoeuer toucheth her bedd, shall wasshe hys clothes, and bathe him selfe with water, and be vncleane vnto the euen.
Lev.15.22	And whosoeuer toucheth any thinge that she sat vpon, shall washe hys clothes, and bathe him selfe in water, and be vncleane vnto the euen:
Lev.15.23	so that whether he touche her couche or any vessell where on she hath sytten, he shalbe vnclene vnto the euen.
Lev.15.24	And yf a man lye wt her, and hyr vnclennesse come vpon hym, he shalbe vncleane .vij. dayes, and all the couche wheron he lyeth shalbe vncleane.
Lev.15.25	When a womans bloude runneth longe tyme: out of the tyme of her naturall course: or yf it runne beyonde hyr naturall course, let all the dayes of the yssue be iudged vncleane, euen as the dayes of hyr naturall disease,
Lev.15.26	And she shalbe vncleane. All her couches wheron she lyeth (as longe as her yssue lasteth) shalbe as her couche when she hath hyr naturall dysease. And whatsoeuer she sytteth vpon, shalbe vncleane, as is her vnclennesse when she is put a parte.
Lev.15.27	And whosoeuer toucheth any of these, shalbe vncleane, and shall wasshe hys clothes, and bathe hym selfe in water and be vncleane vnto euen.
Lev.15.28	And after that she is cleansed of hyr yssue, she shall counte her seuen dayes, and after that, she shall be cleane.
Lev.15.29	In the .viij. daye she shall take vnto her two turtils or two younge pigeons, and brynge them vnto the preaste before the dore of the Tabernacle of wytnesse.
Lev.15.30	And the Preaste shall offer the one for a synne offrynge, and the other for a burntofferynge: and make an attonement for her before the Lorde, as concernynge the yssue of her vnclennesse.
Lev.15.31	Therfore shall ye separate the chyldren of Israel from their vnclennesse, that they dye not in their vnclennesse: yf they defyle my habitacyon that is amonge them.
Lev.15.32	Thys is the lawe of hym that hath a runnynge yssue, and of hym whose seed runneth from hym in hys slepe, and is defyled therin,
Lev.15.33	and other, that (for hys naturall disease) is put a parte, and of whosoeuer hath a runnynge yssue, whether it be man or woman, and of hym that lyeth wyth her whych is vncleane.
Lev.16.1	And the Lord spake vnto Moses after the deeth of the two sonnes of Aaron, when they offered before the Lorde, and dyed: And he sayde vnto Moses:
Lev.16.2	speake vnto Aaron thy brother, that he come not at all tymes into the holy place wythin the vayle before the mercyseate, whych is vpon the arke, that he dye not. For I will appeare in the clowde vpon the mercyseate.
Lev.16.3	But with thys thynge shall Aaron come into the holy place: euen wt a bullock for synne, and wyth a ram for a burntofferynge.
Lev.16.4	He shall put the holy lynen albe vpon him, and shall haue a lynen breche vpon hys fleshe, and shall be gyrded wyth a lynen gyrdell, Ꟶ put the lynen mytre vpon hys heede: These are holy garmentes: therfore shall he washe his fleshe in water, whan he doth put them on.
Lev.16.5	And he shall take of the multitude of the chyldren of Israel, two he goates for synne, and a ram for a burntofferynge.
Lev.16.6	And Aaron shall offer hys bullock for synne, and make an attonement for hym, and for hys house.
Lev.16.7	And he shall take the two goates, and present them before the Lorde at the dore of the tabernacle of wytnesse.
Lev.16.8	And Aaron shall cast lottes ouer the .ij. goates: one lotte shalbe for the Lorde, and the other for the scapegoate.
Lev.16.9	And Aaron shall brynge the goote vpon whych the Lordes lotte fell, and offer hym for synne.
Lev.16.10	But the goate on whych the lotte fell to scape, shall be sett alyue before the Lorde, to reconcyle wyth, and to let hym goo (as a scape goate) fre, into the wyldernesse.
Lev.16.11	And Aaron shall brynge hys bullock for synne, and reconcyle for him selfe, and for hys house, and shall kyll hys bullock for synne.
Lev.16.12	And he shall take a censer full of burnynge coles out of the alter before the Lord, and shall fyll hys handfull of swete cens, beaten small, and brynge them wythyn the vayle,
Lev.16.13	and put the cens vpon the fyre before the Lorde: that the cloude of the cens maye couer the mercy seate that is vpon the wytnesse, and that he dye not.
Lev.16.14	And he shall take of the bloude of the bullock, and sprynkle it wyth hys fynger vpon the mercyseate eastwarde: and before the mercyseate shall he sprynkle of the bloude wyth hys fynger seuen tymes.
Lev.16.15	Then shall he kyll the goate that is the peoples synne offrynge, Ꟶ brynge hys bloude wythin the vayle, Ꟶ doo wyth that bloude, as he dyd wt the bloude of the bullock, sprynklynge it vpon the mercyseate, and before the mercyseate.
Lev.16.16	And he shal reconcyle the holy place from the vnclennesses of the chyldren of Israel, and from their trespaces in all theyr synnes. And so shall he doo for the tabernacle of witnesse that is set amonge them, euen amonge their vnclennesses.
Lev.16.17	And let there be no bodye in the tabernacle of wytnesse, when he goeth in to make an attonement in the holy place, vntyll he come out. And let hym make an attonement for hym selfe and for hys housholde, and for all the multitude of Israel.
Lev.16.18	And he shall go out vnto the alter that is before the Lorde, Ꟶ reconcyle vpon it, and shall take of the bloude of the bullock, and of the bloude of the goate, and put it vpon the hornes of the altare rounde aboute,
Lev.16.19	and sprynckle of the bloude vpon it with his fynger seuen tymes, and clense it, and halowe it from the vnclennesses of the chyldren of Israel.
Lev.16.20	And when he hath made an ende of reconcylinge the holy place, and the tabernacle of wytnesse, and the alter, he shall brynge the lyue goate:
Lev.16.21	and Aaron shall put both hys handes vpon the heed of the lyue goate, and confesse ouer hym all the mysdeades of the chyldren of Israell, and all their trespaces, in all their synnes: puttynge them vpon the heed of the goate, and sende hym awaye (by the hande of a conuenient man) into the wyldernesse.
Lev.16.22	And the goate shall bere vpon hym all theyr mysdeades vnto the wyldernesse, and he shall let the goate goo fre into the wyldernesse.
Lev.16.23	And Aaron shall come into the Tabernacle of wytnesse, and put of the lynen clothes whych he put on (when he went in into the holy place) and leaue them there.
Lev.16.24	And lett hym wasshe hys fleshe with water in the holy place, and put on hys owne rayment, and then come out, and offer hys burntoffrynge and the burntoffrynge of the people, and make an attonement for hym selfe and for the people,
Lev.16.25	and the fatt of the synofferynge shall he burne vpon the alter.
Lev.16.26	And he that caryed forth the goate to Azazell, shall wasshe hys clothes, and bathe hys fleshe in water, and then come into the hoste.
Lev.16.27	And the bullock whych is for synne, and the goate that is for synne, (whose bloude was brought in, to clense the holy place) shall one carye out wythout the hoste to be burnt in the fyre, wyth theyr skynnes, their fleshe Ꟶ their donge.
Lev.16.28	And he that burneth them, shall wasshe hys clothes, and bathe hys fleshe in water, and then come into the hooste.
Lev.16.29	And thys shalbe an ordinaunce for euer vnto you: that in the tenth daye of the seuenth moneth, ye humble youre soules, and do no worke at all: whether it be one of youre selues or a straunger that soiourneth amonge you,
Lev.16.30	for that daye shall the prest make an attonement for you to clense you, and that ye maye be cleane from all youre synnes before the Lorde.
Lev.16.31	Let it be a Sabboth of rest vnto you, and ye shall humble youre soules, by an ordinaunce for euer.
Lev.16.32	And the Preaste that is anoynted, and whose hande was consecrated (to mynistre in hys fathers steade) shall make the attonement, and shall put on the lynen clothes Ꟶ holy vestimentes,
Lev.16.33	and reconcyle the holy sanctuary and the Tabernacle of wytnesse, and shall clense the alter, and make an attonement then for the preastes and for all the people of the congregacyon.
Lev.16.34	And this shalbe an euerlastynge ordinaunce vnto you, that he make an attonement for the chyldren of Israel for all their synnes once a yere: Ꟶ he dyd as the Lorde commaunded Moses.
Lev.17.1	And the Lorde spake vnto Moses, sayinge:
Lev.17.2	speake vnto Aaron Ꟶ vnto hys sonnes and vnto all the chyldren of Israel and saye vnto them: Thys is the thynge which the Lord hath charged, sayinge:
Lev.17.3	what man soeuer of the house of Israel kylleth an oxe, or lambe or goate in the hoste, or that kylleth it out of the hoste,
Lev.17.4	and bryngeth it not vnto the dore of the tabernacle of wytnesse, to offer an offerynge vnto the Lorde before the dwellynge place of the Lorde, bloude shalbe imputed vnto that man, as though he had shed bloude, and that man shall be roted out from amonge his people.
Lev.17.5	Wherfore whan the chyldren of Israel brynge their offeringes, that they offer in the wyde felde, they shulde brynge them vnto the Lorde: euen vnto the doore of the tabernacle of wytnesse to the preaste, to offer them for peace offerynges vnto the Lord.
Lev.17.6	And the preaste must sprynkle the bloude vpon the alter of the Lorde whych is before the dore of the tabernacle of wytnesse, and burne the fatt for a swete sauoure vnto the Lorde.
Lev.17.7	And lett them no moare offer their offeringes vnto deuyls, after whom they haue gone a whorynge. Thys shalbe an ordynaunce for euer vnto them in their generacyons.
Lev.17.8	And thou shalt saye vnto them: whatsoeuer man it be of the house of Israel or of the straungers whych soiourne amonge you that offereth a burntofferynge or sacrifyce,
Lev.17.9	Ꟶ bryngeth it not vnto the dore of the tabernacle of wytnesse to offer it vnto the Lorde, that man shall peryshe from amonge hys people:
Lev.17.10	And whatsoeuer man it be of the house of Israel or of the straungers that soiourne amonge you, that eateth any maner of bloude, I will sett my face agaynst that soule that eateth bloude, and will destroye hym from amonge hys people:
Lev.17.11	for the lyfe of the fleshe is in the bloude, and I haue geuen it vnto you vpon the alter,
Lev.17.12	to make an attonement for youre soules, for bloude shall make an attonement for the soule. And therfore I sayde vnto the chyldren of Israel: let no soule of you eate bloude. Neyther let any straunger that soiourneth amonge you, eate bloude.
Lev.17.13	And whatsoeuer man it be of the chyldren of Israel or of the straungers that soiourne amonge you, whych hunteth and catcheth any beest or foule that maye be eaten, let him powre out the bloude therof, Ꟶ couer it wyth erthe,
Lev.17.14	for the lyfe of all fleshe is in the bloude of it, therfore I sayde vnto the chyldren of Israel ye shall eate the bloude of no maner of fleshe, for the lyfe of all fleshe is the bloude therof: whosoeuer eateth it, shall peryshe.
Lev.17.15	And euery soule that eateth it whych dyed alone, or that which was torne wyth wylde beastes: whether it be one of youre selues or a straunger, he shall wasshe hys clothes, and bathe hym selfe in water, and be vncleane vnto the euen, and then shall he be cleane.
Lev.17.16	Yf he wasshe them not, nor bathe hys flesshe, he shall beare hys synne.
Lev.18.1	And the Lorde spake vnto Moses, sayinge:
Lev.18.2	speake vnto the chyldren of Israel, and saye vnto them: I am the Lorde youre God.
Lev.18.3	After the doynges of the lande of Egypte wherin ye dwelt, shall ye not doo: and after the doynges of the lande of Canaan, whether I wyll brynge you, shall ye not doo, nether walke in their ordinaunces,
Lev.18.4	but do after my iudgementes, and kepe my ceremonyes, to walke therin: I am the Lorde youre God:
Lev.18.5	Ye shall kepe therfore myne ordinaunces, Ꟶ my iudgementes whiche yf a man doo, he shall lyue in them. I am the Lorde.
Lev.18.6	Se that none go to his nyghest kynred, for to vncouer their secrettes. I am the Lorde.
Lev.18.7	The secrettes of thy father, and the secrettes of thy mother, shalt thou not vncouer: for she is thy mother, therfore shalt thou not discouer her secrettes.
Lev.18.8	The secrettes of thy fathers wyfe shalt thou not discouer, for it is thy fathers secrettes.
Lev.18.9	Thou shalt not discouer the preuite of thy syster, the daughter of thy father or of thy mother: whether she be borne at home or without.
Lev.18.10	Thou shalt not vncouer the secrettes of thy sonnes daughter or thy daughters daughter, for that is thyne awne preuyte.
Lev.18.11	Thou shalt not vncouer the secrettes of thy fathers wyues daughter, which was begotten of thy father, and is thy syster: thou shalt not discouer her secrettes.
Lev.18.12	Thou shalt not vncouer the secrettes of thy fathers syster, for she is thy fathers nexte kynswoman.
Lev.18.13	Thou shalt not discouer the secrettes of thy mothers syster, for she is thy mothers nexte kynswoman.
Lev.18.14	Thou shalt not vncouer the secrettes of thy fathers brother: that is, thou shalt not go into hys wyfe, which is thyne awnte.
Lev.18.15	Thou shalt not discouer the secrettes of thy daughter in lawe: For she is thy sonnes wyfe: therfore shalt thou not vncouer her secrettes.
Lev.18.16	Thou shalt not vnheale the secrettes of thy brothers wyfe, for that is thy brothers preuitie.
Lev.18.17	Thou shalt not discouer the preuyties of the wyfe and her daughter, nether shalt thou take her sonnes daughter or her daughters daughter, to vncouer their secrettes: For they are her nexte kyn, and it were wykidnesse.
Lev.18.18	Thou shalt not take a wyfe and her syster also, to vexe her, that thou woldest vncouer her secrettes, as longe as she lyueth.
Lev.18.19	Thou shalt also not go vnto a woman to vncouer her preuytie, as longe as she is put a parte for her vnclennesse.
Lev.18.20	Moreouer thou shalt not lye with thy neyghbours wyfe, to defyle her wt sede.
Lev.18.21	Thou shalt also not geue of thy seed to offer it vnto Moloch: neyther shalt thou defyle the name of thy God. I am the Lorde.
Lev.18.22	Thou shalt not lye wyth mankynde as wt womankynde, for it is abominacyon.
Lev.18.23	Thou shalt lye wyth no maner of beaste to defyle thy selfe therwith, nether shall any woman stonde before a beast, to lye doune therto, for it is abhominacyon.
Lev.18.24	Ye shall not defyle youre selues in any of these thynges, wherin all the nacyons are defyled whyche I cast out before you:
Lev.18.25	Wherthorowe the lande is defyled, and I will vysett the wykednesse therof vpon it, yea Ꟶ the lande it selfe hath cast out her inhabiters.
Lev.18.26	Ye shall kepe therfore myne ordinaunces, Ꟶ my iudgementes, and commyt none of these abhominacyons: nether any of you nor any straunger that soiourneth amonge you
Lev.18.27	(for all these abhominacions haue the men of the lande done whyche were there before you, Ꟶ the lande is defyled.)
Lev.18.28	Shall not the lande spewe you out also (yf ye defyle it) as it spewed out the people that were before you?
Lev.18.29	For whosoeuer shall commytt any of these abhominacyons, the same soules that commyt them, shall peryshe from amonge their people.
Lev.18.30	Therfore shall ye kepe my watche, that ye committ not one of these abhominable customes whych were commytted before you: and that ye defyle not youre selues therin. I am the Lorde youre God.
Lev.19.1	And the Lorde spake vnto Moses sayinge:
Lev.19.2	speake vnto all the multitude of the chyldren of Israel, and saye vnto them: Ye shalbe holy, for I the Lorde youre God am holye.
Lev.19.3	Ye shall feare euery man hys father Ꟶ hys mother, and kepe my Sabothes, I am the Lorde youre God.
Lev.19.4	Ye shall not turne vnto ydolles nor make you Goddes of metall: I am the Lorde youre God.
Lev.19.5	Yf ye offre a peace offerynge vnto the Lorde, ye shall offer it that ye maye be accepted.
Lev.19.6	It shalbe eaten the same daye ye offer it Ꟶ on the morowe. And yf ought remayne vntyll the thyrde daye, it shalbe burnt in the fyre.
Lev.19.7	And yf it be eaten the thyrde daye, this vncleane, and not accepted.
Lev.19.8	He that eateth it, shall bere his synne, because he hath defyled the halowed thynge of the Lorde, Ꟶ that soule shall peryshe from amonge his people.
Lev.19.9	When ye reape doune the rype corne of youre lande, ye shall not repe doune the vtmost border of youre felde, nether shalt thou gather that whych is lefte be hynde in thy haruest.
Lev.19.10	Thou shalt not plucke in all thy vyneyarde clene, nether gather in the grapes that are ouerscaped. But thou shalt leaue them for the pore and straunger. I am the Lorde youre God.
Lev.19.11	Ye shall not steale, nether lye, nether deale falsely one with another.
Lev.19.12	Ye shall not swere by my name in vayne: neyther shall thou defyle the name of thy God. I am the Lorde.
Lev.19.13	Thou shall not do thy neyghboure wronge, nether robbe hym violently nether shall the workmans laboure abyde wyth the vntyll the mornynge.
Lev.19.14	Thou shalt not curse the deaffe nether put a stomblynge blocke before the blynde: but shalt feare thy God. I am the Lorde.
Lev.19.15	Ye shall doo no vnryghteousnes in iudgement. Thou shalt not fauoure the poore nor honoure the myghtye, but in ryghteousnes shalt thou iudge thy neyghboure.
Lev.19.16	Thou shalt not goo vp Ꟶ doune as a preuy accuser amonge thy people, nether shalt thou stonde agaynst the bloude of thy neyghboure: I am the Lorde.
Lev.19.17	Thou shalt not hate thy brother in thyne hart, but shalt in any wyse rebuke thy neyghbour: that thou bere not synne for hys sake.
Lev.19.18	Thou shalt not auenge thy selfe nor be myndfull of wronge agaynst the chyldren of my people but shalt loue thy neyghboure euen as thy selfe. I am the Lorde.
Lev.19.19	Ye shall kepe myne ordinaunces. Thou shalt not let catell gendre wyth a contrary kynde, nether sowe thy felde wyth myngled seed, nether shalt thou put on any garment of lynen and wollen.
Lev.19.20	Whosoeuer lyeth and medleth with a woman that is a bondmayde, neuertheles appoynted to a husbande, but not redemed, ner fredome geuen her, she shalbe scourged wyth a lethren whyppe, and they shall not dye, because she was not fre.
Lev.19.21	And he shall brynge for his trespace vnto the Lorde: before the dore of the tabernacle of wytnesse, a ram for a trespace offrynge.
Lev.19.22	And the Preaste shall make an attonement for him wt the ram whych is for the trespace before the Lorde, concernynge his synne which he hath done: Ꟶ the synne which he hath done shalbe forgeuen hym.
Lev.19.23	When ye come to the lande, Ꟶ haue planted all maner of trees conuenient to be eaten of ye shall put a waye the foreskynne of euery one with the frute therof: euen thre yere shall they be vncircumcised vnto you, Ꟶ shall not be eaten of.
Lev.19.24	But in the fourth yere all the frute of them shalbe holy and commendable to the Lorde.
Lev.19.25	In the fyfth yere shall ye eate of the frute of them, and ye maye gether in the increase of them: I am the Lorde youre God.
Lev.19.26	Ye shall not eate vpon bloude, neyther shall ye vse wytchecrafte, nor obserue tymes.
Lev.19.27	Ye shall not rounde the lockes of youre heedes, nether shalt thou marre the tuftes of thy beerde.
Lev.19.28	Ye shall not rent youre fleshe for any soules sake, nor printe any markes vpon you: I am the Lorde.
Lev.19.29	Thou shalt not make thy daughter commen, that thou woldest cause her to be an whoore: lest the lande also fall to whoredome, and be full of wykednesse.
Lev.19.30	Ye shall kepe my sabbathes, and feare my sanctuary: I am the Lorde.
Lev.19.31	Ye shall not regarde them that worke with sprytes, nether seke after sothsayers to be defyled by them, I am the Lorde youre God.
Lev.19.32	Thou shalt ryse vp before the horehed, and reuerence the face of the olde man, and dread thy God. I am the Lorde.
Lev.19.33	If a straunger soiourne with the in youre lande, ye shall not vexe him.
Lev.19.34	But the straunger that dwelleth wyth you, shall be as one of youre selues, and thou shalt loue hym as thy selfe, for ye were straungers in the lande of Egypt. I am the Lorde youre God.
Lev.19.35	Ye shall do no vnryghteousnes in iudgement, in meteyerde, in weyght or in measure.
Lev.19.36	True balaunces, true weyghtes. A true Epha Ꟶ a true Hin shall ye haue. I am the Lorde youre God whych broughte you out of the lande of Egypt.
Lev.19.37	Therfore shall ye obserue all my ordinaunces and all my iudgementes, and do them. I am the Lorde.
Lev.20.1	And the Lorde spake vnto Moses sayinge.
Lev.20.2	Thys shalt thou saye to the chyldren of Israel, whosoeuer he be of the chyldren of Israel or of the straungers that dwell in Israel, that geueth of his seed vnto. Moloch, let him be slayne: the people of the lande shall stone hym.
Lev.20.3	And I wyll sett my face agaynst that man, and wyll destroye hym from amonge his people: because he hath geuen of hys seed vnto Moloch, for to defyle my sanctuary, and to polute my holy name.
Lev.20.4	And though that the people of the lande hyde their eyes from the man that geueth of hys seed vnto Moloch, and kyll hym not:
Lev.20.5	I wyll put my face agaynst that man, and agaynst hys kynred, and wyll destroye hym, and all that goo a whorynge after him to commyt whordome with Moloch, from amonge their people.
Lev.20.6	If a soule turne hym selfe after such as worke wyth spretes, and after sothsayers, to goo a whorynge after them, I wyll put my face agaynst that soule, Ꟶ wyll destroye hym from amonge hys people.
Lev.20.7	Sanctifye youre selues therfore and be holye, for I am the Lorde youre God,
Lev.20.8	kepe ye myne ordinaunces, and doo them. I am the Lorde which doth sanctifye you.
Lev.20.9	Whosoeuer he be, that curseth his father or hys mother, let hym dye: for he hath cursed hys father and mother, hys bloude be vpon him.
Lev.20.10	And the man that breaketh wedlocke with another mans wyfe: euen he that breketh wedlocke wt hys neyghbours wyfe let him be slayne, both the aduoutrer and the aduoutresse.
Lev.20.11	And the man that lyeth with hys fathers wyfe, Ꟶ vncouereth hys fathers secrettes, let them both dye, their bloude be vpon them.
Lev.20.12	If a man lye with his daughter in lawe, let them dye both of them: they haue wrought abhominacion, their bloud be vpon them.
Lev.20.13	If a man also lye wyth mankynde after the maner as wyth woman kynde, they haue both commytted an abhominacyon: let them dye. Their bloude be vpon them.
Lev.20.14	And If a man take a wyfe and her mother also, it is wykednesse. They shall be burnt wyth fyre both he and she, that there be no wykednesse amonge you.
Lev.20.15	And If a man lye wyth a beast, let hym dye, and ye shall slee the beast also.
Lev.20.16	If a woman go vnto any beast, Ꟶ lye downe therto: thou shalt kyll the woman and the beast also, let them dye, their bloude be vpon them.
Lev.20.17	If a man take hys syster, hys fathers daughter or his mothers daughter, and se her secrettes and she his secrettes, it is a shamefull thinge. They shall perysh in the syghte of their people, he hath uncouered hys systers secrettes, he shall beare his synne.
Lev.20.18	If a man lye with a woman hauynge her naturall dysease, and vncouer her secrettes, Ꟶ open her fountayne, and she also open the fountayne of her bloude they shall both peryshe from amonge theyr people.
Lev.20.19	Thou shalt not vncouer the secrettes of thy mothers syster nor of thy fathers syster, for he that doth so, hath vncouered hys nexte kyn: they shall beare theyr mysdoynge.
Lev.20.20	If a man lye with hys vncles wyfe, and vncouer his vncles secrettes: they shall beare their synne, and shall dye chyldlesse.
Lev.20.21	If a man take his brothers wyfe, it is an vncleane thynge, he hath vncouered his brothers secrettes, they shalbe chyldlesse.
Lev.20.22	Ye shall kepe therfore all myne ordinaunces and all my iudgementes, and doo them: that the lande whether I brynge you to dwell therin, spewe you not out.
Lev.20.23	Ye shall not walke in the maners of thys nacyon whyche I cast oute before you: For they comytted all these thynges, Ꟶ therfore I abhorred them.
Lev.20.24	But I haue sayde vnto you: ye shall enioye their lande, and I will geue it vnto you to possesse it, euen a lande that floweth with mylke Ꟶ honye. I am the Lorde youre God, whyche haue separated you from other nacyons,
Lev.20.25	and therfore shall ye put difference betwene cleane beastes Ꟶ vncleane, betwene vncleane foules and cleane. Ye shall not defyle youre soules in beastes and foules, and in all maner crepynge thynges that the grounde bryngeth furth, whych I haue separated from you as vncleane.
Lev.20.26	Therfore shall ye be holy vnto me, for I the Lorde am holy, and haue seuered you from other nacyons: that ye shulde be myne.
Lev.20.27	If there be a man or woman that worketh wyth a spryte, or that is a sothsayer, let them dye. Men shall stone them wyth stones, their bloude be vpon them.
Lev.21.1	And the Lorde sayde vnto Moses: speake vnto the Preastes the sonnes of Aaron, and saye vnto them. Let none be defyled vpon a soule amonge hys people,
Lev.21.2	but vpon hys kynsman, that is nye vnto hym: vpon his father, Ꟶ his mother, vpon sonne and daughter, and his brother,
Lev.21.3	and on his syster a mayde that is nye vnto him, whom no man hath knowen: vpon her shall he be defyled.
Lev.21.4	But he shall not be defyled vpon him that hath auctoryte amonge hys people, to polute him selfe for him.
Lev.21.5	Let them not make baldnesse vpon their heed, nor shaue of the lockes of their bearde, nor make any markes in their fleshe.
Lev.21.6	They shalbe holy vnto their God, and not polute the name of their God, for the sacrifyces of the Lorde which are as the bread of their God they do offer: therfore they shall be holy.
Lev.21.7	Let them not take a wyfe that is an aduoutresse, or polluted, nor put from her husbande: for suche a one is holy vnto his God.
Lev.21.8	Thou shalt sanctifye hym therfore, for he offereth vp the bread of thy God: he shall therfore be holy vnto the, for I the Lorde whyche sanctifye you am holy.
Lev.21.9	If a Preastes daughter fall to playe the whore, she poluteth her father: therfore must she be burnt with fyre.
