Job.0.0	¶ The boke of Iob.
Job.26.7	He stretcheth out the north ouer the emptie, and hangeth the earth vpon nothing.
Job.26.8	He byndeth the waters in his cloudes, and the cloude is not broken vnder them.
Job.26.9	He holdeth back his stole, that it cannot be sene, and spredeth his cloude before it.
Job.26.10	He hath compased the waters with certayne boundes vntill the daye Ꟶ nyght come to an ende.
Job.26.11	The very pyllers of heauen tremble and quake at his reprofe.
Job.26.12	He stilleth the se with his power, and thorow his wysdome smyteth he the strength therof.
Job.26.13	Hys sprete hath garnisshed the heauens, and hys hande hath made the rebellious serpent.
Job.26.14	Lo, this is nowe a shorte summe of his wayes. But who is able sufficiently to rehearse hys workes? Who can perceaue and vnderstande the thondre of hys power?
Job.27.1	And Iob proceaded Ꟶ went forth in hys communicacyon, sayeng:
Job.27.2	As truly as God lyueth (which hath taken awaye my iudgement) and the Almightie, that hath vexed my mynde:
Job.27.3	My lyppes shal talke of no vanyte, and my tonge shall speake no dysceate,
Job.27.4	whyle my breth is in me, and as longe as the wynde (that God hath geuen me) is in my nostrels.
Job.27.5	God forbid, that I shulde graunte youre cause to be ryght. As for me, vntyil myne ende come wyll I neuer goo fro myne innocency.
Job.27.6	My ryghtwes dealynge kepe I fast, which I wyll not forsake: my hert shall not reproue me of my dayes.
Job.27.7	Therfore, myne enemy shalbe founde as the vngodly, and he that taketh parte agaynst me, as the vnryghteous.
Job.27.8	For what hope hath the ypocryte though he haue greate good, and though God geue him riches after his hertes desyre?
Job.27.9	Doth God heare him the soner, when he crieth vnto him in hys necessite?
Job.27.10	Hath he soch pleasure and delyte in the Almightye, that he darre alwaye call vpon God?
Job.27.11	I wyll teach you in the name of God, and the thinge that I haue of the Almyghtie, will I not kepe from you,
Job.27.12	Beholde, ye stande in youre awne conceate, as though ye knewe all thynges. Wherfore then do ye go aboute with soch vayne wordes,
Job.27.13	sayenge. This is the porcion that the wycked shall haue of God, and the heretage that Tyrauntes shall receaue of the Almyghtie.
Job.27.14	If he get many children, they shall perish with the swerde, and his posterite shall haue scarcenesse of bred.
Job.27.15	Loke whom he leaueth behinde him, they shall dye and be buried, and no man shall haue pitye of hys wyddowes.
Job.27.16	Though he haue as moch money as the dust of the earth, and rayment as ready as the claye,
Job.27.17	he maye well prepare it: but the godly shall put it vpon hym, and the innocent shall deale out the money.
Job.27.18	His house shall endure as the moth, and as a boothe that the watch man maketh.
Job.27.19	When the ryche man dyeth, he carieth nothynge with him: he is gone in the twyncklinge of an eye and hath nothynge.
Job.27.20	Destruccion taketh holde vpon him as a water floude, Ꟶ the tempest stealeth him awaye in the nyght season.
Job.27.21	A vehement east winde caryeth hym hence, and departeth, a storme plucketh hym oute of his place.
Job.27.22	It russheth in vpon him, and spareth hym not, he maye not escape from the power therof.
Job.27.23	Then clappe men their handes at him, yee, Ꟶ ieast of hym when they loke vpon his place.
Job.28.1	There is a place where siluer is brought out of, and where golde is tried
Job.28.2	where yron is dygged out of the ground, and stones resolued to metall.
Job.28.3	The darckenes shall once come to an ende, he can seke out the grounde of all thinges: the stones, the darcke, and the shadow of death.
Job.28.4	With the ryuer of water parteth he asunder the straunge people, that knowe no good neyghbour head: soch as are rude, vnmanerly and boyustours.
Job.28.5	He bringeth foode out of the erth, and that which is vnder, consumeth he with fyre.
Job.28.6	There is founde a place, whose stones are cleane Saphirs, and where the clottes of the earth are golde.
Job.28.7	There is a waye also that the byrdes knowe not, that no vulturs eye hath sene:
Job.28.8	wherin the lions whelpes walke not, and where no lion commeth.
Job.28.9	There putteth he his hande vpon the stony rockes, and ouerthroweth the mountaines.
Job.28.10	Riuers flowe out of the rockes, and loke what is pleasaunt, his eye seyth it.
Job.28.11	Out of droppes bringeth he greate floudes together, and the thinge that is hyd bringeth he to light.
Job.28.12	How commeth a man then by wysdome? Where is the place that men fynde vnderstanding?
Job.28.13	Uerely no man can tell how worthy a thinge she is, nether she is founde in the lande of them that lyue.
Job.28.14	The depe saieth: she is not with me. The see saieth: she is not with me
Job.28.15	She can not be gottten for golde, nether maye the pryce of her be bought with eny syluer.
Job.28.16	No wedges of golde of Ophir, no precions Onix stones, no Saphirs maye be compared vnto her.
Job.28.17	No, nether golde ner Christall, nether swete odours ner golden plate.
Job.28.18	There is nothinge so worthy, or so excellent, as once to be named vnto her: for perfecte wysdome goeth farre beyonde them all,
Job.28.19	The Topas that commeth out of Inde, maye in no wyse be likened vnto her: yee, no maner of apparell howe pleasaunt and fayre soeuer it be.
Job.28.20	From whence then commeth wisdome? and where is the place of vnderstandinge?
Job.28.21	She is hid from the eyes of all men liuinge, yee, and from the foules of the ayre.
Job.28.22	Destruccion and death saye: we haue herde tell of her with oure eares.
Job.28.23	But God seeth her waye, and knoweth her place.
Job.28.24	For he beholdeth the endes of the world, and loketh vpon all that is vnder heauen.
Job.28.25	When he weyed the wyndes, and measured the waters:
Job.28.26	when he set the rayne in ordre, and gaue the myghtye floudes a lawe:
Job.28.27	Then dyd he se her, then declared he her, prepared her and knewe her.
Job.28.28	And vnto man he sayde: Beholde, to feare the Lorde, is wysdome: and to for sake euell. is vnderstandinge.
Job.29.1	So Iob proceaded and went forth in his communicacyon, sayenge.
Job.29.2	O that I were as I was in the monethes by past, and in the dayes when God preserued me:
Job.29.3	when his light shyned vpon my head: when I wente after the same lyght and shynynge, euen thorowe the darcknesse.
Job.29.4	As it stode with me when I was yonge: when God prospered my house:
Job.29.5	when the Almyghtie was yet with me: when my chyldren stode aboute me:
Job.29.6	when my wayes ranne ouer with butter, and when the stony rockes gaue me ryuers of oyle:
Job.29.7	when I wente thorowe the cytie vnto the gate, and when they set me a chayre in the strete:
Job.29.8	when the yonge men (as soone as they sawe me) hid them selues, and when the aged arose, and stode vp vnto me,
Job.29.9	when the Princes left of their talkinge, and layed their hande to their mouth:
Job.29.10	when the myghty kepte still their voyce, and when their tonge cleued to the rofe of their mouthe.
Job.29.11	When all they that herde me, called me happye: and when all they that sawe me, spake good of me.
Job.29.12	For I deliuered the poore when he cried, and so did I the fatherlesse and him that had none to holde him.
Job.29.13	He that shulde haue bene lost, gaue me a good worde, and the wyddowes herte praysed me.
Job.29.14	And why? I put vpon me ryghteousnes, which couered me as a garment, and equyte was my crowne.
Job.29.15	I was an eye vnto the blynde, and a fote to the lame,
Job.29.16	I was a father vnto the poore: and when I knewe not the cause, I sought it out diligently.
Job.29.17	I brake the chawes of the vnrighteous man, and pluckte the spoyle out of his teth.
Job.29.18	Therfore, I thought verely that I shuld haue dyed in my nest: and that my dayes shulde haue bene as many as the sondes of the see.
Job.29.19	For my roote was spred out by the watersyde, and the dewe laye vpon my corne.
Job.29.20	Myne honour encreased more and more, and my bowe was euer the stronger in my hand.
Job.29.21	Unto me men gaue eare, me they regarded, and with sylence they taryed for my councell.
Job.29.22	If I had spoken, they wolde haue it none other wayes, my wordes were so well taken amonge them.
Job.29.23	They wayted for me as for the rayne: and gaped vpon me, as the grounde doth to receaue the latter shower.
Job.29.24	When I laughed, they knewe well it was not earnest: and the lyght of my countenaunce wolde they not put out.
Job.29.25	When I agreed vnto theyr waye, I was the chefe, and sat as a kynge with hys armye aboute hym. And whan they were in heuynes, I was theyr comfortoure.
Job.30.1	But now they that are younger then I, haue me in derysion: yee, euen they, whose fathers I wolde haue thought scorne to haue set with the dogges of my catell.
Job.30.2	The power Ꟶ strength of their handes might do me no good: for the tyme is but lost among them.
Job.30.3	For very misery and honger, they fled in to the wyldernesse horrible Ꟶ waist,
Job.30.4	pluckynge vp nettels amonge the busshes, and the Iuniper rotes for their meate.
Job.30.5	And when they were dryuen forth, men cryed after them, as it had bene after a thefe.
Job.30.6	Their dwelling was besyde foule brokes, yee, in the caues and dennes of the earth.
Job.30.7	Amonge the busshes wente they aboute crying, and vnder the thornes they gathered them selues together.
Job.30.8	They were the chyldren of fooles and vylaines, which are vexed out of the worlde.
Job.30.9	Now am I their songe, and am become their ieastinge stock:
Job.30.10	they abhorre me, and flye farre fro me, and stayne my face with spetle.
Job.30.11	For the Lord hath loosed the strength of my body, and brought me lowe. The brydle haue they cast out of my syght.
Job.30.12	Upon my right hande ryse the yonge men agaynst me, they haue hurte my fete, treadinge vpon me, as vpon the wayes that they wolde destroye.
Job.30.13	My pathes haue they clene marred. It was so easy for them to do me harme, that they neded no man to helpe them.
Job.30.14	They fell vpon me, as it had bene the breakinge in of waters, and came in by heapes to destroye me.
Job.30.15	Fearfulnesse is turned agaynst me. Myne honoure vanisshed awaye more swyftly then the wynde, and my prosperite departeth hence, lyke as it were a cloude.
Job.30.16	Therfore is my mynde powred full of heuynesse, and the dayes of my trouble haue taken holde vpon me.
Job.30.17	My bones are pearsed thorow, in the night season, and my synewes take no rest.
Job.30.18	For the vehemencie of sorow is my garment chaunged: and according to the diuersite of heuynes am I gyrded with my coate.
Job.30.19	He hath cast me into the mire, and I am become like asshes and dust.
Job.30.20	When I crye vnto the, thou doest not heare me, Ꟶ though I stande before the, yet thou regardest me not.
Job.30.21	Thou art become myne enemye, and with thy violent hande thou takest part agaynst me.
Job.30.22	In tymes past thou didest set me vp on hie, as it were aboue the wynde, but now hast thou geuen me a very sore fall,
Job.30.23	Sure I am, that thou wilt deliuer me vnto death euen to the lodginge that is due vnto all men liuinge.
Job.30.24	Now vse not men to do violence vnto them, that are destroied allready: but where hurte is done, there vse they to helpe.
Job.30.25	Did not I wepe with him that was in trouble? Had not my soule compassion vpon the poore?
Job.30.26	Yet neuerthelesse, where as I loked for good, euell happened vnto me: and where as I wayted for light, there came darcknesse
Job.30.27	My bowles sethe within me, Ꟶ take no rest, for the dayes of my trouble are come vpon me.
Job.30.28	Mekely and lowly came I in, yee, and without any displeasure: I stode vp in the congregacion, and communed with them.
Job.30.29	But now, I am a companion of dragons, and a felowe of Estriches.
Job.30.30	My skynne vpon me is turned to black, and my bones are brent with heate:
Job.30.31	my harpe is turned to sorowe, and my pype to wepynge.
Job.31.1	I Made a couenaunt wt myne eyes that I wolde not loke vpon a damsell.
Job.31.2	For how great a porcion shall I haue of God? Ꟶ what enheritaunce from the almightie on hie?
Job.31.3	As for the vngodly and he that ioyneth him selfe to the company of wycked doers, shall not destruccion and misery come vpon him?
Job.31.4	Doth not he se my wayes, and tell all my goinges?
Job.31.5	If I haue walked in vanite, or yf my fete haue runne to disceaue:
Job.31.6	let me be weyed in an euen balaunce, that God may se my innocency.
Job.31.7	If so be that I haue withdrawne my fote out of the right waye, and yf my hert hath folowed mine eye sight? If I haue stained or defiled my handes?
Job.31.8	then shal I sowe, and another eate, yee, my generacion and posterite shall be cleane roted out.
Job.31.9	If my hert hath lusted after my neghboures wyffe, or yf I haue layde wayte at his dore?
Job.31.10	O then let my wiffe grinde vnto another man and let other men lie with her.
Job.31.11	For this is a wickednesse and synne, that is worthy to be punisshed,
Job.31.12	yee, a fyre that vtterly shulde consume, and rote out all my substaunce.
Job.31.13	Did I euer thinke scorne to do right vnto my seruauntes and maydens, when they had eny mater agaynst me?
Job.31.14	But seinge that God will sytt in iudgment, what shall I do? And for so moch as he will nedes visett me, what answere shall I geue him?
Job.31.15	He that fashioned me in my mothers wombe, made he not him also? were we not both shapena like in oure mothers bodies?
Job.31.16	When the poore desired any thinge at me, haue I denied it them? Haue I caused the widdowe to stande waytinge for me in vayne?
Job.31.17	Haue I eaten my porcion alone, that the fatherlesse hath had no parte with me?
Job.31.18	for mercy grewe vp with me fro my youth, and compassion fro my mothers wombe.
Job.31.19	Haue I sene any man perishe thorow nakednesse and want of clothinge? Or any poore man for lack of rayment,
Job.31.20	whose sydes thancked me not, because he was warmed with the wolle of my shepe?
Job.31.21	Dyd I euer lyfte vp my hande to hurte the fatherlesse? yee, in the gate where I sawe my selfe to be in auctorite:
Job.31.22	then let myne arme fall fro my shulder, and myne arme holes be broken from the ioyntes.
Job.31.23	For I haue euer feared the vengeaunce and punyshement of God, and knewe very well, that I was not able to beare hys burthen.
Job.31.24	Haue I put my trust in golde? Or haue I sayde to the fynest golde of all: thou arte my confidence?
Job.31.25	Haue I reioysed because my power was great, and because my hande gat so moche?
Job.31.26	Dyd I euer greatly regarde the rysynge of the sonne? or had I the goinge downe of the moone in greate reputacyon?
Job.31.27	Hath my hert medled priuely with any disceate? Or, dyd I euer kysse myne awne hande?
Job.31.28	that were a wyckednesse worthy to be punished, for then shulde I haue denyed the God that is aboue.
Job.31.29	Haue I euer reioysed at the hurte of myne enemy? Or was I euer glad, that any harme happened vnto him? Oh no.
Job.31.30	I neuer suffred my mouth to do soch a synne, as to wish him euell.
Job.31.31	Dyd not the men of myne awne houshold saye: who shall let vs to haue oure belly full of his fleshe?
Job.31.32	I haue not suffred a straunger to lye without, but I opened my dores vnto him, that went by the waye.
Job.31.33	Haue I kepte secrete my synne and hyd myne iniquite, as Adam dyd?
Job.31.34	Haue I feared any great multitude of people: or yf I had bene dispysed of the symple, O then shulde I haue bene afrayed. Thus haue I quyetly spent my lyfe, and not gone out at the dore.
Job.31.35	O that I had one which wolde heare me. Lo, this is my cause. In the which the almyghty shall answere for me: though he that is my contrary party, hath written a boke agaynst me.
Job.31.36	Yet wyll I take him vpon my shulder, and as a garlande about my head.
Job.31.37	I wyll tell him, the nomber of my goinges, and go vnto him as to a Prince.
Job.31.38	But yf case be that my lande crye agaynst me, or that the forowes therof make any complaynte:
Job.31.39	yf I haue eaten the frutes therof vnpayed for, yee yf I haue greued any of the plowmen:
Job.31.40	then let thystles growe in steade of my wheate, Ꟶ cockle for my barleye. Here ende the wordes of Iob:
Job.32.1	So these thre men wolde stryue no more with Iob, because he helde hym selfe a ryghteous man.
Job.32.2	But Elihu the sonne of Barachell the Bussyte of the kynred of Ram, was very sore displeased at Iob, because he called hym selfe iust before God.
Job.32.3	And with Iobs thre frendes he was angry also, because they had founde no reasonable answere to ouercome Iob.
Job.32.4	Now taried Elihu, tyll they had ended theyr communicacion with Iob, for why, they were elder then he.
Job.32.5	So when Elihu the sonne of Barachel the Bussyte sawe, that these thre men were not able to make Iob answere, he was myscontent:
Job.32.6	Elihu the sonne of Barachel the Bussite answered hym selfe, and sayde: Considringe, that I am younge, and ye be men of age, I was afrayed, and durst not shew forth my mynde,
Job.32.7	For I thought thus within my selfe. It becommeth olde men to speake, and the aged to teach wysdome.
Job.32.8	Euery man (no doute) hath a mynde, but it is the inspiracion of the Almyghty that geueth vnderstandinge.
Job.32.9	Great men are not all waye wyse, nether doth euery aged man vnderstande the thynge that is lawfull.
Job.32.10	Therfore will I speake also (heare me) and I wyll shew you also myne vnderstandinge.
Job.32.11	For when I had wayted tyll ye made an ende of youre talkynge, and hearde youre wysdome, what argumentes ye made in youre communicacyon:
Job.32.12	yee, when I had diligently pondred what ye sayde, I founde not one of you that made any good argument agaynst Iob, that directly coulde make answere vnto his wordes:
Job.32.13	lest ye shulde saye. We haue founde out wysdome: God shall cast hym downe, and no man.
Job.32.14	He hath not spoken vnto me, and I wyll not answere hym as ye haue done
Job.32.15	(for they were so abasshed, that they coulde not make answere, nor speake one worde)
Job.32.16	but in so moche as ye wyll not speake, standynge styll lyke domme men, and makynge no answere:
Job.32.17	I haue a good hope for my parte to shape hym an answere, and to shewe him my meanynge:
Job.32.18	For I am full of wordes, and the sprete that is within me, compelleth me.
Job.32.19	Beholde, my belly is as the wyne, which hath no vente, and bursteth the new vessels in sunder.
Job.32.20	Therfore will I speake that I may haue a vente: I will open my lyppes, Ꟶ make answere.
Job.32.21	I will regarde no maner of personne, no man will I spare.
Job.32.22	For yf I wold go aboute to please men, I knowe not howe sone my maker wolde take me awaye:
Job.33.1	Wherfore, heare my wordes (O Iob) and herken vnto me all that I will saye:
Job.33.2	Beholde, I haue now opened my mouth, my tonge hath spoken in my throte.
Job.33.3	My hert doth ordre my wordes a ryght, and my lyppes talke of pure wysdome.
Job.33.4	The spryte of God hath made me, and the breth of the Almyghtye hath geuen me my lyfe.
Job.33.5	If thou canst, then geue me answere: prepare thy selfe to stande before me face to face,
Job.33.6	Beholde, before God am I euen as thou, for I am fashyoned and made euen of the same mould.
Job.33.7	Therfore, thou nedest not to be afrayed of me, nether nedest thou to feare, that my auctoryte shalbe to heuy for the.
Job.33.8	Now hast thou spoken in myne eares, and I haue herde the voyce of thy wordes:
Job.33.9	I am cleane wythout any faute, I am innocent, and there is no wyckednes in me.
Job.33.10	But lo, he hath picked a quarell agaynst me, and taketh me for hys enemy:
Job.33.11	he hath put my fote in the stockes, and loketh narowly vnto all my pathes.
Job.33.12	Beholde, in thys hast thou not done ryght. I wyll make answere vnto the, that God is more then man.
Job.33.13	And why doest thou then stryue agaynst him: for he shall not geue the accomptes of all hys wordes.
Job.33.14	For when God doth once commaunde a thynge, there shulde no man be curyous, to searche whether it be ryght.
Job.33.15	In dreames and visyons of the nyght (when slombring commeth vpon men, that they fall a slepe in their beddes)
Job.33.16	he roundeth them in the eares, he infourmeth them, and sheweth them playnely,
Job.33.17	that it is he, whych withdraweth man from euyll, delyuereth hym from pryde,
Job.33.18	kepeth hym from the graue, and hys lyfe from the swearde.
Job.33.19	He chasteneth hym wyth sycknesse, and bryngeth hym to his bed: he layeth sore punyshement vpon hys bones,
Job.33.20	so that hys lyfe maye awaye wyth no bred, and his soule abhorreth to eat any dayntie meat:
Job.33.21	In so moch that hys body is cleane consumed awaye, and his bones appeare no more.
Job.33.22	Hys lyfe draweth on to the graue, and hys lyfe to death.
Job.33.23	Now, yf there be a messenger (one amonge a thousande) sent for to speake vnto man, and to shewe him the ryght waye:
Job.33.24	then the Lorde is mercyfull vnto hym, and sayeth: He shalbe delyuered, that he fall not downe to the graue, for I am sufficiently reconcyled.
Job.33.25	Than shall hys flesh be as well lykyng as it was afore, and shalbe as it was in hys youth.
Job.33.26	For yf he submytte hym selfe vnto God, he shalbe gracious vnto him, and shewe him his countenaunce ioyfully, Ꟶ rewardeth man for his ryghteousnes.
Job.33.27	Soch a respecte hath he vnto men. Therfore, let a man confesse (and saye) I haue offended: I dyd vnryghteously, and it hath done me no good.
Job.33.28	Yee, he hath delyuered my soule from destruccyon, and my lyfe shall se the lyght.
Job.33.29	Lo, thus worcketh God allwaye with man,
Job.33.30	that he kepeth hys soule from perishing, and letteth hym enioye the lyght of the lyuynge.
Job.33.31	Marcke well (O Iob) and heare me: holde the styll, and I will speake.
Job.33.32	But yf thou hast any thynge to saye, then answere me, and speake, for thy answere pleaseth me.
Job.33.33	If thou hast nothinge, then heare me, and holde thy tonge, so shall I teach the wisdome.
Job.34.1	Elihu proceadynge forth in hys answere, sayd:
Job.34.2	Heare my wordes (O ye wyse men) herken vnto me, ye that haue vnderstandynge.
Job.34.3	For the eare proueth and discerneth the wordes, and the mouth tasteth the meates:
Job.34.4	As for iudgement, let vs seke it out amonge oure selues, that we may knowe what is good.
Job.34.5	And why? Iob hath sayde: I am ryghteous, but God doth me wronge.
Job.34.6	I must neades be a lyer, though my cause me ryght, and violently I am plaged where as I made no faut:
Job.34.7	where is there soch a one as Iob, that drincketh vp scornefulnes lyke water?
Job.34.8	whych goeth in the company of wycked doers, and walketh wyth vngodly men?
Job.34.9	For he hath sayed: Though a man be good, yet is he naught before God.
Job.34.10	Therfore herken vnto me, ye that haue vnderstandynge. Farre be it from God, that he shuld medle wyth wickednesse: and farre be it from the Almyghtye, that he shulde medle wyth vnryghteous dealynge:
Job.34.11	For he shall reward the worckes of man, and cause euery man to fynde accordynge to his wayes.
Job.34.12	For sure it is, that God condemneth no man wrongefully, and the iudgement of the Almyghtye is not vnryghteous.
Job.34.13	Who ruleth the earth in his steade? Or, whom hath he sett to gouerne the whole worlde?
Job.34.14	To whom hath he geuen hys herte, for to drawe hys sprete and breth vnto hym?
Job.34.15	All flesh shall come together vnto naught, and all men shall turne agayne vnto dust.
Job.34.16	If thou now haue vnderstandyng, heare what I saye, and herken to the voyce of my wordes?
Job.34.17	Maye he be a ruler, that loueth no ryght? Or maye he that is a very innocent man, do vngodly?
Job.34.18	Is it reason, that thou shuldest saye to the kynge: Thou art wicked, or, thou art vngodly, and that before the prynces?
Job.34.19	He hath no respecte vnto the personnes, of the lordly, and regardeth not the rych more then the poore. For they be all the worcke of hys handes.
Job.34.20	In the twyncklinge of an eye shall they dye: and at mydnight, when the people and the tyrauntes rage, then shall they perish, and be taken awaye without handes.
Job.34.21	And why? his eyes loke vpon the wayes of man, and he seyth all hys goynges.
Job.34.22	There is no darcknes nor shadowe of death, that can hyde the wycked doers from hym.
Job.34.23	For no man shalbe suffred to go into iudgement wt God.
Job.34.24	Many one: yee innumerable doth he punyshe, Ꟶ setteth other in their steades.
Job.34.25	Therfore shall he declare their worckes, he shall turne the nyght, and they shall be destroyed.
Job.34.26	They that were in the steade of Sears, dealt lyke vngodly men:
Job.34.27	and therfore he punyshed them, because they turned back from hym, and wolde not consyder all hys wayes.
Job.34.28	In so moch that they haue caused the voyce of the poore to come vnto hym, and now he heareth the complaynte of soche as are in trouble.
Job.34.29	If he graunte pardon, who wyll condemne? And yf he hyde awaye hys countenaunce, who shalbe able to se it? whether it be to the people or to any man, thus wyll he do.
Job.34.30	For the vngodlynesse of the people, doth God make an ypocrite to reygne, ouer them.
Job.34.31	For so moch then as I haue begonne to talke of God, I will not hyndre the.
Job.34.32	If I haue gone a mysse, enfourme thou me: yf I haue done wronge, I will leaue of.
Job.34.33	Can he do nothinge without the? For thou hast reproued hys iudgement. Thou also hast thyne awne mynde and not I.
Job.34.34	But speake on what thou knowest. Let men of vnderstonding tell me, and let a wyse man herken vnto me.
Job.34.35	As for Iob, he hath nether spoken to the purpose nor wisely.
Job.34.36	O father, let Iob be well tryed, because he hath answered for wycked men:
Job.34.37	yee, aboue his synne he doth wyckedly: triumpheth amonge vs, and multiplieth hys wordes agaynst God.
Job.35.1	Elihu spake moreouer, Ꟶ sayde:
Job.35.2	Thynkest thou it ryght, that thou sayest: I am ryghtuous before God?
Job.35.3	For thou sayest: What aduauntage will it be vnto the, and what profyt shalt thou haue of my synne.
Job.35.4	Therfore will I geue answere vnto the and to thy companyons wyth the
Job.35.5	loke vnto the heauen, and beholde it: consydre the cloudes, whych are hyer then thou.
Job.35.6	If thou hast synned, what hast thou done against him? If thine offences be many, what hast thou done vnto hym?
Job.35.7	If thou be ryghtuous what geuest thou him? Or what will he receaue of thy hand?
Job.35.8	Of soche an vngodly personne as thou, and of the sonne of man that is ryghtuous as thou pretendest to be:
Job.35.9	there is a greate cry and complaynte made by them that are oppressed wyth vyolence, yee, euery man complayneth vpon the crueltye of tyrauntes.
Job.35.10	For soche a one neuer sayeth: Where is God that made me? Ꟶ that geueth vs occasion to prayse him in the night?
Job.35.11	Whych geueth vs more vnderstandyng then he doth the beastes of the earth, Ꟶ teacheth vs more then he doth the foules of heauen.
Job.35.12	If any soch complayne, no man geueth answere, and that because of the wyckednesse of proude tyrauntes.
Job.35.13	But yf a man call vpon God, doth not he heare him? Doth not the almyghtye accepte his crye?
Job.35.14	Whan thou speakest then, shulde not he pardon the, yf thou open thy selfe before hym, and put thy trust in hym?
Job.35.15	Then vseth he no vyolence in hys wrath, nether hath he pleasure in curyous Ꟶ depe inquysycions.
Job.35.16	Therfore doth Iob open hys mouth but in vayne, and folyshly doth he make so many wordes.
Job.36.1	Elihu proceaded forth in hys talkyng, and sayd:
Job.36.2	Holde the styll a lytle, Ꟶ I shall shewe the, what I haue yet to speake on Goddes behalfe.
Job.36.3	I wyll open vnto the yet more of myne vnderstandynge, Ꟶ proue my mater ryghteous.
Job.36.4	And truly, my wordes shall not be vayne, seynge he is with the that is perfect in knowlege:
Job.36.5	behold, the greate God casteth awaye no man, for he him selfe is myghty in power and wysdome.
Job.36.6	As for the vngodly, he shall not preserue hym, but shall helpe the poore to their ryght.
Job.36.7	He shall turne hys eyes awaye from the ryghteous, but as kynges shall they be in theyr trone, he shall stablysh them for euer, Ꟶ they shalbe exalted.
Job.36.8	But yf they be layed in preson and cheynes, or bounde with the bondes of trouble,
Job.36.9	then wyll he shewe them theyr worcke, and the synnes wher with they haue vsed cruell vyolence.
Job.36.10	He wyth punysshynge and nurtringe of them, roundeth them in the eares, warneth them to leaue of from theyr wyckednesse, Ꟶ to amende.
Job.36.11	If they now wyll take hede and serue him, they shall were out theyr dayes in prosperite, and theyr yeares in pleasure and ioye.
Job.36.12	But yf they wyll not herken, they shall go thorow the swearde, and perysh or euer they be aware.
Job.36.13	As for soch as be fayned ypocrites, they shall heape vp wrath for them selues: for they call not vpon hym, though they be hys presoners.
Job.36.14	Thus shall theyr soule perysshe in folyshnesse, Ꟶ theyr lyfe shalbe condemned among the fornicatours.
Job.36.15	The poore shall he delyuer out of his affliction, Ꟶ rounde them in the eare whan they be in trouble.
Job.36.16	Euen so shall he kepe the (yf thou wylt be content) from the bottomlesse pytte that is beneth: Ꟶ yf thou wylt holde the quyete, he shall fyll thy table wyth plenteousnesse.
Job.36.17	Neuerthelesse, thou hast condemned the iudgement of the vngodly, yee, euen soche a iudgement and sentence shalt thou suffre.
Job.36.18	For then shall not thy cause be stylled wyth crueltye, nor pacyfyed wyth many gyftes.
Job.36.19	Thynkest thou, that he wyll regarde thy riches? he shall not care for golde, ner for all them that excell in strength.
Job.36.20	Prolonge not thou the tyme, tyll ther come a nyght for the, to set other people in thy steade.
Job.36.21	But bewarre that thou turne not asyde to wyckednesse and synne, which hither to thou hast chosen more then mekenesse.
Job.36.22	Behold, God is of a mighttye hye power: Where is there soche a gyde Ꟶ lawe geuer as he?
Job.36.23	Who wyll reproue hym of hys waye? who wyll saye vnto him: thou hast done wrong?
Job.36.24	O consydre how greate and excellent hys worckes be, whom all men loue and prayse:
Job.36.25	yee, wondre at hym, and yet they se hym but afarre of.
Job.36.26	Beholde, so greate is God, that he passeth oure knowledge, nether are we able to come to the experience of hys yeares.
Job.36.27	He turneth the water to small droppes, he dryueth hys cloudes together for to rayne,
Job.36.28	so that they poure downe and droppe vpon men.
Job.36.29	He can sprede out the cloudes (a couerynge of hys tabernacle)
Job.36.30	and cause hys lyght to shyne vpon them, and to couer the botome of the see.
Job.36.31	By these thinges gouerneth he hys people, and geueth them aboundaunce of meate.
Job.36.32	Wyth the cloudes he hydeth the lyght, and at hys commaundement it commeth agayne.
Job.36.33	The rysyng vp therof sheweth he to hys frendes Ꟶ to the catell.
Job.37.1	At this, my hert is astonnied, and moued out of hys place.
Job.37.2	Heare then the sounde of hys voyce, and the noyse that goeth out of his mouth.
Job.37.3	He gouerneth euery thyng vnder the heauen, and his lyght reacheth vnto the ende of the worlde.
Job.37.4	A roaring voyce foloweth hym: for his glorious maiesty geueth soche a thondre clappe, that (though a man heare it) yet maye he not perceaue it afterwarde. It geueth an horryble sownde,
Job.37.5	when God sendeth oute hys voyce: greate thynges doth he, whych we can not comprehende.
Job.37.6	When he commaundeth the snowe, it falleth vpon the erth: As soone as he geueth the rayne a charge, immediatly the showers haue theyr strength, and fall downe.
Job.37.7	He sendeth feare vpon euery man, that they myght knowe their awne worckes.
Job.37.8	The beestes crepe into theyr dennes, and take theyr rest.
Job.37.9	Out of the south commeth the tempest, and colde out of the north.
Job.37.10	At the breth of God, the frost commeth, and the waters are shed abrode.
Job.37.11	He maketh the cloudes to do theyr labour in geuynge moystnesse, Ꟶ agayne wyth his lyght he dryueth awaye the cloude.
Job.37.12	He distrybuteth also on euery syde, accordynge as it pleaseth hym to deale out hys worckes, that they maye do whatsoeuer he commaundeth them thorow the whole worlde:
Job.37.13	whether it be to punysh any lande, or to doo good vnto them, that seke hym.
Job.37.14	Herken vnto thys (O Iob) stande styll, Ꟶ consydre the wondrous worckes of God.
Job.37.15	Art thou of councell wyth God, when he doth these thinges? When he causeth the lyght to come forth of hys cloudes?
Job.37.16	Art thou of hys councell when he spredeth out the cloudes? Hast thou the perfecte knowledge of hys wonders?
Job.37.17	Ꟶ how thy clothes are warme, when the lande is styll thorow the South wynde?
