Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.27.7	Thy sayle was of dyuers colours, small nedle worke out of the lande of Egypt, to hange vpon thy mast: Ꟶ thy hanginges of yelow sylcke purple, out of the Iles of Elisah.
Ezek.27.8	They of Sydon Ꟶ Arnad were thy maryners, and the wysest in Tyre were thy shypmasters.
Ezek.27.9	The eldest and wysest at Gebal were they, that mended Ꟶ stopped thy shyppes. All shyppes of the see wt theyr shypmen occupyed theyr marchaundies in the.
Ezek.27.10	The Perses, Lydians and phutens were in thyne host, Ꟶ helped the to fyght: these hanged vp theyr shyldes Ꟶ helmettes with the, these sett forth they bewty.
Ezek.27.11	They of Arnad were with thyne hoost rounde aboute thy walles, Ꟶ the Pigmenians were thy watchmen vpon thy towres, these hanged vp theyr quivers rounde aboute thy walles, and made the maruelous goodly.
Ezek.27.12	Tharsis occupyed with the in all maner of wares, in syluer, yron, tynne and lead, and made thy marckett greate.
Ezek.27.13	Iauan, Tubal, and Mesech were thy marchauntes, which brought the men, and ornamentes of metall for thy occupienge.
Ezek.27.14	They of the house of Thogarma brought vnto the at the tyme of thy marte, horse, horsmen and mules.
Ezek.27.15	They of Dedan were thy marchauntes: and many other Iles that occupyed with the, brought the weathers, Elephant bones Ꟶ Peacockes for a present.
Ezek.27.16	The Sirians occupied with the, because of thy diuerse worckes, and increased thy marchaundies, with Smaragdes, with scarlet, with nedle worcke, with whyte lynen cloth, with sylcke, and with crystall.
Ezek.27.17	Iuda and the lande of Israel occupied wt the Ꟶ brought vnto thy markettes, wheat, of Minnith and pannag, balme, hony, oyle, Ꟶ tryacle.
Ezek.27.18	Damascus also vsed marchaundyes wt the, in the best wyne of Helbon Ꟶ wt woll: because thy occupieng was so greate, and thy wares so many,
Ezek.27.19	Dan, Iauan Ꟶ Meusall haue brought vnto thy marckettes, yron redy made, with Cassia Ꟶ Calamus, accordinge to thine occupyenge.
Ezek.27.20	Dedan occupied with the in fayre tapestrye worcke and cusshyns.
Ezek.27.21	Arabia Ꟶ al the princes of Cedar haue occupied wt the, in shepe, wethers and goates.
Ezek.27.22	The marchauntes of Seba and Rema haue occupied also with the, in all costly spyces, in all precyous stones and golde, which they brought vnto thy marckettes.
Ezek.27.23	Haram, Chene and Eden, the marchauntes of Saba, Assiria, and Chelmad, were all doers wt the,
Ezek.27.24	and occupyed with the. In costly rayment, of yelow sylcke Ꟶ nedle worcke (very precyous, Ꟶ therfore packte and bounde together with roapes.) Yee, and in Cedre woodde, at the tyme of thy marckettes.
Ezek.27.25	The shyppes of Tharsis were the chefe of thy occupyenge. Thus thou art full, and in greate worship, euen in the myddest of the see.
Ezek.27.26	Thy robbers shall brynge the into grett waters, the easte winde shall ouerbeare the into the myddest of the see:
Ezek.27.27	so that thy wares, thy marchaundies, thy ryches, thy maryners, thy shypmasters, thy buylders of thy broken places, thy occupiers (that brought the thynges necessary) the men of warre that are in the: yee, and all thy comens shall perysh in the myddest of the see: in the daye of thy fall.
Ezek.27.28	The suburbes shall shake at the loude crye of thy shypmen.
Ezek.27.29	All whyry men, Ꟶ all maryners vpon the see, shall leape out of theyr boates, Ꟶ set them selues vpon the lande.
Ezek.27.30	They shall lyft vp theyr voyce because of the and make a lamentable cry. They shall cast dust vpon theyr heades, and lye downe in the asshes.
Ezek.27.31	They shall shaue them selues, and put sacke cloth vpon them for thy sake. They shall mourne for the with hertfull sorow,
Ezek.27.32	and heuy lamentacion, yee, they also shall wepe for the. Alas, what cytie hath so bene destroyed in the see, as Tyre is?
Ezek.27.33	When thy wares and marchaundies came from the sees, thou gauest al people ynough. The kinges of the earth hast thou made ryche, thorow the multitude of thy watres Ꟶ occupieng.
Ezek.27.34	But thou art now cast downe in to the depe of the see, all thy resorte of people is perished with the.
Ezek.27.35	All they that dwell in the Iles are abashed at the, Ꟶ all theyr kynges are afrayed, yee, theyr faces haue chaunged couloure.
Ezek.27.36	The marchauntes of the nacyons wondre at the. In that thou art so cleane brought to naught, and commest nomore vp.
Ezek.28.1	The worde of the Lorde came vnto me sayenge:
Ezek.28.2	thou sonne of man, tell the prince of Tyre: Thus sayeth the Lorde God, because thou hast a proude hert and hast sayde: I am a God, I haue my seate in the myddest of the see lyke a God: where as thou art but a man and not God, and yet standest in thyne awne conceate, that thou arte God:
Ezek.28.3	Beholde, thou thynckest thy selfe wyser then Daniel, that there is no secretes hyd from the.
Ezek.28.4	Wyth thy wysdome and thy vnderstandyng, thou hast gotten the great welthynes, and gathered treasure of syluer and golde.
Ezek.28.5	With thy greate wysdome and occupyenge, hast thou increased thy power, and because of thy greate rychesse, thy herte is proude.
Ezek.28.6	Therfore, thus sayeth the Lorde God: For so moch as thou hast lyft vp thyne hert as though thou were God:
Ezek.28.7	Beholde, I will brynge ennemyes vpon the, euen the tyrauntes of the Heathen: these shall drawe out their sweardes vpon thy bewty and wysdome, Ꟶ shal defyle thy glory.
Ezek.28.8	They shall cast the downe to the pitte, so that thou shalt dye in the myddest of the see,
Ezek.28.9	as they that be slayne. Lett se, yf thou wilt saye then (before them that slaye the) I am God: where as thou art but a man and not God, in the handes of them that slaye the.
Ezek.28.10	Dye shalt thou, euen as the vncircumcised in the handes of the enemyes for I my selfe haue spoken it, sayeth the Lorde God.
Ezek.28.11	Moreouer, the worde of the Lorde came vnto me, sayeng:
Ezek.28.12	Thou sonne of man, make a lamentable complaynte ouer the kynge of Tyre, and tell hym: Thus sayeth the Lorde God: thou art a seale of a lykenesse, full of wysdome Ꟶ excellent bewty.
Ezek.28.13	Thou hast bene in the pleasaunt garden of God: thou art deckte with al maner of precious stones: with Ruby, Topas, Crystall, Iacynte, Onix, Iaspis, Saphyr, Smaragde, Carbouncle, and golde. Thy bewty and the holes that be in the, were sett forth in the daye of thy creacyon.
Ezek.28.14	Thou art a fayre Cherub exalted by the anoyntyng, stretched wyde out for to couer. I haue sett the in this dignyte vpon the holy mount of God, there hast thou bene, Ꟶ walcked amonge the fayre glysteringe stones.
Ezek.28.15	From the tyme of thy creacyon thou hast bene ryght excellent, tyll wickednes was founde in the.
Ezek.28.16	Because of thy great marchaundise, thy hert is full of wyckednesse, Ꟶ thou hast offended. Therfore, wyll I cast the from the mount of God (O thou couering Cherub) and destroye the amonge the glysterynge stones.
Ezek.28.17	Thy hert was proude in thy fayre beuty, and thorow thy bewty thou hast destroyed thy wysdome. I will cast the downe to the grounde, Ꟶ that in the sight of kynges.
Ezek.28.18	Thou hast defyled thy Sanctuary, wt the greate wyckednes of thy vnryghteous occupyenge. I wyll bringe a fyre from the myddest of the, to consume the: Ꟶ wyll make the to asshes, in the sight of all them that loke vpon the.
Ezek.28.19	All they that haue bene acquaynted with the amonge the Heathen shalbe abasshed at the, seyng thou art so clene brought to naught, and commest nomore vp.
Ezek.28.20	And the worde of the Lorde came vnto me, sayeng:
Ezek.28.21	Thou sonne of man, set thy face agaynst Sydon. Prophecye vpon it,
Ezek.28.22	and speake: Thus sayeth the Lorde God: Beholde, O Sydon, I will vpon the, and gett me honoure in the: that it maye be knowne, how that I am the Lorde: when I punyshe her, and gett me honoure in her.
Ezek.28.23	For I will sende pestilence and bloudsheddyng into her streates, so that those which be slayne with the swearde, shall lye rounde aboute in the myddest of her: and they shall knowe, that I am the Lorde.
Ezek.28.24	She shall nomore be a pryckyng thorne, and an hurtyng breer vnto the house of Israell, ner vnto them that lye rounde aboute her, and hate her, Ꟶ they shal knowe that I am the Lorde.
Ezek.28.25	Thus sayeth the Lord God: whan I gather the housholde of Israel together agayne from the nacions amonge whom they be scatered then shall I be sanctifyed in them, in the syght of the Gentyles, Ꟶ they shall dwell in the land, that I gaue to my seruaunt Iacob.
Ezek.28.26	They shall dwell safely therin, buylde houses, Ꟶ plante vyneyardes: yee, safely shall they dwell therin: when I haue punyshed all those, that despyse them rounde aboute: Ꟶ then shall they knowe, that I am the Lorde theyr God.
Ezek.29.1	In the tenth yeare, vpon the twelueth daye of the tenth moneth, the worde of the Lorde came vnto me, sayenge:
Ezek.29.2	O thou sonne of man (set now thy face agaynst Pharao the kynge of Egypte) Prophecye agaynst him, and agaynst the whole lande of Egypt.
Ezek.29.3	Speake, and tell him, thus sayeth the Lorde God: behold, O pharao thou kynge of Egypte, I will vpon the thou great dragon, that lyest in the waters: thou that sayest: the water is myne. I haue made it my selfe.
Ezek.29.4	I will put an hoke in thy chawes and hange all the fysh in thy waters vpon thy skales: after that I will drawe the out of thy waters, yee, and all the fysh of thy waters that hange vpon thy skales.
Ezek.29.5	I will cast the out vpon the drye lande wt the fysh of thy waters, so that thou shalt lye vpon the feld. Thou shalt not be gathered ner taken vp: but shalt be meate for the beastes of the felde, Ꟶ for the foules of the ayre:
Ezek.29.6	that all they which dwell in Egypte, maye knowe, that I am the Lorde: because thou hast bene a staf of rede to the house of Israel.
Ezek.29.7	When they toke holde of the with theyr hande thou brakest Ꟶ pryckedst them on euery syde: and yf they leaned vpon the, thou brakest and hurtdest the reynes of theyr backes.
Ezek.29.8	Therfore, thus sayeth the Lorde God: beholde, I wyll brynge a swearde vpon the, Ꟶ rote out of the bothe man Ꟶ beast.
Ezek.29.9	Yee, the lande of Egypte shalbe desolate Ꟶ waste, and they shall knowe, that I am the Lorde. Because he sayde: the water is myne, I my selfe haue made it.
Ezek.29.10	Beholde therfore, I wyll vpon the, and vpon thy waters: I will make the lande of Egypt waste Ꟶ desolate Ꟶ in abashment, from the tower of Syenes vnto the borders of the Morians lande:
Ezek.29.11	so that in fourty yeares there shall no fote of man walke there, nether fote of catell go there, nether shall it be inhabited.
Ezek.29.12	I will make the land of Egypte to be desolat, amonge other waste conntrees, and her cyties to lye voyde fourty yeares, amonge other voyde cyties. And I will scatre the Egypcians among the Heathen and nacyons.
Ezek.29.13	Agayne, thus sayeth the Lorde God: When the .xl. yeares are expyred, I wyll gather the Egypcians together agayne, out of the nacions, among whom they were scatred,
Ezek.29.14	and wyll bryng the presoners of Egypt agayne into the land of Pathures theyr awne natyue countre, that they maye be there a lowly small kyngdome:
Ezek.29.15	yee, they shalbe the smallest amonge other kyngdomes, lest they exalte them selues aboue the Heathen: for I will so mynysh them that they shall nomore rule the Heathen.
Ezek.29.16	They shall nomore be an hope vnto the house of Israel, nether prouoke them any more to wyckednes, to cause them turne backe, and to folowe them: and they shall knowe that I am the Lorde God.
Ezek.29.17	In the .xxvii. yeare, the fyrst daye of the fyrst moneth, came the worde of the Lord vnto me sayeng:
Ezek.29.18	Thou sonne of man, Nabuchodonosor the king of Babylon hath made his hoost, with great trauayle Ꟶ labour to come before Tyre: that euery head maye be balde Ꟶ euery shoulder bare. Yet hath Tyre geuen nether hym ner hys hoost any rewarde, for the great trauayl that he hath taken there.
Ezek.29.19	Therfore, thus sayeth the Lord God: beholde, I will geue the lande of Egypt vnto Nabuchodonosor the kynge of Babylon, that he maye take awaye all her substaunce, robbe her roberyes, Ꟶ spoyle her spoyles, to paye his hoost theyr wagyes withall.
Ezek.29.20	I will geue hym the lande of Egypte for hys labour, that he toke for me before Tyre.
Ezek.29.21	At the same tyme will I cause the horne of the house of Israell to growe forth, and open thy mouth agayne among them: that they maye knowe, how that I am the Lorde.
Ezek.30.1	The worde of the Lorde came more ouer vnto me, sayeng:
Ezek.30.2	thou sonne of man, prophecye and speake: thus sayeth the Lorde God: Mourne, wo worth this daye,
Ezek.30.3	for the daye is here, the daye of the Lord is come: the darke daye of the Heathen, the houre is at hande,
Ezek.30.4	the swearde commeth vpon Egypte. When the wounded men fall downe in Egypte, when her people are taken awaye, and when her foundacyons are destroyed,
Ezek.30.5	the Moryans lande shall be afrayed, yee, the Moryans lande, Libia and Lidia, all theyr comen people, and Chub, and all that be confederat vnto them, shall fall with them thorow the swearde.
Ezek.30.6	Thus sayeth the Lorde: The maynteyners of the lande of Egypte shall fall, the pryde of her power shall come downe euen vnto the tower of Syenes shall they be slayne downe with the swearde, sayeth the Lorde God:
Ezek.30.7	amonge other desolate countrees they shalbe made desolate, Ꟶ amonge other waste cyties they shalbe wasted.
Ezek.30.8	And they shall knowe, that I am the Lorde, when I kyndle a fyre in Egypte, and when all her helpers are destroied.
Ezek.30.9	At that tyme, shall theyr messaungers go forth from me in shyppes, to make the carelesse Morians afrayed, and sorow shall come vpon them acordinge to the daye of Egypte, for doubtles it shall come.
Ezek.30.10	Thus sayeth the Lord God: I wil make an ende of the people of Egypt thorow the hand of Nabuchodonosor the kinge of Babylon.
Ezek.30.11	He and his people with him: yee, and the cruell tyrauntes of the Heathen shalbe brought to destroye the lande. They shall drawe out theyr sweardes vpon Egypte, Ꟶ fyll the lande full of slayne men.
Ezek.30.12	I will drye vp theyr floudes of water, and sell the lande into the handes of wicked people. The lande Ꟶ all that is therin, will I destroye thorow the enemyes. Euen I the Lord haue sayde it.
Ezek.30.13	And thus sayeth the Lord God: I will destroye the Idols, and bringe the ymages of Noph to an ende. There shall nomore be a prince of Egypte, Ꟶ a fearfulnes will I sende into the Egypcians land.
Ezek.30.14	As for Pathures, I wyll make it desolate, Ꟶ kyndle a fyre in zoan the cyty. No, I punysh,
Ezek.30.15	and poure my wrathfull indignacyon vpon Sin, which is the strength of Egypt. All the substaunce of Alexandria will I destroye,
Ezek.30.16	and kyndle a fyre in Egypte. Sin shalbe in greate heuynesse, Alexandria shalbe roted out, and Noph shall haue daylye sorow.
Ezek.30.17	The best men of Helyopolys and Bubasto shalbe slayne with the swearde, and caryed awaye captyue.
Ezek.30.18	At Caphnis the daye shalbe darcke, when I breake there the scepter of the lande of Egypt, Ꟶ when the pompe of her power shall haue an ende, A cloud shall couer her, and her daughters shalbe led awaye into captiuite.
Ezek.30.19	Thus will I punysh Egypt, that they maye knowe how that I am the Lorde.
Ezek.30.20	It happened in the eleuenth yeare, vpon the seuenth daye of the fyrst moneth, that the Lordes worde came vnto me, sayenge:
Ezek.30.21	Beholde, thou sonne of man, I will breake the arme of Pharao kyng of Egypte: and lo it shall not be bounde vp to be healed, nother shall eny playstre be laied vpon it, for to ease it, or to make it so stronge, as to holde a swearde.
Ezek.30.22	Therfore, thus sayeth the Lorde God: Beholde, I will vpon Pharao the king of Egypte, and bruse his stronge arme (yet is it but a broken one) Ꟶ will smyte the swearde out of his handes.
Ezek.30.23	As for the Egypcians. I will scatre them among the Heathen, and strowe them in the landes aboute.
Ezek.30.24	Agayne I will strength the arme of the kyng of Babylon, Ꟶ geue him a sweard in his hand: but I will breake Pharaos arme so that he shall holde it before him pyteously, lyke a wounded man.
Ezek.30.25	Yee, I wyll stablysh the kynge of Babilons arme, Ꟶ the armes of Pharao shall fall downe: that it maye be knowne, that I am the Lord, which geue the kynge of Babylon my swearde in his hand, that he maye drawe it out vpon the lande of Egypte,
Ezek.30.26	Ꟶ that when I scatre the Egypcians amonge the Gentils and strowe them in the landes aboute, they maye knowe, that I am the Lorde.
Ezek.31.1	Moreouer, it happened in the eleuenth yeare, the fyrst daye of the thyrd moneth, that the worde of the Lorde came vnto me, sayeng:
Ezek.31.2	thou sonne of man, speake vnto Pharao the kynge of Egypte, and to al hys people. Whom art thou lyke in thy greatnesse?
Ezek.31.3	Beholde, Assur was lyke a Cedre tre vpon the mount of Lybanus with fayre braunches: so thycke, that he gaue shadowes and shot out very hye. Hys toppe reached vnto the cloudes.
Ezek.31.4	The waters made hym great, and the depe set him vp an hye. Rounde aboute the rotes of hym ranne there floudes of water, he sent out his lytle ryuers vnto all the trees of the felde.
Ezek.31.5	Therfore was he hyer then all the trees of the felde, and thorow the multytude of waters that he sent from him, he optayned many longe braunches.
Ezek.31.6	All foules of the ayre made theyr nestes in his braunches, vnder his bowes gendred all the beastes of the felde, and vnder his shadow dwelt all people.
Ezek.31.7	Fayre Ꟶ bewtifull was he in his gretnes Ꟶ in the length of hys braunches, for hys rote stode besyde great waters,
Ezek.31.8	no Cedre tre myght hyde hym. In the pleasaunt garden of God, there was no fyrre tre lyke hys braunches, the playne trees were not lyke the bowes of hym. All the trees in the garden of God myght not be compared vnto him in his bewty,
Ezek.31.9	so fayre and goodly had I made hym wt the multytude of hys braunches. In so moch that all the trees in the pleasaunt garden of God had enuye at hym.
Ezek.31.10	Therfore, thus sayeth the Lorde God: for so moch as he hath lyft vp him selfe so hye, and stretched hys toppe into the cloudes, and seinge his hert is proude in his hyghnesse.
Ezek.31.11	I wyll delyuer hym into the handes of the myghtyest among the Heathen, which shall rote him out. Accordynge to his wyckednesse wyll I cast him awaye,
Ezek.31.12	the enemye shall destroye hym, and the myghty men of the Heathen shall so scatre him that his braunches shall lye vpon all mountaynes and in all valleyes: his bowes shalbe broken downe to the grounde thorow out the lande. Then all the people of the lande shall go from his shadowe, and forsake him.
Ezek.31.13	When he is fallen, all the foules of the ayre shall syt vpon hym, and all wylde beastes of the felde shall go aboute amonge his braunches:
Ezek.31.14	so that from hence forth, no tre in the water shall attayne to his highnesse, nor reach his toppe vnto the cloudes, nether shall eny tre of the water stande so hye, as he hath done. For vnto death shall they all be delyuered vnder the earth, and go downe to the graue lyke other men.
Ezek.31.15	Moreouer, thus sayeth the Lord God: In the daye when he goeth downe to the graue I will cause a lamentacyon to be made, I will couer the depe vpon him, I will staunch his floudes, and the great waters shalbe restrayned. I shall cause Lybanus to be sorowfull for his sake, and all the trees of the felde shall be smytten.
Ezek.31.16	I will make the Heathen shake at the sounde of his fall, when I cast him downe to hell with them that descende into the pytte. All the trees of Eden, with all the chosen and best trees of Lybanus, yee, and all they that are planted vpon the waters, shall mourne with hym also in the lower habitacyons:
Ezek.31.17	for they shal go downe to hell with him, vnto them that be slayne with the swearde, which dwelt a fore vnder the shadowe of his arme among the Heathen.
Ezek.31.18	To whom shalt thou be lykened, that art so gloryous and greate, among the trees of Eden? Yet art thou cast downe vnder the earth (amonge the trees of Eden) where thou must lye amonge vncircumcysed, wt them that be slayne wt the swearde. Euen thus is it wt Pharao Ꟶ all his people, sayeth the Lorde God.
Ezek.32.1	In the eleuenth yeare, the fyrst daye of the twelueth moneth, the worde of the Lorde came vnto me sayenge:
Ezek.32.2	thou sonne of man, take vp a lamentacyon vpon Pharao the king of Egypt, Ꟶ saye vnto him: thou art reputed as a lyon of the Heathen, Ꟶ as a whalfysh in the see: Thou castest thy waters about the, thou troublest the waters with thy fete and stampest in theyr floudes.
Ezek.32.3	Thus sayeth the Lord God: I wyll sprede my net ouer the, namely, a greate multytude of people: these shall dryue the into my yarne,
Ezek.32.4	for I wyll cast the vpon the lande, and let the lye vpon the felde, that all the foules of the ayre maye sytt vpon the. I will geue all the beastes of the felde ynough of the.
Ezek.32.5	Thy flesh will I cast vpon the hylles, and fyll the valleyes with thy hyghnesse.
Ezek.32.6	I wyll water the lande with the aboundaunce of thy bloude euen to the mountaynes, and the ryuers shal be full of thy bloude.
Ezek.32.7	When thou art put out, I will couer the heauen, and make his starres dymme. I will sprede a cloude ouer the Sunne, and the Mone shal not geue her light.
Ezek.32.8	All the lightes of heauen will I put out ouer the, Ꟶ bring darckenes vpon thy lande, sayeth the Lord God.
Ezek.32.9	I will trouble the hertes of many people, when I bryng thy destruccion among the Heathen Ꟶ countrees, whom thou knowest not.
Ezek.32.10	Yee, I will make many people wt theyr kinges so afrayed thorow the, that theyr heare shall stande vp, when I shake my sweard at theyr faces. Sodenly shall they be astonyed, euery man in hym selfe, at the daye of thy fall.
Ezek.32.11	For thus sayeth the Lord God, the king of Babylons swearde shal come vpon the,
Ezek.32.12	with the sweardes of the worthyes wyll I smyte downe thy people. All they that be myghtye amonge the Gentyles shal waste the proude pompe of Egypte, Ꟶ bryng downe all her people.
Ezek.32.13	All the catell also of Egipte will I destroye, that they shall come nomore vpon the waters: so that nether mans fote ner beastes clawe, shall stere them eny more.
Ezek.32.14	Then will I make their waters depe, Ꟶ cause their floudes to runne lyke oyle, sayeth the Lord God.
Ezek.32.15	When I make the lande of Egypte desolate, and when the countre with all that is therin, shalbe layde waste, Ꟶ when I smyte all them which dwell in it, that they may knowe, that I am the Lord.
Ezek.32.16	This is the mournyng, that the daughters of the Heathen shal make: Yee, a sorow Ꟶ lamentacion shal they take vp, vpon Egypte, and all her people, sayeth the Lord God.
Ezek.32.17	In the .xii. yeare, the .xv. daye of the moneth, came the worde of the Lorde vnto me, sayinge:
Ezek.32.18	Thou sonne of man. Take vp a lamentacion vpon the people of Egypte, Ꟶ cast them downe, yee, them I saye, Ꟶ the myghtye people of the heathen also, euen with them that dwell beneth: and with them that go downe into the graue.
Ezek.32.19	Downe (how fayre so euer thou be) Ꟶ laye the with the vncircumcised.
Ezek.32.20	Amonge those that be slayne with the swearde, shall they lye. To the swerde is she all redy delyuered: therfore pluck downe to the grounde, her Ꟶ all her multitude.
Ezek.32.21	The myghtie worthies shal speake to him out of the hell Ꟶ to his helpers, that be gone downe Ꟶ lye vncircumcised and wt them that be slayne with the swearde.
Ezek.32.22	Assur is there also wyth hys company, Ꟶ their graues rounde aboute, which were slayne and fell all with the swearde,
Ezek.32.23	whose graues lye besyde him in the lowe pytte. Hys comens are buried rounde aboute hys graue, all together wounded and slayne with the swearde, which men afore tyme brought feare into the lande of the lyuynge.
Ezek.32.24	There is Elam also wyth all hys people, and their graues rounde aboute: which all beynge wounded Ꟶ slayne with the swearde, are gone downe vncircumcysed vnder the earth, which neuertheles somtime brought feare into the lande of the lyuynge: for the which they beare their shame, with the other that be gone downe to the graue.
Ezek.32.25	Their burial is geuen them and all their people, amonge them that be slayne. Their graues are rounde aboute al them, whych be vncircumcised, Ꟶ with them that be slayne thorow the swearde: for seyng that in times past they made the lande of the lyuynge afrayed they must now beare their awne shame, wt them that go downe to the pytte, and lye amonge them that be slayne.
Ezek.32.26	There is Mesech also and Tubal, and their people, Ꟶ their graues rounde aboute. These all are among the vncircumcised, and them that be slayne wyth the swearde, because afore tyme they made the lande of the lyuynge afrayed.
Ezek.32.27	Shulde not they then lye also amonge the worthyes, Ꟶ vncircumcised Gyauntes? which with their weapens are gone downe to hell whose sweardes are layed vnder their heades, whose wyckednesse is vpon their bones: because that as worthyes, they haue brought feare into the lande of the lyuing
Ezek.32.28	Yee, amonge the vncircumcised shalt thou be destroyed, Ꟶ slepe wyth them, that perished thorowe the swearde.
Ezek.32.29	There is the lande of Edom wyth her kynges and princes also, which with theyr strength are layed by them that were slayne with the swearde, yee, amonge the vncircumcised, and them which are gone downe into the pytte.
Ezek.32.30	Moreouer, there be all the prynces of the north, with all the Sidonyans which are gone downe to the slayne. With their feare and strength they are come to confusion, and lye there vncircumcised, among those that be slayne with the swearde: and beare their awne shame, with them that be gone downe to the pytte.
Ezek.32.31	Now whan Pharao seyth this, he shalbe conforted ouer all hys people, that is slayne with the swearde: both Pharao and all his hoost, sayeth the Lord God.
Ezek.32.32	For I haue geuen my feare in the lande of the lyuinge. But Pharao and all his people shall lye among the vncircumcised, and amonge them that be slayne with the swearde sayeth the Lorde God.
Ezek.33.1	Agayne, the worde of the Lorde came vnto me: sayenge.
Ezek.33.2	Thou sonne of man, Speke to the children of thy people, and tell them: Whan I sende a swearde vpon a lande, yf the people of the lande take a man of their countre, Ꟶ set hym to be their watchman,
Ezek.33.3	the same man (whan he seyth the swearde come vpon the lande) shall blowe the trompet, and warne the people.
Ezek.33.4	If a man now heare the noyse of the trompet Ꟶ wyll not be warned, and the swearde come: and take him awaye: his bloude shall be vpon his awne head:
Ezek.33.5	for he herde the sound of the trompet, Ꟶ wolde not take hede, therfore his bloude be vpon him. But yf he will receaue warninge, he shall saue his lyfe.
Ezek.33.6	Agayne, yf the watch man se the swearde come, and shewe it not with the trompet, so that the people is not warned: yf the swearde come then, Ꟶ take eny man from among them: the same shall be taken awaye in his awne synne, but his bloude wyll I require of the watchmans hande.
Ezek.33.7	And now (O thou sonne of man) I haue made the a watchman vnto the house of Israel: that where as thou hearest eny thinge out of my mouth, thou mayest warne them on my behalfe.
Ezek.33.8	If I saye vnto the wycked thou wycked, thou shalt surely dye, Ꟶ thou geuest him not warnynge, that he maye bewarre of his vngodly waye: then shall the wycked dye in his awne synne, but his bloude wyll I require of thy hande.
Ezek.33.9	Neuertheles, yf thou warne the wycked of hys waye, to turne from it, where as he yet wyll not be turned from it, then shal he dye because of his synne, but thou hast deliuered thy soule.
Ezek.33.10	Therfore (O thou sonne of man) speake vnto the house of Israel. Ye, saye thus: Oure offences and synnes lye vpon vs, and we be corrupte in them: how shulde we then be restored vnto lyfe?
Ezek.33.11	Tell them: As truly as I lyue saieth the Lord God, I haue no pleasure in the death of the wycked, but moch rather that the wycked turne from his waye, Ꟶ lyue. Turne you, turne you from your vngodly wayes, O ye of the house of Israell. Oh wherfore wyll ye dye?
Ezek.33.12	Thou sonne of man, tell the chyldren of thy people: The righteousnes of the ryghteous shal not saue him, whansoeuer he turneth awaye vnfaithfully. Agayne, the wyckednesse of the wycked shall not hurt hym, whan soeuer he conuerteth from hys vngodlynesse. And the ryghteousnesse of the ryghteous shall not saue his lyfe, whansoeuer he synneth.
Ezek.33.13	If I saye vnto the ryghteous, that he shal surely lyue, and so he trust to his awne ryghteousnesse, and do synne, then shall hys righteousnesse be nomore thought vpon, but in the wyckednesse that he hath done he shal dye.
Ezek.33.14	Agayne, yf I saye vnto the wycked: thou shalt surely dye: and so he turne from his synnes, and do the thinge that is lawfull and right:
Ezek.33.15	In so moch that the same wicked man geueth the pledge agayne, restoreth that he had taken awaye by robbyry, walcketh in the commaundementes of lyfe, and doth no wronge. Then shall he surely lyue, and not dye.
Ezek.33.16	Yee, the synnes that he hath done, shall neuer be thought vpon. For in so moch as he doth now the thinge that is lawfull Ꟶ ryght, he shall lyue.
Ezek.33.17	And yet the chyldren of thy people saye: Tush: the waye of the Lorde is not ryght, but they lye, where as their awne waye is rather vnright.
Ezek.33.18	When the ryghteous turneth from his ryghteousnes and doth the thing that is wicked he shall dye therfore.
Ezek.33.19	But yf the wicked turne from his wickednesse, doing the thinge that is lawfull and right, he shall lyue therfore.
Ezek.33.20	Yet ye saye: the waye of the Lorde is not equall. O ye house of Israell I will iudge euery one of you after his wayes.
Ezek.33.21	In the .xii. yeare, the .v. daye of the tenth moneth of oure captiuite, it happened, that one which was fled out of Ierusalem, came vnto me, and sayd: the citye is destroyed.
Ezek.33.22	Now the hande of the Lord had bene vpon me the euening afore this man (which was escaped) came vnto me, Ꟶ had opened my mouth, vntyll the mornyng that he came to me: yee, he opened my mouth, so that I was nomore domme.
Ezek.33.23	Then came the worde of the Lord vnto me, Ꟶ sayd.
Ezek.33.24	Thou sonne of man, these that dwell in the wasted lande of Israel, saye: Abraham was but one man, and he had the lande in possession: now are we many Ꟶ the lande is geuen vs to possesse also.
Ezek.33.25	And therfore tell them. Thus sayeth the Lord: In the bloud haue ye eaten, youre eyes haue ye lyft vp to Idoles, and haue shed bloud: shall ye then haue the lande in possession?
Ezek.33.26	Ye leane vpon your sweardes, ye worcke abhominacions, euery one defileth his neyghbours wife: and shall ye then possesse the lande?
Ezek.33.27	Saye thou these wordes vnto them. Thus saieth the Lord God. As truly as I lyue all ye that dwell in thys wyldernesse, shalbe slayne with the swearde: whatsoeuer is vpon the felde, will I geue vnto the beastes to be deuoured: those that be in strong holdes Ꟶ dennes, shall dye of the pestilence.
Ezek.33.28	For I wyll make the lande so desolate and waste, Ꟶ the pompe of her strength shal come to an ende. The mountaynes in Israel shalbe so waste that noman shall trauayle therby.
Ezek.33.29	Then shall they lerne to knowe, that I am the Lord, when I make the lande waste Ꟶ desolate, because of all their abhominacions, that they haue wrought.
Ezek.33.30	And thou sonne of man, the children of thy people that talcke of the, by the walles and in the dores of their houses, sayinge one to another: Come, let vs heare, what worde is gone forth from the Lord.
Ezek.33.31	These come vnto the, after the maner of a greate people: yee, as who sayth they were my people, they syt downe before the, and heare thy wordes, but they do not therafter for in their mouthes they make a Ieste of them, and theyr herte goeth after theyr awne couetous lucre.
