Acts.0.0	¶ The Actes of the Apostles.
Acts.13.46	Then Paul and Barnabas wexed bolde, Ꟶ sayde: it was mete that the worde of God shulde fyrst haue bene preached to you. But seynge ye put it from you, and thynke youre selues vnworthy of euerlastynge lyfe: lo, we turne to the Gentyls:
Acts.13.47	For so hath the Lorde commaunded vs. I haue made the a lyght of the Gentyls, that thou be the saluacyon vnto the ende of the worlde.
Acts.13.48	Whan the gentyls hearde thys, they were glad and glorifyed the worde of the Lorde, Ꟶ beleued: euen as many as were ordeyned vnto eternal lyfe.
Acts.13.49	And the worde of the Lorde was publisshed thorowe out all the regyon.
Acts.13.50	But the Iewes moued the deuoute and honest wemen, and the chefe men of the cytie, Ꟶ reysed persecucyon agaynst Paul and Barnabas, and expelled them out of theyr coastes
Acts.13.51	But they shouke of the duste of theyr fete agaynst them, and came vnto Iconium.
Acts.13.52	And the discyples were fylled with ioye and with the holy ghost.
Acts.14.1	And it fortuned in Iconium, that they went both together into the synagoge of the Iewes, and so spake, that a greate multytude both of the Iewes and also of the Grekes beleued.
Acts.14.2	But the vnbeleuyng Iewes, steryd vp, and vnquieted the myndes of the gentyls agaynste the brethren.
Acts.14.3	Longe tyme abode they there, and quyt them selues boldly with the helpe of the Lord, which gaue testimony vnto the worde of his grace, Ꟶ graunted sygnes and wondres to be done by their handes.
Acts.14.4	But the multitude of the cytie was deuyded: and parte helde with the Iewes, Ꟶ parte with the Apostles.
Acts.14.5	When ther was an assaute made both of the Gentyles Ꟶ also of the Iewes with their rulers, to do them violence, and to stone them
Acts.14.6	they were ware of it, and fled vnto Lystra and Derba, cyties of Lycaonia, and vnto the regyon that lyeth ronnde aboute,
Acts.14.7	and there preached the Gospell.
Acts.14.8	And ther sate a certayne man at Lystra weake in hys fete, beynge creple from his mothers wombe, and neuer had walked.
Acts.14.9	The same hearde Paul preache. Which beholdynge hym, and perceauynge that he had fayth to be whole,
Acts.14.10	sayd with a loude voyce: stande vpryght on thy fete: And he stert vp, and walked.
Acts.14.11	And when the people sawe what Paul had done, they lyfte vp their voyces, sayinge in the speache of Lycaonia: Goddes are come downe to vs in the lyknes of men.
Acts.14.12	And they called Barnabas Iupiter, and Paul Mercurius, because he was the preacher,
Acts.14.13	Then Iupiters preste, which dwelt before their cytie, brought oxen and garlandes vnto the porche, and wolde haue done sacryfice with the people.
Acts.14.14	Which when the Apostles, Barnabas and Paul herde of, they rent their clothes, and ran in amonge the people, cryinge
Acts.14.15	and sayinge: syrs why do ye this? We are mortall men like vnto you, and preache vnto you, that ye shulde turne from these vanyties vnto the lyuinge God, which made heauen and erth and the see and all thynges that are ther in:
Acts.14.16	the which in tymes past suffred all nacyons to walcke in theyr awne wayes.
Acts.14.17	Neuerthelesse, he left not hym selfe withoute wytnes, in that he shewed hys beuefytes from heauen, in geuynge vs rayne and frutefull ceasons, fyllyng oure hertes with fode and gladnes.
Acts.14.18	And with these sayinges, sease refrayned they the people, that they had not done sacryfyce vnto them.
Acts.14.19	Thyther came certayne Iewes from Antioche and Iconium: which (whan they had obtayned the peoples consent and had stoned Paul) drew him out of the cytie, suppoge he had bene deed.
Acts.14.20	Howbeit as the disciples stode rounde about him, he arose vp, and came into the cytie. And the nexte daye he departed with Barnabas to Derba.
Acts.14.21	And whan they had preached to that cytie, Ꟶ had taught many, they returned agayne to Lystra, and to Iconium and Antioche,
Acts.14.22	and strengthed the discyples soules agayne, and exhorted them to contynue in the fayth affirmynge that we must thorowe moche tribulacyon enntre into the kyngdome of God.
Acts.14.23	And whan they had ordened them elders by eleccyon in euery congregacyon, and had prayde and fasted, they commended them to the Lorde on whom they beleued.
Acts.14.24	And whan they had gone thorowe out Pisidia, they came to Pamphilia,
Acts.14.25	Ꟶ whan they had preached the worde in Perga, they descended into the cyte Attalia,
Acts.14.26	and thence departed by shyppe to Antioche from whence they were committed vnto the grace of God to the worcke which they fulfylled.
Acts.14.27	When they were come, and had gathered the congregacion together, they rehersed all that God had doue by them and how he had opened the dore of fayth vnto the Gentyls.
Acts.14.28	And there they abode longe tyme with the discyples.
Acts.15.1	And certayne men which came downe taught the brethren excepte ye be circumcysed after the maner of Moses, ye cannot be saued.
Acts.15.2	So when ther was rysen dissencion Ꟶ disputyng not a lyttel vnto Paul and Barnabas agaynst them, they determined that Paule and Barnabas, and certayne other of them, shulde go vp to Ierusalem vnto the Apostles and elders about thys questyon.
Acts.15.3	And after they were brought on their waye by the congregacion, they passed ouer Phenices and Samaria, declaryng the conuersion of the Gentyls, and they brought greate ioye vnto all the brethren.
Acts.15.4	And when they were come to Ierusalem, they were receaued of the congregacion Ꟶ of the Apostles and elders. And they declared all thynges that God had done by them.
Acts.15.5	Then rose vp certayne of the secte of the Pharyses, which dyd beleue, saying, that it was nedfull to circumcyse them, and to commaunde them to kepe the lawe of Moses.
Acts.15.6	And the Apostles Ꟶ elders came together, to reason of thys matter.
Acts.15.7	And when ther was moche disputyng, Peter rose vp, Ꟶ sayde vnto them: Ye men Ꟶ brethren, ye knowe how the a good whyle agoo, God dyd chose amonge vs, that the Gentyls by my mouth shuld heare the worde of the Gospell, and beleue.
Acts.15.8	And God which knoweth the hertes, bare them wytnes, and gaue vnto them the holy goost, euen as he dyd vnto vs,
Acts.15.9	and put no difference betwene vs and them seynge that with fayth he purified theyr hertes.
Acts.15.10	Now therfore, why tempte ye God, to put on the disciples neckes the yoke which nether our fathers nor we were able to beare,
Acts.15.11	But we beleue, that thorow the grace of the Lorde Iesu Christ, we shalbe saued, as they do.
Acts.15.12	Then all the multitude was peased Ꟶ gaue audience to Barnabas Ꟶ Paul, which tolde what sygnes Ꟶ wondres God had shewed amonge the Gentyls by them.
Acts.15.13	And when they helde their peace, Iames answered, sayng: Men Ꟶ brethren, herken vnto me.
Acts.15.14	Simeon tolde, how God at the beginning dyd visit the gentyls, to receaue of them a people in his name.
Acts.15.15	And to this agree the wordes of the prophetes, as it is written:
Acts.15.16	After this I wyll returne, and wyll buylde agayne the tabernacle of Dauid, which is fallen downe and that which is fallen in decaye of it, wyll I buylde agayne, and I wyll set it vp,
Acts.15.17	that the resydue of men myght seke after the Lord Ꟶ also the Gentyls vpon whom my name is named sayth the Lorde, which doth all these thynges:
Acts.15.18	knowen vnto God are all hys workes from the begynning of the world.
Acts.15.19	Wherfore my sentence is, that we trouble not them: which from amonge the Gentyls, are turned to God:
Acts.15.20	but that we wryte vnto them, that they absteyne them selues from filthynes of ymages, and from fornicacyon, and from straunglyd, and from bloude.
Acts.15.21	For Moses of olde tyme hath in euery cytie them that preache hym, in the synagoges, when he is redd euery Saboth daye.
Acts.15.22	Then pleased it the Apostles and elders with the whole congregacion, to sende chosen men of theyr awne company to Antioche wt Paul and Barnabas, They sent Iudas (whose syrname was Barsabas) and Sylas, which were chefe men amonge the brethren,
Acts.15.23	and gaue them leters in theyr handes after thys maner. The Apostles, and elders and brethren send gretynges vnto the brethren which are of the Gentyls in Antioche, Syria and Cylicia.
Acts.15.24	For as moche as we haue hearde, that certayne which departed from vs, haue troubled you with wordes, and combred youre myndes saying: Ye must be circumcysed, and kepe the lawe, to whom we gaue no soch commaundement.
Acts.15.25	It semed therfore to vs a good thynge, when we were come together with one accorde, to sende chosen men vnto you, with oure beloued Barnabas and Paul,
Acts.15.26	men that haue ieoparded their lyues for the name of oure Lorde Iesus Christ.
Acts.15.27	We haue sent therfore Iudas and Sylas, which shall also tell you the same thinges by mouth.
Acts.15.28	For it semed good to the holy ghost and to vs, to charge you with no more then these necessary thynges:
Acts.15.29	that is to saye, that ye abstayne from thynges offered to ymages, and from bloud, and from straungled and from fornicacyon. From which yf ye kepe youre selues, ye shall do well. So fare ye well.
Acts.15.30	When they therfore were departed, they cam to Antioche and gathered the multytude together, Ꟶ deliuered the pistle.
Acts.15.31	Which when they had red, they reioysed of the consolacyon.
Acts.15.32	And Iudas Ꟶ Sylas being Prophetes, exhorted the brethren with moch preachynge, Ꟶ strengthed them.
Acts.15.33	And after they had taryed there a space, they were let go in peace of the brethren vnto the Apostles.
Acts.15.34	Not withstandyng it pleased Sylas, to abyde there styll
Acts.15.35	Paul and Barnabas continued in Antioche, teachynge Ꟶ preachynge the worde of the Lorde with other many.
Acts.15.36	But after a certayne space, Paul sayd vnto Barnabas: Let vs go agayne, and visite oure brethren in euery cytie where we haue shewed the word of the Lord, Ꟶ se how they do.
Acts.15.37	And Barnabas gaue counsell to take with them Iohn, whose syrname was Marcke.
Acts.15.38	But Paul wold not take him vnto their company which departed from them at Pamphilia, Ꟶ went not with them to the worcke.
Acts.15.39	And the contencion was so sharpe betwene them: that they departed asunder one from the other Ꟶ so Barnabas toke Marcke, and sayled vnto Cypers.
Acts.15.40	And Paul chose Sylas, Ꟶ departed, beynge commytted of the brethren vnto the grace of God.
Acts.15.41	And he went thorow Cyria and Cylicia, stablisshinge the congregacions:
Acts.16.1	Then cam he to Derba and to Lystra, And beholde, a certayne dyscyple was there named Timotheus a womans sonne, which was a Iewesse and beleued: but hys father was a Greke.
Acts.16.2	Of whom reported well the brethren that were at Lystra and Iconium
Acts.16.3	Hym wold Paul that he shulde go forth with him, Ꟶ toke and circumcised hym, because of the Iewes which were in those quarters: for they knewe all, that hys father was a Greke.
Acts.16.4	As they went thorowe the cyties, they deliuered them the decrees for to kepe, that were ordeyned of the Apostles and elders, which were at Ierusalem.
Acts.16.5	And so were the congregacyons stablyshed in the fayth, and encreased in nombre dayly.
Acts.16.6	When they had gone thorow out Phrigia. and the region of Galacia, and were forbydden of the holy ghost to preach the word in Asia,
Acts.16.7	they came to Mysya, and sought to go into Bethynia. But the sprete soffred them no
Acts.16.8	But whan they had gone thorow Mysia they came downe to Troada.
Acts.16.9	And a visyon appered to Paul in the nyght. There stode a man of Macedonia and prayed him, saying: come into Macedonia, and helpe vs.
Acts.16.10	After he had sene the vision, immediatly we prepared to go into Macedonia, beinge certifyed that the Lorde had called vs, for to preach the gospell vnto them.
Acts.16.11	Whan we losed forth then from Troada, we came wt a strayte course to Samothracia, and the nexte daye to Neapolin,
Acts.16.12	Ꟶ from thence to Philippos, which is the chefe cytie in the partes of Macedonia, Ꟶ a fre cytie. We were in that cytie abydinge certayne dayes.
Acts.16.13	And on the Saboth dayes we went out of the citie besydes a ryuer, where men were wont to praye. And we sate downe, Ꟶ spake vnto the wemen which resorted thyther.
Acts.16.14	And a certayne woman (named Lydia) a seller of purple, of the cytie of Thyatira, which worshypped God, gaue vs audience. Whose hert the Lorde opened, that she attended vnto the thynges, which Paul spake.
Acts.16.15	When she was baptised, and her housholde, she besought vs, sayinge: If ye thyncke that I beleue on the Lorde, come into my house, and abyde there. And she constrayned vs.
Acts.16.16	And it fortuned as we went to prayer, a certayn damsell possessed with a sprete that prophesyed, met vs, which brought her master: Ꟶ mastres moche vauntage wt Prophesyinge.
Acts.16.17	The same folowed Paul and vs, and cryed, sayinge: these men are the seruauntes of the most hye God, which shew vnto vs the waye of saluacyon.
Acts.16.18	And thys dyd she many dayes. But Paul not content, turned aboute, and sayde to the sprete. I commaunde the in the name of Iesu Christ, that thou come out of her. And he came out the same houre
Acts.16.19	And when her master and mastres sawe that the hope of their gaynes was gone, they caught Paul and Sylas, and drue them into the market place vnto the rulars,
Acts.16.20	Ꟶ brought them to the officers, sayinge: These men trouble oure cytie seing they are Iewes,
Acts.16.21	Ꟶ preach ordinaunces, which are not laufull for vs to receaue, nether to obserue, seynge we are Romanys.
Acts.16.22	And the people ranne agaynst them, and the officers rent their clothes, Ꟶ commaunded them to be beaten with roddes.
Acts.16.23	And when they had beaten them sore, they cast them into preson, commaundynge the iayler of the preson to kepe them diligently.
Acts.16.24	Which when he had receaued such commaundement, thrust them into the ynner preson, Ꟶ made theyr fete fast in the stockes.
Acts.16.25	At mydnyght Paul Ꟶ Sylas prayed, and lauded God. And the presoners hearde them.
Acts.16.26	And sodenly ther was a greate erthquake, so that the foundacion of the preson was shaken, and immediatly all the dores opened and euery mannes bandes were loosed.
Acts.16.27	When the keper of the preson waked out of his slepe and sawe the preson dores open, he drue out his swearde and wolde haue kylled him selfe supposyng that the presoners had bene fledd.
Acts.16.28	But Paul cryed with a loude voyce, saying: do thy selfe no harme, for we are all heare.
Acts.16.29	Then he called for a lyght and sprange in and ran tremblynge vnto Paul, and fell downe at the fete of Paul Ꟶ Sylas,
Acts.16.30	and brought them out, Ꟶ sayde: Syrs what must I do to be saued?
Acts.16.31	And they sayde: beleue on the Lorde Iesus, Ꟶ thou shalt be saued Ꟶ thy housholde.
Acts.16.32	And they preached vnto him the worde of the Lord, Ꟶ to all that were in hys house.
Acts.16.33	And he toke them the same houre of the nyght, Ꟶ wasshed their woundes, and was baptised and all they of hys housholde strayght waye.
Acts.16.34	And when he had brought them into hys house, he set meate before them, and ioyed that he with all his housholde, beleued on God.
Acts.16.35	And when it was daye, the officers sent the ministers, saying: let those men go.
Acts.16.36	The keper of the preson tolde this sayinge to Paul: the officers haue sent word to lose you. Now therfore, get you hence and go in peace.
Acts.16.37	Then sayde Paul vnto them: they haue beaten vs openly vncondemned, for all that we are Romayns, and haue cast vs into preson: Ꟶ now wolde they sende vs awaye preuely? Naye Uerely, but let them come them selues, Ꟶ fet vs out.
Acts.16.38	When the ministers tolde these wordes vnto the officers, they feared when they hearde, that they were Romaynes
Acts.16.39	they cam and besought them: and brought them out, and desyred them, to departe out of the cytie.
Acts.16.40	And they went out of the preson, and entred into the house of Lidia, and when they had sene the brethren, they conforted them, and departed
Acts.17.1	As they made their iourney thorowe Amphipolis: and Appolonia, they cam to Thessalonica, where was a Synagoge of the Iewes.
Acts.17.2	And Paul (as hys maner was) went in vnto them, and thre Saboth dayes declared out of the scrypture vnto them, openynge
Acts.17.3	Ꟶ allegyng, that Christ must nedes haue suffred, and ryse agayne from deeth, and that thys Iesus was Christ, whom (sayde he) I preach to you.
Acts.17.4	And some of them beleued, and cam and companyed with Paul Ꟶ Sylas, and of the deuote. Grekes a greate multitude, and of the chefe wemen, not a feawe.
Acts.17.5	But the Iewes which beleued not, had indignacion and toke vnto them euyll men, which were vagabundes, and gathered a company, and set all the cytie on a roare, Ꟶ made assaute vnto the house of Iason, Ꟶ sought to brynge them out to the people.
Acts.17.6	And when they founde them not they drue Iason, Ꟶ certayne brethren vnto the heades of the cytie, cryinge: these that trouble the worlde, are come hyther also,
Acts.17.7	whom Iason hath receaued preuely. And these all do contrary to the decrees of Cesar, affirmynge another kynge, one Iesus.
Acts.17.8	And they troubled the people, Ꟶ the officers of the cytie, when they hearde these thinges.
Acts.17.9	And when they were sufficiently answered of Iason, and of the other, they let them go.
Acts.17.10	And the brethren immediatly sent awaye Paul and Sylas by nyghte vnto Berrea. Which when they were come thyther, they entred into the Synagoge of the Iewes.
Acts.17.11	These were the noblest of byrth amonge them of Thessalonia, which receaued the word with all dilygence of mynde, and searched the scryptures dayly, whether those thynges were euen so.
Acts.17.12	And many of them beleued: also of worshypfull wemen which were Grekes, and of men not a feawe.
Acts.17.13	When the Iewes of Thessalonia had knowledge, that the word of God was preached of Paul at Berrea: they came, and moued the people there.
Acts.17.14	And then immediatly the brethren sent awaye Paul, to go as it were to the see: but Sylas and Timotheus abode there styll
Acts.17.15	And they that gyded Paul, brought him vnto Athens, Ꟶ receaued a commaundement vnto Sylas Ꟶ Timotheus, for to come to hym wt spede, Ꟶ came their waye.
Acts.17.16	Whil Paul wayted for them at Athens, his sprete was moued in him, whan he sawe the cytie geuen to worshippynge of ymages.
Acts.17.17	Then disputed he in the synagoge with the Iewes, and with the deuoute personnes: and in the market dayly with them that came vnto him by chaunce.
Acts.17.18	Certayne Philosophers of the Epicures and of the Stoyckes, disputed with hym. And some ther were which sayde: what will thys babler saye? Other sayde: he semeth to be a tydynges brynger of newe deuyls, because he preacheth vnto them Iesus Ꟶ the resurreccion.
Acts.17.19	And they toke him, Ꟶ brought him into Marce strete, saying: maye we not knowe what thys newe doctryne wherof thou speakest, is?
Acts.17.20	For thou bryngest straunge tydynges to oure eares. We wold knowe therfore, what these thinges meane.
Acts.17.21	For all the Athenians and straugers which were there, gaue them selues to nothing els, but ether to tell, or to heare some newe thynge.
Acts.17.22	Paul stode in the myddes of Marce strete, Ꟶ sayde: ye men of Athens, I perceaue that in all thinges ye are to supersticyous.
Acts.17.23	For as I passed by, and behelde the maner how ye worshyp youre goddes, I founde an aulter wherin was writen: vnto the vnknowen God. Whom ye then ignorantly worshyppe, hym shew I vnto you.
Acts.17.24	God that made the worlde and all that are in it (seing that he is Lorde of heauen and earth) dwelleth not in tempels made with handes,
Acts.17.25	nether is worshipped with mennes handes, as though he neded of eny thynge, seinge he hym selfe geueth lyfe and breth to all men euery where,
Acts.17.26	Ꟶ hath made of one bloude all nacions of men, for to dwell on all the face of the earth, and hath assigned before, how longe tyme, Ꟶ also the endes of their inhabitacyon,
Acts.17.27	that they shuld seke God, yf they myght fele and fynde him, though he be not farre from euery one of vs.
Acts.17.28	For in hym we lyue, moue, and haue oure beinge, as certayne of youre awne Poetes sayde: For we are also his generacion,
Acts.17.29	For as moch then as we are the generacyon of God, we ought not to thinke that the Godhead is lyke vnto golde, syluer or stone, grauen by crafte and ymaginacyon of man.
Acts.17.30	And the tyme of this ignoraunce God regarded not. But now biddeth all men euery where repen
Acts.17.31	because he hath appoynted a daye, in the which he will iudge the world wt ryghte wesnes, by that man by whom he hath appoynted, Ꟶ hath offered fayth to all men, after that he had raysed him from deeth.
Acts.17.32	When they hearde of the resurreccion from deeth, some mocked, and other sayd: we wyll heare the agayne of thys matter.
Acts.17.33	So Paul departed from amonge them.
Acts.17.34	Howbeit certayne men claue vnto hym and beleued: amonge the which was Dyonysyus a senatour, and a woman named Damaris, and other with them.
Acts.18.1	After thys, Paul departed from Athens, and came to Corynthum,
Acts.18.2	and founde a certayne Iewe named Aquila, borne in Ponthus, lately come from Italie with his wyfe Priscilla (because that the Emperour Claudius had commaunded all Iewes to departe from Rome) and he drew vnto them,
Acts.18.3	because he was of the same crafte, he abode with them, Ꟶ wrought: theyr crafte was to make tentes.
Acts.18.4	And he preached in the synagoge euery Sabboth daye and exhorted the Iewes and the gentyls.
Acts.18.5	When Silas, and Timotheus were come from Macedonia, Paul was constrayned by the sprete, to testyfye to the Iewes that Iesus was very Chryst.
Acts.18.6	And when they sayde contrary Ꟶ blasphemed he shoke hys rayment and sayde vnto them: youre bloude be vpon youre awne heedes: from hence forth wyll I go blamelesse vnto the gentyls.
Acts.18.7	And he departed thence, and entred into a certayne mannes house, named Iustus, a worshypper of God, whose house ioyned hard to the synagoge.
Acts.18.8	Howbeit, one Crispus the chefe ruler of the synagoge beleued on the Lorde with all his housholde, and many of the Corinthians whan they gaue audience, beleued, and were baptised.
Acts.18.9	Then spake the Lorde to Paul in the nyght by a visyon: be not afrayde, but speake, and holde not thy peace:
Acts.18.10	for I am with the, Ꟶ noman shall inuade the that shall hurte the. For I haue moch people in this cytie.
Acts.18.11	And he continued there a yeare and syxe monethes, and taught them the worde of God.
Acts.18.12	When Gallio was ruler of the countre of Acaia, the Iewes made insurreccyon with one accorde agaynst Paul, and brought hym to the iudgement seate,
Acts.18.13	sayinge: this felowe counceleth men to worship God contrary to the lawe.
Acts.18.14	And whan Paul nowe was about to open his mouth, Gallio sayd vnto the Iewes: yf it were a matter of wronge, or an euyll dede (O ye Iewes) reason wolde that I shulde heare you:
Acts.18.15	but yf it be a question of wordes or of names, or of youre lawe, loke ye to it youre selues, For I will be no iudge of soche matters,
Acts.18.16	and he draue them from the seate.
Acts.18.17	Then all the Grekes toke Softenes the chefe ruler of the Synagoge, and smote hym before the iudges seate, And Gallio cared for none of those thynges.
Acts.18.18	Paul after thys, taryed there yet a good whyle, and then toke his leaue of the brethren and sayled thence into Ciria, Priscilla and Aquila accompanyinge hym. And he shore his heed in Cenchrea, for he had a vowe:
Acts.18.19	And he cam to Ephesus and lefte them there: but he hym selfe entred into the Synagoge, and reasoned with the Iewes.
Acts.18.20	When they desyred him to tary longer tyme with them, he consented not,
Acts.18.21	but bad them fare well sayinge. I must nedes (at thys feast that cometh) be in Ierusalem: but I wyll returne agayne vnto you yf God will. And he departed from Ephesus:
Acts.18.22	and whan he was come vnto Cesarea: and ascended vp and saluted the congregacyon, he departed vnto Antioche:
Acts.18.23	and when he had taryed there a whyle, he departed: and went ouer all the countre of Galacia and Phrygia by order, strengthynge all the discyples.
Acts.18.24	And a certayne Iew named Apollos, borne at Alexandria, came to Ephesus, an eloquent man, and myghty in the scryptures
Acts.18.25	The same was informed in the waye of the Lorde, and spake feruently in the sprete, and taught diligently the thinges of the Lord, Ꟶ knewe but the baptyme of Iohn onely.
Acts.18.26	And the same began to speake boldely in the Synagoge. Whom when Priscilla Ꟶ Aquila had hearde they toke him vnto them, Ꟶ expounded vnto hym the waye of God more perfectly.
Acts.18.27	And when he was disposed to go into Acaia, the brethren wrote, exhortyng the discyples to receaue him. Which whan he was come helped them moche which had beleued thorow grace.
Acts.18.28	For he ouercame the Iewes myghtely, and that openly, shewynge by the scryptures, that Iesus was Chryst.
Acts.19.1	It fortuned that whyll Apollo was at Corinthum, Paul passed thorowe the vpper coastes, and came to Ephesus, and founde certayne dysciples,
Acts.19.2	and sayde vnto them haue ye receaued the holy ghost, sence ye beleued? And they sayde vnto hym: no, we haue not hearde whether ther be eny holy ghost or no.
Acts.19.3	And he sayde vnto them. wherwith were ye then baptysed? And they sayde: with Iohns baptyme.
Acts.19.4	Then sayde Paul: Iohn verely baptysed with the baptim of repentaunce, sayinge vnto the people that they shulde beleue on hym, which shuld come after him: that is on Christ Iesus.
Acts.19.5	When they hearde thys, they were baptysed in the name of the Lorde Iesu.
Acts.19.6	And whan Paul layde hys handes vpon them. the holy ghost came on them, and they spake with tonges, and prophesyed,
Acts.19.7	and all the men were aboute twelue.
Acts.19.8	And he went into the synagoge, and behaued hym selfe boldely for the space of thre monethes, disputinge and geuinge them exhortacions of the kyngdome of God.
Acts.19.9	When dyuers wexed hard herted and beleued not, but spake euyll of the waye (and that before the multitude) he departed from them, and seperated the disciples. And he disputed dayly in the scole of one called Tyranus.
Acts.19.10	And this contynued by the space of two yeares: so that all they which dwelt in Asia, heard the worde of the Lorde Iesu, both Iewes and Grekes.
Acts.19.11	And God wrought speciall myracles by the handes of Paul:
Acts.19.12	so that from his body, were brought vnto the sicke, napkins Ꟶ partelettes, Ꟶ the diseases departed from them, and the euyll spretes went out of them.
Acts.19.13	Then certayne of the vagabunde Iewes exorcistes, toke vpon them to call ouer them (which had euyll spretes) the name of the Lorde Iesus, sayinge: We adiure you by Iesu, whom Paul preacheth.
Acts.19.14	And ther were seuen sonnes of one Sceua a Iew and chefe of the prestes which dyd so.
Acts.19.15	And the euyll sprete answered and sayd: Iesus I knowe, Ꟶ Paul I knowe: but who are ye?
Acts.19.16	And the man in whom the euyll sprete was, ranne on them, and ouercame them, and preuayled agaynst them so that they fledd out of that house naked and wounded.
Acts.19.17	And this was knowen to all the Iewes and Grekes also, which dwelt at Ephesus, Ꟶ feare came on them all, Ꟶ the name of the Lorde Iesus was magnyfyed.
Acts.19.18	And many that beleued, cam, and confessed and shewed their worckes.
Acts.19.19	Many of them which vsed curious craftes, brought their bokes, and burned them before all men, and they counted the pryce of them, and founde it fyfty thousand syluerlynges.
Acts.19.20	So mightely grewe the word of God, and preuayled.
Acts.19.21	After these thynges were ended, Paul purposed in the sprete (whan he had passed ouer Macedonia and Achaia) to go to Ierusalem, saying: After I haue bene there, I must also se Rome.
Acts.19.22	So sent he into Macedonia two of them that ministred vnto hym, euen Timotheus Ꟶ Erastus: but he hym selfe remayned in Asia for a season.
Acts.19.23	The same tyme ther arose no lytell a do aboute that waye.
Acts.19.24	For a certayne man named Demetrius, a syluersmyth (which made syluer shrynes for Diana) was not a lytell beneficiall vnto the craftesmen.
Acts.19.25	Whom he called together with the workemen of lyke occupacion, and sayd: Syrs, ye knowe that by this crafte we haue aduauntage.
Acts.19.26	Moreouer, ye se Ꟶ heare that not alone at Ephesus, but allmost thorowe out all Asia, thys Paul hath persuaded Ꟶ turned awaye moche people sayinge, that they be not goddes which are made with handes.
Acts.19.27	So that not only this oure crafte cometh into parell to be set at nought: but also that the temple of the greate Goddesse Diana shulde be despysed, Ꟶ her magnificence shulde be destroyed, whom all Asia and the world worshyppeth.
Acts.19.28	When they hearde these sayinges, they were full of wrathe, Ꟶ cryed out, sayinge. Greate is Diana of the Ephesians.
Acts.19.29	And al the cytie was on a rore, and they russhed into the comen hall with one assent, Ꟶ caught Gaius and Aristarcus, men of Macedonia, Pauls companions.
Acts.19.30	When Paul wolde haue entred in vnto the people, the dysciples suffred hym not.
Acts.19.31	But certayne of the chefe of Asia (which were his frendes) sent vnto him, desyrynge him, that he wolde not preace into the comen hall.
Acts.19.32	Some therfore cryed one thyng and some another, Ꟶ the congregacion was all out of quiete, Ꟶ the moare parte knewe not wherfore they were come together.
Acts.19.33	Some of the company drue forth Alexander, the Iewes thrustynge hym forwardes. Alexander: beckened with the hande, and wolde haue geuen the people an answer.
Acts.19.34	When they knewe that he was a Iewe, ther arose a shoute almost for the space of two houres, of all men, cryinge: greate is Diana of the Ephesyans.
Acts.19.35	When the towne clarcke had ceased the people, he sayde: ye men of Ephesus, what man is it that knoweth not how that the cytie of the Ephesyans is a worshypper of the great goddesse Diana, of the ymage which cam from heauen.
Acts.19.36	Seinge then that no man sayth here agaynst, ye ought to be content, and to do nothynge rashly:
Acts.19.37	for ye haue brought hyther these men: which are nether robbers of churches, not yet despisers of youre goddesse
Acts.19.38	Wherfore, yf Demetrius and the craftes men which are with hym, haue a matter agaynst eny man, the lawe is open, and ther are rulers, let them accuse one another.
Acts.19.39	But yf ye goo aboute eny other thynge, it shall be determined in a lawfull congregacyon.
Acts.19.40	For we are in ieopardy to be accused of thys dayes vproure, for as moche as ther is no cause, wherby we maye geue a rekenynge of thys concourse of people.
Acts.19.41	And when he had thus spoken, he let the congregacion departe.
Acts.20.1	After that the rage was ceased, Paul called the dyscyples vnto hym, and toke hys leaue of them, and departed for to go into Macedonia.
Acts.20.2	And when he had gone ouer those partyes, and had geuen them a longe exhortacyon, he cam into Grece
Acts.20.3	Ꟶ there abode .iij. monethes. And when the Iewes layde wayt for him as he was about to sayle into Syria, he purposed to returne thorow Macedonia.
Acts.20.4	Ther accompanied him into Asia, Sopater of Berrea, and of Thessalonia, Aristarcus and Secundus, and Gayus of Derba, Ꟶ Timotheus, Ꟶ out of Asia Tychicus and Trophimus.
Acts.20.5	These goynge before, taryed vs at Troas.
Acts.20.6	And we sayled awaye from Philippos after the dayes of swete bread, and cam vnto them to Troas in fyue dayes, where we abode seuen dayes.
Acts.20.7	And vpon one of the Saboth dayes, whan the disciples came together for to breake breed Paul preached vnto them (ready to departe on the morowe) Ꟶ continued the preaching vnto mydnyght.
Acts.20.8	And there were many lyghtes in the chamber, where we were gathered together,
Acts.20.9	Ꟶ ther sate in a wyndowe a certayne yonge man (named Euticus) beinge fallen into a depe sleepe. And as Paul was preachinge, he was the more ouercome with slepe, and fell downe from the thyrde lofte, Ꟶ was taken vp deed.
Acts.20.10	But whan Paul went doune, he fell on him Ꟶ embrased him and sayde: make nothynge a do, for his lyfe is in hym.
Acts.20.11	So when he was come vp agayne, Ꟶ had broken the bread Ꟶ eaten, and talcked a longe whyle (euen tyll the mornyng) at the last he departed.
Acts.20.12	And they brought the yonge man alyue, Ꟶ were not a lytell conforted.
Acts.20.13	And we went afore to shyppe, Ꟶ lowsed vnto Asson there to receaue Paul. For so had he appoynted, and wolde hym selfe goo a fote.
Acts.20.14	When we were come together at Asson, we toke him in, Ꟶ came to Mytilenes.
Acts.20.15	And we sayled thence, and cam the nexte daye ouer agaynst Chios. And the nexte daye we ariued at Samos, Ꟶ taried at Trogylon. The nexte daye we came to Myleton:
