Judg.0.0	¶ The boke of Iudges, called in the Hebrue Sophtim and in the Latin Iudicum.
Judg.13.10	And the wyfe made hast, and ranne, and shewed her husbande, Ꟶ sayde vnto hym: Beholde, the man apeared vnto me, that came vnto me to daye.
Judg.13.11	And Manoah arose, and went after hys wyfe, and came to the man, and sayde vnto him: art thou the man that spakest vnto my wyfe? And he sayde: I am.
Judg.13.12	Manoah sayde: now when thy saieng is come to passe: what shalbe the maner of the childe, and what shall he do?
Judg.13.13	And the angell of the Lorde sayd vnto Manoah: thy wyfe must absteyne from all that I sayde vnto her:
Judg.13.14	she maye eate of nothyng that cometh of the vyne tree, ner dryncke wyne or strong dryncke, nor eate any vncleane thynge: But must obserue all that I bad her.
Judg.13.15	Manoah sayde vnto the aungell of the Lord: we wyl kepe the styll, vntyll we haue made redye a kydd, and haue sett it before the.
Judg.13.16	And the angell of the Lorde sayde vnto Manoah: though thou make me abyde. I wyll not eate of thy bread. And yf thou wylt offre a burntoffring, thou must offer it vnto the Lorde. For Manoah wist not, that it was an angell of the Lord.
Judg.13.17	And Manoah said agayne vnto the angel of the Lord: what is thy name, that when thy sayinge is come to passe, we maye do the some worshyppe?
Judg.13.18	And the angel of the Lorde sayd vnto hym: why askest thou after my name, whych is Secrete.
Judg.13.19	And so Manoah toke a kydde wt a meateofferinge, and offered it vpon a rocke vnto the Lorde. And the angell dyd wonderouslye. Manoah and hys wyfe lokynge vpon.
Judg.13.20	And when the flame came vp toward heauen from the aultare, the angell of the Lord ascended vp in the flame of the aultare. And Manoah and hys wyfe loked vpon it, and fell flat on their faces vnto the grounde.
Judg.13.21	But the angel of the Lorde dyd nomoare apeare vnto Manoah and his wife. And then Manoah knew that it was an angel of the Lorde,
Judg.13.22	and sayde vnto hys wyfe we shall suerlye dye, because we haue sene God.
Judg.13.23	But his wife said vnto him: Yf the Lord wold kyll vs, he wolde not haue receaued a burntoffryng Ꟶ a meateoffring of oure handes, nether wolde he haue shewed vs all these thinges, nor wolde now haue tolde vs any soche.
Judg.13.24	And the wyfe bare a sonne, and called his name Samson. And the ladd grewe, and the Lorde blessed hym.
Judg.13.25	And the sprete of the Lorde beganne to moue hym in the host of Dan, betwene zaraah Ꟶ Esthaol.
Judg.14.1	Samson went downe to Thamnath, and sawe a woman in Thamnath of the daughters of the Philystines,
Judg.14.2	and he came vp, and tolde hys father and hys mother, and sayde: I haue sene a woman in Thamnath of the daughters of the Phylistynes. And now geue me her to wyfe.
Judg.14.3	Then hys father and mother sayde vnto hym: Is there neuer a woman among the daughters of thy brethren, and amonge all my people, but that thou must go, and take a wyfe of the vncircumcysed Phylistynes? And Samson sayde vnto his father: geue me thys woman, for she pleaseth me well.
Judg.14.4	But hys father and mother wyst not that it was the Lordes doynge, and that he sought an occasion agaynst the Philistynes, for at that tyme the Philistines raygned ouer Israel.
Judg.14.5	Then went Samson and hys father and his mother downe to Thamnath, and came to the vyne yardes of Thamnath. And behold a yonge lyon roared vpon hym.
Judg.14.6	And the sprete of the Lorde came vpon hym. And he tare hym, as he wolde haue rent a kydde, and yet had nothynge in hys hande, neyther tolde hys father Ꟶ mother what he had done.
Judg.14.7	And he went downe, Ꟶ talked with the woman, which semed well fauored in the syght of Samson.
Judg.14.8	And within a shorte space after, as he went thyther agayne to take her to wyfe, he turned oute of the waye, to se the carkasse of the lyon. And beholde, there was a swarme of bees, and honye in the carkasse of the lion.
Judg.14.9	And he toke of the honye in hys handes, and wente eatynge, and came to hys father and mother, and gaue them also. And they dyd eate. But he tolde not them, that he had taken the honye oute of the carkasse of the lyon.
Judg.14.10	And so hys father came vnto the woman, and Samson made there a feaste, for so vsed the yonge men to do.
Judg.14.11	And when they sawe him, they brought .xxx. companions to be with hym.
Judg.14.12	And Samson sayd vnto them: I wil now put forth a ryddle vnto you. And yf you can declare it me within .vij. dayes of the feast, Ꟶ fynde it out. I will geue you .xxx. shertes, and .xxx. chaunge of garmentes:
Judg.14.13	But Ꟶ yf you cannot declare it me, then shall ye geue me .xxx. shertes and .xxx. chaunge of garmentes. And they answered hym: put forth thy rydle, that we maye heare it.
Judg.14.14	And he sayd vnto them: Out of the eater came meate: and out of the stronge came swetnes. And they coulde not in .iij. dayes expounde the ryddle.
Judg.14.15	And when the seuenth daye was come, they sayde vnto Samsons wyfe: flater thyne husband, that he maye declare vs the ryddle, lest we burne the Ꟶ thy fathers house with fyer. Haue ye called vs hyther, to make vs beggers?
Judg.14.16	And Samsons wyfe wepte before hym and sayde: Surely thou hatest me and louest me not: for thou hast put forth a ryddle vnto the chyldren of my folcke, and hast not tolde it me. And he sayde vnto her: Beholde, I haue not tolde it my father and my mother, and shall I tell it the?
Judg.14.17	And Samsons wyfe wepte before hym .vij. dayes, whyle the feast lasted. And the .vii. daye he tolde her, because she laye so sore vpon him. And she tolde it the children of her folke.
Judg.14.18	And the men of the cytie sayd vnto hym the seuenth daye, before the sonne went downe. What is sweter then honye, Ꟶ what is stronger then a lyon? Then sayde he vnto them: If ye had not plowed with my caulfe, ye had not founde out my rydle.
Judg.14.19	And the sprete of the Lorde came vpon hym. And he went downe to Askalon, and slewe thyrty men of them, and spoyled them, and gaue chaunge of garmentes vnto them whych expounded the ryddle. And he was wroth, and went vp to hys fathers house.
Judg.14.20	But Samsons wyfe was geuen to one of hys companyons, that he had taken vnto hym.
Judg.15.1	But it chaunced within a whyle after, euen in the tyme of whete heruest, that Samson visited hys wyfe with a kydde, sayenge: I wyll go into my wyfe into the chaumber: but her father wolde not suffre hym to go in.
Judg.15.2	And her father sayd: I thought that thou haddest hated her, and therfore gaue I her vnto one of thy companions. Is not her yonger syster fayrer then she? Take her in steade of the other
Judg.15.3	Samson sayd vnto them: Now am I more blamelesse then the Philistines, and therfore wyll I do them displeasure.
Judg.15.4	And Samson went out, and caught thre hundred foxes, and toke fyrebrandes, and fastened tayle to tayle, and put a fyer brand in the myddes betwene two tayles.
Judg.15.5	And whan he had set the brandes of fyer, he sent them out into the standing corne of the Philistines, and burnt vp both the reped corne and also the standing, with the vyneyardes and olyues.
Judg.15.6	Then the Philistines sayde: who hath done thys? And it was tolde them that Samson the sonne in lawe of the Thamnite, because he had taken hys wyfe, and geuen her to hys companyon. And the Philistines came vp and burnt her and her father with fyer.
Judg.15.7	And Samson sayde vnto them: Though ye haue done this, yet will I be aduenged of you, and then I wyll cease.
Judg.15.8	And he smote them legge and thygh with a myghtye plage. And then he went and dwelt in the caue of the rocke Etam.
Judg.15.9	Then the Philistines came vp, Ꟶ pitched in Iuda, and laye in Lehi.
Judg.15.10	And the men of Iuda sayde, why are ye come vp vnto vs? They answered: to binde Samson are we come vp, and to do to hym as he hath done to vs.
Judg.15.11	Then thre thousande men of Iuda went downe to the caue of the rocke Etam, and sayde to Samson: wottest thou not that the Philistines are rulers ouer vs? Wherfore then hast thou done thus vnto vs? He answered them as they dyd vnto me, so haue I done vnto them.
Judg.15.12	And they sayd vnto hym agayne: we are come downe to bynde the, and to delyuer the into the hand of the Philistines. And Samson sayd vnto them: swere vnto me that ye shall not fal vpon me your selues.
Judg.15.13	They answered hym, sayenge: No, but we wyll bynde the, and delyuer the vnto their handes: But we wyll not kyl the. And they bounde him with two new cordes, Ꟶ brought hym from the rocke.
Judg.15.14	And when he came to Lehi, the Philistines showted agaynst him. And the sprete of the Lord came vpon hym, and the cordes that were vpon hys armes, became as flaxe that was burnt wt fyer, for the bandes lowsed from of hys handes.
Judg.15.15	And he founde a rotten Iawe bone of an asse, and put forth hys hande, and caught it, and slue a thousande men therwith.
Judg.15.16	And Samson sayde: with the Iawe of an asse, haue I made heapes of them: with the Iawe of an asse haue I slaine a thousand men.
Judg.15.17	And when he had left speakyng, he cast awaye the Iawe bone out of hys hand, and called the place Ramath Lehi.
Judg.15.18	And he was sore a thyrst, and called on the Lorde, Ꟶ sayde: Thou hast geuen this great victory, in the hande of thy seruaunt. And now I must dye for thyrst, and fall into the handes of the vncircumcised.
Judg.15.19	But God brake a great toth that was in the Iawe, and ther came water therout. And when he had droncke, his sprete came agayne, and was refresshed, wherfore the name therof was called, vnto this daye, the well of the caller on, which came of the Iawe.
Judg.15.20	And he iudged Israell in the dayes of the Philistines, twenty yeares.
Judg.16.1	Then wente Samson to Azath, and sawe ther an harlot, and went in vnto her.
Judg.16.2	And it was tolde the Azathites, sayeng: Samson is come hither. And they went aboute, Ꟶ layde awayte for hym there, all nyght in the gate of the cytie, and were still all the nyght, saying: in the mornyng whan it is daye, we shall kyll hym.
Judg.16.3	And Samson toke his rest tyll mydnyght, Ꟶ arose at mydnyght, and toke the dores of the gate of the cyte, and the two syde postes, and rent them of, with the barre and all, and put them vpon his shoulders, and caryed them vp to the top of an hyll, that is before Hebron.
Judg.16.4	And after thys, it fortuned, that by the ryuer of Sorek, he loued a woman, called Dalila:
Judg.16.5	vnto whom came the Lordes of the Philistines, and sayde vnto her: perswade hym, and se wherin his great strength lieth, and by what meane we maye ouercome him that we maye bynde him, to bryng him vnder, and euery one of vs shal geue the aleuen hundred syluerlynges.
Judg.16.6	And Dalila sayde to Samson: Oh, tell me where thy great strength lieth, and how thou myghtest be bounde, and brought vnder.
Judg.16.7	Samson answered vnto her: If they bynde me with seuen grene withes that were neuer dryed, I shalbe weake as other men.
Judg.16.8	And then the lordes of the Philistines brought her seuen wythes that were yet grene and neuer dryed, and she bounde hym therwith.
Judg.16.9	Notwithstandynge she had men lyinge in wayte with her in the chaumbre. And she sayd vnto hym: the Philistines be vpon the Samson. And immediatly he brake the cordes as a strynge of towe breaketh, when it fealeth fier. And so his strength was not knowen.
Judg.16.10	And Dalila sayde vnto Samson: Se, thou hast mocked me Ꟶ tolde me lyes. Now therfore tel me, wherwith thou mightest be bounde.
Judg.16.11	He answered her: yf they bynde me wyth new ropes that neuer were occupyed, I shalbe weake, and as another man.
Judg.16.12	Dalila therfore toke new ropes, and bounde hym therwith, and sayde vnto him: the Philistines be vpon the Samson. And there were lyers of wayte in the chamber, Ꟶ he brake them from of hys armes, as they had bene but a threde.
Judg.16.13	And Dalila sayde vnto Samson: hytherto thou hast begyled me, and tolde me lyes: yet tell me, how thou myghtest be bounde. He sayde vnto her: If thou plattedest the .vij. lokes of my head with an heare lace.
Judg.16.14	And she fastened them with a nayle, and sayde vnto hym: the Philistines be vpon the Samson. And he awaked out of his slepe, Ꟶ plucked awaye the nayle, that was in the plattinge with the heare lace.
Judg.16.15	And she sayde vnto hym agayne: How canst thou saye that thou louest me, when thyne herte is not with me? beholde, thou hast mocked me thys thre tymes, Ꟶ hast not tolde me, wherin thy greate strength lyeth.
Judg.16.16	And as she laye vpon him with her wordes continually vexyng of hym, hys soule was encombred euen vnto the death.
Judg.16.17	And so he tolde her all his hert, Ꟶ sayd vnto her: there neuer came raser vpon myne heed, for I haue bene an abstayner vnto God, euen from my mothers wombe: therfore whan I am shauen, my strength wyll go from me, and I shall waxe weake, and be lyke all other men.
Judg.16.18	And when Dalila sawe that he had tolde her all his hert, she sent and called for the lordes of the Philistines, sayeng: come vp yet this once, for he hath shewed me all hys herte. Then the lordes of the Philystines came vp vnto her, Ꟶ brought the money in their handes.
Judg.16.19	And she made him slepe vpon her knees Ꟶ she sent for a man, Ꟶ he dyd shaue of the seuen lockes of his heed, Ꟶ beganne to vexe him, Ꟶ his strength was gone from him.
Judg.16.20	And she sayde: the Philistines be vpon the Samson. And he awoke out of his slepe, Ꟶ sayd: I wil go out now as at other tymes before, Ꟶ shake my selfe, Ꟶ he wist not that the Lorde was departed from him.
Judg.16.21	But the Philistines toke hym, and put oute his eyes, Ꟶ brought hym downe to Azath, and bounde hym with two fetters of brasse. And he dyd grynde in the preson house,
Judg.16.22	howbeit the heare of hys head beganne to growe agayne after that he was shauen.
Judg.16.23	Then the lordes of the Philistines gathered them together, for to offer a solempne offrynge vnto Dagon theyr God, and to reioyse: for they sayde, oure God hath delyuered Samson oure enemy into oure handes.
Judg.16.24	And when the people sawe hym, they praysed theyr God: for they sayde: our God hath delyuered into oure handes oure enemy, and destroyer of oure countreye, whych slue manye of vs.
Judg.16.25	And when theyr hertes were merye, it fortuned, that they sayde: sende for Samson, that he maye make vs laugh. And they fette Samson oute of the preson house, and he played before them, and they set hym betwene the pyllers.
Judg.16.26	And Samson sayd vnto the ladd that leed him by the hand: sett me that I maye touche the pyllers, that the house stande vpon, and that I maye leane to them.
Judg.16.27	And the house was full of men Ꟶ women. And there were all the lordes of the Philistines. And there were vpon the roufe a thre thousande men and wemen, that behelde whyle Samson played.
Judg.16.28	And Samson called vnto the Lord, and sayde: O Lorde God, thyncke vpon me, and strengthen me, at thys tyme onlye, O God, that I maye be aduenged of the Philistines for my two eyes.
Judg.16.29	And Samson caught the two middel pillers on which the house stode, and on which it was borne vp, the one in hys ryght hande, and the other in hys lefte,
Judg.16.30	and sayde: my soule shall dye with the Philistines, and bowed them with all hys myghte. And the house fell vpon the lordes and vpon all the people that were therin. And so the deed which he slewe at hys deeth, were moo then they whych he slewe in hys lyfe.
Judg.16.31	And then hys brethren and al the house of hys father came downe, Ꟶ toke him vp, Ꟶ brought hym, and buryed hym betwene zarah and Estahol, in the buryinge place of Manoah hys father. And he iudged Israell twentye yeares.
Judg.17.1	There was a man in mount Ephraim named Micah,
Judg.17.2	and he sayde vnto hys mother: the leuen hundreth syluerlynges that were taken from the, aboute which thou cursedst, Ꟶ spakest it in myne eares. Behold, the syluer is with me, I toke it awaye. And hys mother sayde: blessed be thou my sonne, in the Lorde.
Judg.17.3	And when he had restored the leuen hundred syluerlynges to his mother agayne, his mother sayde: I vowed the syluer vnto the Lord of myne hande for the my sonne: that thou shuldest make a grauen ymage and an ymage of metall. Now therfore, I wyll geue it the agayne.
Judg.17.4	And when he restored the moneye againe vnto his mother, his mother toke two hundreth syluerlynges, and gaue them to a goldsmyth, which made therof a grauen image, and a ymage of metall, and it was in the house of Micah.
Judg.17.5	And the man Micah had a temple of goddes, and made an Ephod and Theraphim, and fylled the hande of one of hys sonnes which became hys preaste.
Judg.17.6	In those dayes there was no kyng in Israel, but euery man dyd that which was good in hys awne eyes.
Judg.17.7	And there was a yonge man out of Bethlehem Iuda, of the kynred of Iuda: which yonge man was a Leuite, Ꟶ soiourned ther.
Judg.17.8	And the man departed oute of the cytie of Bethlehem Iuda, to go dwel where he coulde fynde a conuenient place. And he came to mount Ephraim, to the house of Micah as he iourneyed.
Judg.17.9	And Micah sayde vnto hym. whence commest thou? The leuite answered hym. I am of Bethlehem Iuda, Ꟶ go to dwell where I maye fynde a place.
Judg.17.10	And Micah sayd agayne vnto him: dwell with me, and be vnto me a father and a preste. And I wyll geue the ten syluerlynges by yeare, two garmentes, and thy meate and dryncke.
Judg.17.11	And the Leuite was content to dwell wt the man, and was vnto hym as one of hys awne sonnes.
Judg.17.12	And Micah consecrated the hande of the leuite, and the yonge man became his preste, and was in the house of Micah.
Judg.17.13	Then sayde Micah: now I am sure, that the Lord wyll be good vnto me, seynge: I haue a leuyte to my preste.
Judg.18.1	In those dayes there was no king in Israell. And in those dayes the tribe of Dan sought then an enheritaunce to dwell in for vnto that tyme there fel none enheritaunce vnto them amonge the trybe of Israell.
Judg.18.2	And the children of Dan sent of their kinred fyue actyue men in feates of warre oute of theyr coastes, euen out of zaraah and Estahol, to vewe the lande and searche it out, and sayde vnto them: go, and searche out the lande. Which whan they came to mount Ephraim, euen to the house of Micah, they lodged ther
Judg.18.3	And when they were in the house of Micah, they knewe the voyce of the yonge man the leuite: and when they turned in thyther, they sayde vnto hym: who brought the hyther? what makest thou in thys place? and what hast thou here?
Judg.18.4	And he answered them: thus and thus dealed Micah with me, and hath hired me, and I am become hys preste.
Judg.18.5	And they sayde vnto hym agayne: Aske councell now of God, that we maye knowe, whether the waye whych we go, shalbe prosperous, or no.
Judg.18.6	And the preste sayde vnto them: go in peace, for the Lorde gydeth your waye which ye go.
Judg.18.7	Then the fyue men departed, and came to Lais, and sawe the people that were therin, how they dwelt careles, after the maner of the Sydons, styll, and without castynge of parelles: and that no man made any trouble in the land, or vsurped any domynion, but were farre from the Sidons, and had no busines with other men.
Judg.18.8	And they came vnto theyr brethren, to zaraah Ꟶ Estahol. And their brethren sayd vnto them: what haue ye done?
Judg.18.9	And they answered: Aryse, that we maye go vp agaynst them, for we haue sene the lande: surely a very good one. And do ye sytt stil? be not slouthful to departe: But come to conquere the lande.
Judg.18.10	Yf ye wyll go, ye shall come vnto a people that casteth no parelles, Ꟶ it is a very large countre: which God hath geuen into your handes. It is also a place, which doth lacke nothynge that is in the worlde.
Judg.18.11	And there departed thence of the kynred of the Dannites, euen out of zaraah and Esthaol, syxe hundred men appoynted with instrumentes of warre.
Judg.18.12	And they went vp, and pitched in kariath Iarim which is in Iuda. Wherfore they called the place, the hoost of Dan, vnto thys daye: and it is on the backsyde of kariath Iarim.
Judg.18.13	And they went thence vnto mount Ephraim, Ꟶ came to the house of Micah.
Judg.18.14	Then answered the fyue men that went to spye out the countre of Lais, Ꟶ sayde vnto their brethren: wot ye not that there is in these houses an Ephod, Theraphim, a grauen ymage, Ꟶ an ymage of metall? Now therfore consydre what ye haue to do.
Judg.18.15	And they turned thitherwarde and came to the house of the yong man the Leuite, euen vnto the house of Micah, and saluted hym peasably.
Judg.18.16	And the syxe hundred men gyrded with weapons of warre, which were of the chyldren of Dan, stode by the enteryng of the gate.
Judg.18.17	And the fyue men that went to spye out the lande, went in thyther and toke the kerued Image, and the Ephod, Theraphim, and the ymage of metall. And the preste stode in the enterynge of the gate with the syxe hundred men that were armed vnto batayl,
Judg.18.18	whyle the other wente into Michas house, and fet the kerued ymage, the Ephod, Theraphim, and the ymage of metall. Then sayd the preste vnto them: what do ye?
Judg.18.19	They answered hym: holde thy peace, laye thyne hande vpon thy mouth, and come with vs, to be oure father Ꟶ preste. Is it better for the to be a preste vnto the house of one man, then to be a prest vnto a trybe or a kynred in Israell?
Judg.18.20	And the preste was glad and toke the Ephod, and Theraphim, and the grauen ymage, Ꟶ went with the people.
Judg.18.21	And they turned and departed, and put the chyldren, the catell and their other substaunce before them.
Judg.18.22	And when they were a good waye from the house of Micah, the men that were in the houses, and in Micahs house, made an oute crye, and folowed after the chyldren of Dan, and called vnto them.
Judg.18.23	And they turned their faces, and sayde vnto Micah: what ayleth the, that thou makest an out crye?
Judg.18.24	And he sayd: ye haue taken awaye my goddes whych I made, and also the preste, and go your wayes with them. And what haue I more? how then saye ye vnto me, what ayleth the?
Judg.18.25	And the chyldren of Dan sayde vnto hym: let not thy voyce be hearde amonge vs, lest angrye felowes runne vpon the, and thou loose thy lyfe with the lyues of all thyne housholde.
Judg.18.26	And so the chyldren of Dan wente theyr wayes. And when Micah sawe that they were to stronge for hym, he turned and went backe vnto hys house agayne.
Judg.18.27	And they toke the thynges which Micah had made, Ꟶ the preste which he had, Ꟶ came vnto Lais, euen vnto a people that were at reast Ꟶ without mistrust, Ꟶ smote them with the edge of the swerd, Ꟶ burnt the cytie with fyre.
Judg.18.28	And there was no man to helpe, because Lais was farre from Sidon, Ꟶ they had no medelyng with any other man. And the cyte stode in the valey that lyeth by Bethrehob. And they bylt them there a cytie, Ꟶ dwelt therin.
Judg.18.29	And called it Dan, after the name of Dan their father which was borne vnto Israell. Howbeit, in very dede the name of the cytie was Lais at the begynninge.
Judg.18.30	And the chyldren of Dan set them vp the grauen ymage. And Ionathan the sonne of Gerson, the sonne of Manasses and hys sonnes were the prestes in the trybe of Dan vntyll they were caryed awaye out of the land captyue.
Judg.18.31	And they sett them vp the kerued ymage which Micah made, all the whyle that the house of God was in Silo.
Judg.19.1	It chaunced in those dayes, when there was no kyng in Israel, that a certayn leuyte sogeournynge on the syde of mount Ephraim, toke to wyfe a concubyne out of Bethlehem Iuda:
Judg.19.2	and hys concubyne played the whore by hym, and went awaye from hym, vnto her fathers house to Bethlehem Iuda, and there continued foure monethes.
Judg.19.3	And her husbande arose, and went after her, to speake frendely vnto her, and to bring her home agayne, hauynge hys ladd with hym, and a couple of asses. And she brought him vnto her fathers house, and when the father of the damosell sawe hym, he reioysed of hys comyng.
Judg.19.4	And his father in lawe the damosels father kept him. And the Leuyte aboade with hym thre dayes, and so they dyd eate and drincke, and lodged there.
Judg.19.5	The fourth daye whan they arose erly in the mornynge, the man stode vp, to departe. And the damoselles father sayd vnto his sonne in lawe: confort thyne hert with a morsell of bread, and then go your waye.
Judg.19.6	And they sate downe, and dyd eat and drincke both of them togeather. And the damoselles father sayd vnto the man: Be content I praye the, Ꟶ tarye all nyght, and let thyne herte be mery.
Judg.19.7	And when the man stode vp to departe, hys father in lawe compelled him to turne againe: and to tarie all nyght there.
Judg.19.8	And he rose vp erlye the fyfth daye to departe, and the damoselles father sayde, comforte thine herte: Ꟶ they taried vntyll after middaye. And they dyd eate bothe of them to geather.
Judg.19.9	And when the man arose to departe with his concubine and his ladd, his father in law the damoselles father sayde vnto hym: beholde, the daye gothe fast awaye Ꟶ draweth towarde euen, tary all night: at the least waye tarye this daye here, that thyne hert maye be merye. And to morowe get you erlye vpon your waye, that thou mayest get the to thy tent.
Judg.19.10	Neuerthelater the man wolde not tary, but arose and departed, and came as ferre as Iebus, (which is Ierusalem) and his two asses laden, and his concubine and his ladd with him.
Judg.19.11	And when they were fast by Iebus the daye was sore spent, and the younge man sayd vnto his master: come I praye the and let vs turne in, into this cytie of the Iebusites and lodge all night there.
Judg.19.12	His master answered him: we will not turne into a straunge cytie that are not of the chyldren of Israel: we wyll go forth to Gibea.
Judg.19.13	And he sayd vnto hys ladd, go forwarde, and we shall come to one of these places to lodge all night ether in Gibea or in Rama.
Judg.19.14	And they went forwarde vpon theyr waye, and the sonne went downe vpon them, when they were fast by Gibea which belongeth to them of BenIamin.
Judg.19.15	And they turned thither warde to go in, and lodge all nyght in Gibea. And when he came, he sat him downe in a streat of the cytie, for there was no man that toke them to lodginge.
Judg.19.16	And behold, there came an olde man from his worke, out of the felde at euen, which was also of mount Ephraim, Ꟶ dwelt as a straunger in Gibea. But the men of the place were the children of Iemim.
Judg.19.17	And when he had lyfte vp his eyes, he sawe a wayefaring man in the streate of the cytie. And the olde man sayde: whether goest thou? And whence comest thou?
Judg.19.18	He answered him: we come from Bethlehem Iuda towarde the syde of mount Ephraim: from thence am I, and I went to Behlehem Iuda, and go now to the house of the Lord. And there is no man that receaueth me to house.
Judg.19.19	We haue strawe and prauender for oure Asses, and bread and wyne for me and thy handmayde, and for the ladd that is with thy seruaunt, and we lacke nothynge.
Judg.19.20	The olde man sayd: peace be with the, all that thou lackest shalt thou fynde with me: onelye abyde not in the streate all nyght,
Judg.19.21	and so he brought him into his house, and gaue fodder vnto his Asses. And they wasshed their fete, and dyd eate and drynck.
Judg.19.22	And as they were makynge their herttes merye, beholde, the men of the cytie which were wicked, set the house rounde aboute, and thrust at the dore, and spake to the man of the house, the olde man, sayinge: brynge forth the man that came into thyne house, that we maye knowe hym.
Judg.19.23	And the man of the house, the olde man went out, and sayde vnto them, Oh, naye my brethren, do not so wickedlye, seyng that this man is come into myne house: do not so vnmete a thing.
Judg.19.24	Beholde, here is my daughter a mayden, and this mannes concubine, them I wyll bringe out now vnto you, and humble them, and do with them what semeth you good: but vnto this man, do not so abhominable a thinge.
Judg.19.25	But the men wolde not herken to him. And the man toke his concubine, and brought her out vnto them, which knewe her, and abused her, all the nyght, euen vnto the mornynge. And when the daye beganne to sprynge, they let her go.
Judg.19.26	And then came the woman in the dawnyng of the daye, and fell downe at the doore of the mannes house, where her Lorde was, tyll it was daye.
Judg.19.27	And her Lorde arose vp in the mornyng, and opened the dores of the house, and went out to go hys waye. And beholde, the woman, euen his concubine laye a longe before the dore of the house, Ꟶ her handes stretched out vpon the thressholde. And he
Judg.19.28	sayde vnto her: vp and let vs be goynge. But she answered not. Then the man toke her vp vpon an Asse, and stode vp, and gat him vnto his awne home.
Judg.19.29	And when he was come vnto his house, he toke a knyfe, Ꟶ caught hys concubine, and deuided her with the bones into twelue peces, and sent her into all quarters of Israell.
Judg.19.30	And all that sawe it, sayde: there was no soche dede done or sene sence the children of Israel cam out of Egipt vnto this daye, consyder the matter, take aduisement, and saye youre myndes.
Judg.20.1	Then all the chyldren of Israel went out: and the congregacyon was gathered togeather as it had bene but one man, euen from Dan to Berseba and vnto the lande of Gilead, vnto the Lorde in Mizpa,
Judg.20.2	and there stode folke out of al quarters and of all the trybes of Israell, in the congregacyon of the people of God, foure hundred thousande fote men that drewe swerdes.
Judg.20.3	And whan the chyldren of BenIamin hearde that the chyldren of Israell were gone vp to Mizpa, and had sayde. O ye chyldren of Israell, tell vs how this wickednesse happened.
Judg.20.4	And the Leuite, the womans husbande that was slayne, answered and sayde, I came into Gybea that is in BenIamin with my concubyne to lodge all nyght.
Judg.20.5	And the men of Gibea rose agaynst me, and set the house rounde aboute vpon me by nyght, and thought to haue slayne me: and my concubyne haue they so forced, that she is deed.
Judg.20.6	And I toke my concubyne, and cutt her in peces, and sent her thorow out all the landes of the enherytaunce of Israell. For they haue commytted abhominacyon and folly in Israell.
Judg.20.7	Beholde, ye are all chyldren of Israell. Pondre thys matter, and geue youre aduyse in the case
Judg.20.8	And all the people arose, as it had ben one man, saying, there shall not a man of vs go to his tent, nether turne into his house.
Judg.20.9	But this shalbe it that we wyll do to Gibea: We will go vp by lottte agaynst it.
Judg.20.10	And we will take ten men of the hundred thorowe out all the trybes of Israell, and an hundred of the thousande, and a thousande out of ten thousande, to fett vitayle for the people to make that they maye go agaynst Gibea BenIamin, because of all the abhominacyon, that they haue wrought in Israell.
Judg.20.11	And so all the men of Israell gathered to geather agaynst the cytie, knyte to geather, as it had ben but one man.
Judg.20.12	And the trybes of Israell sent men thorow all the trybe of BenIamin sayinge what wyckednesse is this that is happened amonge you?
Judg.20.13	Now therfore delyuer vs the men, those chyldren of Belial which are in Gibea, that we maye sley them, and put awaye euell from Israell. Neuerthelater the chyldren of BenIamin wolde not herken vnto the voyce of their brethren the chyldren of Israell:
Judg.20.14	but geathered them selues to geather out of the cyties vnto Gibea, to come out and fight agaynst the chyldren of Israell.
Judg.20.15	And the chyldren of BenIamin were nombred at that tyme, out of the cyties .xxvj. thousand men that drewe swerdes, besyde the enhabiters of Gibea, which were nombred seuen hundred chosen men.
Judg.20.16	And amonge all these folke were seuen hundred left handed men, which euery one coulde slyng stones at an heare breadeth, and not mysse.
Judg.20.17	And the chyldren of Israell besyde BenIamin, were nombred foure hundred thousande men that drew swerdes, and were all men of warre.
Judg.20.18	And the chyldren of Israell arose, Ꟶ went vp to Bethel, Ꟶ asked councell of God, who shulde begynne the battell agaynst the chyldren of BenIamin? And the Lord sayd. Iuda shall begynne.
Judg.20.19	And the chyldren of Israel stode vp erlye and beseged Gibea.
Judg.20.20	And the men of Israell went out to battell agaynst BenIamin, and the men of Israel put them selues in araye to fyght agaynst them, besyde Gibea.
Judg.20.21	And the chyldren of BenIamin came out of Gibea, and destroyed of the Israelites that daye .xxij. thousande men, and brought them to the erth.
Judg.20.22	And the folke of the chyldren of Israell plucked vp their hertes and went to agayne, and made batell in the same place where they dyd the fyrst daye.
Judg.20.23	And the chyldren of Israel went vp, and wept before the Lord vnto euen, and asked of the Lord, saying, shall we go agayne to battell agaynst the chyldren of BenIamin oure brethren? And the Lord sayde: go vp agaynst them.
Judg.20.24	And the chyldren of Israel came out agaynst the children of BenIamin the seconde daye.
Judg.20.25	And the chyldren of BenIamin went agaynst them out of Gibea, the seconde daye, and destroyed to the erth of the chyldren of Israell once agayne .xviij. thousande men that drew swerdes euery man of them.
Judg.20.26	Then the chyldren of Israell and all the people went vp and cam vnto Bethell, and wepte and sat there before the Lord, and fasted the same daye vnto euen, Ꟶ offered burntofferynges and peaceofferynges before the Lorde.
Judg.20.27	And the chyldren of Israel asked the Lord: for there was the arcke of the apoyntment of God,
