Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.27.24	And he axed hym: art thou my sonne Esau? And he sayde, that I am.
Gen.27.25	Than sayde he: brynge me Ꟶ let me eate of my sonnes venyson, that my soule maye blesse the. And he brought hym and he eate. And he brought hym wyne also, and he drancke.
Gen.27.26	And hys father Isahac sayde vnto hym, come nere, and kysse me my sonne.
Gen.27.27	And he went vnto hym and kyssed hym. And he smelled the sauoure of hys rayment, and blessed hym, and sayde, See, the smelle of my sonne is as the smell of a felde whych the Lorde had blessed.
Gen.27.28	God geue the of the dewe of heauen, and of the fatnesse of the erth, and plentye of corne and wyne.
Gen.27.29	People be thy seruauntes, and nacyons bowe vnto the. Be Lorde ouer thy brethren, and thy mothers chyldren stowpe vnto the. Curssed be he that cursseth the, and blessed be he that blesseth the.
Gen.27.30	It happened that assoone as Isahac had made an ende of blessynge and Iacob was skace gone out from the presence of Isahac his father, then came Esau his brother from his huntyng
Gen.27.31	and had made also meate, and brought it vnto hys father, and sayde vnto his father: let my father aryse and eate of his sonnes venyson, that thy soule maye blesse me.
Gen.27.32	Than hys father Isahac sayde vnto hym: who art thou? he answered: I am thy eldest sonne Esau.
Gen.27.33	And Isahac was greatly astonyed out of mesure, and sayde: whych is he Ꟶ where is he then that hath hunted venyson and brought it me? and I haue eaten of all before thou camest, and haue blessed hym, Ꟶ he shall be blessed.
Gen.27.34	When Esau herde the wordes of hys father, he cryed out greatly and bytterly, aboue mesure, and sayde vnto hys father: blesse me also my father.
Gen.27.35	Who answered: thy brother came wyth subtilte, Ꟶ hath taken awaye thy blessyng.
Gen.27.36	And he sayd agayne: He maye well be called Iacob, for he hath vndermyned me now two tymes, fyrst he toke awaye my byrthryght: and se, nowe hath he taken awaye my blessynge also. And he sayde: hast thou kept neuer a blessynge for me?
Gen.27.37	Isahac answered and sayde vnto Esau: beholde I haue made hym thy Lord, and all hys mothers chyldren haue I made hys seruauntes. Moreouer wyth corne Ꟶ wyne haue I stablysshed hym, what can I do vnto the nowe my sonne?
Gen.27.38	And Esau sayde vnto hys father: hast thou but that one blessynge my father? blesse me also my father: so lyfted vp Esau his voyce and wepte.
Gen.27.39	Than Isahac hys father answered Ꟶ sayde vnto hym: beholde, thy dwellinge place shall be the fatnesse of the erth, and of the dewe of heauen from aboue.
Gen.27.40	And wyth thy swerde shalt thou lyue, and shalt be thy brothers seruaunt. And it wyll come to passe, that when thou shalt gett the mastrye, thou shalt lowse hys yocke from of thy necke.
Gen.27.41	And Esau hated Iacob, because of the blessynge that hys father blessed hym wyth. all. And Esau sayde in his harte: The dayes of my fathers sorowe are at hande, and I wyll sley my brother Iacob.
Gen.27.42	And these wordes of Esau hyr eldest sonne were tolde to Rebecca. And she sent and called Iacob hyr yongest sonne, and sayde vnto hym: beholde thy brother Esau threatneth to kyll the:
Gen.27.43	nowe therfore my sonne heare my voyce, make the redy, Ꟶ flee to Laban my brother at Haran:
Gen.27.44	Ꟶ tarye wyth him a whyle vntyll thy brothers fearsnes be swaged,
Gen.27.45	Ꟶ vntyll thy brothers wrath turne awaye from the, Ꟶ he forget the thynges whych thou hast done to him. Than wyll I sende and fet the awaye from thence. Why shulde I be desolate of you bothe in one daye?
Gen.27.46	Ꟶ Rebecca spake to Isahac, I am wery of my lyfe, for feare of the daughters of Heth. If Iacob take a wife of the daughters of Heth, soche one as these are, or of the daughters of the lande, what good shall my lyfe do me?
Gen.28.1	And so Isahac called Iacob and blessed hym, Ꟶ charged hym, Ꟶ sayde vnto him: se thou take not a wyfe of the daughters of Chanaan,
Gen.28.2	but aryse Ꟶ gett the to Mesopotamia to the house of Bethuel thy mothers father: and there take the a wyfe of the daughters of Laban thy mothers brother.
Gen.28.3	And God almyghtye blesse the, Ꟶ make the to increase, and multyplye the that thou mayst be a nombre of people,
Gen.28.4	and geue the the blessynge of Abraham: to the and to thy seed wyth the, that thou mayst possesse the lande (wherin thou art a straunger) whyche God gaue vnto Abraham.
Gen.28.5	Thus Isahac sent forth Iacob. And he went to Mesopotamia vnto Laban, sonne of Bethuel the Sirien, and brother to Rebecca Iacob and Esaus mother.
Gen.28.6	When Esau sawe that Isahac had blessed Iacob, and sent him to Mesopotamia, to fet him a wyfe thence, and that as he blessed hym he gaue him a charge, sayinge: thou shalt not take a wyfe of the daughters of Chanaan:
Gen.28.7	and that Iacob had obeyed hys father and mother, Ꟶ was gone vnto Mesopotamia:
Gen.28.8	Ꟶ Esau seynge also that the daughters of Chanaan pleased not Isahac hys father:
Gen.28.9	then went he vnto Ismael, and toke vnto the wyues whych he had, Mahala the daughter of Ismael Abrahams sonne, the syster of Nabaioth to be his wyfe.
Gen.28.10	Iacob departed from Beer Seba, to come vnto Haran,
Gen.28.11	and came vnto a place by chaunce, and taryed there all nyghte, because the sonne was downe. And toke a stone of the place, and put it vnder hys heade, and layde hym downe in the same place a slepe.
Gen.28.12	And he dreamed: and beholde, there stode a ladder vpon the erth, and the topp of it reached vp to heauen. And se, the angels of God went vp and downe vpon it,
Gen.28.13	yce and God stode vpon it, and sayde. I am the Lorde God of Abraham thy father, and the God of Isahac: The lande whyche thou slepest vpon wyll I geue the and thy seed.
Gen.28.14	And thy seed shall be as the dust of the erth: and thou shalt spreade abrode to the west, to the east, to the north and to the south. And thorowe the and in thy seed shall all the kynredes of the erth be blessed.
Gen.28.15	And se I am wyth the, and wylbe thy keper in all places whether thou goest, and wyll brynge the agayne in to thys lande: nether wyll I leaue the vntyll I haue made good all that I haue promysed the.
Gen.28.16	When Iacob was awaked out of hys slepe, he sayde: surely the Lord is in this place, and I was not aware.
Gen.28.17	And he was afrayed Ꟶ sayde: howe fearfull is this place? it is none other, but euen the house of God and the gate of heauen.
Gen.28.18	And Iacob stode vp early in the mornynge, Ꟶ toke the stone that he had layde vnder hys head, and pitched it vp an ende and poured oyle on the topp of it.
Gen.28.19	And he called the name of that place Bethell, but the name of the cytie was called Lus before tyme.
Gen.28.20	And Iacob vowed a vowe, sayinge: If God wyll be wyth me, and wyll kepe me in thys iourney which I goo, and will geue me bread to eate, and clothes to put on,
Gen.28.21	so that I come agayne vnto my fathers house in saftye: then shall the Lorde be my God,
Gen.28.22	and thys stone which I haue set vp an ende, shalbe goddes house: and of all that thou shalt geue me, wyll I geue the tenth vnto the.
Gen.29.1	Then Iacob lyfte vp hys fete, Ꟶ came into the east countrey.
Gen.29.2	And as he loked aboute, beholde there was a well in the felde, and .iij. flockes of shepe laye therby (for at that well were the flockes watered) and there was a great stone vpon the well mouth.
Gen.29.3	And thyther were all the flockes brought, and they rolled the stone from the welles mouth, and watred the shepe, Ꟶ put the stone agayne vpon the welles mouth vnto hys place.
Gen.29.4	And Iacob sayd vnto them: brethren whence be ye? And they sayde: of Haran are we.
Gen.29.5	And he sayd vnto them: knowe ye Laban the sonne of Nahor? They sayd: we knowe hym.
Gen.29.6	And he sayde vnto them, is he in good health? And they sayde, he his in good health, and beholde, hys daughter Rahel commeth with the shepe.
Gen.29.7	And he sayde, lo, it is yet but hye daye, nether is it tyme that the catell shulde be gathered together, water ye the shepe and go and fede them.
Gen.29.8	And they sayde, we maye not, vntyll all the flockes he brought to gether, and tyll they roll the stone from the welles mouth, and so we water oure shepe.
Gen.29.9	Whyle he yet talked wyth them, Rahel came wyth hyr fathers shepe, for she kepte them.
Gen.29.10	As soone as Iacob sawe Rahel, the daughter of Laban his mothers brother, and the shepe of Laban hys mothers brother, he went and rowled the stone from the wells mouth, and watered the flocke of Laban his mothers brother.
Gen.29.11	And Iacob kyssed Rahel, and lyfte vp hys voyce and wepte:
Gen.29.12	and Iacob tolde Rahel, that he was hyr fathers brother Ꟶ Rebeccas sonne. Therfore ranne she and tolde hyr father.
Gen.29.13	And it happened when Laban hearde tell of Iacob his systers sonne, he ranne to mete him, Ꟶ embraced him Ꟶ kissed him, Ꟶ brought him to his house. And he tolde Laban all the matter.
Gen.29.14	To whom Laban sayde: well, thou art my bone Ꟶ my fleshe. And he abode wyth him the space of a moneth.
Gen.29.15	And Laban sayde vnto Iacob: Though thou be my brother, shuldest thou therfore serue me for naught? tell me, what shall thy wages be?
Gen.29.16	Laban had .ij. daughters, the eldest called Lea Ꟶ the yongest Rahel.
Gen.29.17	Lea was tender eyed, but Rahel was bewtyfull Ꟶ well fauored.
Gen.29.18	And Iacob loued Rahel, and sayde: I wyll serue the .vij. yeare for Rahel thy yongest daughter.
Gen.29.19	Laban answered: it is better that I geue her the, than to another man: byde wyth me.
Gen.29.20	And Iacob serued .vij. yeares for Rahel and they semed vnto him but a fewe dayes, for the loue he had to her.
Gen.29.21	And Iacob sayde vnto Laban: geue me my wyfe, that I maye lye with hir. For my dayes are fulfilled:
Gen.29.22	Than Laban gathered together all the men of that place, Ꟶ made a feast.
Gen.29.23	And when euen was come he toke Lea hys daughter Ꟶ brought her to hym: and he went in vnto hyr.
Gen.29.24	And Laban gaue vnto hys daughter Lea, zilpha hys mayde, to be hyr seruaunte.
Gen.29.25	And when the mornynge was come, beholde it was Lea. Than sayde he to Laban wherfore hast thou played thus wt me? dyd not I serue the for Rahel? wherfore than hast thou begyled me?
Gen.29.26	Laban answered: it is not the maner of thys place, to marye the yongest before the eldest.
Gen.29.27	Passe out thys weke, and than shall thys also be geuen the for the seruyce whych thou shalt serue me yet .vij. yeres more.
Gen.29.28	And Iacob dyd euen so, and passed out that weke, and than he gaue him Rahel hys daughter to wyfe also.
Gen.29.29	And Laban gaue to Rahel hys daughter, Bilha hys handmayde to be hyr seruaunte.
Gen.29.30	So laye he by Rahel also, and loued Rahel more than Lea and serued hym yet .vij. yeares more.
Gen.29.31	When the Lorde sawe that Lea was despised, he made her frutefull. And Rahel remayned baren.
Gen.29.32	And Lea conceaued and bare a sonne, and called hys name Ruben, for she sayde: the Lorde hath loked vpon my tribulacyon. Nowe therfore my husband wyll loue me.
Gen.29.33	And she conceaued agayne and bare a sonne, and sayde: the Lorde hath herde that I am despysed, and hath therfore geuen me thys sonne also, and she called hys name Simeon.
Gen.29.34	And she conceaued yet, Ꟶ bare a sonne, and sayde: nowe thys once wyll my husbande kepe me company, because I haue borne hym .iii. sonnes: and therfore was hys name called Leui.
Gen.29.35	And she conceaued yet agayne, and bare a sonne, sayinge: nowe wyll I prayse the Lorde: therfore she called hys name Iuda, and left bearynge.
Gen.30.1	Rahel whan she sawe that she bare Iacob no chyldren, she enuyed hyr syster, and sayde vnto Iacob: Geue me children, or els I am but deed.
Gen.30.2	And Iacob was wrooth wt Rahel sayig: Am I in Goddes stead, which kepeth from the the frute of thy wombe?
Gen.30.3	Then she sayd: here is my mayde Bilha, go in vnto her, Ꟶ she shall beare vpon my lappe, that I maye be encreased by her.
Gen.30.4	And she gaue hym Bilha hyr handmayde to wyfe.
Gen.30.5	And Iacob went in vnto her, and Bilha conceaued Ꟶ bare Iacob a sonne.
Gen.30.6	Than sayde Rahel. God hath geuen sentence on my syde, and hath also hearde my voyce, and hath geuen me a sonne. Therfore called she hym Dan.
Gen.30.7	And Bilha Rahels mayde conceaued agayne, and bare Iacob another sonne.
Gen.30.8	And Rahel sayde: wyth Godly wrestlynges haue I wrestled wyth my syster, and haue gotten the vpper hande. And she called hys name: Nepthali.
Gen.30.9	When Lea sawe that she had left bearinge, she toke Silpha hyr mayde, and gaue her Iacob to wyfe.
Gen.30.10	And Silpha Leas mayde bare Iacob a sonne.
Gen.30.11	Than sayde Lea: Good lucke: and called hys name Gad.
Gen.30.12	And Silpha Leas mayd bare Iacob another sonne.
Gen.30.13	Than sayde Lea: happy am I, for the daughters wyll call me blessed. And called hys name Asser.
Gen.30.14	And Ruben went out in the dayes of the whet haruest and founde mandragoras in the feldes, and brought them vnto hys mother Lea. Than sayd Rahel to Lea: geue me of thy sonnes mandragoras.
Gen.30.15	To whom Lea answered: Is it not ynough that thou hast taken awaye my housbande, but woldest take awaye my sonnes mandragoras also? Than sayde Rahel: well, let hym slepe wt the thys nyghte, for thy sonnes mandragoras.
Gen.30.16	And Iacob came from the feldes at euen, and Lea went out to mete hym, and sayde: come into me, for I haue bought the wyth my sonnes mandragoras. And he slepte wyth her that nyghte.
Gen.30.17	And God herde Lea, that she conceaued Ꟶ bare vnto Iacob the .v. sonne.
Gen.30.18	Than sayde Lea. God hath geuen me a rewarde, because I gaue my mayden to my housbande, Ꟶ she called hym Isachar.
Gen.30.19	And Lea conceaued yet agayne, Ꟶ bare Iacob the .vi. sonne.
Gen.30.20	And Lea sayd: God hath endewed me wt a good dowrye. Nowe wyll my husbande dwell wyth me, because I haue borne hym .vi. sonnes: Ꟶ called his name zabulon.
Gen.30.21	After that she bare a daughter, and called hyr name Dina.
Gen.30.22	And God remembred Rahel, hearde her, and made her frutefull:
Gen.30.23	so that she conceaued Ꟶ bare a sonne, Ꟶ sayd: God hath taken awaye my rebuke.
Gen.30.24	And she called hys name Ioseph, sayinge: The Lorde geue me yet a nother sonne.
Gen.30.25	As soone as Rahel had borne Ioseph, Iacob sayde to Laban: Sende me awaye that I maye go vnto my awne place and contrey,
Gen.30.26	geue me my wyues and my children for whom I haue serued the, and let me goo: for thou knowest what seruyce I haue done the.
Gen.30.27	To whom Laban answered: yf I haue founde fauoure in thy syght (for I suppose that the Lord hath blessed me for thy sake)
Gen.30.28	appoynte what thy rewarde shall be, and I wyll geue it the.
Gen.30.29	But he sayde vnto hym: thou knowest what seruyce I haue done the, and in what takynge thy catell haue bene vnder me:
Gen.30.30	For it was but lytle that thou haddest before I came, and nowe it is encreased into a multitude, and the Lorde hath blessed the for my sake. But nowe when shall I make prouisyon for myne awne house also?
Gen.30.31	And he sayde: what shall I then geue the? And Iacob answered: thou shalt geue me nothynge at all, yf thou wylt do thys one thynge for me: and then wyll I turne agayne, and fede thy shepe and kepe them.
Gen.30.32	I wyll go aboute all thy shepe thys daye, and separate from them all the shepe that are spotted and of dyuers coloures, and all blacke shepe amonge the lambes, Ꟶ the partye, and the spotted amonge the kyddes: and the same shalbe my rewarde.
Gen.30.33	So shall my ryghtwesnes answere for me to morowe, and shall come for my rewarde before thy face, and euery one that is not speckled and partye amonge the goates and blacke amonge the shepe, the same shalbe theft wyth me.
Gen.30.34	And Laban sayde: Go to, wolde God it myght be accordynge to thy sayeng.
Gen.30.35	Therfore he toke out that same daie the he goates that were partye and of dyuerse coloures, and all the she gootes that were spotted and partye coloured, and all that had whyte in them, and all the blacke amonge the shepe, and put them in the kepynge of hys sonnes,
Gen.30.36	Ꟶ set thre dayes iourney betwyxte hym selfe and Iacob. And so Iacob kepte the rest of Labans shepe.
Gen.30.37	Iacob toke roddes of grene popular, hasell Ꟶ of chestnut trees, Ꟶ pylled whyte strakes in them, Ꟶ made the whyte apere in the roddes.
Gen.30.38	And put the roddes whyche he had pylled, euen before the shepe, in the gutters Ꟶ watrynge troughes when the shepe came to dryncke: that they shulde conceaue when they came to dryncke.
Gen.30.39	And the shepe conceaued before the roddes, Ꟶ brought forth lambes straked, spotted and partye.
Gen.30.40	And Iacob parted the lambes Ꟶ turned the faces of the shepe towarde spotted thynges, and towarde all maner of blacke, that was amonge the shepe of Laban: Namely, puttynge hys awne flockes by them selfe, Ꟶ not puttynge them wyth Labans shepe.
Gen.30.41	And it fortuned that in euery rammynge tyme of the stronger shepe, Iacob layed the roddes before the eyes of the shepe in the gutters: namely, that he myght make them conceaue before the roddes.
Gen.30.42	But when the shepe were feble, he put them not in. And so the febler were Labans, and the stronger Iacobs.
Gen.30.43	And the man increaced exceadyngly, and had a great flocke, mayde seruauntes and man seruauntes, camels and asses.
Gen.31.1	But he hearde the wordes of Labans sonnes sayenge: Iacob hath taken awaye all that was oure fathers, and of oure fathers goodes hath he gotten all thys honoure.
Gen.31.2	And Iacob behelde the countenaunce of Laban, Ꟶ beholde. it was not as yesterdaye and yeryesterdaye.
Gen.31.3	And the Lorde sayde vnto Iacob: turne agayne in to the lande of thy fathers and to thy kynred, Ꟶ I wyll be wyth the.
Gen.31.4	Therfore Iacob sent and called Rahel and Lea to the felde vnto hys flocke,
Gen.31.5	Ꟶ sayde vnto them: I se youre fathers countenaunce that it is not towarde me as yesterdaye Ꟶ yeryesterdaye. But the God of my father hath bene wyth me.
Gen.31.6	And ye knowe howe that I haue serued youre father with all my myght.
Gen.31.7	But youre father hath disceaued me, and chaunged my wages .x. tymes: but God suffred hym not to hurte me.
Gen.31.8	When he sayde, the spotted shall be thy wages, than all the shepe bare spotted. And whan he sayde: the straked shall be thy rewarde, than bare all the shepe straked:
Gen.31.9	thus hath God taken awaye youre fathers shepe, and geuen them me.
Gen.31.10	But in rammynge tyme it happened, that I lyfted vp myne eyes Ꟶ sawe in a dreame, Ꟶ beholde the rammes leaped vpon the shepe that were straked, spotted Ꟶ partye.
Gen.31.11	And the angell of God spake vnto me in a dreame, saying: Iacob? And I answered: here am I.
Gen.31.12	And he sayde: lyfte vp nowe thyne eyes Ꟶ se all the rammes leapinge vpon the shepe that are straked, spotted Ꟶ partye: for I haue sene all that Laban doth vnto the,
Gen.31.13	I am the God of Bethel, where thou anoyntedst the stone, and where thou vowedst a vowe vnto me. Now therfore aryse Ꟶ get the out of this countre, and returne vnto the lande wher thou wast borne.
Gen.31.14	Than answered Rahel, and Lea, Ꟶ sayde vnto hym haue we a porcion Ꟶ inheritaunce in our fathers house?
Gen.31.15	Doth not he count vs euen as straungers? for he hath solde vs, and hath euen eaten vp oure monye.
Gen.31.16	But all the riches whych God hath taken from oure father, that is ours Ꟶ oure childrens. And now what soeuer God hath sayde vnto the, that do.
Gen.31.17	Than Iacob rose vp, Ꟶ set his sonnes and wyues vp vpon camels,
Gen.31.18	Ꟶ caried awaye all hys flockes Ꟶ all hys substaunce which he had procured, hys riches and possessions which he had gotten in Mesopotamia, for to go to Isahac hys father vnto the land of Canaan.
Gen.31.19	But Laban was gone to shere hys shepe, Ꟶ Rahel had stolen hyr fathers ymages.
Gen.31.20	And Iacob stale awaye the herte of Laban the Syrian, in that he tolde hym not that he fled.
Gen.31.21	So fled he Ꟶ all that he had, and made hym selfe redy, Ꟶ passed ouer the ryuer, Ꟶ set hys face streyght toward the mount Gilead.
Gen.31.22	Upon the thyrde day after, was it told Laban that Iacob fled.
Gen.31.23	Than he toke his brethren with hym and folowed after him .vii. dayes iourney, Ꟶ ouer toke hym at the mounte Gilead.
Gen.31.24	And God came to Laban the Syrian in a dreame by night, Ꟶ sayd vnto hym: take hede, that thou speake not to Iacob ought saue good.
Gen.31.25	And Laban ouertoke Iacob: and Iacob had pitched hys tente in the mounte. And Laban with hys brethren pitched their tente also vpon the mounte Gilead:
Gen.31.26	And Laban sayde, to Iacob: Why hast thou thys done to steale awaye my herte, and carye awaye my doughters as though they had bene taken captyue wyth the swerde?
Gen.31.27	Wherfore wentest thou awaye secretely vnknowen to me, Ꟶ didest not tell me, that I myght haue brought the on the waye wyth myrth, syngyng, tymrel Ꟶ harpe,
Gen.31.28	and hast not suffred me to kisse my chyldren and my daughters? Thou wast a sole now to do it,
Gen.31.29	for I am able to do you euyll. But the God of your father spake vnto me yesterdaye, saying take hede that thou speake not to Iacob ought saue good.
Gen.31.30	And now though thou wentest thy waye, because thou longest after thy fathers house, yet wherfore hast thou stolen my goddes?
Gen.31.31	Iacob answered and sayde to Laban because I was afrayed, Ꟶ thought that thou woldest haue taken awaye thy doughters from me.
Gen.31.32	But whyth whome soeuer thou fyndest thy goddes, let hym dye, here before oure brethren. Seke that thyne is by me, Ꟶ take it to the. But Iacob wyst not that Rahel had stolen them.
Gen.31.33	Than went Laban into Iacobs tente, and into Leas tente, Ꟶ into the .ii. maydens tentes: but founde them not: Than went he out of leas tente, and entred into Rahels tente.
Gen.31.34	And Rahel had taken the ymages Ꟶ put them in the camels strawe, Ꟶ sate downe vpon them. And Laban serched all the tente: but founde them not.
Gen.31.35	Than sayde she to hyr father: my lord, be not angry that I can not ryse vp before the for the custome of women is come vpon me. So searched he but founde not those ydols.
Gen.31.36	And Iacob was wrooth, and chode with Laban. Iacob also answered Ꟶ sayde to hym: what haue I trespaced or what haue I offended, that thou folowedest so after me?
Gen.31.37	Thou hast searched all my stuffe, Ꟶ what hast thou founde of all thy housholde stuffe? put it here before thy brethren Ꟶ myne that they maye iudge betwyxte vs both.
Gen.31.38	Beholde: Thys .xx. yere haue I bene wyth the, thy shepe Ꟶ thy goates haue not bene baren, Ꟶ the rammes of thy flocke haue I not eaten.
Gen.31.39	Whatsoeuer was torne of beastes I brought it not vnto the, but made it good my selfe: of my hande dydest thou requyre it, euen as it that was stollen by daye or nyght.
Gen.31.40	By daye the hete consumed me, and the frost by nyght, and my slepe departed fro myne eyes.
Gen.31.41	Thus haue I bene .xx. yere in thy house, Ꟶ serued the .xiiii. yeres for thy .ii. doughters, Ꟶ .vi. yeres for thy shepe, and thou hast chaunged my rewarde .x. tymes.
Gen.31.42	And excepte the God of my father, the God of Abraham Ꟶ the feare of Isahac had bene wyth me: surely thou haddest sent me awaye now all emptie. But God behelde my trybulacyon, and the laboure of my handes, and rebuked the yesterdaye.
Gen.31.43	Laban answered and sayde vnto Iacob: these daughters are my daughters, and these chyldren are my chyldren, and these shepe are my shepe, and all that thou seyst, is myne. And what can I do thys daye vnto these my daughters, or vnto theyr chyldren whych they haue borne?
Gen.31.44	Now therfore come on Ꟶ let vs make a bonde, I Ꟶ thou, whych maye be a witnesse betwene the and me.
Gen.31.45	Than toke Iacob a stone and set it vp an ende,
Gen.31.46	Ꟶ Iacob sayde vnto hys brethren: gather stones. And they toke stones, and made an heape, Ꟶ they did eate there vpon the heape.
Gen.31.47	And Laban called it Iegar Sahadutha, but Iacob called it Gilead.
Gen.31.48	Than sayde Laban: thys heape is wytnesse betwene the Ꟶ me thys daye: therfore is it called Gilead
Gen.31.49	Ꟶ Mizaph: For he sayd: The Lorde loke betwene me Ꟶ the when we are departed one from another:
Gen.31.50	If thou shalt vexe my daughters or shalt take other wyues beside my daughters. Here is no man with vs: beholde, God be witnesse betwixte the and me.
Gen.31.51	And Laban sayde moreouer to Iacob: beholde, thys heape and thys marke whych I haue set there, betwixte me and the:
Gen.31.52	thys heape be wytnesse and also thys marke that I will not come ouer thys heape to the, and thou shalt not come ouer thys heape and thys marke vnto me: to do any harme.
Gen.31.53	The God of Abraham, the God of Nahor, Ꟶ the God of theyr fathers be iudge betwyxte vs. And Iacob sware by the feare of hys father Isahac.
Gen.31.54	Then Iacob dyd sacrifyce vpon the mounte, Ꟶ called his brethren to eate breed. And they dyd eate breed Ꟶ taryed all nyght in the hyll.
Gen.31.55	And early in the mornynge Laban rose vp and kyssed kys children and hys daughters, and blessed them: and Laban departynge, went vnto hys place agayne.
Gen.32.1	But Iacob went forth on his iourney. And the Angels of God came, Ꟶ met hym.
Gen.32.2	And when Iacob sawe them, he said thys is Goddes hoost: Ꟶ called the name of that same place Mahanaim.
Gen.32.3	And Iacob sente messengers before him to Esau his brother, vnto the land of Seir Ꟶ the felde of Edom.
Gen.32.4	And he commaunded them sayinge. Thus shall ye speake to my Lord Esau: thy seruaunte Iacob sayth thus: I haue sogeorned Ꟶ bene a straunger wyth Laban vnto thys tym
Gen.32.5	and haue oxen, asses Ꟶ shepe men seruauntes and wemenseruauntes, and haue sent to shewe it my Lorde, that I may fynde grace in thy syghte.
Gen.32.6	And the messengers came agayne to Iacob saying: we came vnto thy brother Esau, and he commeth agaynst the Ꟶ hath .iiii. hundreth men wt hym.
Gen.32.7	But Iacob was greatly afrayed, and wyst not whych waye to turne hym selfe, and deuyded the people that was wyth hym Ꟶ the shepe, Ꟶ oxen Ꟶ camels, into .ii. companyes:
Gen.32.8	Ꟶ sayd: If Esau come to the one parte Ꟶ smyte it, the other shall saue it selfe.
Gen.32.9	And Iacob sayde agayne: O God of my father Abraham; Ꟶ God of my father Isahac: Lorde whych saydest vnto me returne vnto thy countre and to thy kynred, Ꟶ I wyll do all well wyth the.
Gen.32.10	I am not worthy of the leaste of all the mercyes and truthe whych thou hast shewed vnto thy seruaunte. For wyth my staf came I ouer thys Iordane, Ꟶ now haue I gotten .ii. droues.
Gen.32.11	Delyuer me from the handes of my brother Esau: for I feare hym: lest he wyll come and smyte the mother wyth the chyldren.
Gen.32.12	Thou saydest: I wyll surely do the good, Ꟶ make thy seed as the sande of the see, which can not be nombred for multytude.
Gen.32.13	And he taryed there that same nyghte, Ꟶ toke of that whych came to hande, a present, for Esau hys brother
Gen.32.14	.ii. hundred she goates Ꟶ .xx. he goates .ii. hundred shepe and .xx. rammes:
Gen.32.15	thyrtye mylch camels wyth theyr coltes .xl. kyne, Ꟶ .x. bulles .xx. she asses Ꟶ ten foles:
Gen.32.16	and delyuered them into the hande of hys seruaunes euery droue by them selues, and sayde vnto hys seruauntes: go forth before me, and put a space betwyxte, droue, Ꟶ droue.
Gen.32.17	And he commaunded the formost sayinge. If Esau my brother mete the and aske the sayinge: whose art thou, and whyther goest thou: Ꟶ whose are these that goo before the?
Gen.32.18	thou shalt saye, they be thy seruaunte Iacobs, and it is a present sent vnto my Lord Esau, and beholde, he hym selfe commeth after vs:
Gen.32.19	And so commaunded he the seconde, and the thyrde, and all that folowed the droues sayinge of thys maner se that ye speake vnto Esau when ye mete hym
Gen.32.20	and saye moreouer: thy seruaunte Iacob also commeth after vs, for he sayde: I wyll pease his wrath with the present that goeth before me, and afterward I wyll see hym my selfe, yf peraduenture he wyll receaue me to grace:
Gen.32.21	So went the present before hym and he taryed all that nyght in the company, and rose vp the same nyghte,
Gen.32.22	and toke hys two wyues and hys two maydens, and hys eleuen sonnes, and went ouer the foorde Iabok
Gen.32.23	And he toke them and sent them ouer the ryuer, and sent ouer that he had,
Gen.32.24	and taried behinde hym selfe alone. And there wrastled a man wyth hym vnto the breakynge of the daye.
Gen.32.25	And when he sawe that he coulde not preuayle against hym, he smote hym vnder the thye, and the senowe of Iacobs thye shranke, as he wrastled wyth hym.
Gen.32.26	And he sayde: let me goo, for the daye breaketh. Which answered: I wyll not let the goo, excepte thou blesse me.
Gen.32.27	And he sayde vnto hym: what is thy name? He answered: Iacob.
Gen.32.28	He sayde: thou shalt be called Iacob nomore, but Israell. For as a prynce hast thou wrastled wyth God: and wyth man, and hast preuayled.
Gen.32.29	And Iacob asked hym sayinge: tell me thy name. And he sayde, wherfore dost thou so aske after my name? and he blessed hym there.
Gen.32.30	And Iacob called the name of the place Pheniel, for I haue sene God face to face, Ꟶ my lyfe is preserued.
Gen.32.31	And as he went ouer Pheniel, the sonne rose vpon hym, and he halted vpon hys thye.
Gen.32.32	And therfore is it that the chyldren of Israell eate not of the senow that shranke in that place of the thye, vnto thys daye: because that he touched the place of Iacobs thye in the senow that shroncke.
Gen.33.1	Iacob lyftynge vp his eyes, loked, and beholde, Esau came, hauynge with him .iiij. hundred men. And he deuyded the children vnto Lea and vnto Rahel and vnto the .ij. maydens.
Gen.33.2	And he put the maydens and their chyldren formost, and Lea and hyr chyldren after, and Rahel and Ioseph hyndermost.
Gen.33.3	And he went before them and fell on the grownde .vij. tymes vntill he came vnto his brother.
Gen.33.4	Esau came to mete hym and enbraced hym and fell on hys necke and kyssed hym, and they wepte.
Gen.33.5	And he lyfte vp hys eyes Ꟶ sawe the wemen, and the chyldren, and sayde: whence hast thou these? And he answered: they are the chyldren whych God hath geuen thy seruaunte.
Gen.33.6	Than came the maydens forth, Ꟶ their chyldren, and dyd theyr obeysaunce.
Gen.33.7	Lea also with hyr chyldren came Ꟶ dyd theyr obeysaunce. And last of all came Ioseph Ꟶ Rahel, Ꟶ dyd theyr obeysaunce.
Gen.33.8	And he sayde: what is all the droue whych I mett? He answered: that I maye fynde grace in the syghte of my Lorde.
Gen.33.9	And Esau sayde: I haue ynough my brother, kepe that thou hast vnto thy selfe.
