1Sam.0.0	¶ The fyrst booke of Samuel called the fyrst booke of the Kynges.
1Sam.15.24	And Saul sayde vnto Samuel: I haue synned, for I haue gone farther then the sayinge of the Lorde and thy wordes, because I feared the people, Ꟶ obeyed their voyce.
1Sam.15.25	Nowe therfore take awaye my synne, and turne agayne with me, that I maye worshyp the Lord
1Sam.15.26	And Samuel sayde vnto Saul: I wyll not returne with the: for thou hast cast awaye the worde of the Lorde, and the Lorde hath cast awaye the, that thou shalt not be kynge ouer Israel.
1Sam.15.27	And as Samuel turned hym selfe to go awaye, he caught the lappe of hys coate, Ꟶ it rent.
1Sam.15.28	And Samuel sayde vnto hym: the Lorde hath rent the kyngdome of Israel from the this daye, Ꟶ hath geuen it to a neyghboure of thyne, that is better then thou.
1Sam.15.29	The strength of Israel wyll not begyle nor repent: for he is not a man, that can repent.
1Sam.15.30	He sayde: I haue synned. But nowe honoure me before the elders of my people, and before Israel, Ꟶ turne agayne with me, that I maye worshippe the Lorde thy God.
1Sam.15.31	And so Samuel turned agayne, and folowed Saul. And Saul worshipped the Lorde.
1Sam.15.32	Then sayde Samuel: Brynge ye hither to me, Agag the kynge of the Amaleckites. And Agag came vnto hym delycately. And Agag sayde: truly the bytter deeth cometh on.
1Sam.15.33	And Samuel sayde: As thy swerde hath made wemen chyldelesse, so shall thy mother be chyldelesse aboue other wemen. And Samuel hewed Agag in peces before the Lorde in Gilgal.
1Sam.15.34	And then Samuel departed to Rama. And Saul went home to his house to Gibea Saul.
1Sam.15.35	And Samuel came nomore to se Saul vntill the daye of his deeth. Neuerthelesse Samuel mourned for Saul, Ꟶ the Lord repented, that he had made Saul kynge ouer Israel.
1Sam.16.1	The Lorde sayde vnto Samuel: Howe longe wylt thou mourne for Saul, seynge I haue cast hym awaye from raygnynge ouer Israel? Fyll thyne horne with oyntment, and come, that I maye sende the to Isai the Bethlehemite, for I haue prouided me a kynge amonge hys sonnes.
1Sam.16.2	And Samuel sayd: howe can I goo? For yf Saul heare it, he will kyll me. The Lorde answered: Take an heifer wt the, and saye: I am come to offer to the Lorde.
1Sam.16.3	And call Isai to the offerynge, and I wyll shewe the, what thou shalt do: And thou shalt anoynt hym whom I name vnto the.
1Sam.16.4	And so Samuel dyd as the Lorde bad him, and came to Bethlehem, and the elders of the towne were astonnied at his commyng, and sayde: Commest thou peaceably?
1Sam.16.5	He answered: Yee, I am come to offer vnto the Lorde. Sanctifye youre selues, Ꟶ come with me to the offerynge. And he sanctifyed Isai Ꟶ his sonnes, Ꟶ bad them to the offerynge.
1Sam.16.6	And when they were come, he loked on Eliab, Ꟶ sayde: Surely the Lordes anoynted is before hym.
1Sam.16.7	But the Lorde sayde vnto Samuel: loke not on his fashyon, or on the heyght of hys stature, because I haue refused hym: for God seyth not as man seyth. For man loketh on the outwarde apperaunce but God beholdeth the harte.
1Sam.16.8	Then Isai called Abinadab, and made him come before Samuel. And he sayde: nether hath the Lorde chosen thys.
1Sam.16.9	Then Isai made Samma come, and he sayde: nether yet hath the Lorde chosen him.
1Sam.16.10	Agayne, Isai made seuen of his sonnes to come before Samuel. And Samuel sayde vnto Isai: the Lorde hath chosen none of these.
1Sam.16.11	And Samuel sayde vnto Isai: are here all thy chyldren? He sayde: there is yet a lytle one behynde, that kepeth the shepe. And Samuel sayd vnto Isai: sende and fette him, for we will not sytte downe, tyll he be come hyther.
1Sam.16.12	And he sent, Ꟶ brought hym in. And he was browne, and of an excellent bewtye, Ꟶ well fauored in syght. And the Lorde sayde: Aryse, and anoynt him, for this is he.
1Sam.16.13	Therfore Samuel toke the horne wyth the oyntment, Ꟶ anoynted him in the myddes of hys brethren. And the sprete of the Lorde came vpon Dauid, from that daye forwarde. And Samuel rose vp, and went to Rama.
1Sam.16.14	But the sprete of the Lorde departed from Saul, and an euell sprete sent of the Lorde vexed him.
1Sam.16.15	And Sauls seruauntes sayde vnto him: Beholde, an euell sprete sent of God vexed the,
1Sam.16.16	lett oure Lord therfore commaunde his seruauntes (that are before the) to seke a man, that is a connynge player wyth an harpe: that when the euell sprete sent of God commeth vpon the, he maye playe with hys hande and thou shalt be eased.
1Sam.16.17	Saul sayde vnto his seruauntes: prouide me a man then that can playe well, and bringe him to me.
1Sam.16.18	Then answered one of his seruauntes and sayde: Beholde, I haue sene a sonne of Isai the Bethlehemite, that can playe vpon instrumentes, and is an actiue felowe, and a man of warre and prudent in doynge of feates, Ꟶ well made and the Lorde is with hym.
1Sam.16.19	Wherfore Saul sent messengers vnto Isai, and sayde: sende me Dauid thy sonne, which is wyth the shepe.
1Sam.16.20	And Isai toke an asse laden with breed, and a flacket of wyne, and a kyd, and sent them by Dauid his sonne vnto Saul.
1Sam.16.21	And Dauid came to Saul, Ꟶ stode before him, Ꟶ he loued him very well, and he was made his harnesbearer.
1Sam.16.22	And Saul sent to Isai, sayinge: lett Dauid remayne with me, for he hath founde fauour in my syght.
1Sam.16.23	And so it fortuned, that when the euell sprete sent of God came vpon Saul, Dauid toke an harpe, Ꟶ played wyth his hande, Ꟶ so Saul was refreshed, Ꟶ dyd amende, and the euell sprete departed from him.
1Sam.17.1	The Philistines geathered their hoste to battel, and came together to Socoth which is in Iuda, and pitched betwene Sococh Ꟶ Azekah, in the coast of Dammin.
1Sam.17.2	And Saul and the men of Israel came together, and pitched in the Oke valley, and put them selues in araye, to fyght agaynst the Philistines.
1Sam.17.3	And the Philistines stode on an hyll on the one syde, and Israel stode on an hyll on the other syde; and there was a valeye betwene them:
1Sam.17.4	And there came a man betwene them both, out of the tentes of the Philistines, named Goliath of Gath syxe cubytes and an handbredth longe,
1Sam.17.5	and had an helmet of brasse vpon hys heed, and a coate of mayle about hym. And the weyght of hys coate of mayle was fyue thousande sykles of brasse.
1Sam.17.6	And he had bootes of brasse vpon his legges, and a shylde of brasse vpon his shoulders.
1Sam.17.7	And the shafte of his spere was like a weuers beame. And his speare heed weyed .vj. hundred sikles of yron. And one bearynge a shylde went before hym.
1Sam.17.8	And he stode and cryed agaynst the hoste of Israel, Ꟶ sayde vnto them: Why are ye come out in araye to battell? am not I a Philistine and you seruauntes to Saul? chose you a man from amonge you, Ꟶ lett him come downe to me.
1Sam.17.9	And yf he be able to fyght with me, Ꟶ to beate me, then will we be youre seruauntes. But yf I can ouercome him and beate him, then shall ye be oure seruauntes, Ꟶ serue vs.
1Sam.17.10	And the Philistine sayde: I defye the host of Israel this daye, geue me a man, that we maye fight together:
1Sam.17.11	When Saul and all Israel hearde those wordes of the Philistine, they were discouraged, Ꟶ greatly afrayed.
1Sam.17.12	Dauid was the sonne of an Ephrathite of Bethlehem Iuda, named Isai, whych had eight sonnes. And was an olde man in the dayes of Saul, and came to age amonge men.
1Sam.17.13	And the thre eldest sonnes of Isai went, and folowed Saul to the battell. And the names of hys thre sonnes that went to battell, were: Eliab the eldest, Ꟶ the next, Abinadab, and the thyrde Samma,
1Sam.17.14	and Dauid was the least. And the thre eldest went after Saul.
1Sam.17.15	Dauid also went and departed from Saul, to fede his fathers shepe at Bethlehem.
1Sam.17.16	And the Philistine came forth in the mornynge and euenynge, and continued fourtye dayes.
1Sam.17.17	And Isai sayde vnto Dauid his sonne take for thy brethren an Epha of this parched corne and these ten loaues, and brynge it vnto the hoste to thy brethren.
1Sam.17.18	And carye these ten freshe cheses vnto the captayne, Ꟶ loke howe thy brethren fare, and fett out their pledge.
1Sam.17.19	And Saul and they, and all the men of Israel were in the oke valey, fightinge with the Philistines.
1Sam.17.20	And Dauid rose vp erlye in the mornynge, and lefte the shepe with a keper, Ꟶ toke and went as Isai had commaunded him, and came with in the compasse of the host. And the hoste went out in araye, and showted in the battell:
1Sam.17.21	for Israel Ꟶ the Philistines had put them selues in araye, the one agaynst the other.
1Sam.17.22	And Dauid toke downe the gear from him, and put them vnder the handes of the keper of the vessels, Ꟶ ranne into the hoste, and came, and saluted his brethren.
1Sam.17.23	And as he talked wt them, Beholde: there stode a man in the myddes (Goliath the Philistine by name) of Gath out of the araye of the Philistines, Ꟶ spake of the maner aboue rehersed, that Dauid hearde it.
1Sam.17.24	And all the men of Israel, when they sawe the man, ranne awaye from hym, and were sore afrayed.
1Sam.17.25	And euery man of Israel sayde: Sawe ye thys man come forth? euen to reuyle Israel is he come. And to hym that beateth hym, wyll the kynge geue great ryches, and will geue him his daughter therto: yee Ꟶ make his fathers house fre in Israel.
1Sam.17.26	And Dauid spake to the men that stode by, and sayde: What shalbe done to the man that beateth this Philistine, Ꟶ taketh awaye the shame from Israel? And what is thys vncircumcised Philistine, that he shulde reuyle the hoste of the lyuinge God?
1Sam.17.27	And the people answered him (after this maner,) sayinge: so shall it be done to the man, that beateth hym.
1Sam.17.28	And Eliab his eldest brother hearde when he spake vnto the men, and Eliab was angrye wt Dauid, and sayde: Why camest thou downe hither? and with whom hast thou lefte those few shepe in the wildernesse? I know thy pryde, and the malyce of thyne herte, that thou art come downe to se the battell.
1Sam.17.29	And Dauid sayd: And what haue I nowe done? is there not a worde?
1Sam.17.30	And he departed from hym into the presence of another, and spake of the same maner, and the people answered hym agayne, as before.
1Sam.17.31	And they that hearde the wordes whych Dauid spake, rehearsed them before Saul, which caused him to be fett.
1Sam.17.32	And Dauid sayd to Saul: Let no mannes hert fayle hym because of him. Thy seruaunt wyll go, Ꟶ fyght with yonder Philistine.
1Sam.17.33	And Saul sayde to Dauid agayne: thou art not able to go agaynst yonder Philistine, to fyght wt him. For thou art but a chylde, but he is a man of warre euen from his youth.
1Sam.17.34	Dauid answered vnto Saul. Thy seruaunt kept his fathers shepe, Ꟶ there came a Lyon and lykewise a Beare, Ꟶ toke a shepe out of the flocke.
1Sam.17.35	And I went out after him, and smote hym, and toke it out of his mouth. And when he arose agaynst me, I caught him by the bearde, and smote hym, Ꟶ slue hym.
1Sam.17.36	And so thy seruaunt slue the Lyon Ꟶ the beare (also) hath thy seruaunt slayne. And truly thys vncircumcised Philistine shalbe as one of them seynge he hath rayled on the hoste of the lyuing God.
1Sam.17.37	And Dauid spake moreouer: the Lorde that deliuered me out of the hande of the Lyon Ꟶ out of the hande of the beare, he shall delyuer me also out of the hande of this Philistine: And Saul sayde vnto Dauid: go, and the Lorde shall be with the.
1Sam.17.38	And Saul put hys rayment vpon Dauid, and put an helmet of brasse vpon hys heed, Ꟶ put a coate of mayle vpon him,
1Sam.17.39	and gyrded Dauid with hys awne swerde vpon his rayment And he assayed to go. And because he neuer proued it, Dauid sayde vnto Saul: I cannot go with these, for I haue not vsed myselfe therto: and Dauid put them of hym,
1Sam.17.40	and toke hys staffe in hys hande, and chose him fyue smoth stones oute of a broke, and put them in a sheperdes bagge which he had, Ꟶ in a slynge poke: Ꟶ his slynge was in his hande, Ꟶ he went to the Philistine.
1Sam.17.41	And the Philistine came and drue nere agaynst Dauid, and the man that bare the shilde went before hym.
1Sam.17.42	And when the Philistine loked aboute, and sawe Dauid, he disdayned him, for he was but yonge, and well coloured, and goodlye to loke vpon.
1Sam.17.43	And the Philistine said vnto Dauid: am I a dogge, that thou comest to me with a staffe? and the Philistine cursed Dauid in the name of his goddes.
1Sam.17.44	And the Philistine sayde to Dauid: come to me, Ꟶ I wyll geue thy fleshe vnto the foules of the ayre, Ꟶ to the beastes of the felde.
1Sam.17.45	Then sayde Dauid to the Philistine: thou comest to me wyth a swerde, a speare and a shylde: But I come to the in the name of the Lord of hostes, the God of the hoste of Israel, whom thou hast rayled vpon.
1Sam.17.46	This daye shall the Lorde delyuer the into my hande, and I shall smyte the, Ꟶ take thine heed from the, and wyll geue the karcases of the hoste of the Philistines thys daye vnto the foules of the ayre, and to the beastes of the erth, that all they whych be in the worlde, maye knowe, that there is a God in Israel.
1Sam.17.47	And all thys congregacyon shall knowe, that the Lord saueth not with swerd and speare. For the battell is the Lordes, and he shall geue you into oure handes.
1Sam.17.48	And when the Philistine arose to come and drawe nie vnto Dauid, Dauid hasted, Ꟶ ranne into the battayll euen agaynst the Philistine.
1Sam.17.49	And Dauid put his hande in hys bagge, and toke out a stone, and slange it, Ꟶ smote the Philistine in his forheed, that the stone souncke into his forheed and he felle grouelynge to the erth.
1Sam.17.50	And so Dauid ouercame the Philistine with a slyng and a stone, and smote the Philistine, and slue hym, euen whan Dauid had no swerde in hys hande.
1Sam.17.51	But Dauid ranne, and stode vpon the Philistine, Ꟶ toke hys swerde, and drue it out of hys sheth, and slue hym, Ꟶ cutte of hys heed therwith. And when the Philistines sawe, that theyr champyon was deed they fled.
1Sam.17.52	And the men of Israel and of Iuda arose, and showted, Ꟶ folowed after the Philistines, vntyll they came to the valeye, and vnto the gates of Akaron. And the Philistines fell downe wounded by the waye to Saaraiim, euen vnto Gath Ꟶ Akaron.
1Sam.17.53	And the chyldren of Israel returned from chasynge after the Philistines, and spoyled theyr tentes.
1Sam.17.54	And Dauid toke the heed of the Philistine, and brought it to Ierusalem: But he put his armoure in hys tente.
1Sam.17.55	When Saul sawe Dauid go forth agaynst the Philistine, he sayde vnto Abner the captayne of his hoste: Abner, whose sonne is this yong man? Abner answered: as truly as thy soule lyueth (O kynge) I cannot tell.
1Sam.17.56	And the kynge sayde: Enquere thou whose sonne the youngelynge is.
1Sam.17.57	And when Dauid was returned from the slaughter of the Philistine, Abner toke hym, and brought hym before Saul, wyth the heed of the Philistine in hys hande.
1Sam.17.58	And Saul sayde to hym: whose sonne art thou, thou yonge man? Dauid answered: I am the sonne of thy seruaunt Isai the Bethlehemite.
1Sam.18.1	And when he had made an ende of speakynge vnto Saul, the soule of Ionathas was knyt wyth the soule of Dauid, and Ionathas loued hym as hys awne soule.
1Sam.18.2	And Saul toke him that daye, and wolde let him go nomore home to hys fathers house.
1Sam.18.3	And Ionathas made a couenaunt wyth Dauid, because be loued him as his awne soule.
1Sam.18.4	And Ionathas put of his awne coate that was vpon him, Ꟶ gaue it Dauid, Ꟶ therto his cloke, his swerd, his bowe and hys gyrdle.
1Sam.18.5	And Dauid went oute whether soeuer Saul sent hym, and behaued him selfe wysely. And Saul sett hym ouer hys men of warre, and he was accepted in the syght of all the people, and in the syght of Sauls seruauntes.
1Sam.18.6	And it happened as they went, when Dauid was returned from the slaughter of the Philistine, that wemen came out of all cyties of Israel syngynge Ꟶ daunsyng, agaynst kynge Saul, and wyth tymbrelles, wyth ioye, and with instrumentes of musick.
1Sam.18.7	And the wemen answered one another in theyr playe, Ꟶ sayde Saul hath slayne his thousande, and Dauid hys ten thousande.
1Sam.18.8	And Saul was excedyng wroth, and the sayinge displeased him, and he sayde: they haue ascribed vnto Dauid ten thousande, and to me but a thousande, Ꟶ what can he more haue, saue the kyngdome?
1Sam.18.9	Wherfore Saul loked on syde of Dauid from that daye forwarde.
1Sam.18.10	And it happened on the morowe, that the euell sprete sent of God came vpon Saul, and he prophesyed in the myddes of the house. And Dauid played with hys hande lyke as at other tymes,
1Sam.18.11	and there was a iauelyng in Sauls hande. And Saul toke the iauelyng, Ꟶ sayde: I wyll nayle Dauid to the wall with it. And Dauid auoyded oute of hys presence two tymes.
1Sam.18.12	And Saul was afearde of Dauid, because the Lord was with hym, Ꟶ was departed from Saul.
1Sam.18.13	Therfore Saul put him from hym, and made him a captayne ouer a thousand, and he went out Ꟶ in before the people.
1Sam.18.14	And Dauid behaued him selfe wysely in all his wayes, Ꟶ the Lord was with him.
1Sam.18.15	Wherfore when Saul saw that he was so excedynge wyse, he was afrayd of him.
1Sam.18.16	But all Israel and Iuda loued Dauid, because he went out and in before them.
1Sam.18.17	And Saul sayde to Dauid. Beholde, my eldest daughter Merob, her I wyll geue the to wyfe Only playe the man with me, and fyght the Lordes batelles. For Saul thought: myne hande shall not be vpon hym, but the hand of the Philistines.
1Sam.18.18	And Dauid answered Saul: what am I? and what is my lyfe or the kynred of my father in Israel, that I shulde be sonne in lawe to the kynge?
1Sam.18.19	Howbeit when the tyme was come that Merob Sauls daughter shulde haue bene geuen to Dauid, she was geuen vnto Adriel a Meholothite, to wyfe.
1Sam.18.20	Howbeit, Michol Sauls daughter loued Dauid. And they shewed Saul: Ꟶ the thynge displeased him not.
1Sam.18.21	And Saul sayde: I wyll geue hym her that she maye be a snare to hym, Ꟶ that the hande of the Philistines maye be agaynst him. Wherfore Saul sayde to Dauid: thou shalt this daye be my sonne in lawe in the other daughter.
1Sam.18.22	And Saul commaunded hys seruauntes, to comen wyth Dauid secretlye Ꟶ to saye: Beholde the kyng hath a fauoure to the, and all his seruauntes loue the, be nowe therfore the kynges sonne in lawe.
1Sam.18.23	And Sauls seruauntes spake those wordes in the eares of Dauid. And Dauid sayde: semeth it to you a lyght thynge to be a kynges sonne in lawe: I am a poore man and of smalle reputacion.
1Sam.18.24	And the seruauntes brought Saul worde agayne, sayinge: of this maner spake Dauid.
1Sam.18.25	And Saul sayd: this wise shal ye saye to Dauid: the kynge careth for no nother dowrye, but for an hundred foreskynnes of the Philistines, to be aduenged of the kynges enemyes. But Saul thought to make Dauid fall into the handes of the Philistines.
1Sam.18.26	And when hys seruauntes tolde Dauid these wordes, it pleased Dauid well to be the kynges sonne in lawe.
1Sam.18.27	And or the dayes were expyred, Dauid arose with his men, and went Ꟶ slue of the Philistines, two hundred men, and Dauid brought theyr foreskynnes, and satisfyed the kynge therof, to be hys sonne in lawe. Wherfore Saul gaue hym Michol hys daughter to wyfe.
1Sam.18.28	And Saul sawe and vnderstode, howe that the Lorde was with Dauid, and that Michol his daughter loued hym,
1Sam.18.29	and he was the moare afrayed of Dauid, and Saul became alwaye Dauids enemie.
1Sam.18.30	The lordes of the Philistines vsed to go furth. And it fortuned that whan they went furth, Dauid behaued hym selfe wyselier then all the seruauntes of Saul: so that his name was moche set by.
1Sam.19.1	Saul spake to Ionathas hys sonne, and to all hys seruauntes, that they shulde kyll Dauid.
1Sam.19.2	But Ionathas Sauls sonne had a greate fauoure to Dauid, and Ionathas tolde Dauid sayinge: Saul my father goeth aboute to slaye the. Nowe therfore take hede to thy selfe vntyll the mornynge, and abyde in some secret place, and hyde thy selfe.
1Sam.19.3	And I wyll go oute, and stande by my father in the felde where thou art, and wyll comen wyth my father of the, and whatsoeuer I se, I wyll tell the.
1Sam.19.4	And Ionathas spake good of Dauid vnto Saul hys father, and sayde vnto hym: let not the kynge synne agaynst hys seruaunt Dauid, for he hath not synned agaynst the, and hys workes haue bene to the ward very good.
1Sam.19.5	For he dyd put hys lyfe in hys hande, and slue the Philistine, and the Lorde brought to passe a greate health for all Israel. Thou sawest it, and thou reioysedest, wherfore then wilt thou synne against innocent bloude, and slaye Dauid without a cause?
1Sam.19.6	And Saul harkened vnto the voyce of Ionathas, and sware: as truly as the Lorde lyueth, he shall not dye.
1Sam.19.7	And Ionathas called Dauid, and shewed hym all those wordes, Ꟶ brought Dauid to Saul. And he was in his presens as in tymes past.
1Sam.19.8	And the warre began agayne, and Dauid went out and fought wyth the Philistines, and slue them with a great slaughter, Ꟶ they fledde from him.
1Sam.19.9	And the euell sprete sent of the Lorde was vpon Saul, as he sat in hys house hauinge a Iauelinge in his hande, and Dauid played with his hande.
1Sam.19.10	And Saul entended to nayle Dauid to the walle with the Iauelynge. But he ryd hym selfe out of Sauls presens, as he smote the speare into the walle. And Dauid fledde Ꟶ was saued the same nyght.
1Sam.19.11	Saul also sent messengers vnto Dauids house, to watch him, and to sleye him in the mornynge. And Michol Dauids wyfe tolde it him, sayinge: If thou saue not thy selfe this night, to morowe thou wilt be slayne.
1Sam.19.12	And so Michol lett Dauid downe thorowe a wyndowe, and he went, Ꟶ fled, and was saued.
1Sam.19.13	And then she toke an Image and layed it in the bed, and put a pyllowe stuffed with goates hearre vnder the heed of it, and couered it with a clothe.
1Sam.19.14	And when Saul sent messengers to fetche Dauid, she sayde, he is sycke.
1Sam.19.15	And Saul sent the messengers agayne to se Dauid, sayinge: bringe him to me, bed Ꟶ all, that I maye slaye him.
1Sam.19.16	And when the messengers were come in: Beholde, there laye an ymage in the bed, with a pyllowe of goates heare vnder the heed of it.
1Sam.19.17	And Saul sayde vnto Michol: why hast thou mocked me so, and sent awaye myne enemy that he is escaped? Michol answered Saul. For he sayde vnto me, let me go, or elles I wyll kyll the.
1Sam.19.18	And so Dauid fledde, and escaped, Ꟶ came to Samuel to Rama, tolde hym all that Saul had done to him. And he and Samuel went, and dwelt in Naioth.
1Sam.19.19	And one tolde Saul, sayinge: Beholde, Dauid is at Naioth in Rama.
1Sam.19.20	And Saul sent messengers to fett Dauid. And when they sawe a companye of prophetes prophesyenge, Ꟶ Samuel standynge fast by them, the sprete of God fell vpon the messengers of Saul, and they prophesyed to.
1Sam.19.21	And when it was tolde Saul, he sent other messengers, Ꟶ they prophesyed lykewyse. And Saul sent messengers yet agayne the thyrde tyme, and they prophesyed also.
1Sam.19.22	Then went he hym selfe to Rama, Ꟶ came to a great well that is in Sechu, Ꟶ he asked and sayde: where are Samuel and Dauid? And one sayde: Beholde, they be at Naioth in Rama,
1Sam.19.23	Ꟶ he went thyther, euen to Naioth in Rama, and the sprete of God came vpon him also, Ꟶ he went prophesyinge, vntyll he came to Naioth in Rama.
1Sam.19.24	And he stripte of his clothes, Ꟶ prophesyed before Samuel in lyke maner, and fell naked all that daye Ꟶ all that nyght. And therof it is, that they saye: is Saul also amonge the prophetes?
1Sam.20.1	And Dauid fled from Naioth which is in Rama, came, Ꟶ sayde before Ionathas. What haue I done? wherin am I faultie? what is the synne that I haue committed before thy father, that he seketh my lyfe?
1Sam.20.2	He sayde vnto him: God forbyd, thou shalt not dye. Beholde, my father will do nothynge ether great or small, but that he will shewe it me. And howe shulde my father hyde thys thynge from me? He wyll not do it.
1Sam.20.3	And Dauid sware againe, and sayde, thy father knoweth that I haue founde grace in thyne eyes, and therfore he sayeth: Ionathas shall not knowe it, leste he be sorye. And in very dede, euen as truly as the Lorde lyueth, and as truly as thy soule lyueth, there is but a steppe betwene me and deeth.
1Sam.20.4	Then sayde Ionathas vnto Dauid: whatsoeuer thy soule desyreth that I wyll do vnto the.
1Sam.20.5	And Dauid sayde vnto Ionathas: Beholde to morowe is the begynnynge of the moneth, and I shulde sytt wt the kynge at meate. But let me go, that I maye hyde my selfe in the feldes vnto the thyrde daye at euen.
1Sam.20.6	If thy father speake of me, then saye, Dauid asked leaue of me, that he myght go to Bethlehem to his awne cytie, for there is holden a yerely feast for all the kynred.
1Sam.20.7	And yf he saye: it is well done, then thy seruaunt shall haue peace. But and yf he be angrye, then be sure that wyckednesse is vtterlye concluded of hym.
1Sam.20.8	And then thou shalt shewe mercye vnto thy seruaunt for thou hast made wyth me thy seruaunt a bonde in the Lorde. Notwithstandynge, yf there be in me any trespace, then sleye me thy selfe, and brynge me not to thy father.
1Sam.20.9	And Ionathas answered, God kepe that from the. For yf I knowe, that wyckednesse were concluded of my father, to come vpon the, thynkest thou that I shulde not tell it the?
1Sam.20.10	Then sayde Dauid, who shall tell me, yf thy father answere cruelly?
1Sam.20.11	And Ionathas sayd vnto Dauid, come and lett vs go out into the felde. And they went out both of them into the felde.
1Sam.20.12	And Ionathas sayde vnto Dauid? The Lorde God of Israel loke on it, when I haue groped my fathers mynde, one tyme or other within this thre dayes, that it stande well with Dauid. If I then sende not vnto the Ꟶ shewe it the,
1Sam.20.13	the Lord do so and so vnto Ionathas. But yf my father haue any pleasure to do the euell, I wyll shewe the also, and sende the awaye that thou mayst go in peace. And the Lorde be wyth the, as he hath bene with my father.
1Sam.20.14	And thou shalt performe vnto me the mercy of the Lorde, not onely whyle I lyue but euen when I am deed,
1Sam.20.15	and plucke not thy mercy awaye from my house for euer: No not when the Lorde hath destroyed the enemyes of Dauid, euery one from the face of the erth.
1Sam.20.16	And so Ionathas made a bonde with the house of Dauid, desyringe that the Lord shulde seke it out by the handes of Dauids enemyes (yf it were broken.)
1Sam.20.17	And wt other wordes dyd Ionathas sweare vnto Dauid, because he loued him. For he loued him, as his awne soule.
1Sam.20.18	Then sayde Ionathas to Dauid: to morowe is the first daye of the mone. And thou shalt be missed, because the place where thou wast wont to sytt, shall be emptye.
1Sam.20.19	Therfore this daye thre dayes come downe in any wyse vnto the place where thou dyddest hyde thy selfe, whan the busynes was in hande: euen by the stone Esell.
1Sam.20.20	And I wyll shote thre arowes by the one syde therof, as though I shott them at a marke,
1Sam.20.21	Ꟶ will sende a lad, and byd hym go seke the arowes. And yf I saye vnto the lad: se, the arowes are on thys syde the brynge them: then come thou: for it is peace, Ꟶ no hurte, as sure as the Lorde lyueth.
1Sam.20.22	But and yf I saye vnto the lad, beholde, the arowes are be yonde the, then go for the Lord hath sent the awaye.
1Sam.20.23	And as touchynge this which thou and I haue spoken: beholde the Lorde be betwene the Ꟶ me for euer.
1Sam.20.24	And so Dauid hyd him selfe in the felde. And when the newe mone was come, the kynge sat him downe to eate meate.
1Sam.20.25	And the kynge sat him downe after the olde maner, in hys seate by the wall. And Ionathas arose and Abner sate by Sauls syde, Ꟶ Dauids place was emptye.
1Sam.20.26	Neuerthelesse, Saul sayde nothinge at all that daye. For he thought: some thynge hath chaunced him that he is not cleane.
1Sam.20.27	But on the morowe which was the seconde daye of the newe mone, it happened that Dauids place was emptye agayne. And Saul sayde vnto Ionathas his sonne. Wherfore commeth not the sonne of Isai to meate, nether yesterdaye nor to daye?
1Sam.20.28	And Ionathas answered vnto Saul. Dauid asked lycence of me, to go to Bethlehem,
1Sam.20.29	for he sayde: let me go I praye the for oure kynred dothe holde an offerynge in the cytie, and my brother hath sent for me. And therfore yf I haue founde fauoure in thyne eyes, lett me go, and se my brethren. This is the cause, that he commeth not vnto the kynges table.
1Sam.20.30	Then was Saul angrye with Ionathas, Ꟶ sayde vnto him: Thou wycked rebell, do not I knowe, that thou hast chosen the sonne of Isai vnto thyne awne rebuke, Ꟶ vnto the rebuke Ꟶ shame of thy mother?
1Sam.20.31	For as longe as the sonne of Isai lyueth vpon the erth, thou shalt not be stablished, nor yet thy kingdome, wherfore now sende and sett him vnto me, for he is the chylde of deeth.
1Sam.20.32	And Ionathas answered vnto Saul his father, and sayde to him. Wherfore shulde he dye? what hath he done?
1Sam.20.33	And Saul lyfte vp a speare to hyt him, wherby Ionathas wyst well, that it was vtterlye determined of his father; to sleye Dauid.
1Sam.20.34	And so Ionathas arose from the table in a greate anger, Ꟶ dyd eate no meat the seconde daye of the moneth, for he was sory for Dauid, because hys father had done him shame.
1Sam.20.35	On the nexte morning, Ionathas went out into the felde, at the tyme apoynted with Dauid, Ꟶ a lytle ladd with him.
1Sam.20.36	And he sayde vnto his boye: runne Ꟶ seke out myne arowes whych I shote. And as the boye ran he shot an arowe beyonde him.
1Sam.20.37	And when the lad was come to the place whether Ionathas had shot the arowe, Ionathas cryed after the lad, and sayde: Is not the arowe beyonde the?
1Sam.20.38	And Ionathas cried after the lad agayne: make spede, and stande not styll. And Ionathas lad geathered vp the arowes, Ꟶ came to his master.
1Sam.20.39	But the lad wist nothinge of the matter. Onely Ionathas and Dauid wist it.
1Sam.20.40	And Ionathas gaue his weapons vnto the lad that was wyth him, Ꟶ sayde vnto him: go Ꟶ carye them to the towne.
1Sam.20.41	And as sone as the lad was gone, Dauid arose out of a place that was towarde the south, and fell on hys face to the grounde, and worshypped thre tymes. And they kissed ether other, Ꟶ wept together so longe, tyll Dauid exceaded in weping.
1Sam.20.42	And Ionathas sayde to Dauid: go in peace. And the thynges which we haue sworne both of vs in the name of the Lorde, sayinge: the Lorde be betwene the Ꟶ me, Ꟶ betwene thy sede Ꟶ myne, let them stonde for euer. And he arose, Ꟶ departed. And Ionathas went into the towne.
1Sam.21.1	Then came Dauid to Nob to Ahimelech the preast: And Ahimelech was astonyed at the sodayne commynge of Dauid, Ꟶ sayd vnto him: Why art thou alone, Ꟶ no man wt the?
