2Chr.0.0	¶ The seco{n}de boke of the Chronycles which in the Hebrue is one with the fyrst.
2Chr.18.28	And so the kinge of Israel and Iehosaphat the kinge of Iuda went vp to Ramoth in Gilead.
2Chr.18.29	And the kyng of Israel sayde vnto Iehosaphat: I must chaunge me, when I go to the batatyll: but se that thou haue thyne awne apparell vpon the. And the kynge of Israel chaunged hym selfe, and they came to battayll.
2Chr.18.30	But the kyng of Siria had commaunded the captaynes of the charrettes that were with him, sayinge: se that ye fight not agaynst small or greate, saue agaynst the kynge of Israel onely.
2Chr.18.31	And when the captaynes of the charettes sawe Iehosaphat, they sayde: it is the kynge of Israel, and therfore they compassed about hym to fyght. But Iehosaphat cryed out, Ꟶ the Lorde helped him, and God chased them awaye from hym.
2Chr.18.32	For it came to passe that when the captaynes of the charretes perceaued that it was not the kyng of Israel, they turned backe agayne from him.
2Chr.18.33	And a certayn man drewe a bowe with all hys myght, and smote the kyng of Israel betwene the ioyntes of his habergyn. And he sayd to hys charretman: turne thyne hande, that thou mayest cary me out of the hoost: for I am wounded.
2Chr.18.34	And the battayll ceassed that daye. Howbeit the king of Israel caused his charet to stond still agaynst the Sirians vntyll euen. And about the tyme of the sunne going downe, he dyed.
2Chr.19.1	And Iehosaphat the kynge of Iuda came home agayne in peace to Ierusalem.
2Chr.19.2	And Iehu the sonne of Hanam the sear went out to mete hym, and sayde to kynge Iehosaphat: Woldest thou helpe the vngodly, and loue them that hate the Lorde? Therfore is wrath come downe vpon the, from before the Lorde.
2Chr.19.3	Neuertheles, there are some good actes founde in the, in that thou hast hewen downe the groues out of the lande, and hast prepared thyne herte to seke God.
2Chr.19.4	And so Iehosaphat dwelt at Ierusalem: Ꟶ turned Ꟶ went out to the people from Beerseba to mount Ephraim, Ꟶ brought them again vnto the Lord God of their fathers.
2Chr.19.5	And he set iudges in the lande thorowout all the strong cityes of Iuda, citye by citye:
2Chr.19.6	Ꟶ sayde to the iudges: take hede what ye do, for ye execute not the iudgmentes of man, but of God, which is wt you in the iudgement.
2Chr.19.7	Wherfore nowe, let the feare of the Lorde be vpon you, and take hede, Ꟶ be doyng the thynge that pleaseth hym. For ther is no vnryghtewesnes wt the Lord oure God: that he shulde haue any respecte of persones, or take rewardes.
2Chr.19.8	Moreouer, in Ierusalem dyd Iehosaphat set of the leuites, and of the prestes and of the auncient fathers ouer Israel, in the iudgement Ꟶ cause of the Lord. And they returned agayne to Ierusalem.
2Chr.19.9	And he charged them saying: Thus shall ye do in the feare of the Lorde, wt the trueth Ꟶ a pure herte:
2Chr.19.10	What cause soeuer come to you of your brethren that dwell in their cyties, betwene bloud Ꟶ bloud, betwene law and commaundment, betwene statutes Ꟶ ordynaunces, ye shall warne them, that they trespace not agaynst the Lorde, Ꟶ so wrath come vpon you Ꟶ on youre brethren. Thus do, Ꟶ ye shall not offende.
2Chr.19.11	And behold, Amaria the hye prest is amonge you in all matters of the Lord, Ꟶ zebadia the sonne of Ismael, a ruler of the house of Iuda, he is ouer soch busynesses as concerne the kyng: there be offycers of the leuites also before you. Take courage to you therfore, and be doynge manfully: and the Lorde shalbe with soche as be good.
2Chr.20.1	After thys also, it fortuned that the chyldren of Moab and the chyldren of Ammon, and wt them other of the Ammonites came agaynst: Iehosaphat to battayll.
2Chr.20.2	And there came some that tolde Iehosaphat sayinge: there commeth a greate multitude agaynst the from the other syde of the see, Ꟶ out of Siria. And beholde, they be in Hasason Thamar, which is Engadi.
2Chr.20.3	And Iehosaphat feared, and set him selfe to seke the Lord, and proclaymed fastyng thorowout all Iuda.
2Chr.20.4	And they that were in Iuda, gathered them selues together, to aske councell of the Lord. And they came out of all the cityes of Iuda, to make intercessyon to the Lorde.
2Chr.20.5	And Iehosaphat stode betwene the congregacion of Iuda and Ierusalem in the house of the Lorde before the newe courte,
2Chr.20.6	and sayde: O Lorde God of our fathers, art not thou God in heuen, and raygnest not thou on all the kyngdomes of the Hethen? And in thyne hande is power and myght, and there is no man that is able to withstande the.
2Chr.20.7	Art not thou oure God, which dydest cast out the inhabiters of thys lande before thy people Israel, and gauest it to the seede of Abraham thy louer for euer?
2Chr.20.8	And they dwelt therin, and haue buylt the a temple therin for thy name, sayinge:
2Chr.20.9	Yf euell come vpon vs, as the swerde of iudgement, pestilence or hongre: then, yf we stand before this house in thy presence, for thy name is in thys house, and crye vnto the in our tribulacyon, heare thou, and helpe.
2Chr.20.10	And nowe behold, the chyldren of Ammon, and Moab, Ꟶ mount Seir, by whom thou woldest not let them of Israel go, when they came out of the lande of Egipte: but they departed from them, Ꟶ destroyed them not.
2Chr.20.11	Se, howe they rewarde vs, to come for to cast vs out of thy possessyon, which thou hast geuen vs to inheret.
2Chr.20.12	O our God, wylt thou not iudge them: for we haue no myght agaynst thys great companye that commeth agaynst vs. Nether wote we what to do: but oure eyes be vnto the.
2Chr.20.13	And all Iuda stode before the Lorde wt their yongeones, theyr wyues Ꟶ theyr chyldren:
2Chr.20.14	Ꟶ ther was Iehasiel the sonne of zacharia the sonne of Banaia the sonne of Ieiel the sonne of Mathania, a leuite of the sonnes of Asaph, and vpon hym came the sprete of the Lorde, euen in the myddes of the congregacion.
2Chr.20.15	And he sayde: herken all Iuda, and ye enhabiters of Ierusalem, Ꟶ thou king Iehosaphat: Thus sayth the Lord vnto you: be not afrayd nor faynte herted by reason of thys greate multitude: for the battayll is not youres: but Gods.
2Chr.20.16	Tomorow go ye downe agaynst them: for they come vp at ziz, Ꟶ ye shall finde them at the ende of the broke before the wildernes of Ieruel.
2Chr.20.17	Ye shall not nede to fyght in thys battayll: but steppe forth Ꟶ stande, Ꟶ beholde the helpe of the Lorde which is with you: feare not, nor let youre hertes fayle you, O ye of Iuda and of Ierusalem. Tomorowe go out agaynst them: for the Lorde wylbe with you.
2Chr.20.18	And Iehosaphat bowed hys face to the erth, and all Iuda and the enhabiters of Ierusalem fell before the Lorde worshippynge the Lorde.
2Chr.20.19	And the leuites of the chyldren of the Cahathites and of the children of the Corahites stode vp, to prayse the Lorde God of Israel with a loude voyce on hye.
2Chr.20.20	And whan they arose earlye in the mornynge, they gat them out vnto the wyldernesse of Thekoa. And as they went out, Iehosaphat stode and sayde: heare me, O Iuda, Ꟶ ye enhabiters of Ierusalem. Put your trust in the Lord your God, that ye maye be founde faythfull. Geue credence to hys prophetes, Ꟶ so shall ye prospere.
2Chr.20.21	And he gaue the people councell, and set some to syng vnto the Lord, Ꟶ to prayse him in the bewtye of holynes, Ꟶ to go out before the army, as they went, and to saye: prayse the Lorde for hys mercy lasteth euer.
2Chr.20.22	And what tyme as they beganne to laude Ꟶ prayse, then the Lorde stered vp certayne of the chyldren of Ammon and Moab, which layed wayte for them that were of mount Seir: which were come agaynst Iuda. And they were ouerthrowen with strokes amonge them selues. For the chyldren of Ammon and Moab rose against the enhabiters of mount Seir. And they slewe and destroyed them.
2Chr.20.23	And whan they had made an ende of the enhabiters of Seir, euery one helped to destroye another amonge them selues.
2Chr.20.24	And when Iuda came to the edge of the wildernes, they loked vnto the multitude. And beholde, they were deed carcasses fallen to the erth, Ꟶ none escaped.
2Chr.20.25	And whan Iehosaphat and hys people came to take awaye the spoyle of them, they founde amonge them aboundaunce of goodes, rayment and pleasaunt Iewels, which they toke for them selues, more then they could cary awaye: so that they were thre dayes in gatherynge of the spoyle, it was so moch.
2Chr.20.26	And the fourth daie they assembled in the valley of blessinge: for there they blessed the Lord: And therfore they called the name of the same place, the valeye of blessyng vnto thys daye.
2Chr.20.27	And so all the men of Iuda Ꟶ Ierusalem returned with Iehosaphat theyr heade, for to go againe to Ierusalem with gladnesse: for the Lorde had made them to reioyse ouer theyr enemyes.
2Chr.20.28	And they came to Ierusalem with psalteryes and harpes, Ꟶ shawmes, euen vnto the house of the Lorde.
2Chr.20.29	And the feare of God fell in the kyngdomes of all landes, whan they had hearde that the Lorde fought agaynst the enemyes of Israel.
2Chr.20.30	And so the realme of Iehosaphat was in tranquyllite: and hys God gaue hym rest on euery syde.
2Chr.20.31	And Iehosaphat raygned vpon Iuda, Ꟶ was .xxxv. yere olde when he beganne to raygne, Ꟶ raygned .xxv. yere in Ierusalem. And his mothers name was Asuba the daughter of Silhi.
2Chr.20.32	And he walked in the waye of Asa his father, Ꟶ bowed not therfrom, doynge that which was ryght in the syght of the Lorde:
2Chr.20.33	Howbeit the hylaultars were nott taken awaye, for the people had not yet prepared theyr hertes vnto the God of theyr fathers.
2Chr.20.34	The rest of the actes of Iehosaphat first Ꟶ last beholde, they are wrytten amonge the sayinges of Iehu the sonne of Hanam, which noted them in the boke of the kynges of Israel.
2Chr.20.35	After this dyd Iehosaphat kyng of Iuda ioyne him selfe wt Ahaziahu kinge of Israel, whose mynde was to do wyckedly.
2Chr.20.36	He coupled hym selfe with hym, to make shippes to go to tharsis, And they made the shyppes in Ezion Gaber.
2Chr.20.37	And Elieser the sonne of Dodanah of Maresa prophesyed agaynst Iehosaphat, sayinge: because thou hast ioyned thy selfe with Ahaziahu, the Lorde hath broken thy workes. And the shippes were broken, that they were not able to go to Tharsis.
2Chr.21.1	Iehosaphat also slepte wt hys fathers, and was buryd with his fathers in the citie of Dauid, Ꟶ Iehoram his sonne raygned in his steade:
2Chr.21.2	and he had brethren which were the sonnes of Iehosaphat. Asaria, Iehiel, zacharia, Asaria, Michael, Ꟶ Sephatiahu. All these were the sonnes of Iehosaphat kynge of Iuda.
2Chr.21.3	And their father gaue them many greate gyftes of golde, and syluer, and other speciall substaunce, wt stronge cityes in Iuda: but the kyngdome gaue he to Iehoram, for he was the eldest.
2Chr.21.4	And Iehoram rose vp agaynst the kyngdome of his father, and preuayled, and slue all his brethren with the swerde, Ꟶ diuerse of the lordes of Israel.
2Chr.21.5	Iehoram was .xxxij. yere olde whan he beganne to raygne, and he raygned eight yere in Ierusalem.
2Chr.21.6	And he walked in the waye of the kinges of Israel, lyke as dyd the house of Ahab, for he had the daughter of Ahab to wyfe, Ꟶ he wrought euell in the eyes of the Lorde.
2Chr.21.7	Howbeit, the Lord wolde nott destroye the house of Dauid, because of the couenaunt that he had made with Dauid, as he promysed to gyue a light to hym and to hys sonnes for euer.
2Chr.21.8	In hys dayes the Edomites rebelled, whan they were vnder the dominyon of Iuda, and made them selues a kinge.
2Chr.21.9	And Iehoram went forth wt his lordes, and all hys charettes were wt hym: Ꟶ he rose vp by nyght, Ꟶ smote that Edomites, which compased him in, Ꟶ the captaynes of the charettes.
2Chr.21.10	But Edom rebelled styll, so that they wolde not be vnder the hande of Iuda vnto this daye. That same time also dyd Libna departe from beyng vnder his hande, because Iehoram had forsaken the Lorde God of his fathers.
2Chr.21.11	Moreouer, he made hylaulters in the cyties of Iuda, and caused the enhabiters of Ierusalem to commyt fornycacyon, and prouoked Iuda to Idolatrye.
2Chr.21.12	And there came a writynge to him from Elia the prophete, saying: Thus sayth the Lord God of Dauid thy father: because thou hast not walked in the wayes of Iehosaphat thy father, Ꟶ in the wayes of Asa kynge of Iuda,
2Chr.21.13	but walkedst in the wayes of the kynges of Israel, Ꟶ hast made Iuda Ꟶ the dwellers of Ierusalem to go a whoring, lyke to the whordome of the house of Ahab, Ꟶ hast slayne thy brethren, euen thy fathers house, which were better then thou:
2Chr.21.14	beholde, wt a greate plage wyll the Lorde smyte thy folke, thy children, thy wyues, and thy goodes.
2Chr.21.15	And thou shalt suffre great payne: euen a dysease of thy bowelles, vntyll thy guttes fall out by reason of thy sycknes, daye by daye.
2Chr.21.16	And so the Lorde stered vp agaynst Iehoram the sprete of the Philistines, Ꟶ the Arabians that were besyde the blacke mores.
2Chr.21.17	And they came vp into Iuda, and wasted it, and caryed awaye all the substaunce that was found in the kynges house, and hys sonnes, and his wyues: so that there was neuer a sonne lefte him saue Iehohahaz which was the yongest amonge hys sonnes.
2Chr.21.18	And after all these thynges, the Lorde smote him in his bowelles wt an incurable disease.
2Chr.21.19	And it came to passe, that in processe of tyme, euen after the ende of two yeres, hys guttes fell out in his sycknes: and so he dyed of very euell diseases. And they made no burnynge for him lyke the burnyng of hys fathers.
2Chr.21.20	When he beganne to raygne, he was .xxij. yeare olde, and raygned in Ierusalem .viij. yere, Ꟶ lyued wretchedly: howbeit they buryed hym in the citye of Dauid: but not among the sepulchres of the kynges.
2Chr.22.1	And the enhabiters of Ierusalem made Ahaziahu hys yonge sonne kinge in hys steade. For the men of warre that came with the host of the Arabians, had slayne all hys eldest sonnes. And so Ahaziahu the sonne of Iehoram kynge of Iuda, was made kynge.
2Chr.22.2	Two and fourtye yere olde was he, whan he began to raygne, and he raygned one yere in Ierusalem. Hys mothers name was Athaliahu the daughter of Amri.
2Chr.22.3	And he walked also in the wayes of the house of Ahab, for hys mother (by her councell) entysed him to do wyckedly.
2Chr.22.4	Wherfore he dyd that which was euell in the syght of the Lorde, as dyd they that were of the house of Ahab: for they were hys councelers after the deeth of his father, to his destruccyon. And he walked after theyr councell,
2Chr.22.5	and went with Iehoram sonne of Ahab king of Israel, to fight agaynst Hazael king of Siria at Ramoth in Gilead: and the Sirians smote Ioram.
2Chr.22.6	And he returned to be healed in Iezrel, of the woundes which were geuen him at Rama, when he fought wt Hazael kyng of Siria. And Ahaziahu the sonne of Iehoram kynge of Iuda went downe to se Iehoram the sonne of Ahab at Iezrel, because he was diseased.
2Chr.22.7	And it cam of God, that Ahaziahu shulde be despysed for hys commynge to Iehoram: for whan he was come, he went out with Iehoram agaynst Iehu the sonne of Nimsi, whom the Lorde had anoynted to destroye the house of Ahab.
2Chr.22.8	And so it came to passe that whan Iehu was executynge iustice vpon the house of Ahab, Ꟶ had founde the lordes of Iuda and the sonnes of the brethren of Ahaziahu that wayted on Ahaziahu, he slue them.
2Chr.22.9	And he sought Ahaziahu, and they caught hym where he was hyd in Samaria, and brought him to Iehu. And when they had slayne hym, they buried hym: because (sayde they) he is the sonne of Iehosaphat, which sought the Lord with all hys hert. And the house of Ahaziahu had no power to kepe styll the kyngdome.
2Chr.22.10	But when Athaliahu the mother of Ahaziahu sawe that her sonne was deed, she arose and destroyed all the kynges seed in the kynred of the house of Iuda.
2Chr.22.11	And Iehosabeth the daughter of the kinge toke Ioas the sonne of Ahaziahu, Ꟶ stale hym from amonge the kynges sonnes that were slayne, and putt hym and hys nource in a preuye chambre. And so Iehosabeath the daughter of kinge Iehoram the wyfe of Iehoiada the prest, and the syster of Ahaziahu hyd hym from Athaliahu that he was not slayne.
2Chr.22.12	And so he was wt them hyd in the house of God syxe yere. And Athaliahu raygned ouer the lande.
2Chr.23.1	And in the seuenth yere Iehoiada beynge bolde, toke the captaynes of hundredes, Azariahu the sonne of Ieroham, and Ismael the sonne of Iehohanam, Azariahu the sonne of Obed, Maasiahu the sonne of Adaiahu, and Elisaphat the sonne of zichri, and made a bonde with them.
2Chr.23.2	And they went aboute in Iuda, and gathered the Leuites out of all the cyties of Iuda and the auncyent fathers of Israel: and they came to Ierusalem.
2Chr.23.3	And all the congregacyon made a bonde with the kynge in the house of God. And he sayd vnto them: beholde, the kynges sonne must raygne, as the Lorde hath sayde of the chyldren of Dauid.
2Chr.23.4	This is it therfore that ye shall do: The thyrde parte of you shall (on the Sabbath) come to the preastes, Leuites, and kepers of the porches.
2Chr.23.5	And another thyrde parte shalbe by the kynges house, and another thyrde parte shalbe at the gate of the foundacyon, and all the people shalbe in the courtes of the house of the Lorde.
2Chr.23.6	But ther shall none come into the house of the Lorde, saue the preastes Ꟶ they that ministre vnto the Leuites. They shall go in, for they are holy: but all the people shall kepe the watch of the Lord.
2Chr.23.7	And the Leuites shall compase the kynge rounde about and euery man shall haue hys wepon in hys hande: and what other man soeuer doth come into the house of the Lorde, he shall be slayne: and let them be with the kynge, whan he commeth in, and whan he goeth out.
2Chr.23.8	And the Leuites and all Iuda dyd accordynge to all thynges that Iehoiada the preaste had commaunded, Ꟶ toke euery man hys men, that came in on the Sabboth, wt them that went out on the Sabboth daye: nether did Iehoiada the preast let the companies departe.
2Chr.23.9	And Iehoiada the preast deliuered to the captaynes of hundredes, speares, shyldes, and boukelars, that had pertayned to kynge Dauid, and were in the house of God.
2Chr.23.10	And he set all the people euery man hauyng his wepon in his hande, from the ryght syde of the temple, to the left syde of the temple, alonge by the aulter and the temple, rounde aboute the kynge.
2Chr.23.11	And they brought out the kynges sonne, and put vpon him the crowne, and the testimonie, and made him kynge. And Iehoiada Ꟶ his sonnes annoynted him, Ꟶ sayde: God saue the kynge.
2Chr.23.12	When Athaliahu hearde the noyse of the people, runninge Ꟶ praysinge the kynge, she came to the people into the house of the Lorde.
2Chr.23.13	And she loked, and beholde, the kynge stode in his place at the enterynge in, Ꟶ the Lordes and the trompettes were by the kynge, Ꟶ all the people of the lande reioysed, blowinge wt trompettes, Ꟶ dyd playe with instrumentes of musycke, Ꟶ taught to synge Ꟶ prayse. But Athaliahu rent her clothes, and sayed: treason, treason.
2Chr.23.14	And Iehoiada the preaste went out to the captaynes of hundredes that were gouerners of the hoste, Ꟶ sayde vnto them: haue her out without the dore of the temple: and whoso foloweth her, let hym be slayne with the swerde. For the preaste sayde that they shulde not sley her in the house of the Lorde.
2Chr.23.15	And they layde handes on her, tyll she was come to the entrynge of the horsgate besyde the kynges house and there they slue her.
2Chr.23.16	And Iehoiada made a bonde betwene hym and all the people and the kynge, that they shulde be the Lordes people.
2Chr.23.17	And all the people went to the house of Baal, Ꟶ destroyed it, and brake hys aulters and his ymages, Ꟶ slue Mathan the preaste of Baal before the aulters.
2Chr.23.18	And Iehoiada put the offyces for the house of the Lord vnder the hande of the preastes and Leuites, as Dauid had distrybuted them in the house of the Lorde, to offer burnt offerynges vnto the Lorde, as it is wrytten in the lawe of Moses, with reioysynge and syngynge, as it was ordeyned by Dauid.
2Chr.23.19	And he set porters by the gates of the house of the Lorde, that none which was vncleane in any thynge shulde entre in.
2Chr.23.20	And he toke the captaynes of hundredes Ꟶ all the nobles, and the gouernoures of the people, Ꟶ all the folke of the lande, and caused the kynge to come downe out of the house of the Lord, and they came thorowe the hye gate into the kynges house, and set the kynge vpon the seate of the kyngdome.
2Chr.23.21	And all the people of the lande reioysed, and the cytie was in tranquillite, after that they had slayne Athaliahu with the swerde.
2Chr.24.1	Ioas was seuen yere olde when he beganne to raygne, Ꟶ he raygned fourty yere in Ierusalem Hys mothers name also was zibia of Beer Seba.
2Chr.24.2	And Ioas dyd that which was ryght in the syght of the Lorde all the dayes of Iehoiada the preaste.
2Chr.24.3	And Iehoiada toke hym two wyues, and he begat sonnes and daughters.
2Chr.24.4	And it chaunsed after this, that Ioas was mynded, to renewe the house of the Lord
2Chr.24.5	and he gathered together the preastes Ꟶ the Leuites, and sayd to them: go out vnto the cyties of Iuda, Ꟶ gather of all Israell money, to repayre the house of youre God from yere to yere, and se that ye hast the thynge: howbeit the Leuites were slacke.
2Chr.24.6	And the kyng called Iehoiada that was the chefest and sayd vnto hym. Why requirest thou not of the Leuites to brynge in, out of Iuda Ꟶ Ierusalem, the collection of money accordynge to the commaundement of Moses the seruaunt of the Lorde and the congregacion of Israel shulde offre it for the tabernacle of wytnesse.
2Chr.24.7	For wycked Athaliahu and her chyldren brake vp the house of God, and all the thynges that were dedicat for the house of the Lorde dyd they bestowe for Bealim.
2Chr.24.8	And at the kinges commaundement, they made a chest, Ꟶ set it without at the gate of the house of the Lorde
2Chr.24.9	and made proclamacyon thorowe Iuda and Ierusalem, to bryng into the Lorde the taxacion of money, that Moses the seruaunt of God set vpon Israel in the wyldernesse.
2Chr.24.10	And the Lordes and all the people reioysed, and brought in, and cast into the chest, vntill it was full.
2Chr.24.11	And it fortuned, that at the same tyme they brought in the chest (vnto them which were in the kynges busynesse) by the hande of the Leuites. And when they sawe that there was moche money, the kynges scrybe (and one appoynted by the hye preast) came, and emptied the chest, and toke it, and caryed it to his place agayne: thus they dyd daye by daye, and gathered moche money.
2Chr.24.12	And the kynge Ꟶ Iehoiada gaue it to soch as dyd the laboure and worke in the house of the Lorde, and hyred masons and carpenters to repayre the house of the Lorde, and so dyd they artificers in yron and brasse, to mende the house of the Lorde.
2Chr.24.13	And so the worckmen wrought, and the worcke mended thorowe theyr handes: and they made the house of God as it ought to be, and strengthed it.
2Chr.24.14	And when they had finisshed it, they brought the rest of the moneye before the kyng and Iehoiada, and ther with were made vessels for the house of the Lorde: euen vessels to ministre withall, and to serue for burnt offerynges: chargers and spones, vessels of golde and syluer. And they offered burntofferynges in the house of the Lorde continuallye all the dayes of Iehoiada.
2Chr.24.15	But Iehoiada waxed olde, and dyed full of dayes. For an hundred Ꟶ thyrtye yere olde was he when he dyed.
2Chr.24.16	And they buryed hym in the cytie of Dauid amonge the kynges, because he dealt well with Israel, and with God and with his house.
2Chr.24.17	And after the deeth of Iehoiada, came the Lordes of Iuda, and made obeysaunce to the kynge. And the kynge herkened vnto them.
2Chr.24.18	And so they lefte the house of the Lorde God of theyr fathers, Ꟶ serued groues and ydoles. And then came the wrath of God vpon Iuda and Ierusalem, for this theyr trespaces sake.
2Chr.24.19	And he sent prophetes to them, to bryng them agayne vnto the Lorde. And they testifyed vnto them: But they wolde not heare.
2Chr.24.20	And the spyrite of God came vpon zacharia the sonne of Iehoiada the preast, which stode by the people, Ꟶ sayde vnto them: Thus sayth God: why transgresse ye the commaundementes of the Lorde, that ye cannot prospere? For because ye haue forsaken the Lord, he also hath forsaken you.
2Chr.24.21	And they conspyred agaynst him, and stoned him with stones at the commaundement of the kynge: euen in the courte of the house of the Lorde.
2Chr.24.22	And so Ioas the kynge remembred not the kyndnes which Iehoiada hys father had done to him, but slue his sonne. And when he dyed, he sayd: the Lorde loke vpon it, and requyre it.
2Chr.24.23	And when the yere was out, it fortuned, that the host of Syria came vp agaynst him: and they came agaynst Iuda Ꟶ Ierusalem, and destroyed all the Lordes of the people from among the people, Ꟶ sent all the spoyle of them vnto the kyng to Damasco
2Chr.24.24	wt a small companye of men, Ꟶ the Lord deliuered a very great hoste into their hande, because they had forsaken the Lord God of theyr fathers. And morouer they serued Ioas according to his dedes.
2Chr.24.25	And whan they were departed from him, they left him in great diseases Ꟶ hys awne seruauntes conspyred agaynst him for the bloude of the chyldren of Iehoiada the preaste, and slue hym on hys bed, and he dyed, Ꟶ they buryed him in the cytie of Dauid: but not in the sepulchres of the kynges.
2Chr.24.26	And these are they that conspired agaynst him: zebad the sonne of Simeath an Ammonite, and Ihosabad the sonne of Simrith a Moabite.
2Chr.24.27	And hys sonnes, and the summe of the taxe that was raysed in hys tyme, and the repayringe of the house of God, beholde, they are written in the storie of the boke of the kynges. And Amaziahu hys sonne raynged in hys steade.
2Chr.25.1	Amaziahu was .xxv. yere olde, when he beganne to raynge, and he raynged .xxix. yere in Ierusalem. Hys mothers name was Iehodadan of Ierusalem.
2Chr.25.2	And he dyd that which is ryght in the syght of the Lorde: but not with a perfecte hert.
2Chr.25.3	And as sone as he was settled in the kyngdome, he slue hys seruauntes, that had kylled the king hys father.
2Chr.25.4	But he slue not their children, because it is written thus in the law Ꟶ boke of Moses, where the Lorde commaunded, saying: the fathers shall not dye for the children, nether shall the chyldren dye for the fathers, but euery man shall dye for hys awne synne,
2Chr.25.5	And Amaziahu gathered Iuda together, and made them captaynes ouer thousandes and ouer hundredes, accordynge to the houses of theyr fathers, thorowe out all Iuda and Beniamin. And he nombred them from twentye yere olde and aboue, and founde amonge them, thre hundred thousande chosen men, able to go to battell, and that coulde handle speare and shylde.
2Chr.25.6	He hyred also an hundred thousande stronge fyghtynge men out of Israel, for an hundred talentes of syluer.
2Chr.25.7	And there came a man of God to him, and sayde: O kynge, let not the armye of Israel come with the: for the Lorde is not with Israel, nether with all the house of Ephraim.
2Chr.25.8	But yf thou wylt nedes be faythlesse, come on, and take the batell in hande, and God shall make the fall before the enemie. For God hath power to helpe, Ꟶ to cast downe.
2Chr.25.9	And Amaziahu sayde to the man of God: what shall we do then, for the hundred talentes, which I haue geuen for the hoste of Israel? The man of God answered: the Lorde is able to geue the moche more then they be.
2Chr.25.10	And Amaziahu seuered them to the armie that was come to him out of Ephraim, to go home agayne. Wherfore they were exceadynge wroth with Iuda, and returned home in greate angre.
2Chr.25.11	And Amaziahu toke hert and caryed out hys people, and went to the salt valley, and smote of the chyldren of Seir ten thousande.
2Chr.25.12	And other ten thousande dyd the chyldren of Iuda take alyue, and caryed them vnto the toppe of a rocke, and cast them downe from the toppe of the rocke, that they all to burst:
2Chr.25.13	but the souldyers of the armye which Amaziahu sent awaye, that they shulde not go wt his people to battell, fell vpon the cyties of Iuda, from Samaria vnto Bethhoron, Ꟶ smote thre thousande of them, Ꟶ toke moche spoyle.
2Chr.25.14	And it chaunced, after that Amaziahu was come from the slaughter of the Edomites, he brought the Gods of the chyldren of Seir, Ꟶ set them vp to be hys Gods, and bowed hym selfe before them: and burned encense vnto them.
2Chr.25.15	Wherfore the Lorde was wroth with Amaziahu and sent vnto hym a prophete, whych sayd vnto hym: why hast thou sought the Gods of the people, which were not able to delyuer theyr awne people out of thyne hande?
2Chr.25.16	And it chaunced, that as the prophete talked with hym the kynge sayde vnto hym: haue men made the of the kynges councell? cease, why wylt thou be beaton? And the prophete ceased and sayde: I am sure that God is mynded to destroye the, because thou hast done this, and agreest not vnto my councell.
2Chr.25.17	Then Amaziahu kynge of Iuda toke aduise, and sent to Ioas the sonne of Ichoahaz the sonne of Iehu kyng of Israel, Ꟶ sayde come, that we maye se ether other.
2Chr.25.18	And Ioas kynge of Israel sent to Amaziahu kynge of Iuda, sayinge: a thystell that is in Libanon, sent to a Cedar tree of Libanon, saying, geue thy daughter to my sonne to wyfe. And there came a wylde beast of Libanon, Ꟶ troad downe the thystell.
2Chr.25.19	Thou sayest that thou hast beaten the Edomites, and thyne hert maketh the proude, to glorify thy selfe. Nowe therfore byde at home: why dost thou prouoke vnto euell, that thou mayest perisshe, both thou and Iuda with the?
2Chr.25.20	But Amaziahu wolde not herken to him: for it came of God, euen to deliuer them into the hande of theyr enemyes because they sought councell at the Gods of Edom.
2Chr.25.21	And so Ioas the kynge of Israel came vp: and they sawe ether other, both he and Amaziahu kynge of Iuda at Bethsames which is in Iuda.
2Chr.25.22	And Iuda was put to the worse before Israel, and they fled euery man to his tent.
2Chr.25.23	And Ioas the kynge of Israel toke Amaziahu kyng of Iuda the sonne of Ioahas the sonne of Iehoahas at Bethsames: and brought hym to Ierusalem, Ꟶ tare the walle of Ierusalem (from the gate of Ephraim vnto the gate that was ouer agaynst it) foure hundred cubytes.
2Chr.25.24	And he toke awaye also all the golde and syiner, and all the Iewelles that were founde in the house of God with Obed Edom, and the treasures of the kynges house, Ꟶ the yonge wardes, and returned to Samaria.
2Chr.25.25	And Amaziahu the sonne of Ioas kynge of Iuda lyued after the deeth of Ioas sonne of Iehoahaz king of Israel fiftene yere.
2Chr.25.26	The rest of the actes of Amaziahu fyrst and last, are they not written in the boke of the kynges of Iuda and Israel?
2Chr.25.27	And after the tyme that Amaziahu dyd turne awaye from the Lorde they conspired treason agaynst him in Ierusalem: and whan he was fled to Lachis, they sent to Lachis after hym, and slue hym there:
2Chr.25.28	and brought hym vp with horsses, and buryed hym with hys fathers in the cytie of Iuda.
2Chr.26.1	Then all the people of Iuda toke Uzia (which was syxtene yere olde) and made hym kynge in the rowme of hys father Amaziahu.
2Chr.26.2	And he buylt Eloth, and brought it agayne to Iuda, after that the kynge was layd to slepe with hys fathers.
2Chr.26.3	Syxtene yere olde was Uzia, when he began to raygne, and he raygned .lii. yere in Ierusalem. Hys mothers name also was Ieeholia of Ierusalem.
2Chr.26.4	And he did that which was right in the syght of the Lorde, accordynge to all, as dyd hys father Amaziahu.
2Chr.26.5	And it came to passe, that he sought God in the dayes of zachariahu (which mayntened the feare of God) Ꟶ as longe as he sought the Lorde, God made hym to prospere.
