Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.16.3	And the hole multitude of the children of Israel murmured agaynst Moses and Aaron in the wyldernes:
Exod.16.4	and the children of Israel sayde vnto them: wolde to God we had died by the hande of the Lorde in the lande of Egypte, when we sat by the fleshepottes, and when we dyd eate bread our belyes full: for ye haue brought vs out into this wyldernes, to kyll thys hole multitude with honger.
Exod.16.5	Then sayde the Lorde vnto Moses: behold, I wyll rayne bread from heauen to you, and the people shall go out, and gather daye by daye that I may proue them, whither they will walke in my lawe or no.
Exod.16.6	The .vj. daye they shal prepare for them selues that which they wyll bryng in, and let it be twise asmoch as they gather in dayly.
Exod.16.7	And Moses Ꟶ Aaron sayde vnto all the children of Israel: at euen ye shall knowe that it is the Lorde, which brought you out of the lande of Egypt:
Exod.16.8	and in the morning, ye shall se the glory of the Lorde: because he hath heard your grudginges agaynst the Lorde. And what are we that ye haue murmured against vs?
Exod.16.9	And Moses sayde: At euen shall the Lorde geue you flesh to eate, and in the mornyng bread ynough: for the Lorde hath hearde your murmurynges which ye murmur agaynst him: for what are we? your murmuringes are not against vs, but agaynst the Lorde.
Exod.16.10	And Moses spake vnto Aaron: Saye vnto all the company of the children of Israel, come forth before the Lorde: for he hath heard your grudgynges.
Exod.16.11	And as Aaron spake vnto the hole multytude of the chyldren of Israel, they loked towarde the wildernes: and beholde, the glorye of the Lorde appeared in the cloude.
Exod.16.12	And the Lord spake vnto Moses, saying:
Exod.16.13	I haue hearde the murmurynge of the chyldren of Israel, tell them therfore and saye: at euen ye shall eate flesh, and in the morning ye shalbe fylled with breed, and ye shall knowe that I am the Lord your God.
Exod.16.14	And at euen the quayles came and couered the grounde where they laye. And in the morninge, the dewe laye rounde about the hooste.
Exod.16.15	And when the dewe was fallen: beholde it laye vpon the grounde in the wyldernes, small Ꟶ round and thyn as the hore frost on the grounde.
Exod.16.16	And when the chyldren of Israel sawe it, they sayde euery one to hys neyghboure: It is Manna. For they wist not what it was. And Moses sayde vnto them: this is the breed which the Lord hath geuen you to eate.
Exod.16.17	This is the worde which the Lorde hath commaunded: gather of it euery man for him self to eate: a gomer full for a man according to the nombre of you, and take euery man for them which are in his tente.
Exod.16.18	And the chyldren of Israel dyd euen so, Ꟶ gathered some more, some lesse,
Exod.16.19	and when they dyd mete it with a gomer, vnto hym that had gathered moch, remayned nothing ouer, and vnto him that had gathered litle, was there no lacke: euery man gathered sufficient for his eatyng.
Exod.16.20	And Moses sayde vnto them: Se that no man let ought remayne of it tyll the mornyng.
Exod.16.21	Not withstondyng they harkened not vnto Moses: but some of them lefte of it vntyll the mornyng, and it waxed full of wormes and stancke, and Moses was angry with them.
Exod.16.22	And they gathered it all morninges, euery man for hys eatynge. And assoone as the heate of the sunne came, it moulte.
Exod.16.23	And the sixte day, they gathered twise so moch breed two gomers for one man: Ꟶ all the rulers of the multitude came, Ꟶ tolde Moses.
Exod.16.24	He sayd vnto them: this is that which the Lorde hath sayde: tomorow is the rest of the holy Sabbath vnto the Lord: bake that which ye will bake, and seth that ye will seth, and that which remayneth, laye vp tyll the mornynge.
Exod.16.25	And they layde it vp tyll the mornynge, as Moses bad: and it stanke not, nether breed there any worme therin.
Exod.16.26	And Moses sayde: that eate thys daye: for it is the Sabbath vnto the Lorde: todaye ye shall not fynde it in the felde.
Exod.16.27	Syxe dayes ye shall gather it, and in the seuenth daye which is the Sabbath, there shalbe none.
Exod.16.28	Notwithstondyng, there went out some of the people in the seuenth daye for to gather, Ꟶ they founde none.
Exod.16.29	And the Lord sayde vnto Moses: howe longe refuse ye to kepe my commaundmentes and my lawes?
Exod.16.30	Se, the Lorde hath geuen you a Sabbath, therfore he geueth you the syxte daye bread for two dayes. Byde therfore euery man at home Ꟶ lett no man go out of hys place the seuenth daye.
Exod.16.31	And the people rested the seuenth daye.
Exod.16.32	And the house of Israel called it Manna. And it was lyke vnto coriander seede, whyte: and the taste of it was like vnto wafers made with hony.
Exod.16.33	And Moses sayd: this is that which the Lorde commaundeth, fyll a gomer of it, which maye be kept for youre children after you: that they maye se the bread wherwith I haue fedd you in wyldernesse, when I brought you out of the lande of Egipt.
Exod.16.34	And Moses spake vnto Aaron: take a cruse and put a gomer full of Manna therin, and laye it vp before the Lorde to be kepte for yor children after you,
Exod.16.35	as the Lorde commaunded Moses. So Aaron layde it vp before the testimonye to be kept.
Exod.16.36	And the chyldren of Israel dyd eate Manna fourtye yeare, vntyll they came vnto a lande inhabited. And so they dyd eate Manna euen vntyll they came vnto the borders of the land of Canaan.Exo
Exod.17.1	And all the company of the chyldren of Israel thorowout their armies went from the wyldernes of Sin after the commaundement of the Lorde, and pytched in Raphidim: where was no water for the people to drincke.
Exod.17.2	And the people chode with Moses, and sayde: geue vs water to drincke. Moses sayde vnto them: why chyde ye with me? wherfore do ye tempte the Lorde?
Exod.17.3	There the people thirsted for water, and the people murmured agaynst Moses, Ꟶ sayde: wherfore hast thou thus brought vs oute of Egipte: to kyll vs and oure chyldren and catell with thyrste?
Exod.17.4	And Moses cryed vnto the Lorde, saying: what shall I do vnto thys people? they be allmoost ready to stone me.
Exod.17.5	And the Lorde sayde vnto Moses: go before the people, and take wt the of the elders of Israel, Ꟶ thy rod wherwith thou smotest the ryuer, take in thyne hande, and go.
Exod.17.6	Beholde, I stonde before the besyde a rocke that is in Horeb: Ꟶ thou shalt smyte the rocke, and there shall come water out therof, that the people maye dryncke. And Moses dyd euen so before the eyes of the elders of Israel.
Exod.17.7	And he called the name of the place Masse and Meriba. because of the chidynge of the children of Israel, and because they tempted the Lorde, sayinge: is the Lorde amonge vs or not?
Exod.17.8	Then came Amalech and fought with Israel in Raphidim.
Exod.17.9	And Moses sayde vnto Iosua: chose vs oute men, and goo fyghte with Amalech. And tomorow I will stonde on the toppe of the hyll, and the rodd of God shalbe in my hande.
Exod.17.10	Iosua did as Moses bade hym, Ꟶ foughte with Amalech. And Moses, and Aaron, Ꟶ Hur went vp to the toppe of the hyll.
Exod.17.11	And it happened, that when Moses helde vp his hande, Israel had the better. And when he late hys hande downe, Amalech had the better.
Exod.17.12	But Moses handes were heuye, and therfore they toke a stone and put it vnder hym, and he satt downe there on. And Aaron and Hur stayed vp his handes, the one on the one syde and the other on the other syde. And hys handes remayned stedye vntyll the goynge downe of the sonne.
Exod.17.13	And Iosua discomfeted Amalech and hys people, with the edge of the swerde.
Exod.17.14	And the Lorde sayde vnto Moses: writte thys for a remembraunce in a boke, and commite it vnto the eares of Iosua, for I will vtterly put out the remembraunce of Amalech from vnder heauen.
Exod.17.15	And Moses made an alter and called the name of it. The Lorde is he that worketh myracles for me.
Exod.17.16	For he sayde: the hande is on the seate of God the Lorde wyll haue warre with Amalech from generacyon to generacyon.
Exod.18.1	Iethro the prest of Midiam Moses father in lawe herde of all that God had done for Moses and for Israel hys people, and that the Lord had broughte Israel out of Egypte.
Exod.18.2	Therfore he toke ziphora Moses wyfe, (After he had sente her backe)
Exod.18.3	and hyr two sonnes, of which the one was called Gerson, for he sayd: I haue bene an alient in a straunge lande.
Exod.18.4	The name of the other was Eliesar: for the God of my father (sayde he) was myne helpe, and delyuered me from the swerde of Pharao:
Exod.18.5	And Iethro Moses Father in lawe came with his two sonnes Ꟶ his wyfe vnto Moses into the wildernesse: where he abode by the mount of God.
Exod.18.6	And he sayde vnto Moses: I thy father in lawe Iethro am come to the, and thy wyfe also and hyr two sonnes with her.
Exod.18.7	And Moses went oute to mete hys father in lawe and dyd obeyssaunce and kyssed hym and eache asked other of hys health, and they came into the tent.
Exod.18.8	And Moses tolde hys father in lawe all that the Lorde had done vnto Pharao and to the Egyptians for Israels sake, and all the trauayle that had happened them by the waye, and howe the Lorde delyuered them.
Exod.18.9	And Iethro reioysed ouer all the goodnesse whyche the Lorde had done to Israell, and because he had delyuered them out of the hande of the Egyptians.
Exod.18.10	And Iethro sayde: blessed be the Lorde whiche hath delyuered you oute of the hande of the Egyptians and out of the hande of Pharao, which hath also delyuered hys people from the captyuite of the Egyptians.
Exod.18.11	Nowe I knowe that the Lorde is greater then all goddes, for in the thynge wherby they dealt cruelly wyth them, are they them selues peryshed.
Exod.18.12	And Iethro Moses father in lawe offred burntofferynges and sacrifyces vnto God. And Aaron and all the elders of Israel came to eate breade wyth Moses father in lawe before God.
Exod.18.13	And it chaunced on the morow, that Moses satt to iudge the people, and the people stode aboute Moses from mornynge vnto euen.
Exod.18.14	And whan Moses father in lawe sawe all that he did vnto the people, he sayd: what is thys that thou doest vnto the people? why syttest thou thy selfe alone, and all the people stonde aboute the from mornynge vnto euen?
Exod.18.15	And Moses sayde vnto hys father in lawe: because the people come vnto me to seke councell of God.
Exod.18.16	When they haue a matter, they come vnto me, and I iudge betwene euery man and hys neyghboure, and shewe them the ordynaunces of God and hys lawes.
Exod.18.17	And Moses father in lawe sayd vnto him: it is not well that thou doest.
Exod.18.18	Thou both weryest thy selfe, and thys people that is wt the: for thys thynge is of more weyght, then thou art able to perfourme thy selfe alone.
Exod.18.19	Heare nowe therfore my voyce, and I wyll geue the councell, and God shalbe with the. Be thou vnto the people to God warde, that thou mayest brynge the causes vnto God,
Exod.18.20	and thou shalt teache them ordinaunces and lawes, and shewe them the waye wherin they must walke, and the worke that they must doo.
Exod.18.21	Morouer thou shalt seke oute amonge all the people, men of actiuite, and such as feare God: true men, hatynge coueteousnes: and make them heedes ouer the people, captaynes ouer thousandes, ouer hundredes, ouer fyftye and ouer ten.
Exod.18.22	And let them iudge the people at all seasons. And euery greate matter that happeneth, let them bringe vnto the, but let them iudge all small causes them selues, and so shall it be easyer for thy selfe, and they shall bere with the.
Exod.18.23	If thou shalt do thys thinge, (and God charge the with all) thou shalt be able to endure, and yet the people shall come to theyr place in peace.
Exod.18.24	And so Moses obeyed the voyce of hys father in lawe, and did all that he had sayde,
Exod.18.25	and chose actyue men oute of all Israel and made them as heedes ouer the people: namely, captaynes ouer thousandes, ouer hundredes, ouerfyfty and ouerten.
Exod.18.26	And they iudged the people at all seasons, but broughte the harde causes vnto Moses: and iudged all small matters them selues.
Exod.18.27	And Moses let hys father in lawe departe, and he went into hys awne lande.
Exod.19.1	In the thyrde moneth, whan the children of Israel were gone oute of the lande of Egipt, the same daye came they into the wyldernesse of Sinay.
Exod.19.2	For they were departed from Raphidim, and were come to the deserte of Sinay, and had pitched theyr tentes in the wildernesse. And there Israel abode before the mounte.
Exod.19.3	But Moses went vp vnto God. And the Lorde called to hym out of the mountayne, sayinge: thus shalt thou saye vnto the house of Iacob, and tell the chyldren of Israel:
Exod.19.4	ye haue sene what I dyd vnto the Egyptians, and toke you vp vpon Eegles wynges, Ꟶ haue brought you vnto my selfe:
Exod.19.5	Nowe therfore yf ye wyll heare my voyce in dede, and kepe myne appoyntement: ye shall be myne awne, aboue all nacyons, for all the erth is myne.
Exod.19.6	Ye shall be vnto me also a kyngdome of preastes and an holy people: and these are the wordes which thou shalt saye vnto the chyldren of Israel.
Exod.19.7	Moses came and called for the elders of the people, and layde before theyr faces all these wordes which the Lorde commaunded hym.
Exod.19.8	And the people answered all to gether, and sayde. All that the Lorde hath sayde, we wyll doo. And Moses brought the wordes of the people vnto the Lorde.
Exod.19.9	And the Lorde sayde vnto Moses: Lo, I come vnto the in a thycke cloud, that the people maye heare me talkynge with the, and beleue the for euer. Moses shewed the wordes of the people vnto the Lorde.
Exod.19.10	And the Lorde sayd vnto Moses: Go vnto the people, and sanctifye them to daye and to morowe, and let them wash theyr clothes:
Exod.19.11	Ꟶ be redy agaynst the thyrde daye. For the thyrde daye the Lorde wyll come downe in the syght of all the people vpon mounte Sinay.
Exod.19.12	And thou shalt set markes rounde aboute the people and saye: beware, that ye go not vp into the mounte, or touche the bordre of it. Whosoeuer toucheth the mounte, shall surely dye.
Exod.19.13	There shall not an hande touch it: Els he shall be stoned or shot thorowe: whether it be beast or man, it shall not lyue: when the trompe bloweth longe, than maye they come vp into the mountayne.
Exod.19.14	And Moses went downe from the mounte vnto the people, and sanctifyed them, and they wasshed theyr clothes:
Exod.19.15	And he sayd vnto the people: be redye agaynst the thyrde daye, and come not at youre wyues.
Exod.19.16	And the thyrde daye in the mornynge there was thunder, and lyghtenynge, and a thycke clowde vpon the mounte, and the voyce of the trompe exceadynge lowde, so that all the people that was in the hoste was afrayed.
Exod.19.17	And Moses brought the people oute of the tentes to mete with God, and they stode vnder the hyll.
Exod.19.18	And mounte Sinay was all to gether on a smoke: because the Lorde descended downe vpon it in fyre. And the smoke therof ascended vp, as the smoke of a kele, and all the mount was exceadyng fearfull.
Exod.19.19	And whan the voyce of the trompe blewe and waxed lowder and lowder Moses spake, Ꟶ God answered him by a voyce:
Exod.19.20	And the Lorde came downe vpon mounte Sinay, euen in the toppe of the hyll, and whan the Lord called Moses vp into the toppe of the hyll. Moses went vp.
Exod.19.21	And the Lorde sayde vnto Moses: go downe: charge the people, that they prease not vp to se the Lorde, and so many of them perish.
Exod.19.22	And let the prestes also whych come to the Lorde sanctifye them selues, lest the Lorde destroye them.
Exod.19.23	And Moses sayde vnto the Lorde: the people cannot come vp into the mounte Synay, for thou chargedest vs saying: set markes aboute the hyll, and sanctifie it:
Exod.19.24	And the Lorde sayde vnto him: awaye, and get the downe: and thou shalt come vp, thou and Aaron with the. But let not the Prestes and the people presume for to come vp vnto the Lorde: lest he destroye them.
Exod.19.25	And so Moses went downe vnto the people and tolde them.
Exod.20.1	And God spake all these wordes and sayde:
Exod.20.2	I am the Lorde thy God, which haue brought the out of the lande of Egipte, oute of the house of bondage.
Exod.20.3	Thou shalt haue none other goddes in my syght.
Exod.20.4	Thou shalt make the no grauen ymage, nether any symilitude that is in heauen aboue, ether in the erth benethe, or in the waters vnder the erth.
Exod.20.5	Thou shalt not worshyppe them, nether serue them: for I the Lorde thy God, am a gelouse God, and vyset the synne of the fathers vpon the chyldren vnto the thyrde and fourth generacyon of them that hate me:
Exod.20.6	and shewe mercye vnto thousandes in them that loue me and kepe my commaundementes.
Exod.20.7	Thou shalt not take the name of the Lorde thy God in vayne, for the Lorde wyll not holde him gyltlesse that taketh his name in vayne.
Exod.20.8	Remembre the Sabbath daye that thou sanctifye it.
Exod.20.9	Sixe dayes shalt thou laboure and do all that thou hast to do:
Exod.20.10	but the seuenth daye is the Sabbath of the Lorde thy God, in it thou shalt do no maner of worke, thou and thy sonne, and thy daughter, thy man seruaunte and thy mayde seruaunte, thy catell and the straunger that is within thy gates.
Exod.20.11	For in syxe dayes the Lorde made heauen and erth, the see and all that in them is, and rested the seuenth daye: wherfore the Lorde blessed the Sabbath daye and halowed it.
Exod.20.12	Honour thy father Ꟶ thy mother, that thy dayes maye be longe in the lande which the Lord thy God geueth the.
Exod.20.13	Thou shalt not kyll.
Exod.20.14	Thou shalt not breake wedlocke.
Exod.20.15	Thou shalt not steale.
Exod.20.16	Thou shalt not bere false witnesse agenst thy neyghboure.
Exod.20.17	Thou shalt not couet thy neyghbours house: nether shalt thou couet thy neyghbours wyfe, or hys man seruaunte, or hys mayde, or his oxe, or his asse, or whatsoeuer thy neyboure hath.
Exod.20.18	And all the people sawe the thunder and the lyghtenynge, and the noyse of the trompe, and the mountayne smokynge, And when the people sawe it, they remoued and stode a farre of,
Exod.20.19	and sayde vnto Moses: talke thou with vs, and we wyll heare: but let not God talke with vs, lest we dye.
Exod.20.20	And Moses sayde vnto the people: feare not, for God is come to proue you, and that his feare maye be in youre face, that ye synne not.
Exod.20.21	And the people stode a farre of, and Moses went into the thycke clowde where God was.
Exod.20.22	And the Lorde sayde vnto Moses: thus thou shalt saye vnto the chyldren of Israel. Ye haue sene that I haue talked with you from oute of heauen.
Exod.20.23	Ye shall not make therfore with me goddes of syluer neyther shall ye make you goddes of golde.
Exod.20.24	An alter of erth thou shalt make vnto me, and theron offer thy burntofferynges and thy peace offerynges, thy shepe and thyne oxen. In all places where I shall put the remembraunce of my name thyther I wyll come vnto the and blesse the.
Exod.20.25	And yf thou wylt make me an alter of stone, se thou make it not of hewen stone. Els yf thou lyfte vp thy tole vpon it, thou hast poluted it.
Exod.20.26	Neyther shalt thou goo vp by steppes vnto myne alter, that thy fylthynesse be not shewed there on.
Exod.21.1	These are the lawes whyche thou shalt set before them.
Exod.21.2	If thou bye a seruaunte that is an Hebrue, syxe yeres he shal serue, and in the seuenth he shall goo out fre payinge nothynge.
Exod.21.3	If he came alone, he shall goo out alone. And yf he came maried, hys wyfe shall goo oute with hym:
Exod.21.4	And yf hys master haue geuen hym a wyfe and she haue borne hym sonnes or daughters: then the wyfe and hyr children shalbe hir masters and he shall goo oute alone.
Exod.21.5	And yf the seruaunte saye: I loue my master, my wyfe and my chyldren, I wyll not goo oute fre.
Exod.21.6	Hys master shall brynge hym vnto the iudges, and sett hym to the doore or the dorepost and hys master shall bore hys eare thorowe with a nawle, and he shalbe hys seruaunte for euer.
Exod.21.7	And yf a man sell hys daughter to be a seruaunte: she shall not goo oute as the men seruauntes doo.
Exod.21.8	If she also please not hyr master, and he geueth her to noman to wyfe, then shall he let hyr go fre: to sell her vnto a straunge nacyon shall he haue no power, seinge he despysed her.
Exod.21.9	If he haue promysed her vnto hys sonne to wyfe, he shall deale with her as men do with theyr daughters.
Exod.21.10	And yf he take hym another wyfe, yet hyr fode, hyr rayment and dutie of mariage shal he not mynishe.
Exod.21.11	And yf he do not these thre vnto her, then shall she goo out fre and paye no money.
Exod.21.12	He that smyteth a man that he dye, shalbe slayne for it.
Exod.21.13	If a man laye not awayte but God delyuer hym into hys hande, then I wyll poynte the a place whether he shall fle.
Exod.21.14	If a man come presumpteously vpon hys neyghboure to slee him with gyle, thou shalt take him fro myne alter that he dye.
Exod.21.15	He that smyteth hys father or hys mother, let hym be slayne for it.
Exod.21.16	He that stealeth a man and selleth him (yf it be proued vpon hym) shall be slayne for it.
Exod.21.17	And he that cursseth hys father or mother, shall be put to deth for it.
Exod.21.18	If men stryue together Ꟶ one smyte another with a stone or with hys fyste, and he dye not, but lyeth in bedd:
Exod.21.19	yf he ryse agayne and walke without vpon hys staffe, then shall he that smote him go quyte: saue onely he shall bere hys charges for lesynge hys tyme, and shall paye for hys healynge.
Exod.21.20	And yf a man smyte hys seruaunte or his mayde with a rodd, and they dye vnder hys hande, it shalbe auenged in dede.
Exod.21.21	And yf they continue a daye or two, it shall not be auenged, for they are hys money.
Exod.21.22	Yf men stryue Ꟶ hurte a woman with chylde, so that hyr frute departe from her, and yet no misfortune foloweth: then shall he be mersed, accordynge as the womans husband wyll laye to his charge, and he shall paye as the dayes men appoynte hym.
Exod.21.23	And yf any misfortune folowe, then shall he paye lyfe for lyfe
Exod.21.24	eye for eye, toth for toth, hande for hande, fote for fote,
Exod.21.25	burning for burninge, wounde for wounde, strype for strype.
Exod.21.26	And yf a man smyte hys seruaunte or his mayde in the eye that it peryshe, he shall lett them goo fre for the eyes sake.
Exod.21.27	Also yf he smyte oute hys seruauntes or hys maydes toth, he shall let them go oute fre for the tothes sake.
Exod.21.28	If an oxe gore a man or a woman that they dye, then the oxe shalbe stoned, and hys fleshe shall not be eaten: but the owner of the oxe shall go quyte.
Exod.21.29	If the oxe were wont to pusshe in tyme past, and it hath bene told hys master: and he hath not kept hym, but that he hath kylled a man or a woman: then the oxe shalbe stoned and hys owner shall dye als
Exod.21.30	If there be sett to hym a summe of money, then he shall geue for the delyueraunce of hys lyfe, whatsoeuer is put vnto hym.
Exod.21.31	And whether he hath gored a sonne or hurte a daughter, he shalbe serued after the same maner.
Exod.21.32	But yf it be a seruaunt or a mayde that the oxe hath gored, then he shall geue vnto theyr master .xxx. sycles, and the oxe shall be stoned.
Exod.21.33	If a man open a well or dygge a pytt and couer it not, and an oxe or an asse fall therin,
Exod.21.34	the owner of the pyt shall make it good, and geue money vnto theyr master, and the dead beast shalbe hys.
Exod.21.35	If one mans oxe hurte another that he dye: then they shall sell the lyue oxe and deuyde the money, and the deed oxe also they shall deuyde.
Exod.21.36	Or yf it be knowen that the oxe hath vsed to pusshe in tymes past, and hys master hath not kepte him, he shall paye oxe for oxe, and the deed shalbe his awne.
Exod.22.1	If a man steale an oxe or shepe and kylle it or selle it, he shall restore fyue oxen for an oxe, and foure shepe for a shepe.
Exod.22.2	If a thefe be founde breakynge vp and be smytten that he dye, there shall no bloude be shed for hym:
Exod.22.3	but yf the sonne be vp when he is founde, then there shalbe bloude shede for hym. A thefe shall make restitucyon: If he haue not wherwith, he shalbe solde for his thefte.
Exod.22.4	If the thefte be founde in hys hande alyue (whether it be oxe, asse or shepe) he shall restore double.
Exod.22.5	If a man do hurte felde or vineyarde, and put in hys beast to fede in another mans felde: of the best of his owne felde, and of the best of hys awne vineyarde, shall he make restitucion.
Exod.22.6	If fyre breake out and catche in the thornes, and the stackes of corne, or the stondynge corne, or felde be consumed therwith: he that kyndled the fyre shall make restitucion.
Exod.22.7	If a man delyuer hys neyghboure money or stuffe to kepe, and it be stolen out of hys house. If the thefe be founde, let hym paye double.
Exod.22.8	And yf the thefe be not founde, then the goodman of the house shalbe brought vnto the iudges. Whether he haue put hys hande vnto hys neyghboures good.
Exod.22.9	And in all maner of trespace, whether it be for oxen, asse, shepe, rayment or any maner of lost thynge which another chalengeth to be hys, the cause of both partyes shall come before the iudges. And whom the iudges condemne: let hym paye double vnto his neyghboure.
Exod.22.10	If a man delyuer vnto hys neyghboure to kepe, asse, oxe, shepe or whatsoeuer beast it be, and it dye or be hurte or taken awaye (and no man se it:)
Exod.22.11	then shall an othe of the Lorde be betwene them, that he hath not put hys hande vnto hys neyghbours good, and the owner of it shall take the othe, and the other shall not make it good.
Exod.22.12	And yf it be stollen from hym, then he shall make restitucyon vnto the owner therof:
Exod.22.13	If it be torne with wylde beastes, then let hym brynge recorde of the tearynge: and he shall not make it good.
Exod.22.14	And yf a man borowe oughte of hys neyghboure, and it be hurte or els dye, and the owner therof be not by, he shal make it good
Exod.22.15	But yf the owner therof be by, he shall not make it good: namely, yf it be an hyred thinge, and came for hys hyre.
Exod.22.16	If a man entyse a mayde that is not betrouthed, and lye with her, he shall endote her, and take her to hys wyfe.
Exod.22.17	And yf hyr father refuse to geue her vnto hym, he shall paye money accordynge to the dowrie of virgens.
Exod.22.18	Thou shalt not suffre a witch to lyue.
Exod.22.19	Whosoeuer lyeth with a beest, shalbe slayne for it.
Exod.22.20	He that offreth vnto any goddes saue vnto the Lord onely, let him be vtterly roted out.
Exod.22.21	Uexe not a straunger, nether oppresse hym: for ye were straungers in the lande of Egypt.
Exod.22.22	Ye shall trouble no wedowe nor fatherlesse chylde.
Exod.22.23	If ye shall trouble them, and they crye vnto me, I wyll surely heare theyr crye,
Exod.22.24	and then wyll my wrath waxe hoote, and I wyll kyll you with the swerde, and youre wyues shall be wedowes, Ꟶ youre chyldren fatherlesse.
Exod.22.25	If thou lende money to any of my people that is poore by the, thou shalt not be as a tyraunt vnto hym, nether shalt thou oppresse hym with vsurye.
Exod.22.26	If thou take thy neyghbours rayment to pledge, thou shalt delyuer it vnto hym agayne by that the sonne goo doune.
Exod.22.27	For that is hys coueringe onely: euen the rayment for hys skynne, wherin he slepeth. And whan he crieth vnto me, I will heare hym, for I am mercyfull.
Exod.22.28	Thou shalt not rayle vpon the goddes nether blaspheme the ruelar of thy people.
Exod.22.29	Thy frutes (whether they be drie or moyst) se thou kepe not backe.
Exod.22.30	Thy fyrstborne sonne thou shalt geue me, lykewyse also shalt thou doo with thyne oxen and with thy shepe. Seuen dayes it shall be with the damme, and the eyght daye thou shalt geue it me.
Exod.22.31	Ye shalbe holye people vnto me, neither shall ye eate any flesh that is toorne of beastes in the felde. But shall cast it to dogges.
Exod.23.1	Thou shalt not accept a vayne tale, nether shalt put thyne hande with the wyked to be an vuryghteous witnesse.
Exod.23.2	Thou shalt not folowe a multitude to do euell: nether answere in a matter of plee that thou woldest (to folowe many) turne asyde from the trueth,
Exod.23.3	nether shalt thou paynte a poore mans cause.
Exod.23.4	Yf thou mete thyne enemies oxe or asse goynge astraye, thou shalt brynge them to hym agayne.
Exod.23.5	If thou se thyne enemies asse synke vnder his burthen, thou shalt not passe by and let hym alone: but shalt helpe hym to lyfte hym vp agayne.
Exod.23.6	Thou shalt not bynder the ryghte of thy poore, in theyr sute.
Exod.23.7	Kepe the ferre from a false mater, and the Innocent Ꟶ ryghteous se thou sley not, for I will not iustifye the wyked.
Exod.23.8	Thou shalt take no gyftes, for gyftes blynde the seynge, and peruerte the wordes of the ryghteous.
Exod.23.9	Thou shalt not oppresse a straunger, for ye knowe the herte of a straunger, seinge ye were straungers in the londe of Egypte.
Exod.23.10	Syxe yeres thou shalt sowe thy lande, and gather in the frutes therof:
Exod.23.11	and the seuenth yere thou shalt let it rest and lye still, that the poore of thy people maye eate: Ꟶ what they leaue, the beastes of the feld shall eate. In lyke maner thou shalt do also with thy vineyarde and thyne olyue trees.
Exod.23.12	Syxe dayes thou shalt do thy worcke, and in the seuenth daye thou shalt rest, that thyne oxe and thyne asse maye rest, and the sonne of thy mayde and the straunger maye be refreshed.
Exod.23.13	In all thynges that I haue sayde vnto you, be circumspecte. And make no rehersall of the names of straunge goddes nether let it be hearde out of thy mouth
Exod.23.14	Thre feastes thou shalt holde vnto me in a yere.
Exod.23.15	Thou shalt kepe the feaste of swete bread, that thou eate vnleuend bread seuen dayes longe as I commaunded the, in the tyme of the moneth whan corne beginneth to ripe, for in that moneth ye came oute of Egypte: and se that no man appeare before me emptye.
Exod.23.16	And the feaste of Heruest, when thou reapest the fyrst frutes of thy laboures, which thou hast sowne in the felde. And the feast of ingatheryng, which is in the ende of the yere: when thou hast gathered in thy laboures out of the felde.
Exod.23.17	Thre tymes in a yere shall all thy men chyldren appeare before the Lord God.
Exod.23.18	Thou shalt not offer the bloude of my sacrifyce vpon leuended bread: nether shal the fatt of my feast remayne vntyll the mornynge.
Exod.23.19	The fyrst of the fyrst frutes of thy lande thou shalt brynge into the house of the Lord thy God thou shalt also not seth a kydd in hys mothers mylke.
Exod.23.20	Beholde, I sende an Angell before the, to kepe the in the waye, and to brynge the into the place which I haue prepared.
Exod.23.21	Beware of hym, and heare his voyce, and resyst hym not: for he wyll not spare youre mysdedes Ꟶ my name is in hym.
Exod.23.22	But and yf thou shalt herken vnto his voyce, Ꟶ do all that I speake, I wylbe an enemye vnto thyne enemyes, and an aduersarye vnto thyne aduersaryes.
Exod.23.23	For myne Angell shall go before the, and brynge the in vnto the Amorites, and Hethites, Ꟶ Pherezites, and Cananites, Heuites, Ꟶ Iebusites, and I shall destroye them.
Exod.23.24	Thou shalt not worshyppe theyr goddes, nether serue them, nether do after the workes of them: but ouerthrowe them, and breake doune the ymages of them.
Exod.23.25	And ye shall serue the Lorde youre God, and he shall blesse thy bread Ꟶ thy water, and I will take all sycknesse awaye from the myddes of the.
Exod.23.26	There shalbe no woman childlesse or vnfrutefull in thy lande: the nombre of thy dayes wyll I fulfyll.
Exod.23.27	I wyll sende my feare before the, and wyll trouble all the people whether thou shalt go. And I will make all thine enemyes turne theyr backes vnto the,
Exod.23.28	and I wyll sende hornettes before the, which shall dryue out the Heuites, the Cananites, and the Hethites before the.
Exod.23.29	Neuertheles I wyll not cast them oute in one yere, lest the lande growe to a wyldernesse: and the beastes of the felde multiplie agaynst the.
Exod.23.30	By lytle and lytle I will dryue them oute before the, vntyll thou be increased, Ꟶ enheret the lande.
Exod.23.31	And I wyll make thy costes from the redd see vnto the see of the Philistines, and from the deserte vnto the ryuer. For I wyll delyuer the inhabyters of the lande into thyne hande, and thou shalt dryue them oute before the.
Exod.23.32	Thou shalt make none appoyntement with them, nor with theyr goddes.
Exod.23.33	Nether let them dwell in thy lande, lest they make the synne against me: for yf thou serue theyr goddes, it wyll be thy decaye.
