Luke.0.0	¶ The Gospell of S. Luke.
Luke.10.26	He sayde vnto him: What is written in the lawe? How redest thou?
Luke.10.27	And he answered and sayde: loue the Lorde thy God, with all thy hert, Ꟶ with all thy soule, Ꟶ with all thy strength, Ꟶ with all thy mynde: and thy neyghbour as thy selfe.
Luke.10.28	And he sayde vnto him: Thou hast answered right. This do, and thou shalt lyue.
Luke.10.29	But he wyllinge to iustifie him selfe, sayde vnto Iesus: And who is my neyghbour?
Luke.10.30	Iesus answered, Ꟶ sayde, A certayne man descended from Hierusalem to Hierico, Ꟶ fell among theues, which robbed him of his rayment Ꟶ wounded him, and departed, leuynge him halfe deed.
Luke.10.31	And it chaunced, that ther came downe a certayne Preste that same waye, Ꟶ when he sawe him, he passed by.
Luke.10.32	And lyke wyse a Leuite, when he went nye to the place, came and loked on him, Ꟶ passed by.
Luke.10.33	But a certayne Samaritane, as he iorneyed, came vnto hym: and when he sawe him, he had compassion on him
Luke.10.34	Ꟶ went to, and bounde vp his woundes, Ꟶ poured in oyle Ꟶ wyne, and set him on his awne beaste, and brought him to a commen ynne, and made prouision for him.
Luke.10.35	And on the morow, when he departed, he toke out .ij. pence, Ꟶ gaue them to the host, Ꟶ sayd vnto him. Take cure of him Ꟶ whatsoeuer thou spendest moare, when I come agayne I will recompence the.
Luke.10.36	Which now of these thre thynkest thou, was neyghbour vnto him that fell among the theues?
Luke.10.37	And he sayd: he that shewed mercy on him. Then sayde Iesus vnto him: Go, and do thou lyke wyse.
Luke.10.38	It fortuned that as they went, he entred into a certayne towne. And a certayne woman named Martha receaued him into her house.
Luke.10.39	And this woman had a syster called Mary, which also sate at Iesus fete, Ꟶ heard his worde.
Luke.10.40	But Martha was combred aboute moch seruynge, Ꟶ stode Ꟶ sayde: lorde, doest thou not care, that my syster hath left me to serue alone? Byd her therfore, that she helpe me.
Luke.10.41	And Iesus answered, Ꟶ sayde vnto her: Martha, Martha, thou art carefull, Ꟶ troubled about many thinges:
Luke.10.42	verely one is nedefull. Mary hath chosen the good parte, which shall not be taken awaye from her.
Luke.11.1	And it fortuned as he was prayinge in a certayne place: when he ceased, one of his disciples sayde vnto hym: Lorde, teache vs to praye, as Iohn also taught hys disciples.
Luke.11.2	And he sayde vnto them: when ye praye, saye. O oure father which art in heauen, halowed be thy name. Thy kyngdome come. Thy will be fulfilled, euen in erth also as it is in heauen.
Luke.11.3	Oure dayly breed geue vs this daye.
Luke.11.4	And forgeue vs our synnes: For euen we forgeue euery man that treapaseth vs. And Leade vs not into temptacion But deliuer vs from euyll.
Luke.11.5	And he sayd vnto them: yf any of you shall haue a frend, Ꟶ shall go to him at mydnight, and saye vnto him, frende: lende me thre loaues,
Luke.11.6	for a frende of myne is come out of the waye to me, and I haue nothynge to set before him,
Luke.11.7	and he within answere, and saye: trouble me not, the dore is now shut, and my chyldren are with me in the chamber, I cannot ryse and geue the.
Luke.11.8	I saye vnto you, though he wyll not arise and geue him, because he is his frende: yet because of his importunite he will rise, and geue him as many as he nedeth.
Luke.11.9	And I saye vnto you: aske, and it shalbe geuen you. Seke, and ye shall fynde: Knocke, and it shalbe opened vnto you.
Luke.11.10	For euery one that asketh, receaueth: and he that seketh, fyndeth: Ꟶ to him that knocketh, shall it be opened.
Luke.11.11	Yf the sonne shall aske breed of eny of you that is a father, wyll he geue him a stone? Or yf he aske fishe, wyll he for fysshe geue him a serpent?
Luke.11.12	Or yf he aske an egge, will he offer him a scorpion?
Luke.11.13	Yf ye then beyng euyll, can geue good giftes vnto youre children, how moch moare shall your father of heauen geue the holy sprete to them, that desyre it of him?
Luke.11.14	And he was castinge out a deuyll, and the same was domme. And when he had cast out the deuill, the domme spake, Ꟶ the people wondred.
Luke.11.15	But some of them sayde: he casteth out deuyls thorowe Beelzebub the chefe of the deuyls.
Luke.11.16	And other tempted him and requyred of him a signe from heauen.
Luke.11.17	But he knowing their thoughtes, sayd vnto them: Euery kyngdome deuided agaynst it selfe, is desolate: and one house doth fall vpon another.
Luke.11.18	Yf Satan also, be deuyded agaynst him selfe, how shall his kyngdome endure? Because ye saye, that I cast out deuyls thorow Beelzebub.
Luke.11.19	If I, by the helpe of Beelzebub cast out deuyls, by whose helpe do youre chyldren cast them out. Therfore shall they be your iudges.
Luke.11.20	But yf I, with the fynger of God cast out deuyls, no doute the kyngdome of God is come vpon you.
Luke.11.21	When a stronge man armed watcheth his house: the thinges that he possesseth are in peace.
Luke.11.22	But when a stronger then he commeth vpon him, and ouercommeth him, he taketh from him all his harnes (wherin he trusted) and deuideth his goodes.
Luke.11.23	He that is not with me, is against me. And he that gathereth not with me, scattereth abrode.
Luke.11.24	When the vnclene spryte is gone out of a man, he walketh through drie places, sekynge reest. And when he fyndeth none, he sayeth: I will returne agayne vnto my houses, whence I came out.
Luke.11.25	And when he commeth, he fyndeth it swept and garnisshed.
Luke.11.26	Then goeth he and taketh to him seuen other spretes worse then him selfe: and they enter in, Ꟶ dwell there. And the ende of that man, is worse then the begynnynge.
Luke.11.27	And it fortuned that as he spake these thynges, a certayne woman of the company lyfte vp her voyce, and sayd vnto him. Happy is the wombe that bare the, and the pappes which gaue the sucke.
Luke.11.28	But he sayde: Yee, happy are they that heare the worde of God and kepe it.
Luke.11.29	When the people were gathered thicke together, he began to saye. This is an euyll nacion. they seke a sygne, and ther shall no sygne be geuen them, but the sygne of Ionas the prophet.
Luke.11.30	For as Ionas was a sygne to the Niniuytes, so shall also the sonne of man be to thys nacion.
Luke.11.31	The quene of the south shall ryse at the iudgement, with the men of this nacion, and condempne them: for she came from the vttemost partes of the erth, to heare the wisdome of Salomon. And beholde a greater then Salomon is here.
Luke.11.32	The men of Niniue shall ryse at the iudgement with this nacyon: and shall condempne them: for they were brought to repentaunce by the preachynge of Ionas. And beholde, a greater then Ionas is here.
Luke.11.33	No man lyghteth a candell, and putteth it in a preuy place, nether vnder a busshell: but on a candelstycke, that they which come in, maye se the light.
Luke.11.34	The lyght of the body is the eye. Therfore, when thyne eye is syngle, all thy body also shalbe full of lyght. But yf thyne eye be euill, thy body also shalbe full of darknes,
Luke.11.35	Take hede therfore, that the lyght which is in the, be not darcknes.
Luke.11.36	Yf all thy body therfore be cleare, hauynge no parte darcke: then shal it all be full of light, euen as when a candell doeth lyght the with bryghtnes.
Luke.11.37	And as he spake, a certayne Pharyse besought him, to dyne with him, and Iesus went in, and sate doune to meate.
Luke.11.38	When the Pharyse sawe it, he marueyled, that he had not fyrst wesshed before dyner.
Luke.11.39	And the Lorde sayde vnto him: Now do ye Pharises, make clene the out syde of the cup, and the platter: but youre inwarde parte is full of rauenynge and wyckednes.
Luke.11.40	Ye fooles, dyd not he (that made that which is without) make that which is within also?
Luke.11.41	Neuerthelesse, geue almose of that ye haue, and behold, all thinges are cleane vnto you.
Luke.11.42	But wo vnto you Pharises, for ye tythe mynt and rewe, and all manner erbes, and passe ouer iudgement and the loue of God. These ought ye to haue done, and yet not to leaue the other vndone.
Luke.11.43	Wo vnto you Pharises: for ye loue the vppermost seates in the sinagoges, and gretinges in the market.
Luke.11.44	Wo vnto you scrybes and Pharises, ye ypocrites, for ye are as graues which appeare not, and the men that walke ouer them, are not ware of them.
Luke.11.45	Then answered one of the lawears, and sayde vnto him: Master, thus saying thou puttest vs to rebuke also.
Luke.11.46	And he sayde: wo vnto you also ye lawers: for ye lade men with burthens which they be not not able to beare: and ye youre selues touche not the packes with one of youre fyngers.
Luke.11.47	Wo vnto you: ye buylde the sepulchres of the Prophetes, and youre fathers kylled them,
Luke.11.48	truly ye beare witnes, that ye alowe the dedes of youre fathers: for they kylled them, and ye buylde their sepulchres.
Luke.11.49	Therfore sayde the wisdome of God, I will send them Prophetes and Apostles and some of them they shall slaye and persecute:
Luke.11.50	that the bloude of all Prophetes (which is shed from the begynninge of the worlde) maye be required of this generacion,
Luke.11.51	from the bloude of Abell, vnto the bloud of zachary, which perished betwene the aulter and the temple. Uerely I saye vnto you: it shalbe required of this nacion.
Luke.11.52	Wo vnto you lawears: for ye haue taken awaye the keye of knowledge, ye entred not in youre selues, and them that came in, ye forbad.
Luke.11.53	When he thus spake vnto them, the lawears and the Pharises began to wexe busye aboute him, and capciously to aske him many thinges,
Luke.11.54	layinge wayte for him, and sekynge to catche some thinge of his mouth, wherby they might accuse him.
Luke.12.1	As ther gathered together an innumerable multitude of people (in so moche that they trood one another) he began to saye vnto his disciples: fyrst of all be warre of the leuen of the Pharises which is ypocrisy.
Luke.12.2	For ther is nothynge couered, that shall not be vncouered: nether hyd, that shall not be knowen.
Luke.12.3	For what thinges ye haue spoken in darknes, shalbe hearde in the light. And that which ye haue spoken into the eare, euen in secrete places, shalbe preached on the toppe of the houses.
Luke.12.4	I saye vnto you my frendes: be not afrayde of them that kyll the body, and after that haue no moare, that they can do.
Luke.12.5	But I will shewe you, whom ye shall feare. Feare him, which after he hath kylled, hath power to cast into hell. Yee, I saye vnto you: feare him.
Luke.12.6	Are not fyue sparowes bought for two farthinges? And not one of them is forgoten of God.
Luke.12.7	Also, euen the very heeres of youre heed are all nombred. Feare not therfore: ye are moare of value then many sparowes.
Luke.12.8	I saye vnto you euery one: whosoeuer confesseth me before men, him shal the sonne of man knowledge also before the angels of God
Luke.12.9	And he that denyeth me before men, shalbe denied before the angels of God.
Luke.12.10	And whosoeuer speaketh a worde agaynst the sonne of man, it shalbe forgeuen him. But vnto him that blasphemeth the holy goost, it shall not be forgeuen.
Luke.12.11	When they bringe you vnto the sinagoges, and vnto the rulers and officers, take ye no thought, how or what thinge ye shall answer, or what ye shall speake.
Luke.12.12	For the holy goost shall teache you in the same houre, what ye ought to saye.
Luke.12.13	One of the company sayde vnto him: Master, speake to my brother, that he deuide the enheritaunce with me.
Luke.12.14	And he sayde vnto him: Man, who made me a iudge or a deuider, ouer you?
Luke.12.15	And he sayde vnto them: take hede, and be warre of couetousnes. For no mannes lyfe standeth in the aboundance of the thinges which he possesseth.
Luke.12.16	And he put forth a simylytude vnto them sayinge: The grounde of a certaine riche man brought forth plentifull frutes,
Luke.12.17	and he thought within him selfe sayinge: what shall I do? because I haue no roume where to bestowe my frutes?
Luke.12.18	And he sayd: This will I do. I will destroye my barnes, and bylde greater, and therin will I gather all my goodes that are growen vnto me:
Luke.12.19	and I will saye to my soule: Soule thou hast moche goodes layd vp in stoore for many yeares, take thyne ease: eate, drincke, be mery.
Luke.12.20	But God sayd vnto him. Thou fole, this nyght will they fetche awaye thy soule agayne from the. Then whose shall those thynges be, which thou hast prouided?
Luke.12.21	So is it with him that gathereth riches to him selfe, and is not riche towarde God.
Luke.12.22	And he spake vnto his disciples: Therfore I saye vnto you. Take no thought for youre lyfe, what ye shall eate: nether for the body, what ye shall put on.
Luke.12.23	The life is moare then meate, and the body is moare then rayment.
Luke.12.24	Consider the rauens, for they nether sowe nor repe, which nether haue stoore house ner barne, and God fedeth them. How moche are ye better then fethered foules?
Luke.12.25	Which of you (with his takinge thought) can adde to his stature one cubit?
Luke.12.26	If ye then be not able to do that thinge which is least: why take ye thought for the remnaunt?
Luke.12.27	Consider the lylies how they growe: They laboure not: they spyn not: and yet I saye vnto you, that Salomon in all his royalte, was not clothed lyke one of these.
Luke.12.28	If God so clothe the grasse (which is to daye in the felde, and to morow is cast into the fornace) how moche more wyll he cloth you, O ye of lytle fayth?
Luke.12.29	And aske not ye what ye shall eate, or what ye shall drincke, nether clime ye vp an hye:
Luke.12.30	for all soche thinges do the hethen people of the worlde seke for.
Luke.12.31	Youre father knoweth, that ye haue neade of soche thinges. Wherfore, seke ye after the kyngdome of God, and all these thinges shalbe ministred vnto you.
Luke.12.32	Feare not lytell flocke, for it is youre fathers pleasure, to geue you the kyngdome.
Luke.12.33	Sell that ye haue, and geue almes. And prepare you bagges, which wexe not olde, euen a treasure that fayleth not in heauen, where no thefe commeth, nether moth corrupteth.
Luke.12.34	For where youre treasure is, there will youre herte be also.
Luke.12.35	Let youre loynes be gerd about, Ꟶ your lightes brenning
Luke.12.36	and ye youre selues lyke vnto men that wayte for theyr Lorde, when he will returne from the weddinge: that whan he commeth and knocketh they maye open vnto him immediatly.
Luke.12.37	Happy are those seruauntes, whom the Lorde (when he commeth) shall fynde wakynge. Uerely I saye vnto you, that he shall gyrde hym selfe and make them to syt downe to meate, and walke by, and minister vnto them.
Luke.12.38	And yf he come in the seconde watch, yee, yf he come in the thirde watch, and fynde them so, happy are those seruauntes.
Luke.12.39	This vnderstond, that yf the good man of the house knewe, what houre the thefe wolde come, he wolde suerly watch, and not suffer hys housse to be broken vp.
Luke.12.40	Be ye therfore ready also: for the sonne of man will come at an houre when ye thincke not.
Luke.12.41	Peter sayde vnto him: Master, tellest thou this similitude vnto vs, or to all men?
Luke.12.42	And the Lorde sayde: who is a faythfull and wise stewarde, whom his Lorde shall make ruler ouer his housholde, to geue them their duetie of meat in due season:
Luke.12.43	happy is that seruaunt, whom his Lorde when he commeth; shall fynde so doing.
Luke.12.44	Of a trueth I saye vnto you, that he will make him ruler ouer all that he hath.
Luke.12.45	But and yf the seruaunt saye in his herte. My Lorde will deferre his comminge (and shall beginne to smite seruauntes and maydens, and to eate and drincke, and to be droncken)
Luke.12.46	the Lorde of that seruaunt will come in a daye when he thinketh not, and at an houre when he is not ware, and will hewe him in peces, and geue him his rewarde with the vnbeleuers.
Luke.12.47	The seruaunt that knewe his masters will and prepared not him selfe, nether dyd accordinge to hys wyll, shalbe beaten with many strypes.
Luke.12.48	But he that knewe not, and dyd commytte thynges worthy of strypes, shalbe beaten with fewe strypes. For vnto whomsoeuer moch is geuen, of him shalbe moche requyred. And to whom men haue committed moch: of him wyll they aske the more.
Luke.12.49	I am come to sende fyer on erth: Ꟶ what is my desier, but that it were all readye kindled?
Luke.12.50	Not withstandynge I must be baptysed wt a baptime: and how am I payned, tyll it be ended?
Luke.12.51	Suppose ye, that I am come to sende peace on erth? I tell you naye, but rather dyuysyon.
Luke.12.52	For from hence forth ther shalbe fyue in one housse deuided, thre against two, and two agaynst thre.
Luke.12.53	The father shalbe deuided agaynst the sonne, and the sonne agaynst the father. The mother agaynst the daughter, and the daughter agaynst the mother. The mother in lawe agaynst hyr daughter in lawe, and the daughter in lawe, agaynst hyr mother in lawe.
Luke.12.54	He sayde also to the people: when ye se a cloude ryse out of the west, strayght waye ye saye: ther commeth a shower, and so it is.
Luke.12.55	And when ye se the south wynde blowe, ye saye: it will be hote, and it commeth to passe.
Luke.12.56	Ye ypocrytes, ye can discerne the outwarde appearaunce of the skye and of the erthe: but how happeneth it, that ye cannot skyll of this tyme?
Luke.12.57	Yee, and why iudge ye not of youre selues what is ryght.
Luke.12.58	Whan thou goest with thyne aduersary to the ruler, as thou arte in the waye, geue diligence that thou mayst be deliuered from him, least he brynge the to the iudge, and the iudge delyuer the to the iaylar, and the iaylar cast the into preson.
Luke.12.59	I tell the, thou shalt not departe thence, tyll thou haue made good the vtmost myte.
Luke.13.1	Ther were present at the same season, certayne men that shewed him of the Galyleans, whose bloude Pylate had myngled with theyr awne sacryfyce.
Luke.13.2	And Iesus answered, and sayde vnto them: Suppose ye that these. Galyleans were greater synners then all the other Galyleans, because they suffred suche punysshment?
Luke.13.3	I tell you naye: but except ye repent: ye shall all lyke wyse perysshe.
Luke.13.4	Or those .xviij. vpon which the toure in Syloe fell, and slewe them, thynke ye, that they were synners aboue all men that dwelt in Ierusalem?
Luke.13.5	I tell you naye: But excepte ye repent, ye all shall lyke wyse perysshe.
Luke.13.6	He tolde also this similitude: a certayne man had a fygge tree planted in his vineyarde Ꟶ he came and sought frute theron, and founde none.
Luke.13.7	Then sayde he to the dresser of his vineyarde: beholde, this thre yeare haue I come and sought frute in this fygge tree, and fynde none: cut it doune: why combreth it the ground?
Luke.13.8	and he answered Ꟶ sayd vnto him: Lorde, let it alone this yeare also, tyll I dygge rounde aboute it, and donge it,
Luke.13.9	to se whether it will beare frute: and yf it beare not then, after that shalt thou cut it doune.
Luke.13.10	And he taught in one of their synagoges on the Saboth dayes.
Luke.13.11	And beholde, ther was a woman, which had a sprete of infirmite .xviij. yeares: and was bowed together, and coulde in no wyse lifte vp her heade.
Luke.13.12	When Iesus sawe her, he called her to him, and sayde vnto her woman, thou art deliuered from thy disease.
Luke.13.13	And he layde his handes on her, and immediatly, she was made strayght, and glorified God.
Luke.13.14	And the ruler of the synagoge answered with indignacion (because that Iesus had healed on the Saboth daye) and sayde vnto the people. Ther are syxe dayes in which men ought to worke, in them come, that ye maye be healed, and not on the Saboth daye.
Luke.13.15	But the Lorde answered him and sayde: Thou ypocryte, doth not each one of you on the Saboth daye lowse his oxe or his asse from the stall, and leade him to the water?
Luke.13.16	And ought not this daughter of Abraham, whom Satan hath bounde (lo .xviij. yeares) be lowsed from this bonde on the Saboth daye?
Luke.13.17	And when he thus sayde, all hys aduersaries were ashamed, and all the people reioysed on all the excellent dedes, that were done by him.
Luke.13.18	Then sayde he: what is the kyngdome of God like? or wherto shall I compare it?
Luke.13.19	It is like a grayne of mustarde seede, which a man toke, and sowed in his garden: and it grewe and wexed a greate tree, and the foules of the ayer made nestes in the braunches of it.
Luke.13.20	And agayne he sayde: wher vnto shall I lyken the kyngdome of God?
Luke.13.21	it is like leuen, which a woman toke, and hyd in thre peckes of meele, tyll all was leuened.
Luke.13.22	And he went thorow all cities and townes, teachynge, and iorneyinge towardes Ierusalem.
Luke.13.23	Then sayde one vnto him: Lorde, are ther feaw that be saued? And he sayde vnto him:
Luke.13.24	stryue to enter in at the strayte gate; for many (I saye vnto you) will seke to enter in, and shall not be able.
Luke.13.25	When the good man of the house is rysen vp, and hath shutt to the dore, and ye beginne to stonde without, and to knocke at the dore sayinge: Lorde, Lord, open vnto vs, and he answer and saye vnto you. (I knowe you not whence ye are)
Luke.13.26	Then shall ye begyn to saye: we haue eaten Ꟶ dronken in thy presence, Ꟶ thou hast taught in oure stretes.
Luke.13.27	And he shall saye: I tell you, I knowe you not whence ye are: departe from me all ye that worke iniquite.
Luke.13.28	There shalbe wepinge Ꟶ gnasihinge of teth, when ye shall se Abraham and Isaac and Iacob, and all the Prophetes in the kyngdome of God, and ye youre selues thrust out.
Luke.13.29	And they shall come from the east and from the west, and from the north and from the south, and shall syt downe in the kyngdome of God.
Luke.13.30	And beholde, there are last, which shalbe fyrst. And ther are fyrst, which shalbe last.
Luke.13.31	The same daye came there certayne of the Pharises, and sayde vnto him. get the out of the waye, and departe hence: for Herode will kyl the.
Luke.13.32	And he sayde vnto them: Go ye, and tell that foxe, beholde, I cast out deuyls and heale the people to daye and to morowe, and the thyrde daye I make an ende.
Luke.13.33	Neuerthelesse, I must walke to daye and to morow, and the daye folowyng: for it cannot be that a Prophet perisshe eny other where, saue at Ierusalem.
Luke.13.34	O Ierusalem, Ierusalem, which killest Prophetes, and stonest them that are sent vnto the: how ofte wolde I haue gathered thy children together, as a byrde doth gather her yonge vnder her wynges, and ye wolde not?
Luke.13.35	youre habitacion is left vnto you desolate. I tell you, ye shall not se me, vntyll the tyme come that ye shall saye blessed is he that commeth in the name of the Lorde.
Luke.14.1	And it chaunsed, that he went into the house of one of the chefe Pharyses to eate breed on a Saboth daye: and they watched hym.
Luke.14.2	And beholde, ther was a certayne man before him which had the dropsye.
Luke.14.3	And Iesus answered and spake vnto the lawers and Pharyses, sayinge: is it laufull to heale on the Saboth daye?
Luke.14.4	And they helde theyr peace. And he toke him and healed him, and let him go:
Luke.14.5	and answered them, sayinge, which of you shall haue an asse or an oxe fallen into a pytt and wyll not strayght waye pull him out on the Saboth daye?
Luke.14.6	And they coulde not answere him agayne to these thinges.
Luke.14.7	He put forth also a symilitude to the gestes, when he marked how they preased to the hyest roumes, and sayde vnto them:
Luke.14.8	When thou art bydden of anye man to a weddynge, syt not downe in the hyest rowme, lest a more honorable man then thou be bydden of him,
Luke.14.9	and he (that bade him and the) come, and saye to the: geue this man rowme, and thou then beginne wt shame to take the lowest rowme.
Luke.14.10	But rather when thou art bydden, go and syt in the lowest rowme: that when he that bade the, commeth, he maye saye vnto the: frende syt vp hyer. Then shalt thou haue worshipp in the presence of them that syt at meate with the.
Luke.14.11	For whosoeuer exalteth him self, shalbe brought lowe. And he that humbleth hym selfe, shalbe exalted.
Luke.14.12	Then sayde he also to hym, that had desired him to dyner: When thou makest a diner or a supper, call not thy frendes, nor thy brethren, nether thy kynsmen ner thy ryche neyghbours: lest they also bydde the agayne, and a recompence be made the.
Luke.14.13	But when thou makest a feast, call the poore, the feble, the lame, and the blynde,
Luke.14.14	Ꟶ thou shalt be happy, for they can not recompence the But thou shalt be recompensed at the resurreccyon of the iuste men.
Luke.14.15	When one of them (that sat at meate also) hearde these thynges, he sayd vnto him: happy is he that eateth bread in the kyngdome of God.
Luke.14.16	Then sayde he vnto him. A certayne man ordened a greate supper, and bade many,
Luke.14.17	and sent his seruaunt at supper tyme, to saye to them that were bydden, come: for all thinges are now ready.
Luke.14.18	And they all atonce beganne to make excuse. The fyrst sayde vnto him: I haue bought a farme, and I must nedes go, Ꟶ se it, I praye the haue me excused.
Luke.14.19	And another sayde: I haue bought fyue yooke of oxen, and I go to proue them, I praye the, haue me excused.
Luke.14.20	And another sayde: I haue maried a wyfe, and therfore I cannot come.
Luke.14.21	And the seruaunt returned and brought his master worde agayne therof. Then was the good man of the house displeased, and sayde to his seruaunt: Goo out quickly into the stretes and quarters of the cytie, and bring in hyther the poore, and the feble, and the halt and the blynde.
Luke.14.22	And the seruaunt sayd: Lorde, it is done as thou hast commaunded, and yet there is rowme.
Luke.14.23	And the Lorde sayd to the seruaunt: Go out vnto the hye wayes and hedges, and compell them to come in, that my house maye be fylled,
Luke.14.24	For I saye vnto you, that none of those men which were bydden, shall tast of my supper.
Luke.14.25	Ther went a greate company with hym, and he turned, and sayd vnto them:
Luke.14.26	If a man come to me, and hate not hys father and mother, and wyfe and chyldren, and brethren, and systers, yee, and his awne lyfe also, he cannot be my disciple.
Luke.14.27	And whosoeuer doth not beare his crosse, and come after me, cannot be my disciple.
Luke.14.28	Which of you disposed to buylde a toure, sytteth not downe before, and counteth the cost, whether he haue sufficient to performe it?
Luke.14.29	lest after he hath layde the foundacyon, and is not able to performe it, all that beholde it, begynne to mocke hym,
Luke.14.30	sayinge: this man beganne to buylde, Ꟶ was not able to make an ende?
Luke.14.31	Or what kyng goinge to make batayle agaynst another kinge, sytteth not downe fyrst, and casteth in his mynde, whether he be able with ten thousande, to mete him, that commeth agaynst him with .xx. thousande?
Luke.14.32	Or els while the other is yet a greate waye of he sendeth ambassatoures, and desireth peace.
Luke.14.33	So lykewyse, whosoeuer he be of you that forsaketh not all that he hath, he cannot be my disciple.
Luke.14.34	Salt is good, but yf salt haue loste the saltnes, what shal be seasoned ther with?
Luke.14.35	It is nether good for the lande, nor yet for the donge hill, but men cast it out at the dores. He that hath eares to heare, let him heare.
Luke.15.1	Then resorted vnto him all the publicans and synners, for to heare him.
Luke.15.2	And the Pharises and Scribes murmured, sayinge. He receaueth synners, and eateth with them.
Luke.15.3	But he put forth this parable vnto them, saieng.
Luke.15.4	What man of you hauynge an hundred shepe (yf he lose one of them) doth not leaue nynty and nyne in the wildernes, and go after that which is lost, vntill he fynde it?
Luke.15.5	And when he hath founde it, he laieth it on his shulders with ioye.
Luke.15.6	And assone as he cometh home, he calleth together his louers and neyghbours, saying vnto them: Reioyse with me for I haue founde my shepe, which was loost.
Luke.15.7	I say vnto you, that like wyse ioye shalbe in heauen ouer one synner that repenteth, more then ouer nynty and nyne iuste persons, which nede no repentaunce.
Luke.15.8	Ether what woman (hauynge ten grotes, yf she loose one) doth not light a candell, and swepe the housse, and seke diligently tyll she fynde it?
Luke.15.9	And when she hath founde it, she calleth her louers and her neyghbours together, sayinge: Reioyce with me, for I haue founde the grote which I had lost.
Luke.15.10	Likewyse I saye vnto you, shall ther be ioye in the presence of the angels of God, ouer one synner that repenteth.
Luke.15.11	And he sayd: A certayne man had two sonnes,
Luke.15.12	and the yonger of them sayde vnto the father: father, geue me the porcion of the goodes, that to me belongeth. And he deuided vnto them his substance.
Luke.15.13	And not longe after, whan the yonger sonne had gathered all that he had together, he toke his iorney into a far countreye, and there he wasted his goodes with ryotous liuing.
Luke.15.14	And when he had spent all, ther arose a greate derth in all that land, and he began to lacke,
Luke.15.15	and went, and came to a citesyn of the same countre: and he sent him to his farme, to kepe swyne.
Luke.15.16	And he wolde fayne haue fylled his bely with the coddes that the swyne dyd eate: Ꟶ no man gaue vnto him.
Luke.15.17	Then he came to him selfe, and sayd: how many hyred seruauntes at my fathers haue breed ynough? and I perishe with honger.
Luke.15.18	I wyll aryse, and go to my father, and will saye vnto him: father, I haue synned agaynst heauen, and before the,
Luke.15.19	Ꟶ am no more worthy to be called thy sonne, make me as one of thy hyred seruauntes.
Luke.15.20	And he arose, Ꟶ came to his father. But when he was yet a greate waye of, his father sawe him, and had compassion, and ran, and fell on his neck, and kyssed him.
Luke.15.21	And the sonne sayde vnto him: father, I haue synned agaynst heauen, and in thy syght, Ꟶ am nomore worthy to be called thy sonne.
Luke.15.22	But the father sayd to his seruauntes: brynge forth the best garment, and put it on him, and put a rynge on his hande, and shoes on his fete.
Luke.15.23	And brynge hyther that fatt caulfe, and kyll it, and let vs eate and be mery:
Luke.15.24	for this my sonne was deed, and is alyue agayne, he was loste, and is founde. And they began to be merye.
Luke.15.25	The elder brother was in the felde: and when he came and drewe nye to the housse, he herde mynstrelsy Ꟶ daunsynge,
Luke.15.26	and called one of his seruauntes, and asked, what those thynges meante.
Luke.15.27	And he sayd vnto him: thy brother is come, and thy father hath kylled the fatt caulfe, because he hath receaued him safe and sounde.
Luke.15.28	And he was angry, and wolde not go in. Then came hys father out, and entreated him.
Luke.15.29	He answered and sayde to his father: Lo, these many yeares haue I done the seruice, nether brake at any tyme thy commaundement, and yet gauest thou me neuer a kid, to make mery with my frendes:
Luke.15.30	but assone as this thy sonne was come (which hath deuoured thy goodes with harlotes) thou haste for his pleasure kylled the fatt caulfe.
Luke.15.31	And he sayde vnto him: Sonne, thou art euer with me, and all that I haue is thyne:
Luke.15.32	it was mete that we shulde make mery and be glad: for this thy brother was deed, and is alyue agayne: and was loste, and is founde.
Luke.16.1	And he sayde also vnto his disciples. Ther was a certayn ryche man, whichhad a stewarde, and the same was accused vnto hym, that he had wasted hys goodes.
Luke.16.2	And he called him, and sayde vnto him: How is it, that I heare thys of the? Geue acomptes of thy stewardshype: For thou mayste be no longer steward.
Luke.16.3	The stewarde sayde with in him selfe: what shall I do? for my Master taketh awaye from me the stewardeshypp. I cannot dygge, and to begge I am ashamed.
Luke.16.4	I wote what to do, that when I am put out of the stewardship, they maye receaue me into their houses.
Luke.16.5	So whan he had called all hys masters detters together, he sayde vnto the fyrst: how moch owest thou vnto my master?
Luke.16.6	And he sayd: an hundred tonnes of oyle. And he sayde vnto him: take thy byll, Ꟶ syt doune quyckly and wryte fyftye.
Luke.16.7	Then sayd he to another: how moch owest thou? And he sayde: an hondred quarters of wheate. He sayde vnto him. Take thy byll, and wryte foure scoore.
Luke.16.8	And the Lorde commended the vniust stewarde, because he had done wysly. For the chyldren of this worlde are in theyr nacion, wyser then the chyldren of lyght.
Luke.16.9	And I saye vnto you: make you frendes of the vnryghteous mammon, that when ye shall haue nede they may receaue you into euerlastyng habitacyons.
Luke.16.10	He that is faythfull in that which is least, is faythfull also in moch. And he that is vnryghteous in the least: is vnryghteous also in moch.
Luke.16.11	So then, yf ye haue not ben faythfull in the vnryghteous mammon, who wyll beleue you in that which is true?
Luke.16.12	And yf ye haue not bene faythfull in another mannes busynes, who shal geue you that which is your awne?
Luke.16.13	No seruaunt can serue two masters: for ether he shall hate the one, and loue the other: or els he shall leane to the one, Ꟶ despyse the other. Ye cannot serue God Ꟶ mammon.
Luke.16.14	All these thynges herde the Pharyses also, which were couetous, and they mocked him.
