Deut.0.0	¶ The fyfth boke of Moses called in the Hebrue: elle Haddebarim, Ꟶ in the Latin. Deuteronomium.
Deut.13.8	Thou shalt not consente vnto him, nor herken vnto him: thine eye shall not pitie him nether shalt thou haue compassion on him, nor kepe him secret but cause him to be slayne.
Deut.13.9	Thyne hande shalbe fyrst vpon him to kyll hym: Ꟶ then the handes of all the people.
Deut.13.10	And thou shalt stone him wyth stones that he dye, because he hath gone aboute to thrust the awaye from the Lorde thy God, which brought the out of the lande of Egipte, and from the house of bondage.
Deut.13.11	And all Israel shall heare and feare, and shall do no moare any soche wyckednesse as this is, amonge you.
Deut.13.12	If thou shalt heare saye in one of thy cyties which the Lorde thy God hath geuen the to dwell in,
Deut.13.13	that certen men beynge the chyldren of Belial, are gone out from amonge you, and haue moued the enhabiters of their cytie, sayinge: let vs go and serue straunge Goddes, which ye haue not knowen.
Deut.13.14	Then thou must seke, and make serche and enquere diligently. And beholde, yf it be true, and the thynge of a suertye, that soche abhominacion is wrought among you:
Deut.13.15	then thou shalt smyte the dwellers of that cytie in the edge of the swerde, and destroye it vtterly, and all that is therin, and euen the very catell therof with the edge of the swerde.
Deut.13.16	And gether all the spoyle of it into the myddes of the streate therof, and burne with fyre both the cytie Ꟶ all the spoyle therof euery white for the Lorde thy God. And it shalbe an heape for euer Ꟶ shall not be bylt agayne.
Deut.13.17	And there shall cleaue naught of the damned thynge in thine hande, that the Lorde maye turne from the fearcenesse of hys wrath, and shewe the mercye, and haue compassyon on the, and multiplye the, as he hath sworne vnto thy fathers.
Deut.13.18	Therfore shalt thou herken vnto the voyce of the Lorde thy God, to kepe all hys commaundmentes, whych I commaunde the this daye, that thou do it, which is ryght in the eyes of the Lorde thy God.
Deut.14.1	Ye are the children of the Lord your God. Ye shall not cut youre selues, nor make you any baldnes betwene youre eyes for any deed man.
Deut.14.2	For thou art an holy people vnto the Lorde thy God, and the Lorde hath chosen the, to be a seuerall people vnto hym selfe, aboue all the nacyons that are vpon the erth.
Deut.14.3	Thou shalt eate no maner of abhominacion.
Deut.14.4	These are the beastes which ye shall eate of oxen, shepe and goates,
Deut.14.5	hert, roo and bugle: wildegoate, vnicorne, wylde oxen Ꟶ Camelion.
Deut.14.6	And all beastes that cleaue the hoffe, and slytte it into two clawes, and chewe the cud, them ye shall eate.
Deut.14.7	Neuerthelesse, these ye shall not eate of them that chewe cud and of them that deuyde and cleaue the hoffe: the camell, the hare and the conye: whych chewe cud, but deuyde not the hoffe: therfore are they vncleane vnto you:
Deut.14.8	and also the swine, though he deuide the hoffe, yet he cheweth not cud, therfore is he vncleane vnto you: ye shall not eate of the flesh of soche, nor touche the dead carkesse of them.
Deut.14.9	These ye shall eate of all that are in the waters: All that haue fynnes Ꟶ scales shall ye eate:
Deut.14.10	And whatsoeuer hath not fynnes Ꟶ scales, of that ye maye not eate, but it is vncleane vnto you.
Deut.14.11	Of all cleane byrdes ye shall eate:
Deut.14.12	but these are they of whych ye shall not eate: the Egle, the goshauke, and the cormerant,
Deut.14.13	the Ixion, the vultur, the kyte after her kynde,
Deut.14.14	and all kynde of rauens,
Deut.14.15	the Estritch, the nyghtcrowe, the kuckowe, and the sparowe hawk after her kynde,
Deut.14.16	the lytle oule, the great oule, the back,
Deut.14.17	the bitture, the pye,
Deut.14.18	the storke, the heron, the Iay in his kynde, the lapwinge, the swaloue.
Deut.14.19	And let all crepinge foules be vncleane vnto you, and not be eaten of:
Deut.14.20	but of all cleane foules ye maye eate.
Deut.14.21	Ye shall eat of nothynge that dyeth alone: But thou shalt geue it vnto the straunger that is in thy cytie, that he eate it, or thou mayst sel it vnto an Aliant. For thou art an holy people vnto the Lorde thy God. Thou shalt not sethe a kyd in hys mothers mylcke.
Deut.14.22	Thou shalt tythe all the encrease of thy seed, that the felde bryngeth furth yeare by yeare:
Deut.14.23	And thou shalt eate before the Lorde thy God, (in the place whych he hath chosen, and where he hath put his name) the tythe of thy corne, of thy wyne Ꟶ of thyne oyle, and the fyrst gendred of thyne oxen Ꟶ of thy shepe, that thou mayst learne to feare the Lorde thy God all waye:
Deut.14.24	If the waye be to longe for the, so that thou art not able to carye it, Ꟶ yf the place be farre from the, which the Lord thy God hath chosen to set his name there (and the Lord thy God hath blessed the)
Deut.14.25	then shalt thou make it in money, Ꟶ take the money in thyne hande, Ꟶ go vnto the place whych the Lorde thy God hath chosen,
Deut.14.26	and bestowe the money for whatsoeuer thy soule lusteth after: for oxen, Ꟶ shepe, wyne Ꟶ stronge drynke, Ꟶ for whatsoeuer thy soule desyreth, and eate there before the Lorde thy God and be mery. bothe thou and thyne housholde,
Deut.14.27	and the Leuite that is wythin thy gates, shalt thou not forsake, for he hath nether parte nor enheritaunce wyth the.
Deut.14.28	At the ende of thre yeare, thou shalt brynge forth all the tythes of thyne encrease the same yeare, and laye it vp wythin thyne awne gates.
Deut.14.29	And the Leuite whych hath no parte nor enheritaunce with the, shall come, Ꟶ the straunger, the fatherlesse and the wedowe, which are within thy gates, shall eate Ꟶ be fylled: that the Lorde thy God maye blesse the, in all the workes of thyne hande which thou doest.
Deut.15.1	In the seuenth yeare thou shalt make a fredome. And this is the maner of the fredom
Deut.15.2	whosoeuer lendeth ought wyth hys hande vnto his neyghboure, maye not aske againe (that whych he hath lent) of hys neyghboure or of his brother: because it is called the Lordes fre yeare:
Deut.15.3	yet of a straunger thou mayst call it home agayne. But he that is thy brother, him shall thyne hande remytt,
Deut.15.4	Neuertheles there shall be no begger amonge you. For the Lord shall blesse the in the lande, whych the Lorde thy God geueth the, an enheritaunce to possesse it:
Deut.15.5	so that thou herken vnto the voyce of the Lorde thy God, to obserue and do all these commaundmentes, which I commaunde the this daye.
Deut.15.6	For the Lorde thy God hath blessed the as he hath promysed the, and thou shalt lende vnto many nacyons, but thou thy selfe shalt not borowe: And thou shalt raygne ouer many nacions, and they shall not raygne ouer the.
Deut.15.7	Yf one of thy brethren amonge you be poore wythin any of thy gates in thy lande which the Lorde thy God geueth the, thou shalt not harden thine hert, nor shut to thyne hande from thy poore brother:
Deut.15.8	But open thyne hande vnto him, Ꟶ lende hym sufficient for his nede, which he hath.
Deut.15.9	Beware, that there be not a wycked poynte in thine hert, that thou woldest saye: The seuenth yeare, the yeare of fredome is at hande, and therfore it greueth the to loke on thy poore brother, and geuest him naught Ꟶ he then crye vnto the Lord against the, and it be synne vnto the:
Deut.15.10	But geue him, and let it not greue thyne hert to geue vnto him. Because that for thys thynge, the Lord thy God shall blesse the in all thy workes, Ꟶ in all that thou puttest thyne hande to.
Deut.15.11	The lande shall neuer be wtout poore: And therfore I commaunde the sayinge: Thou shalt open thyne hande vnto thy brother that is neady and poore in thy lande.
Deut.15.12	If thy brother an Hebrue sell hym selfe to the, or an Hebruesse, Ꟶ serue the sixe yeare, in the seuenth yeare thou shalt let hym go fre from the.
Deut.15.13	And when thou sendest him out fre from the, thou shalt not let hym go awaye emptye:
Deut.15.14	but shalt geue hym of thy shepe, of thy corne, and of thy wyne, and geue hym of that, wher wt the Lorde thy God hath blessed the.
Deut.15.15	And remembre, that thou wast a seruante in the lande of Egypte, and the Lorde thy God delyuered the thence: and therfore I commaunde the thys thynge to daye.
Deut.15.16	And yf he saye vnto the I wyll not go awaye from the, because he loueth the Ꟶ thyne house, and is well at ease with the:
Deut.15.17	Then shalt thou take an aule, and nayle his eare to the doore therwith, Ꟶ let hym be thy seruaunte for euer: And vnto thy mayde seruaunte thou shalt do lyke wise.
Deut.15.18	And let it not greue thyne eye, whan thou lettest him go out fre from the, for he hath bene worth a double hyred seruaunte to the in hys seruice syxe yeres, And the Lorde thy God shall blesse the in all that thou doest.
Deut.15.19	All the fyrst gendred that come of thyne oxen, and of thy shepe that are males, thou shalt halowe vnto the Lord thy God. Thou shalt do no worke with the fyrst gendred of thyne oxen, ner shere the fyrst gendred of thy shepe:
Deut.15.20	Thou shalt eate it before the Lord thy God yeare by yeare, in the place whych the Lorde hath chosen, both thou and thyne housholde.
Deut.15.21	If there be any deformyte therin, as yf it be lame, or blynde, or haue any other euell fauorednesse, thou shalt not offer it vnto the Lord thy God:
Deut.15.22	But shalt eate it within thyne awne gates, the vncleane and the cleane indifferently, as the roo Ꟶ the hert.
Deut.15.23	Only eate not the bloude therof, but poure it vpon the grounde as water.
Deut.16.1	Obserue the moneth of newe corne, that thou mayest offer passeouer vnto the Lorde thy God. For in the moneth whan corne beginneth to rype, the Lorde thy God brought the out of Egypte by nyght.
Deut.16.2	Thou shalt therfore offer passe ouer vnto the Lorde thy God (and shepe and oxen) in the place whych the Lorde shall chose to put his name there.
Deut.16.3	Thou shalt eate no leuened bread with it: but seuen dayes shalt thou eate vnleuened bred therwith: euen the bread of trybulacyon (for thou camest out of the lande of Egypte in haste) that thou mayst remembre the daye, when thou camest out of the lande of Egypte, all dayes of thy lyfe.
Deut.16.4	And there shall be no leuened bread sene in all thy coastes seuen dayes longe, neyther shall there remayne any thynge of the fleshe which thou offrest the fyrst daye at euen, vntyll the mornynge.
Deut.16.5	Thou mayst not offer passeouer wythin any of thy gates, whych the Lorde thy God geueth the:
Deut.16.6	but in the place which the Lord thy God shall chose, to set his name in, there thou shalt offer Passeouer at euen, aboute the goynge downe of the sonne, euen in the ceason that thou camest out of Egypte.
Deut.16.7	And thou shalt sethe and eate it, in the place which the Lorde thy God hath chosen, and departe on the morowe, Ꟶ gett the vnto thy tente.
Deut.16.8	Syxe dayes thou shalt eat swete bread, and the seuenth daye is a gatherynge together before the Lorde thy God: thou shalt do no worke therin.
Deut.16.9	Seuen wekes shalt thou nombre vnto the, and begynne to nombre the seuen wekes, whan thou begynnest to put the syckell to the corne,
Deut.16.10	Ꟶ kepe the feast of wekes vnto the Lorde thy God, wyth a frewylofferynge of thyne hande: which thou shalt geue vnto the Lorde thy God, accordynge as the Lorde thy God hath blessed the.
Deut.16.11	And reioyse before the Lorde thy God, thou Ꟶ thy sonne, thy daughter, thy seruaunte Ꟶ thy mayde and the Leuite that is within thy gates, and the straunger, the fatherlesse Ꟶ the wedowe that are amonge you, in the place whych the Lorde thy God hath chosen to put hys name there.
Deut.16.12	And remembre, that thou wast a seruaunte in Egypte: and thou shalt obserue Ꟶ do these ordinaunces.
Deut.16.13	Thou shalt also obserue the feast of tabernacles seuen dayes, after that thou hast gethered in thy corne and thy wyne.
Deut.16.14	And thou shalt reioyse in that thy feast, thou and thy sonne, thy daughter, thy seruaunte, and thy mayde, the Leuite, the straunger, and the fatherlesse Ꟶ the wedowe, that are wythin thy gates.
Deut.16.15	Seuen dayes shalt thou kepe holy daye vnto the Lorde thy God, in the place whych the Lorde shall chose: for the Lord thy God shall blesse the in all thy frutes, and in all the workes of thyne handes, therfore shalt thou be glad.
Deut.16.16	Thre tymes in the yere shall all thy males appeare before the Lorde thy God, in the place which he shall chose: In the feast of swete bread, in the feast of wekes, Ꟶ in the feast of tabernacles. And they shall not appeare before the Lorde empty
Deut.16.17	but euery man accordynge to the gyfte of hys hande, Ꟶ accordynge to the blessynge of the Lorde thy God whych he hath geuen the.
Deut.16.18	Iudges and offycers shalt thou make the in all thy cyties, whych the Lorde thy God geueth the thorowe out thy trybes: and they shall iudge the people ryghteously.
Deut.16.19	Wrest not thou the lawe, nor knowe any persone, nether take any rewarde: for gyftes blynde the wyse, Ꟶ peruerte the wordes of the ryghteous.
Deut.16.20	That whych is iust and ryght, shalt thou folowe, that thou mayst lyue, and enioye the lande, which the Lorde thy God geueth the.
Deut.16.21	Thou shalt plante no groue of whatsoeuer trees it be, nye vnto the altare of the Lorde thy God, which thou shalt make the.
Deut.16.22	Thou shalt set the vp no piler, whiche the Lorde thy God hateth.
Deut.17.1	Thou shalt offer vnto the Lorde thy God no oxe nor shepe where in is blemysh or any deformite: for that is an abhomynacyon vnto the Lorde thy God If
Deut.17.2	there be founde amonge you wyth in any of thy gates, whych the Lorde thy God geueth the, man, or woman that hath wrought wyckednesse in the syghte of the Lorde thy God, so that they haue gone beyonde hys appoyntment,
Deut.17.3	and gone and serued straunge goddes, and worshypped them the sonne or moone or any of the hoost of heauen, which I haue not commaunded,
Deut.17.4	Ꟶ it is tolde the, and thou hast heard of it then shalt thou enquire diligently. And yf it be true, Ꟶ the thynge of a suertye, that soche abhominacion is wrought in Israel,
Deut.17.5	then shalt thou brynge forth that man or that woman (whych haue committed that wycked thinge) vnto the gates, and shalt stone them wyth stones, tyll they dye.
Deut.17.6	At the mouth of two or thre witnesses shall he that is worthy of death, dye: and at the mouth of one wytnesse let no man dye.
Deut.17.7	The handes of the wytnesses shalbe fyrst vpon hym, to kyll hym, and afterwarde the handes of the people, Ꟶ thou shalt put the wycked awaye from the.
Deut.17.8	If there ryse a matter to harde for the in iudgement betwene bloud and bloud, betwene plee and plee, betwene plage and plage, and the matters come to stryfe wythin thy gates, Then shalt thou aryse, and get the vp vnto the place which the Lord thy God hath chosen,
Deut.17.9	and come vnto the preastes the Leuites, and vnto the iudge that shalbe in those dayes, and aske and they shall shewe the the sentence of iudgement.
Deut.17.10	And thou must do accordynge to that, whych they of that place (which the Lorde had chosen) shewe the and thou shalt obserue to do, accordynge to all that they enfourme the.
Deut.17.11	Accordynge to the sentence of the lawe which they teache the, Ꟶ accordinge to the iudgement which they tell the, shalt thou do, and bowe not from that which they shewe the, nether to the right hande nor to the lefte.
Deut.17.12	And that man that will do presumptuously, and wyll not herken vnto the preast (that standeth there before the Lorde thy God to mynistre) or vnto the iudge, that man shall dye: and thou shalt put awaye euell from Israel.
Deut.17.13	And all the people shall heare and feare, and shall do no more presumptuously.
Deut.17.14	When thou art come vnto the lande whych the Lorde thy God geueth the, and enioyest it, and dwellest therin: Ꟶ yf thou shalt saye. I wyll set a kynge ouer me lyke as all the nacyons that are aboute me:
Deut.17.15	Then thou shalt make hym kynge ouer the, whom the Lorde thy God shall chose: Euen one from amonge thy brethren shalt thou make kynge ouer the, and thou mayst not set a straunger ouer the, whych is not of thy brethren.
Deut.17.16	But he shall not multiplye horses to him selfe, ner brynge the people agayne to Egypte thorowe the multitude of horses, for as moche as the Lord hath sayde vnto you: ye shall hence forth go no moare agayne that waye.
Deut.17.17	Also he ought not to multiplie wyues to hym selfe, lest his hert turne awaye, nether shall he gether him syluer and golde to moch.
Deut.17.18	And when he is sett vpon the seate of hys kyngedome, he shall wryte hym out a copye of thys lawe in a boke, before the Preastes the Leuites.
Deut.17.19	And it shalbe wyth him, Ꟶ he ought to reade therin all dayes of hys lyfe, that he maye lerne to feare the Lorde hys God, Ꟶ to kepe all the wordes of thys lawe and these ordinaunces, for to do them:
Deut.17.20	and that hys hert aryse not aboue hys brethren, Ꟶ that he turne not from the commaundement: to the ryght hande or to the lefte, but that he maye prolonge hys dayes in hys kyngdome: he, and hys chyldren in Israel.
Deut.18.1	The Preastes the, Leuites, and all the trybe of Leuy must haue no parte nor enheritaunce wyth Israel: but shall eate the offringes of the Lorde, and hys enheritaunce:
Deut.18.2	Therfore shall they haue no enheritaunce amonge their brethren: But the Lorde, he is their enheritaunce, as he hath sayde vnto them.
Deut.18.3	And this is the Preastes dutie of the people, and of them that offer, whether it be oxe or shepe: They must geue vnto the Preaste, the shoulder, and the two chekes, and the maw
Deut.18.4	the fyrst frutes also of thy corne, wyne and oyle, and the fyrst of the woll of thy shepe shalt thou geue hym:
Deut.18.5	For the Lorde thy God hath chosen hym out of all thy trybes, to stande and to ministre in the name of the Lorde: he and hys sonnes for euer.
Deut.18.6	If a Leuite come out of any of thy cyties of all Israel, wher he is a soiourner, and come wythall the lust of hys herte vnto the place whych the Lorde hath chosen:
Deut.18.7	he shall mynistre in the name of the Lorde hys God, as hys other brethren the Leuites do, whych remayne there before the Lorde.
Deut.18.8	And they shall haue lyke porcyons to eate, besyde that whych commeth to hym of the patrimonye of hys elders.
Deut.18.9	When thou arte come into the lande whych the Lorde thy God geueth the, se that thou lerne not to do after the abhominacions of those nacions.
Deut.18.10	Let ther not be founde amonge you any one, that maketh hys sonne or daughter to go thorowe the fyre, or that vseth wytchcrafte, or a choser out of dayes or that regardeth the flyenge of foules,
Deut.18.11	or a sorcerar, or a charmar, or that counceleth wyth spretes, or a sothsayer, or that asketh at them that be deed.
Deut.18.12	For all that do soch thynges are abhominacyon vnto the Lorde: and because of these abhominacyons the Lorde thy God doeth cast them out before the.
Deut.18.13	Thou shalt be perfecte therfore in the syght of the Lorde thy God.
Deut.18.14	For these nacyons whych thou shalt conquere, herken vnto chosers oute of dayes, and vnto sorcerers: But the Lord thy God hath not suffred the so to do.
Deut.18.15	The Lorde thy God wyll styr vp vnto the a Prophete amonge you: euen of thy brethren, lyke vnto me vnto hym ye shall herken,
Deut.18.16	accordynge to all that thou desyredest of the Lorde thy God in Horeb, in the daye of the gatherynge together, whan thou saydest: Let me heare the voyce of my Lorde God no moare, nor se thys greate fyre any moare, that I dye not.
Deut.18.17	And the Lorde sayde vnto me: they haue well spoken:
Deut.18.18	I will rayse them vp a prophete from amonge their brethren lyke vnto the, and wyll put my wordes in hys mouthe, and he shall speake vnto them all that I shall commaunde hym.
Deut.18.19	And whosoeuer will not herken vnto the wordes which he shall speake in my name, I wyll requyre it of hym.
Deut.18.20	But the prophete which shall presume to speake a worde in my name, whych I haue not commaunded hym to speake, or that speaketh in the name of straunge goddes, the same prophete shall dye.
Deut.18.21	And yf thou saye in thyne hert: howe shall we knowe the worde whych the Lorde hath not spoken?
Deut.18.22	Euen when a prophete speaketh in the name of the Lord, yf the thynge folowe not nor come to passe, that is the thynge whiche the Lord hath not spoken. But the prophete hath spoken it presumptuously: Thou shalt not therfore be afrayed of him.
Deut.19.1	When the Lorde thy God hath roted out the nacyons, whose lande the Lorde thy God geueth the, and thou succedest in their enheritaunce, and dwellest in theyr cyties, and in theyr houses:
Deut.19.2	thou shalt appoynte .iij. cyties for the in the myddes of the lande whych the Lorde thy God geueth the to possesse it:
Deut.19.3	thou shalt prepare the waye, and deuyde the coastes of thy lande, whych the Lorde thy God geueth the to enherete, into .iij. partes, that whosoeuer commytteth murther, maye flee thyther.
Deut.19.4	For thys cause must the slayer flye thyther, that he maye lyue.
Deut.19.5	Who so kylleth hys neyghboure ignorantly, and hated hym not in tyme passed: And when a man goeth vnto the wodd wt his neyghboure to hewe wood, and as his hande fetcheth a stroke wyth the axe do cut downe the tre, the heade slyppeth from the helue, and smyteth hys neyghboure that he dyeth: the same shall flye vnto one of the same cyties Ꟶ lyue.
Deut.19.6	Lest the executer of bloude folowe after the slayer whyle hys herte is whote, and ouertake hym, because the wayes is longe, and slaye hym, and yet there is no cause worthy of death in hym, in as moche as he hated him not in tyme passed.
Deut.19.7	Wherfore I commaunde the, sayinge: thou shalt appoynte out .iij. cyties for the.
Deut.19.8	And yf the Lorde thy God enlarge thy coastes (as he hath sworne vnto thy fathers) and geue the all the lande whych he sayde he wold geue vnto thy fathers,
Deut.19.9	thou shalt kepe all these commaundmentes to do them, whych I commaunde the thys daye, that thou loue the Lorde thy God, and walke in his wayes euer, and adde .iij. cyties mo for the vnto those .iij.
Deut.19.10	that innocent bloude be not shed in thy lande, whych the Lorde thy God geueth the to enheret, and so bloude come vpon the.
Deut.19.11	But and yf any man hate hys neyghboure, and laye awayte for hym, and ryse agaynst hym, and smyte him that he dye, and then flyeth vnto any of these cyties:
Deut.19.12	the elders of his cytie shall sende, and fetche him thence, and delyuer hym into the handes of the iustyce of bloude, that he maye dye.
Deut.19.13	Thyne eye shall not spare hym, but thou shalt put a waye innocent bloude, from Israel, that it maye go well wyth the.
Deut.19.14	Thou shalt not remoue thy neyghbours marke, whych they of olde tyme haue sett in thyne enheritaunce, that thou shalt enheret in the lande, whych the Lorde thy God geueth the to enioye it.
Deut.19.15	One wytnesse shall not ryse agaynst a man for any maner trespace, or for any maner synne, or for any maner faute, that he offendeth in. But at the mouthe of two wytnesses or of .iij. wytnesses shall the matter be stablyshed.
Deut.19.16	If an vnryghteous wytnesse ryse vp agaynst a man to accuse him of trespace:
Deut.19.17	then both the men whych stryue together, shall stande before the Lorde, before the Preastes and the iudges, which shalbe in those dayes,
Deut.19.18	and the iudges shall make dyligent inquisicyon. And yf the witnesse be founde false, and that he hath geuen false wytnesse agaynst hys brother
Deut.19.19	then shall ye do vnto hym, as he had thought to do vnto hys brother, and thou shalt put euell awaye from the.
Deut.19.20	And other shall heare, Ꟶ feare, and shall henceforth commyt nomore any soche wyckednesse amonge you.
Deut.19.21	And thyne eye shall haue no compassyon, but soale for soule, eye for eye, toth for toth, hande for hande, fote for fote.
Deut.20.1	When thou goest out to battel agaynst thyne enemyes, and seest horses and charettes, and people mo then thou, be not afrayed of them, for the Lorde thy God is wyth the, whyche broughte the out of the lande of Egypte.
Deut.20.2	And when ye are come nye vnto battell, the Preaste shall come forth to speake vnto the people,
Deut.20.3	and shall saye vnto them: Heare O Israel, ye are come vnto battell agaynste youre enemyes let not youre hartes faynte, nether feare, nor be amased nor adread of them.
Deut.20.4	For the Lord youre God goeth wt you, to fighte for you agaynste youre enemyes, Ꟶ to saue you.
Deut.20.5	And let the offycers speake vnto the people, sayinge: If any man haue bylt a newe house, and haue not dedicate it, let hym go Ꟶ returne to hys house, lest he dye in the battell, and another man dedicate it.
Deut.20.6	And yf any man haue planted a vyneyarde, Ꟶ haue not made it comen let him go Ꟶ returne agayne vnto hys house, lest he dye in the batell, and another make it comen.
Deut.20.7	And yf any man be betrauthed vnto a wyfe, and haue not taken her, let him go and returne agayne vnto hys house, lest he dye in the battell, and another man take her.
Deut.20.8	And let the offycers speake further vnto the people, and saye: If any man feare and be faynte herted, let hym go and returne vnto hys house, lest he make hys brothers hert faynte as well as hys.
Deut.20.9	And when the offycers haue made and ende of speakynge vnto the people, they shall make captaynes of warre ouer them:
Deut.20.10	When thou comest nye vnto a cytie to fyght agaynst it offre them peace.
Deut.20.11	And yf they answere the agayne peasably, and open vnto the, then let all the people that is founde therin, be tributaryes vnto the, and serue the.
Deut.20.12	And yf they wyll make no peace wt the, but make warre agaynste the, thou shalt besege it.
Deut.20.13	And when the Lorde thy God hath delyuered it into thyne handes, thou shalt smyte all the males therof wyth the edge of the swerde:
Deut.20.14	But the wemen and the chyldren, and the catell, and all that is in the cytie, and all the spoyle therof, shalt thou take vnto thy selfe, and eate the spoyle of thyne enemyes, which the Lorde thy God hath geuen the.
Deut.20.15	Thus shalt thou do vnto all the cyties whych are a greate waye of from the, and not of the cyties of these nacyons.
Deut.20.16	But of the cyties of these nacions, which the Lorde thy God shall geue the to enheret, thou shalt saue alyue nothinge that bretheth.
Deut.20.17	But shalt destroye them without redempcyon, namely the Hethites, the Amorites, the Cananites, the Pherezites, the Heuites, and the Iebusites, as the Lorde thy God hath commaunded the,
Deut.20.18	that they teache you not to do after all their abhominacyons, whych they haue done vnto their goddes, Ꟶ so ye shulde synne agaynst the Lorde youre God.
Deut.20.19	When thou hast beseged a cytie longe tyme, and made warre agaynst it to take it, destroye not the trees therof, that thou woldest thrust an axe vnto them: But eate of them, and cut them not downe. For the trees of the feldes are no men, to come agaynst the and so besege the.
Deut.20.20	Onely those trees whych thou knowest that they are not frutefull. those shalt thou destroye and cutt downe, Ꟶ make bulworkes agaynst the cytie that maketh warre wyth the, vntyll thou subdue it.
Deut.21.1	If one be founde slayne in the lande, whych the Lorde thy God geueth the to possesse it, and lyeth in the felde: and it is not knowne who hath slayne hym:
Deut.21.2	Then thyne elders and thy iudges shall come forth, and mete vnto the cyties that are rounde aboute the slayne.
Deut.21.3	And let the elders of that cytie whych is next vnto the slayne man, take out of the droue, an heyffer that is not laboured wyth, nor hath drawen in the yocke,
Deut.21.4	and let the elders of that cytie brynge the heyffer vnto a harde valeye, whych is nether eared nor sowen, and strike of the heyffers necke there in the valey.
Deut.21.5	And the Preastes the sonnes of Leui (whom the Lorde thy God hath chosen to mynistre, and to blesse in the name of the Lorde) shall come furth, and at theyr mouthe shall all stryfe and plage be tryed.
Deut.21.6	And all the elders of the cytie that come furth to the slayne man, shall washe their handes ouer the heyffer that is beheaded in the valley,
Deut.21.7	and shall answere and saye: oure handes haue not shede thys bloud, nether haue oure eyes sene it.
Deut.21.8	Be mercyfull Lorde vnto thy people Israel, whych thou hast delyuered and laye no innocent bloude vnto thy people of Israels charge: Ꟶ the bloude shalbe forgeuen them.
Deut.21.9	And so shalt thou put innocent bloude from the, when thou shalt haue done that whych is ryght in the syght of the Lorde.
Deut.21.10	When thou goest to warre agaynst thyne enemyes, and the Lorde thy God hath delyuered them into thyne handes, and thou hast taken them captyue,
Deut.21.11	and seest amonge the captyues a bewtifull woman, and hast a desyre vnto her, that thou woldest haue her to thy wyfe,
Deut.21.12	Thou shalt brynge her home to thyne house, and let her shaue her heade Ꟶ let her nayles growe,
Deut.21.13	and put her rayment that she was taken in from her, and let her remayne in thine house, and be wepe her father and her mother a moneth longe, and after that shalt thou go in vnto her, and marye her, Ꟶ she shall be thy wife.
Deut.21.14	And yf thou haue no fauoure vnto her, then let her go whether she lusteth: and sell her not for money, nor make cheue saunce of her, because thou hast humbled her.
Deut.21.15	If a man haue two wyues, one loued and another hated, Ꟶ they haue borne him chyldren, both the loued and also the hated:
Deut.21.16	If the fyrst borne be the sonne of the hated: then when the tyme commeth that he dealeth hys goodes, amonge hys chyldren, he maye not make the sonne of the beloued fyrstborne, before the sonne of the hated whyche is in deade the fyrstborne:
Deut.21.17	But he shall knowe the sonne of the hated for the fyrstborne, and geue hym dowble porcyon of all that he hath. For he is the fyrst of his strength, and to hym belongeth the ryght of the fyrst borne.
Deut.21.18	Yf any man haue a sonne that is stoburne and disobedient, that he wyll not herken vnto the voyce of hys father and voyce of his mother, and they haue chastened him, and he wolde not herken vnto them:
Deut.21.19	Then shall hys father and hys mother take hym, Ꟶ brynge hym out vnto the elders of that cytie, and vnto the gate of that same place,
Deut.21.20	Ꟶ saye vnto the elders of the cytie: Thys oure sonne is stoburne and disobedyent, and wyll not herken vnto oure voyce, he is a ryoter, Ꟶ a dronckarde.
Deut.21.21	And all the men of that cytie shall stone him with stones vnto death. And thou shalt put euell a waye from the, and all Israell shall heare, and feare.
Deut.21.22	If a man haue committed a trespace worthy of death, Ꟶ is put to death for it, Ꟶ thou hangest hym on tree:
Deut.21.23	hys body shall not remayne all nyghte vpon the tree, but thou shalt burye hym the same daye. For the curse of God is on him that is hanged. Defyle not thou thy lande, whych the Lorde thy God geueth the to enheret.
Deut.22.1	Thou shalt not se thy brothers oxe or shepe go astraye, Ꟶ withdrawe thy selfe from them: But shalt brynge them agayne vnto thy brother.
Deut.22.2	And yf thy brother be not nye vnto the, or yf thou knowe hym not, then brynge it vnto thyne awne house, Ꟶ it shall remayne wyth the, vntyll thy brother aske after them, and then delyuer him them agayne.
Deut.22.3	In lyke maner shalt thou do with his asse and so shalt thou do with hys rayment: and withall lost thynges of thy brother which he hath lost Ꟶ thou hast founde, shalt thou do lykewise, and thou mayst not withdrawe thy selfe.
Deut.22.4	Thou shalt not se thy brothers asse or oxe falle doune by the waye, Ꟶ wythdrawe thy selfe from them: but shalt helpe hym to heue them vp agayne.
Deut.22.5	The woman shall not weare that whiche pertayneth vnto the man, nether shall a man put on womans rayment. For all that do so, are abhominacyon vnto the Lorde thy God.
Deut.22.6	If thou chaunce vpon a byrdes nest by the waye, in whatsoeuer tree it be or on the grounde, whether they be younge or egges, and the damme syttynge vpon the younge or vpon the egges: Thou shalt not take the damme with the younge.
Deut.22.7	But shalt in any wyse let the damme go, and take the younge to the, that thou mayst prospere and prolonge thy dayes.
Deut.22.8	When thou byldest a newe house, thou shalt make a batelment on the rouffe, that thou lade not bloude vpon thyne house, yf any man fall therof.
Deut.22.9	Thou shalt not sowe thy vyneyarde with dyuerse seedes: lest the frute of the seede which thou hast sowen, and the frute of thy vyneyarde be defyled.
Deut.22.10	Thou shalt not plowe with an oxe Ꟶ an asse together.
