John.0.0	¶ The Gospell of Sayncte Iohn.
John.12.26	If eny man mynister vnto me, lett him folowe me: and Where I am, there shall also my minister be. Yf any man mynister vnto me, hym will my father honoure.
John.12.27	Nowe is my soule troubled, and what shall I saye? Father, delyuer me from this houre: but therfore came I vnto thys houre.
John.12.28	Father, glorify thy name. Then cam ther a voyce from heauen, saying: I haue both glorifyed it, Ꟶ will glorify it agayne.
John.12.29	The people therfore that stode by and heard it, sayde, that it thoundred. Other sayde: an angell spake to hym.
John.12.30	Iesus answered and sayde: this voyce came not because of me but for your sakes.
John.12.31	Now is the iudgment of this worlde: now shall the prince of thys worlde be cast out.
John.12.32	And I (yf I were lyft vp from the erth) will drawe all men vnto me.
John.12.33	Thys he sayde signifyinge, what death he shulde dye.
John.12.34	The people answered hym: We haue heard out of the lawe, that Christ bydeth euer, and how sayst thou: the sonne of man must be lyft vp? who is that sonne of man?
John.12.35	Then Iesus sayd vnto them: yet a lytell whyle is the lyght with you. Walke whyle ye haue lyght, lest the darcknes come on you. He that walketh also in the darck, woteth not whyther he goet
John.12.36	Whyle ye haue lyght, beleue on the lyght, that ye maye be the children of the lyght. These thynges spake Iesus, and departed, and hid him self from them.
John.12.37	But though he had done so many miracles before them, yet beleued not they on hym,
John.12.38	that the sayinge of Esaias the prophet myght be fulfylled, which he spake: Lord, who shal beleue our saying? And to whom is the arme of the Lorde declared?
John.12.39	Therfore could they not beleue, because that Esaias saith agayne:
John.12.40	he hath blynded their eyes, and hardened their hert, that they shuld not se with their eyes, Ꟶ lest they shuld vnderstand with their hert, and shuld be conuerted, and I shulde heale them.
John.12.41	Soch thynges sayd Esaias, when he sawe his glorye, Ꟶ spake of him.
John.12.42	Neuertheles, amonge the chefe rulers also, many beleued on hym. But (because of the pharises) they wold not be a knowen of it, lest they shulde be excommunicat.
John.12.43	For they loued the prayse of men, more then the prayse of God.
John.12.44	Iesus cryed, and sayd: he that beleueth on me, beleueth not on me, but on hym that sent me.
John.12.45	And he that seeth me, seeth him that sent me.
John.12.46	I am come a lyght into the worlde: that whosoeuer beleueth on me, shulde not byde in darcknes.
John.12.47	And yf any man heare my wordes, and beleue not, I iudge him not. For I came not to iudge the world: but to saue the worlde.
John.12.48	He that refuseth me, Ꟶ receaueth not my wordes, hath one that iudgeth hym. The worde that I haue spoken, the same shal iudge hym in the last daye.
John.12.49	For I haue not spoken of my selfe: but the father which sent me: he gaue me a commaundment, what I shuld saye, Ꟶ what I shulde speake.
John.12.50	And I knowe that his commaundement is lyfe euerlastinge. Whatsoeuer I speake therfore, euen as the father bade me, so I speake.
John.13.1	Before the feaste of Easter, when Iesus knewe that hys houre was come, that he shuld depart out of this world vnto the father. When he loued his which were in the worlde, vnto the ende he loued them.
John.13.2	And when supper was ended, after that the deuyll had put in the herte of Iudas Iscarioth Simons sonne, to be traye hym.
John.13.3	Iesus knowynge that the father had geuen all thinges into hys handes, and that he was come from God, and went to God:
John.13.4	he rose from supper, and layde asyde his vpper garmentes: and whan he had taken a towell, he gyrded him self.
John.13.5	After that, he powred water into a basyn, and beganne to wash the disciples fete, and to wype them with the towell, wherwith he was gyrded.
John.13.6	Then came he to Symon Peter. And Peter sayde vnto hym: Lord, dost thou wasshe my fete?
John.13.7	Iesus answered, and sayd vnto him: what I do, thou wotest not nowe, but thou shalt know herafter.
John.13.8	Peter sayeth vnto him: thou shalt neuer wasshe my fete. Iesus answered hym: yf I wasshe the not, thou hast no parte with me.
John.13.9	Symon Peter sayeth vnto hym: Lorde, not my fete onely, but also the handes and the head.
John.13.10	Iesus sayth to hym: he that is wasshed, nedeth not, saue to wasshe his fete, but is cleane euery whyt. And ye are cleane, but not all.
John.13.11	For he knewe who it was that shuld be traye hym. Therfore sayd he: ye are not all cleane:
John.13.12	So after he had wasshed their fete, and receaued hys clothes, and was sett downe, he sayde vnto them agayne: wote ye what I haue done to you?
John.13.13	Ye call me master and Lorde, and ye saye well, for so am I.
John.13.14	If I then youre lorde and master haue wasshed youre fete, ye also ought to wasshe one anothers fete.
John.13.15	For I haue geuen you an ensample that ye shulde do, as I haue done to you.
John.13.16	Uerely verely, I saye vnto you: the seruaunte is not greater then his master, nether the messenger greater then he that sent hym.
John.13.17	If ye vnderstande these thinges happy are ye, yf ye do them.
John.13.18	I speake not of you all, I knowe whom I haue chosen. But that the scripture maye be fulfylled: he that eateth bread with me, hath lyfte vp hys hele against me.
John.13.19	Now tell I you before it come that when it is come to passe, ye might beleue that I am he.
John.13.20	Uerely verely, I saye vnto you: He that receaueth whomsoeuer I sende, receaueth me. And he that receaueth me, receaueth him that sent me.
John.13.21	When Iesus had thus sayd, he was troubled in the sprete, and testifyed and sayd: verely verely, I saye vnto you: that one of you shall be traye me.
John.13.22	Then the disciples loked one on another, dowtynge of whom he spake.
John.13.23	There was one of Iesus disciples, (which leaned on hym) euen he whom Iesus loued.
John.13.24	To hym beckened Symon Peter therfore, that he shulde aske, who it was of whom he spake.
John.13.25	He then when he leaned on Iesus brest, sayd vnto him: Lord, who is it?
John.13.26	Iesus answered: he it is to whom I geue a soppe. And he wet the brede Ꟶ gaue it to Iudas Iscarioth Simons sonne.
John.13.27	And after the soppe. Satan entred into him. Then sayd Iesus vnto him: that thou dost, do quyckly.
John.13.28	That wist no man at the table, for what intent he spake vnto him.
John.13.29	Som of them thought because. Iudas had the bagge, that Iesus had sayd vnto him: bye those thinges that we haue nede of agaynst the feaste: or that he shuld geue some thyng to the poore.
John.13.30	Assone then as he had receaued the soppe, he went immediatly out and it was night.
John.13.31	Therfore when he was gone oute. Iesus sayd: Now is the sonne of man glorifyed. And God is gloryfyed by him.
John.13.32	If God be glorifyed by him, God shall also glorify hym by hym selfe: and shall strayght waye gloryfy hym.
John.13.33	Lytle chyldren, yet a lytel whyle am I with you. Ye shall seke me, Ꟶ as I sayd vnto the Iewes, whyther I goo, thyther can ye not come. Also to you saye I now.
John.13.34	A newe commaundement geue I vnto you, that ye loue together, as I haue loued you, that euen so ye loue one another.
John.13.35	By this shall all men knowe that ye are my discyples, yf ye haue loue one to another.
John.13.36	Symon Peter sayd vnto hym: Lorde, whyther goest thou? Iesus answered him: whyther I go, thou canst not folowe me now, but thou shalt folowe me afterwardes.
John.13.37	Peter sayd vnto him: Lorde, why cannot I folowe the now: I wyl ieoparde my lyfe for thy sake?
John.13.38	Iesus answered hym: wylt thou ieoparde thy lyfe for my sake? Uerely verely, I saye vnto the: the cocke shall not crowe, tyll thou haue denyed me thryse.
John.14.1	And he sayde vnto his disciples: lett not your herte be troubled. Ye beleue in God, beleue also in me.
John.14.2	In my fathers house are many mansions: If it were not so, I wolde haue tolde you. I go to prepare a place for you.
John.14.3	And yf I go to prepare a place for you, I will come agayne, and receaue you euen vnto my selfe: that wher I am, ther maye ye be also.
John.14.4	And whyther I go, ye knowe, and the waye ye knowe.
John.14.5	Thomas sayth vnto him: Lord, we knowe not whither thou goest. And how is it possible for vs to knowe the waye?
John.14.6	Iesus sayeth vnto hym: I am the waye and the treuth, and the lyfe. No man cometh vnto the father, but by me.
John.14.7	If ye had knowen me, ye had knowen my father also. And now ye knowe him, and haue sene hym.
John.14.8	Philip sayth vnto hym: Lorde, shewe vs the father, Ꟶ it suffiseth vs.
John.14.9	Iesus sayth vnto hym: haue I bene so longe tyme with you, Ꟶ yet hast thou not knowen me? Philip, he that hath sene me, hath sene my father. And howe sayest thou then: shewe vs the father?
John.14.10	Beleuest thou not, that I am in the father, Ꟶ the father in me? The wordes that I speake vnto you, I speake not of my self: but the father that dwelleth in me is he that doth the workes.
John.14.11	Beleue me that I am in the father, Ꟶ the father in me. Or els beleue me for the worckes sake.
John.14.12	Uerely verely, I saye vnto you: he that beleueth on me, the worckes that I do, the same shal he do also, Ꟶ greater worckes then these shall he do, because I go vnto my father.
John.14.13	And whatsoeuer ye aske in my name, that will I do, that the father maye be glorifyed by the sonne.
John.14.14	If ye shall aske any thynge in my name. I will do it.
John.14.15	If ye loue me, kepe my commaundementes,
John.14.16	Ꟶ I will praye the father, and he shall geue you another comforter, that he maye bide wt you for euer:
John.14.17	euen the sprete of treuth, whom the world cannot receaue, because the worlde seeth hym not, nether knoweth him. But ye knowe him. For he dwelleth wt you, Ꟶ shalbe in you.
John.14.18	I wyll not leaue you comforteles: but will come to you:
John.14.19	Yet a lytell while and the world seeth me nomore: but ye se me. For I lyue, Ꟶ ye shall lyue.
John.14.20	That daye shall ye knowe that I am in my father, and you in me, and I in you.
John.14.21	He that hath my commaundementes, and kepeth them: the same is he that loueth me. And he that loueth me, shalbe loued of my father: and I wyll loue hym, and wyll shewe myne awne selfe to him.
John.14.22	Iudas sayth vnto hym: (not Iudas Iscarioth) Lorde, what is done that thou wylt shewe thy selfe vnto vs, and not vnto the world?
John.14.23	Iesus answered Ꟶ sayd: vnto them: yf a man loue me, he will kepe my sayinges, and my father wyll loue hym, and we wyll come vnto hym, and dwell wt hym.
John.14.24	He that loueth me not, kepeth not my sayinges. And the worde which ye heare, is not myne, but the fathers which sent me.
John.14.25	These thinges haue I spoken ynto you, being yet present with you.
John.14.26	But the comforter which is the holy ghost whom my father wil sende in my name, he shal teach you all thinges, Ꟶ bryng all thinges to your remembraunce whatsoeuer I haue sayd vnto you.
John.14.27	Peace I leaue with you, my peace I geue vnto you. Not as the world geueth, geue I vnto you. Let not youre hertes be greued, nether feare.
John.14.28	Ye haue hearde howe I sayde vnto you: I go, and come agayne vnto you. If ye loued me, ye wolde verely reioyse, because I sayd: I go vnto the father, for the father is greater then I.
John.14.29	And nowe haue I shewed you before it come, that when it is come to passe, ye myght beleue.
John.14.30	Here after wyll I not talke many wordes vnto you. For the prince of this worlde commeth, and hath naught in me.
John.14.31	But that the worlde maye knowe that I loue the father. And as the father gaue me commaundment, euen so do I. Ryse, let vs go hence.
John.15.1	I am the true vyne, and my father is the husbandman.
John.15.2	Euery braunche that beareth not frute in me, he will take awaye. And euery braunche that beareth frute, will he pourge, that it maye bring forth more frute.
John.15.3	Nowe are ye cleane thorow the wordes which I haue spoken vnto you.
John.15.4	Byde in me, and I in you. As the braunche cannot beare frute of it selfe, excepte it byde in the vyne: nomore can ye, except ye abyde in me.
John.15.5	I am the vyne, ye are the braunches. He that abydeth in me, and I in him, the same bringeth forth moche frute. For without me can ye do nothing.
John.15.6	If a man byde not in me, he is cast forth as a braunche, Ꟶ is wythered: and men gather them: and cast them into the fyre, and they burne.
John.15.7	If ye byde in me, and my wordes abyde in you: aske what ye wyll, and it shalbe done for you.
John.15.8	Herin is my father glorifyed: that ye beare moch frute, and become my disciples.
John.15.9	As the father hath loued me, euen so haue I also loued you. Continue ye in my loue.
John.15.10	If ye kepe my commaundementes, ye shall byde in my loue, euen as I haue kepte my fathers commaundementes, Ꟶ byde in hys loue.
John.15.11	These thynges haue I spoken vnto you, that my ioye myghte remayne vnto you, and that youre ioye myght be full.
John.15.12	Thys is my commaundement, that ye loue together, as I haue loued you.
John.15.13	Greater loue hath no man, then thys: that a man bestowe hys lyfe for his frendes.
John.15.14	Ye are my frendes, yf ye do whatsoeuer I commaunde you.
John.15.15	Hence forth call I you not seruauntes: for the seruaunt knoweth not what hys lorde doeth. But you haue I called frendes: for all thynges that I haue heard of my father, haue I opened to you.
John.15.16	Ye haue not chosen me, but I haue chosen you, and ordeyned you, to goo, and brynge forth frute, and that your frute shuld remayne, that whatsoeuer ye aske of the father in my name, he maye geue it you.
John.15.17	This commaunde I you, that ye loue together.
John.15.18	If the worlde hate you, ye knowe that it hated me before it hated you.
John.15.19	If ye were of the worlde, the worlde wolde loue his awne. Howbeit, because ye are not of the world. But I haue chosen you out of the world therfore the world hateth you.
John.15.20	Remember the worde that I sayd vnto you: the seruaunt is not greater then the lorde. If they haue persecuted me, they wyll also persecute you. If they haue kept my saying, they will kepe youres also.
John.15.21	But all these thinges wyll they do vnto you for my names sake, because they haue not knowen hym that sent me.
John.15.22	If I had not come and spoken vnto them, they shuld haue had no synne: but now haue they nothyng to cloke their synne withall.
John.15.23	He that hateth me, hateth my father also:
John.15.24	If I had not done amonge them the workes whych none other man dyd, they shuld haue had no synne. But now haue they both sene, Ꟶ hated: not onely me but also my father.
John.15.25	But thys happeneth that the sayinge myght be fulfylled, that is writen in their lawe: they hated me without a cause.
John.15.26	But when the comforter is come, whom I will sende vnto you from the father (euen the sprete of treuth, which proceadeth of the father) he shall testifye of me.
John.15.27	And ye shall beare witnesse also, because ye haue bene with me from the begynning.
John.16.1	These thynges haue I sayde vnto you because ye shuld not be offended.
John.16.2	They shall excommunicat you: ye the tyme shall come, that whosoeuer kylleth you, will thinke that he doth God seruyce.
John.16.3	And such thinges will they do vnto you, because they haue not knowen the father, nether yet me.
John.16.4	But these thinges haue I tolde you, that when the tyme is come, ye maye remember then that I tolde you. These thynges sayde I not vnto you at the begynninge, because I was present with you.
John.16.5	But now I go my waye to hym that sent me, Ꟶ none of you asketh me whyther I go.
John.16.6	But because I haue sayd suche thynges vnto you, your hertes are ful of sorowe.
John.16.7	Neuertheles, I tel you the treuth, it is expedient for you, that I goo awaye. For yf I goo not awaye, that comforter wyll not come vnto you. But yf I departe, I wyll sende hym vnto you.
John.16.8	And when he is come, he wyll rebuke the worlde of synne, and of rightewesnes, Ꟶ of iudgement.
John.16.9	Of synne, because they beleue not on me.
John.16.10	Of ryghtewesnes, because I go to my father, and ye shal se me nomore:
John.16.11	Of iudgement, because the prynce of thys worlde is iudged all ready.
John.16.12	I haue yet many thinges to saye vnto you but ye cannot beare them awaye now.
John.16.13	Howbeit when he is come (which is the sprete of treuth) he will leade you into all treuthe. He shall not speake of hym selfe: but whatsoeuer he shall heare, that shall he speake, and he will shewe you thinges to come.
John.16.14	He shal glorify me, for he shall receaue of myne, Ꟶ shall shewe vnto you.
John.16.15	All thynges that the father hath, are myne. Therfore sayde I vnto you, that he shall take of myne and shewe vnto you.
John.16.16	After a while ye shall not se me, and agayne after a whyle ye shall se me: for I go to the father.
John.16.17	Then sayde some of hys discyples betwene them selues: what is thys that he saith vnto vs, after a while, ye shall not se me, and agayne after a whyle ye shall se me: and that I go to the father?
John.16.18	They sayd therfore: what is this that he sayth: after a whyle? we cannot tell what he sayth.
John.16.19	Iesus perceaued, that they wolde aske him, and sayde vnto them. Ye enquire of this betwene your selues, because I sayde after a whyle ye shal not se me, Ꟶ agayne after a whyle ye shall se me.
John.16.20	Uerely verely, I saye vnto you: ye shall wepe and lamente, but contrary wyse, the world shall reioyse. Ye shall sorowe, but yor sorowe shalbe turned to ioye.
John.16.21	A woman when she trauaileth, hath sorowe, because her houre is come: but assone as she is deliuered of the childe, she remembreth nomore the anguisshe, for ioye that a man is borne into the worlde.
John.16.22	And ye now therfore haue sorowe: but I will se you agayne, and your hertes shall reioyse, and your ioye shal no man take from you.
John.16.23	And in the daye shall ye aske me no question. Uerely verely, I saye vnto you: whatsoeuer ye shall aske the father in my name, he wyll geue it you.
John.16.24	Hytherto haue ye asked nothynge in my name. Aske, and ye shall receaue: that youre ioye maye be full.
John.16.25	These thinges haue I spoken vnto you by prouerbes. The tyme will come, when I shal nomore speake vnto you by prouerbes: but I shall shewe you playnely from my father.
John.16.26	At that daye shall ye aske in my name. And I saye not vnto you that I will speake vnto my father for you.
John.16.27	For the father him selfe loueth you, because ye haue loued me, and haue beleued, that I came out from God.
John.16.28	I went out from the father, and came into the worlde. Agayne, I leaue the worlde, and go to the father.
John.16.29	His disciples sayd vnto him: lo, now talkest thou playnly, and speakest no prouerbe.
John.16.30	Nowe are we sure, that thou knowest all thinges, and nedest not, that eny man shulde aske the any question. Therfore beleue we, that thou camest from God.
John.16.31	Iesus answered them: Now ye do beleue.
John.16.32	Behold, the houre draweth nye, and is all ready come, that ye shalbe scatered euery man to his awne, Ꟶ shal leaue me alone. And yet am I not alone. For the father is with me.
John.16.33	These wordes haue I spoken vnto you, that in me ye myghte haue peace. For in the worlde shall ye haue tribulacyon: but be of good chere, I haue ouercome the worlde.
John.17.1	These wordes spake Iesus, and lift vp his eyes to heauen, and sayde: father, the houre is come: glorify thy sonne that thy sonne also maye glorify the:
John.17.2	as thou hast geuen him power ouer all flesh, that he shuld geue eternall lyfe to as many as thou hast geuen him.
John.17.3	This is lyfe eternal, that they might knowe the, the onely true God, Ꟶ Iesus Christ whom thou hast sent.
John.17.4	I haue glorifyed the on the erth. I haue finysshed the worcke, which thou gauest me to do.
John.17.5	And now glorifye thou me (O father) with thyne awne self, with the glory, which I had with the, yer the worlde was.
John.17.6	I haue declared thy name vnto the men, which thou gauest me out of the world. Thyne they were, and thou gauest them me, and they haue kept thy worde.
John.17.7	Now they haue knowen, that all thinges whatsoeuer thou hast geuen me, are of the.
John.17.8	For I haue geuen vnto them the wordes which thou gauest me, and they haue receaued them, and haue knowen surely, that I came out from the: and they haue beleued, that thou diddest send me.
John.17.9	I praye for them, I praye not for the world: but for them which thou hast geuen me, for they are thyne.
John.17.10	And all myne are thyne, Ꟶ thyne are myne, Ꟶ I am glorified in them.
John.17.11	And now I am not in the worlde, and they are in the worlde, and I come to the. Holy father, kepe thorow thine awne name, them which thou hast geuen me, that they also maye be one, as we are.
John.17.12	Whyle I was with them in the world, I kepte them in thy name. Those that thou gauest me, haue I kepte, and none of them is lost, but that lost childe, that the scripture might be fulfilled.
John.17.13	Now come I to the, Ꟶ these wordes speake I in the world, that they might haue my ioy ful in them.
John.17.14	I haue geuen them thy worde, and the worlde hath hated them, because they are not of the world, euen as I also am not of the world.
John.17.15	I desyre not that thou shuldest take them out of the worlde: but that thou kepe them from euyll.
John.17.16	They are not of the worlde, as I also am not of the worlde.
John.17.17	Sanctify them thorow thy treuth. Thy word is the treuth.
John.17.18	As thou dyddest send me into the worlde, euen so haue I also sent them into the world,
John.17.19	Ꟶ for their sakes sanctifie I my selfe, that they also myght be sanctifyed thorowe the treuth.
John.17.20	Neuertheles, I praye not for them alone, but for them also which shall beleue on me thorow their preaching:
John.17.21	that they al maye be one, as thou father art in me, and I in the, and that they also maye be one in vs: that the worlde maye beleue, that thou hast sent me:
John.17.22	And the glory which thou gauest me, I haue geuen them, that they maye be one, as we also are one.
John.17.23	I in them, and thou in me, that they maye be made parfecte in one, Ꟶ that the worlde maye knowe, that thou hast sent me, and hast loued them as thou hast loued me.
John.17.24	Father, I will that they which thou hast geuen me be with me where I am, that they maye se my glory, which thou hast geuen me. For thou louedest me before the makyng of the worlde.
John.17.25	O righteous father, the worlde also hath not knowen the: but I haue knowen the: and these haue knowen, that thou hast sent me.
John.17.26	And I haue declared vnto them thy name, and will declare it, that the loue wherwith thou hast loued me, maye be in them, Ꟶ I in them.
John.18.1	When Iesus had spoken these wordes, he went forth with hys discyples ouer the broke Cedron, wher was a garden, into the which he entred and hys disciples.
John.18.2	Iudas also which betrayed him, knewe the place: for Iesus ofte tymes resorted thyther wt his discyples.
John.18.3	Iudas then after he had receaued a bonde of men, (and mynysters of the hye Prestes Ꟶ Pharyses) came thyther with lanternes, and fyerbrandes, and wepens.
John.18.4	And Iesus knowyng all thynges that shulde come on hym, went forth, and sayde vnto them: whom seke ye?
John.18.5	They answered him: Iesus of Nazareth. Iesus sayeth vnto them: I am he. Iudas also which betrayed hym, stode with them.
John.18.6	Assone then as he had sayde vnto them, I am he, they went backewarde and fell to the grounde.
John.18.7	Then asked he them agayne: whom seke ye? They sayde: Iesus of Nazareth.
John.18.8	Iesus answered: I haue tolde you, that I am he. If ye seke me therfore lett these goo their waye.
John.18.9	That the saying might be fulfylled which he spake: of them which thou gauest me, haue I not lost one.
John.18.10	Then Simon Peter hauynge a swearde, drue it, and smote the hye prestes seruaunt, and cut of hys ryght eare. The seruauntes name was Malchus.
John.18.11	Therfore sayeth Iesus vnto Peter: put vp thy swearde into the sheath: shall I not dryncke of the cup, which my father hath geuen me?
John.18.12	Then the company and the Captayne, and mynysters of the Iewes toke Iesus, and bounde hym,
John.18.13	and led him awaye to Anna fyrst: for he was father in lawe vnto Cayphas, which was the hye Preste that same yere.
John.18.14	Cayphas was he, which gaue counsell to the Iewes that it was expedient, that one man shulde dye for the people.
John.18.15	And Symon Peter folowed Iesus, and so dyd another dyscyple: that dyscyple was knowen vnto the hye preste, Ꟶ went in with Iesus into the palace of the hye Preste.
John.18.16	But Peter stode at the dore without. Thent went out that other discyple (which was knowen vnto the hye preste) and spake to the damsell that kept the dore, and brought in Peter.
John.18.17	Then sayde the damsell that kept the dore, vnto Peter. Art not thou also one of this mannes dyscyples? He sayde: I am not.
John.18.18	The seruauntes and the ministers stode there, which had made a fyer of coles: for it was colde, and they warmed them selues. Peter also stode amonge them, and warmed hym.
John.18.19	The hye preste then asked Iesus of hys dyscyples and of hys doctryne.
John.18.20	Iesus answered hym: I spake openly in the worlde. I euer taught in the Synagoge, and in the temple, whyther all the Iewes resorte, and in secret haue I sayde nothyng.
John.18.21	Why askest thou me? Aske them which hearde me, what I haue sayd vnto them. Beholde, they can tell what I sayde.
John.18.22	When he had thus spoken, one of the ministers which stode by, smote Iesus on the face, sayinge: answerest thou the hye preaste so?
John.18.23	Iesus answered hym: If I haue euyll spoken, beare witnes of the euyll: But yf I haue well spoken, why smytest thou me?
John.18.24	And Annas sent hym bounde vnto Cayphas the hye preste.
John.18.25	Symon Peter stode, and warmed him selfe Then sayde they vnto hym: art not thou also one of hys dyscyples? He denyed it, Ꟶ sayde: I am not.
John.18.26	One of the seruauntes of the hye prestes (hys cosyn whose eare Peter smote of) sayde vnto hym: dyd not I se the in the garden with him?
John.18.27	Peter therfore denyed agayne: and immediatly the cocke crewe.
John.18.28	Then led they Iesus from Cayphas into the hall of iudgement. It was in the mornynge, Ꟶ they them selues went not into the iudgement hall lest they shulde be defyled, but that they myght eate Passeouer.
John.18.29	Pylate then went out vnto them and sayde: what accusacyon bryng ye agaynste thys man?
John.18.30	They answered and sayde vnto him: If he were not an euyll doar we wolde not haue delyuered him vnto the.
John.18.31	Then sayde Pylate vnto them take ye hym, Ꟶ iudge him after youre awne lawe. The Iewes therfore sayd vnto him: It is not lawfull for vs to put eny man to deeth.
John.18.32	That the wordes of Iesus myght be fulfylled which he spake, signifyeng, what deeth he shuld dye.
John.18.33	Then Pylate entred into the iudgement hall agayne, and called Iesus, and sayde vnto hym: art thou the kynge of the Iewes?
John.18.34	Iesus answered: sayst thou that of thy selfe, or dyd other tell it the of me?
John.18.35	Pylate answered: Am I a Iewe? Thyne awne nacion and hye prestes haue delyuered the vnto me. What hast thou done?
John.18.36	Iesus answered: my kyngdome is not of this worlde. Yf my kyngdome were of this worlde, then wolde my mynysters suerly fyght, that I shulde not be delyuered to the Iewes, but now is my kyngdome not from hence.
John.18.37	Pylate therfore sayde vnto him. Art thou a kyng then? Iesus answered: thou sayst that I am a kyng. For this cause was I borne, Ꟶ for this cause came I into the worlde, that I shulde beare witnes vnto the trueth. And all that are of the trueth, heare my voyce.
John.18.38	Pylate sayde vnto him, what thynge is trueth? And when he had sayde this, he went out agayne vnto the Iewes, and sayeth vnto them. I fynde in him no cause at all.
John.18.39	Ye haue a custome, that I shulde deliuer you one loose at Easter. Wyll ye that I lose vnto you the kynge of the Iewes?
John.18.40	Then cryed they all agayne sayinge. Not hym, but Barrabas: the same Barrabas was a murtherer.
John.19.1	Then Pylate toke Iesus therfore, Ꟶ scourged hym.
John.19.2	And the soudiers wounde a croune of thornes, and put it on hys heed. And they dyd on him a purple garment,
John.19.3	and sayde: hayll kynge of the Iewes: and they smote hym on the face.
John.19.4	Pylate went forth agayne, and sayde vnto them: beholde, I brynge hym forth to you, that ye maye know, that I fynde no faute in hym.
John.19.5	Then came Iesus forth, wearynge a croune of thorne, and a robe of purple. And he sayeth vnto them: beholde the man.
John.19.6	When the hye Prestes therfore and ministers sawe hym, they cryed sayinge: crucify him, crucify hym. Pylate sayeth vnto them: Take ye him, and crucify him: for I fynde no cause in him.
John.19.7	The Iewes answered him: We haue a lawe, and by oure lawe he ought to dye: because he made him selfe the sonne of God.
John.19.8	When Pylate hearde the sayinge, he was the moare afrayde,
John.19.9	and went agayne into the iudgement hall, and sayeth vnto Iesus: whence arte thou? But Iesus gaue him none answere.
John.19.10	Then sayde Pylate vnto him: Speakest thou not vnto me? Knowest thou not, that I haue power to crucify the, and haue power to loose the?
John.19.11	Iesus answered: Thou couldest haue no power at all agaynst me, except it were geuen the from aboue. Therfore he that delyuered me vnto the, hath the more synne.
John.19.12	And from thence forth sought Pylate meanes to loose hym: but the Iewes cryed sayinge: yf thou let him go, thou art not Cesars frende. For whosoeuer maketh hym selfe a kynge, is agaynst Cesar.
John.19.13	When Pylate hearde that sayinge, he brought Iesus forth, and sate downe to geue sentence, in a place that is called the pauement: but in the Hebrue tonge, Gabbatha.
John.19.14	It was the preparyng daye of the easter, aboute the syxte houre. And he sayeth vnto the Iewes: beholde youre king?
John.19.15	They cryed, awaye wt him, awaye wt him, crucifye him. Pylate saieth vnto them: shall I crucifye your kyng? The hye prestes answered: we haue no kyng but Cesar.
John.19.16	Then delyuered he hym vnto them, to be crucified. And they toke Iesus, and led hym away.
John.19.17	And he bare hys crosse, and went forth into a place, which is called the place of deed mens sculles. But in Hebrue, Golgotha:
John.19.18	where they crucified hym, and two other with hym; on ether syde one, and Iesus in the myddes.
John.19.19	And Pylate wrote a tytle, Ꟶ put it on the crosse. The wrytynge was. Iesus of Nazareth kynge of the Iewes.
John.19.20	Thys tytle redd many of the Iewes. For the place where Iesus was crucyfyed, was nye to the cytye. And it was wrytten in Hebrue, and Greke and Latyn.
John.19.21	Then sayde the hye prestes of the Iewes to Pylate: wrytte not kynge of the Iewes, but that he sayde, I am kynge of the Iewes:
John.19.22	Pylate answered: what I haue wrytten, that haue I wrytten.
John.19.23	Then the soudiers, when they had crucifyed Iesus, they toke his garmentes Ꟶ made foure partes, to euery soudier a parte, Ꟶ also hys coate. The coate was without seme, wrought vpon thorowe out.
John.19.24	They sayd therfore amonge them selues: Lett vs not deuyde it, but cast lotes for it, who shall haue it. That the scrypture myght be fulfylled, sayinge: They parted my rayment amonge them, and for my coate dyd they cast lotes. And the soudiers dyd soch thynges in dede.
John.19.25	There stode by the crosse of Iesus hys mother, and his mothers syster, Mary the wyfe of Cleophas, Ꟶ Mary Magdalene.
John.19.26	When Iesus therfore sawe his mother, Ꟶ the disciple stondinge whom he loued, he sayeth vnto his mother: woman: beholde thy sonne.
John.19.27	Then sayde he to the disciple: beholde thy mother. And from that houre the disciple toke her for hys awne.
John.19.28	After these thinges, Iesus knowinge that all thinges were now performed: that the scripture myght be fulfylled: he sayeth: I thyrst
John.19.29	So ther stode a vessel by, full of veneger. Therfore they fylled a sponge with veneger and wounde it about with ysope, and put it to his mouth.
John.19.30	Assone as Iesus then receaued of the veneger, he sayde. It is fynisshed, Ꟶ bowed his heed, and gaue vp the goost.
John.19.31	The Iewes therfore because it was the preparing of the Sabboth, that the bodyes shuld not remayne vpon the crosse on the sabboth daye (for that sabboth daye was an hye daye) besought Pilate, that their legges might be broken and that they might be taken downe.
John.19.32	Then came the soudiers, and brake the legges of the fyrst, and of the other which was crucyfied with him.
John.19.33	But when they came to Iesus: and sawe that he was deed already, they brake not his legges:
John.19.34	but one of the soudiers wt a speare, thrust him into the syde, and forth with came ther out bloude and water.
John.19.35	And he that sawe it, bare recorde, Ꟶ hys record is true. And he knoweth that he sayth true, that ye might beleue also.
John.19.36	For these thinges were done, that the scripture shulde be fulfylled. Ye shall not breake a bone of him.
John.19.37	And agayne another scripture sayeth: they shal loke on him, whom they pearsed.
John.19.38	After this, Ioseph of Aramathia (which was a disciple of Iesus: but secretly for feare of the Iewes) besought Pilate, that he might take downe the body of Iesus. And Pilate gaue him licence.
John.19.39	And ther cam also Nicodemus (which at the begynnynge came to Iesus by night) Ꟶ brought of myrre and aloes mingled together, aboute an hundred pounde wayght.
