Isa.0.0	¶ The booke of the prophete Esay
Isa.35.3	And therfore strength the weake handes, and conforte the feble knees.
Isa.35.4	Saye vnto them that are of a fearefull hert. Be of good chere, and feare not. Beholde, youre God commeth to take vengeaunce: and you shall se the rewarde that God geueth: God commeth his awne selfe, Ꟶ will delyuer you.
Isa.35.5	Then shall the eyes of the blinde be lyghtened, and the eares of the deaffe opened.
Isa.35.6	Then shall the lame man leape as an hert, Ꟶ the domme mans tonge shall geue thanckes. In the wildernes also, there shall welles spring, Ꟶ floudes of water in the desert.
Isa.35.7	The drye grounde shall turne to riuers, and the thursty to sprynges of water. Where as dragons dwelt afore, ther shall growe swete floures and grene rushes.
Isa.35.8	There shalbe fote pathes Ꟶ comen stretes, this shalbe called the holy waye. No vnclene person shall go thorowe it: for the Lorde him self shall go with them that waye, and the wayferer, nor ignoraunt shall not erre.
Isa.35.9	There shalbe no lyon Ꟶ no rauishing beast shall come therin, nor be there but men redemed shall go there fre and safe.
Isa.35.10	And the redemed of the Lorde, I saye, shall conuerte and come to zion with thanckesgeuing. Euerlastyng ioye shall they haue: pleasure and gladnes shalbe among them. And as for all sorowe and heuynes, it shall vanysh awaye.
Isa.36.1	In the .xiiij. yere of king Hezekias came Sennaherib kyng of the Assirians downe, to laye seage vnto all the stronge cityes of Iuda; to conquer them.
Isa.36.2	And the kyng of Assiryans sent Rabsakeh from Lachis towarde Ierusalem, agaynst king Hezekias, wt an exceading hoste, which set him by the condyte of the ouerpole in the waye that goeth thorow the fullers lande.
Isa.36.3	And so ther came forth vnto him Eliakim Helkias sonne the president Sobna the scribe, and Ioah Asaphs sonne the secretary.
Isa.36.4	And Rabsakeh sayde vnto them: Tell Hezekias, that the greate kynge of Assiria sayth thus vnto him: What presumpcion is thys, that thou trustest vnto?
Isa.36.5	I sayde, Surely thou trustest in thy lyplaboure, when councell Ꟶ strength are necessary to battayl: or elles wher to trustest thou, that thou castest thy selfe of frome?
Isa.36.6	lo, thou puttest thy trust in a broken staf of rede (I meane Egipt) which he that leaneth vpon, it goeth into his hande Ꟶ shutteth hym thorowe. Euen so is Pharao the kynge of Egipte, vnto all them that trust in hym.
Isa.36.7	But yf thou woldest saye to me: we truste in the Lord our God. A goodly God in dead: whose hye places and aultars Hezekia toke downe, and commaunded Iuda and Ierusalem to worshyp onely before the aultare.
Isa.36.8	Nowe therfore delyuer hostages that thou rebelle nomore agaynst my Lorde the kynge of Assirians. And I wyll geue the two thousande horses: yf thou be able to set men vpon them?
Isa.36.9	How darest thou resist the power of the smallest prynce, that my Lord hath? how darest thou trust in the charettes and horse men of Egipt?
Isa.36.10	Moreouer, thinckest thou that I am come downe hyther to destroye this land wtout the Lordes will? The Lord sayde vnto me: go downe into the lande, that thou mayest destroie it.
Isa.36.11	Then sayd Eliakim, Sobna and Ioah vnto Rabsaketh: Speake to vs thy seruauntes (we praye the) in the Siryans language: for we vnderstande it wel. And speake not to vs in the Iewes tong, lest the folcke heare which lyeth vpon the wall.
Isa.36.12	Then answered Rabsakeh: Thincke ye, that the kyng sent me to speake this only vnto the Lord and the? Hath he not sent me to them also, that lye vpon the wall? that they maye be compelled to eate their awne donge, Ꟶ drynck their awne stale wt you?
Isa.36.13	And Rabsakeh stode stif, and cryed with a loude voyce in the Iewes tong, and saide: Nowe take hede, howe the great king of the Astyrians geueth you warning.
Isa.36.14	Thus sayth the king: Let not Hezekias disceaue you: for he shall not be able to delyuer you.
Isa.36.15	Morouer let not Hezekias conforte you in the Lorde, when he sayth: The Lord wtout doubt shall defende vs, and shal not geue ouer this citye into the handes of the kyng of the Assyrians, beleue hym not.
Isa.36.16	But thus sayth the kyng of Assyria: opteyne my fauoure, enclyne to me: so maye euery man enioye hys vyneyardes and fygg trees, and drynke the water of his cysterne:
Isa.36.17	vnto the tyme that I come my self, and bringe you into a lande that is lyke your awne: wherin is wheate and wyne, which is both sowen with seede, and planted with vyneyardes.
Isa.36.18	Let not Hezekia disceaue you, when he sayth vnto you: the Lorde shall delyuer vs? Might the Goddes of the Gentils kepe euery mans lande, from the power of the kynge of the Assirians?
Isa.36.19	Where is the God of Hemath and Arphad? Where is the God of Sepharuaim? And who was able to defende Samaria out of my hande?
Isa.36.20	Or which of all the Goddes of these landes hath delyuered theyr countrey out of my power? is the lorde in dede able to delyuer Ierusalem fro my hande?
Isa.36.21	Unto this Hezekias messaungers helde theyr tonges, and answered not one worde: for the king had charged them, that they shulde geue hym none answere.
Isa.36.22	So came Eliakim Helkias sonne the president, Sobna the scribe, and Ioah Asaphs sonne the secretary, vnto Hezekias with rent clothes, and tolde hym the wordes of Rabsaketh.
Isa.37.1	When Hezekias hearde that, he rent hys clothes, and putt on a sacke cloth, and went into the temple of the Lorde.
Isa.37.2	But he sente Eliakim the president. Sobna the scribe, with the eldest prestes clothed in sacke, vnto the prophet Esay the sonne of Amoz,
Isa.37.3	and they said vnto hym: Thus sayth Hezekias: Thys is the daye of trouble, of plage and of blasphemye: for the children are come to the place of byrth: but there is no power to brynge them forth.
Isa.37.4	The Lorde thy God (no doubte) hath well consydered the wordes of Rabsaketh, whom his Lorde the king of Assirians hath sent to defye Ꟶ blaspheme the lyuynge God: with soche wordes as the Lorde thy God hath hearde ryght well. And therfore, lyfte vp thy prayer for the remnaunt, that yet are left.
Isa.37.5	So the seruauntes of the kynge Hezekias came to Esay.
Isa.37.6	And Esay gaue them thys answere: Saye thus vnto your lorde: thus sayth the Lorde: Be not afraied of the wordes that thou hast hearde wherwith the kyng of the Assirians seruauntes haue blasphemed me.
Isa.37.7	Beholde, I will cause a wynde to go ouer him, assone as he heareth the rumour, he shall go again into hys contrey: there wyll I destroye hym with the swearde in his awne lande.
Isa.37.8	Nowe when Rabsakeh returned, he founde the king of Assiria laying sege to Libnas: for he had vnderstande that he was departed from Lachis.
Isa.37.9	For ther came a rumour that Tharhakas kinge of Ethiopia was come forth to warre agaynst him. And when the king of Assiria heard that, he sent other messaungers to kyng Hezekias wt this commaundement:
Isa.37.10	Saye thus to Hezekias king of Iuda: Let not thy God disceaue the, in whom thou hopest, and sayest: Ierusalem shall not be geuen into the handes of the king of Assiria.
Isa.37.11	For lo, thou knowest well howe the kinges of Assiria haue handled all the landes that they haue subuerted, and hopest thou to escape?
Isa.37.12	Were the people of Gentyles (whom my progenitours conquered) deliuered at any tyme thorow their goddes? As namely, Gozan, Haran, Rezeph, and the chyldren of Eden, which were at Thalassar.
Isa.37.13	Where is the kynge of Hemah, and the kyng of Arphad, and the king of the cytie Sepharuaim, Ena Ꟶ Aua?
Isa.37.14	Now when Ezekia had receaued the lettre of the messaungers, and read it, he went vp into the house of the Lorde, and opened the letter before the Lorde.
Isa.37.15	And Ezekia prayed before the Lorde on this maner.
Isa.37.16	O Lorde of Hostes, thou God of Israel, which dwellest vpon Cherubin. Thou art the God, that onely is God of all the kyngdomes of the worlde, for thou onely hast created heauen and earth.
Isa.37.17	Enclyne thyne eare Lorde Ꟶ consydre, open thyne eyes, O Lorde, and se, and pondre all the wordes vpon Sennaherib, which hath sent his embassage to blaspheme the lyuyng God
Isa.37.18	It is true, O Lorde, that the kynges of Assyria haue conquered all kyngdomes and landes,
Isa.37.19	and cast theyr goddes in the fyre. Not withstandynge those were no goddes, but the worckes of mens handes, of wood or stone, therfore haue they destroyed them.
Isa.37.20	Delyuer vs then, O Lorde oure God, from the handes of Sennaherib, that all Kyngdomes of the earth maye knowe, that thou onely art the Lorde.
Isa.37.21	Then Esaye the sonne of Amoz sent vnto Hezekia, sayinge: Thus sayth the Lorde God of Israel. Where as thou hast made thy prayer vnto me, as touchyng Sennaherib the kynge of Assyria,
Isa.37.22	this is the answere, that the Lorde hath geuen concernynge hym. Despised art thou, and mocked (O daughter of Syon) he hath shaken his head at the, O daughter of Ierusalem.
Isa.37.23	But thou Sennaherib. whom hast thou defyed and blasphemed? Agaynst whom hast thou lifted vp thy voyce, and exalted thy proude lookes? euen agaynst the holy one of Israel.
Isa.37.24	Thou with thy seruauntes hast blasphemed the Lorde, and thus holdest thou of thy selfe. I will couer the hye mountaynes, and sydes of Libanus with my horsmen. And there will I cut downe the hye Cedre trees and the fayrest Fyrre trees. I wyll vp into the heygth of it, and into the chefest of hys tymbre woddes.
Isa.37.25	If there be no water, I wyll graue and drinke. And as for waters of defence, I shall drye them vp with the fete of myne hoost.
Isa.37.26	Yee, hast thou not hearde, what I haue taken in hande, Ꟶ brought to passe of olde tyme? That same wyll I do nowe also: waste, destroye, and brynge stronge cyties vnto heapes of stones.
Isa.37.27	For theyr inhabitatours shalbe lyke lame men, brought in feare and confounded. They shalbe lyke the grasse Ꟶ grene herbes in the felde, lyke the hey vpon house toppes, that withereth afore it be growne vp.
Isa.37.28	I knowe thy wayes, thy goinge forth and thy commynge home, yee, Ꟶ thy madnesse agaynst me.
Isa.37.29	Therfore thy furiousnes against me, and thy pryde is come before me. I wyll put my rynge in thy nose, and my brydle byt in the chawes of the, and turne the about, euen the same waye thou camest.
Isa.37.30	I wyll geue the also this token (O Hezekia) thys yere shalt thou eate such as groweth of yt selfe Ꟶ the secunde yeare, that which springeth agayne of the same, and in the thyrde yeare, ye shall sowe Ꟶ reape, yee, ye shall plante vineyardes, and enioye the frutes therof.
Isa.37.31	And soche of the house of Iuda as are escaped, shall come together, and the remnaunt shall take rote beneth, and bringe forth frute aboue.
Isa.37.32	For the escaped shall go out of Ierusalem, and the remnaunt from the mounte Syon. And thys shall the gelousy of the Lorde of Hostes bring to passe.
Isa.37.33	Therfore thus sayeth the Lorde, concernynge the kynge of the Assyrians. He shall not come into this cyte, and shal shote no arowe into it, there shal no shilde hurt it, nether shal they cast ditches about it.
Isa.37.34	The same waye that he came, he shal retourne, and not come at thys cytie, sayeth the Lorde.
Isa.37.35	And I wyll kepe and saue the cytie (sayeth he) for myne awne, and for my seruaunte Dauids sake.
Isa.37.36	Thus the angel went forth, and slewe of the Assyrians hoost, an hundred fourescore and fyue thousande. And when men arose vp early in the mornynge. Beholde, they were slayne, and all laye full of deed bodyes.
Isa.37.37	So Sennaherib the kyng of the Assyrians brake vp, Ꟶ dwelt at Niniue.
Isa.37.38	Afterwarde it chaunsed, as he prayed in the temple of Nesrah his God, that Adramalech and Sarazer hys awne sonnes slewe him with the sweard, and fled into the lande of Armenia. And Asar hadon his sonne raygned in his steade.
Isa.38.1	Not longe afore this, was Hezechia sycke vnto the deeth, Ꟶ the prophete Esay the sonne of Amoz came vnto him, Ꟶ sayd: Thus commaundeth the Lord: Set thyne house in ordre, for thou must dye, and shalt not escape.
Isa.38.2	Then Hezechia turned hys face towarde the wall, and prayed vnto the Lorde,
Isa.38.3	and sayde: Remembre (O Lorde) that I haue walcked before the in treuth and a stedfast herte, Ꟶ haue done the thynge that is pleasaunt to the. And Hezechia wepte sore
Isa.38.4	Then sayde God vnto Esay:
Isa.38.5	Go and speake vnto Hezechia: the Lord God of Dauid thy father sendeth the this worde: I haue hearde thy prayer, and consydred thy teares, beholde, I will put fyftene yeares mo vnto thy lyfe,
Isa.38.6	and delyuer the and the cytie also, from the hande of the kynge of Assyria, for I wyll defende the cytie:
Isa.38.7	And take the thys token of the Lord, that he will do it, as he hath spoken:
Isa.38.8	Beholde, I wyll returne the shadowe of Ahaz dyal, that nowe is layed out with the Sunne and bringe it ten degrees backward. So the Sunne turned ten degrees backwarde, the which he was descended afore.
Isa.38.9	A thanckesgeuynge, which Hezekia Kynge of Iuda wrote, when he had bene sycke, and was recouered.
Isa.38.10	I thought I shulde haue gone to the gates of hell when myne age was shortened, and haue wanted the resydue of my yeares.
Isa.38.11	I spake within my selfe: I shall neuer viset the Lorde (the Lord I saye) in thys lyfe. I shal neuer se man among the dwellers of the worlde.
Isa.38.12	Myne age is folden vp together, Ꟶ taken awaye fro me, lyke a shepherdes cotage: I haue hewen of my lyfe by my synnes, lyke as a weeuer cutteth of hys webb. He wyll with pyninge sycknesse make an ende of me: yee, he wyll make en ende of me in one daye.
Isa.38.13	I thought I wolde haue lyued vnto the morowe, but he brosed my bones lyke a lyon, and in one daye thou wilt make an ende of me.
Isa.38.14	Then chatred I lyke a swalowe, and lyke a crane, and mourned as a doue. I lyfte vp myne eyes into the heygth: O Lorde (sayde I) my sycknes kepeth me downe: ease thou me.
Isa.38.15	What shall I saye? The Lorde hath made a promise to me. Yee, and he him selfe hath perfourmed it. I shall therfore as longe as I lyue remembre thys bitternes of my lyfe.
Isa.38.16	O Lorde men maye lyue beyond theyr yeares, and I wyll declare to all men: that euen in those yeres I haue a ioyfull lyfe, and that it was thou that causedest me to sleape and agayne thou hast geuen lyfe to me.
Isa.38.17	Beholde bytter as gall was my pensyuenesse, so sore longed I for helth. And it was thy pleasure to deliuer my lyfe, from the fylthye pytt, for thou it is (O Lorde) that hast cast all my synnes behynde thy backe.
Isa.38.18	For hell prayseth not the, death doth not magnifye the. They that go downe into the graue prayse not thy trueth:
Isa.38.19	but the lyuinge, yee, the lyuing a knowledge the, lyke as I do thys daye. The father telleth hys chyldren of thy faythfulnesse.
Isa.38.20	To heale me it is the Lordes worcke, and we wyll synge my songes in thy house, all the dayes of oure lyfe.
Isa.38.21	And Esaye sayde: take a playster of fygges, and laye it vpon the sore, so shall it be whole.
Isa.38.22	Then sayd Hezekia: O what a great miracle is this, that I shall go vp into the house of the Lorde?
Isa.39.1	At the same tyme Merodach Baladam, Baladamus sonne kynge of Babylon, sent lettres and presentes to Hezekia. For he vnderstode howe that he had bene syck, Ꟶ was recouered agayne.
Isa.39.2	And Hezekia was glad therof, Ꟶ shewed them the commodities of his treasure, of syluer, of gold, of spices Ꟶ rotes, of precious oyles, all that was in his cubbordes Ꟶ treasure houses. There was not one thinge in Hezekias house, and so thorow out all his kyngdome, but he let them se it.
Isa.39.3	Then came Esaye the prophete to kynge Hezekia, and sayd vnto him. What haue the men sayde, and from whence came they vnto the? Hezekia answered: they came oute of a farre countre vnto me, out of Babylon:
Isa.39.4	Esay sayde: what haue they loked vpon in thyne house? Hezekia answered. All that is in myne house haue they sene: and there is nothynge in my treasure, but I shewed it them.
Isa.39.5	Then sayde Esay vnto Hezekia: Understande the worde of the Lord of Hostes:
Isa.39.6	Beholde, the tyme wyll come, that euery thyng which is in thyne house, and all that thy progenitoures haue layde vp in stoare vnto this daye, shalbe caried to Babilon, and nothing left behynde. This sayeth the Lord.
Isa.39.7	Yee, and parte of thy sonnes, that shall come of the, and whom thou shalt get, shalbe caryed hence, and become gelded chamberlaynes in the kynge of Babylons courte.
Isa.39.8	Then sayde Hezekia to Esay. Now God prospere his awne councell, which thou hast tolde me. He sayde more ouer: So that there be peace Ꟶ faithfulnes in my tyme.
Isa.40.1	Comforte my people (O ye prophetes) comforte my people, sayeth your God,
Isa.40.2	comforte Ierusalem at the hert, Ꟶ tell her: that her trauayle is at an ende that her offence is pardoned, that she hath receaued of the Lordes hande sufficient correccion for all her synnes.
Isa.40.3	A voyce crieth in wildernes. Prepare the waye for the Lorde in the wildernesse, make streyght the path for oure God in the deserte.
Isa.40.4	Let all valleyes be exalted, Ꟶ euery mountayne Ꟶ hill be layed lowe, what so is croked, let it be made strayght: Ꟶ let the rough be made playne feldes.
Isa.40.5	For the glory of the Lorde shall appeare, and all flesh shall at once se it, for why: the mouth of the Lorde hath spoken it.
Isa.40.6	The same voyce spake: Nowe crye. And the prophet answered: what shall I crye? that all fleshe is grasse, Ꟶ that all the godlines therof, is as the floure of the felde.
Isa.40.7	The grasse is wythered, the floure falleth awaye. Euen so is the people as grasse, when the breath of the Lorde bloweth vpon them.
Isa.40.8	Neuertheles, whether the grasse wyther, or the floure fade awaye. Yet the word of our God endureth for euer.
Isa.40.9	Go vp vnto the hye hyll (O Syon) thou that bringest good tydynges, lyfte vp thy voyce with power, O thou preacher Ierusalem. Lyfte it vp without feare, and saye vnto the cyties of Iuda: Beholde youre God,
Isa.40.10	beholde the Lord God shall come with power, and beare rule with his arme. Beholde, he bringeth hys treasure with him, and his worckes go before hym.
Isa.40.11	He shall fede his flock lyke an herdman. He shall gather the lambes together with hys arme, and carye them in his bosome, Ꟶ shall kyndely intreate those that beare yonge.
Isa.40.12	Who hath holden the waters in hys fyst? Who hath measured heauen wt his spanne, Ꟶ hath comprehended all the earth of the worlde in thre measures? Who hath weyed the mountaynes Ꟶ hylles in a balaunce.
Isa.40.13	Who hath refourmed the mynde of the Lorde? or to whom hath he shewed his counsell. Or who is of his councell to teach him?
Isa.40.14	or who hath geuen him vnderstandynge and hath taught him the path of iudgement Who taught him conninge and opened to him the waye of vnderstandynge.
Isa.40.15	Beholde, all people are in comparyson of hym, as a droppe to a bocket full, Ꟶ are counted as the lest thinge that the balaunce weyeth. Yee Ꟶ the Iles he taketh vp as a very lyttel thing.
Isa.40.16	Libanus is not sufficient to ministre fyre for hys offeringe, and all the beastes therof are not ynough to one sacrifice.
Isa.40.17	All people in comparyson of him are rekened as nothing, yf they be compared with him lesse then nothyng and as it that is not.
Isa.40.18	To whom then wyll ye liken God? or what Similitude will ye set vp vnto him?
Isa.40.19	Shall the caruer make him a carued ymage? Ꟶ shall the goldsmyth couer hym with golde, or cast him into a fourme of syluer plates?
Isa.40.20	Moreouer, shall the ymage maker (that the poore man which is disposed, maye haue some thing to sett vp also) seke out and chose a tree, that is not roten, Ꟶ carue therout an ymage, that moueth not?
Isa.40.21	Knowe ye nothing o wretches? Hearde ye neuer of it? Hath it not bene preached vnto you sence the begynning? Haue ye not bene enfourmed of this, by the foundacyon of the earthe,
Isa.40.22	that he sytteth vpon the circle of the worlde, and that all the inhabitoures of the worlde are in comparyson of him, but as greshopers. That he spredeth out the heauens as a couerynge, that he stretched them out, as a tent to dwell in.
Isa.40.23	That he bringeth Princes to nothing, and the iudges of the earth to dust:
Isa.40.24	so that of them it may be sayde they be not planted nor sowen agayne, nether their stock roted agayne in the earth? For as soone as he bloweth vpon them, they wither Ꟶ fade awaye, like the straw in a whyrle winde.
Isa.40.25	To whom nowe will ye lyken me, Ꟶ whom shall I be lyke, sayeth the holy one?
Isa.40.26	Lyft vp your eyes on hye, Ꟶ consydre. who hath made those thinges, which come out by so great heapes? Ꟶ he can call them all by their names. For there is nothing hid vnto the greatnesse of hys power, strength, Ꟶ myght.
Isa.40.27	Howe may then Iacob thincke, or how may Israel saye: My wayes are hid from the Lorde, Ꟶ my God knoweth not of my iudgementes.
Isa.40.28	Knowest thou not, or hast thou not hearde, that the euerlastynge God, the Lorde which made all the corners of the earth, is nether weery nor faynt? and that his wysdome cannot be comprehended:
Isa.40.29	but that he geueth strength vnto the weery, and power vnto the faynte?
Isa.40.30	Children are weery and faynt, and the strongest men fall.
Isa.40.31	But vnto them that haue the Lord before theyr eyes, shall strength be encreased. Aegles wynges shall growe vpon them. When they runne they shall not fall: and when they go, they shall not be weery.
Isa.41.1	Be styll (ye Ilandes) and herken vnto me. Be stronge ye people, Come hyther, and shewe youre cause, we wyll go to the lawe together.
Isa.41.2	Who raysed vp the iust man from the rysinge of the Sunne, Ꟶ called him to go forth? Who cast downe the people, and subdued the kynges before him: that he maye throwe them all to the grounde with his swearde, and scatre them lyke stubble with his bowe?
Isa.41.3	He foloweth vpon them, and goeth safely him self. And that in a waye where before his fote had not troden.
Isa.41.4	Who hath made and created thes thinges? euen he that called the generacions from the begynnyng? Euen I the Lorde, which am the fyrst, and with the last.
Isa.41.5	The yles sawe it, Ꟶ did feare, and the endes of the earth, were abashed, drewe nye, Ꟶ cam hither.
Isa.41.6	Euery man exhorted hys neyghboure, Ꟶ brother, and bad him be stronge.
Isa.41.7	The carpenter comforted the goldsmyth, Ꟶ the goldsmyth the hammer man, saying: Glue wyll do very wel in it. It shalbe good, that we fasten this cast worke: Ꟶ then they fastened it with nayles, that it shulde not be moued,
Isa.41.8	But thou Israel art my seruaunte: thou Iacob art electe, thou art the sede of Abraham my beloued
Isa.41.9	thou art he whom I led from the endes of the earth by the hande. For I called the from farre euen from among the gloriouse men of it, Ꟶ sayd vnto the. Thou art my seruaunt. I haue chosen the, and not cast the awaye:
Isa.41.10	be not afrayed, for I am wt the. Melt not away as waxe, for I am thy God, to strength the, helpe the, Ꟶ to kepe the wt this ryght hande of myne.
Isa.41.11	Beholde, all they that resyst the shall come to confusyon Ꟶ shame: and thyne aduersaries shalbe destroyed Ꟶ brought to naught.
Isa.41.12	So that whoso seketh after them, shall not fynde them. Thy destroyers shall perysh, and so shall they that vndertake to make batayll agaynst the be as that is not, Ꟶ as a thinge of naught.
Isa.41.13	For I thy Lorde and God will strengthen thy ryght hand. Euen I that saye vnto the. Feare not. I wyll helpe the
Isa.41.14	Be not afrayde thou lytle worme Iacob, Ꟶ thou despysed Israel: for I wyll helpe the, sayeth the Lorde, and the holy one of Israel thyne auenger.
Isa.41.15	Beholde, I wyll make the a treading cart and a new flayle, that thou mayst thresshe and grinde the mountaynes, and brynge the hylles to poulder.
Isa.41.16	Thou shalt fanne them and the wynde shall carye them awaye, and the whirlwynde shall scater them. But thou shalt reioyse in the Lorde, and shalt delyte in praysinge the holy one of Israel.
Isa.41.17	When the thyrsty and poore seke water Ꟶ fynde none, and when theyr tonge is drye of thyrst. I geue it them sayth the Lorde. I the God of Israel forsake them not.
Isa.41.18	I brynge forth floudes in the hylles, and welles in the playne feldes. I turne the wyldernes to ryuers, and the drye lande to condyttes of water.
Isa.41.19	I plante in the waste grounde trees of Cedre, Boxe, Myrre and Oliues. And in the drye I set Fyrre trees, Elmes, Ꟶ Hawthornes together.
Isa.41.20	All this do I, that they altogether may se and marcke, perceaue with their hertes and consydre, that the hande of the Lord maketh these thynges, and that the holy one of Israel bryngeth them to passe.
Isa.41.21	Stande at youre cause (sayeth the Lorde) Ꟶ bringe forth youre strongest grounde, sayth the kynge of Iacob.
Isa.41.22	Let them bring forth their goddes, and let ther goddes tel vs what shall chaunse here after: yee, let them shewe vs the thynges that are past, what they be: let them declare them vnto vs that we maye take them to herte, and knowe them herafter.
Isa.41.23	Ether, shewe vs thynges for to come, Ꟶ tel vs what shalbe done herafter: so shall we knowe, that you are goddes do somthing, ether good or bad: so will we both knowledge the same: and tell it out.
Isa.41.24	Beholde, ye goddes are of naught, Ꟶ your makynge is of naught, yee abhominable is the man that hath chosen you.
Isa.41.25	Neuertheles, I haue waked vp one from the North, and he shall come. And another from the East, which shall call vpon my name, Ꟶ shall treade vpon princes as vpon claye, Ꟶ as the potter treadeth downe the myre.
Isa.41.26	Who declared this from the begynning, and we wyll knowe him. Or from the olde tymes, Ꟶ we will confesse, and saye that he is righteous. But there is none that sheweth or declareth eny thing, there is none also that heareth youre wordes.
Isa.41.27	The fyrst is he that shall saye to zyon, Beholde, beholde they are present, Ꟶ to Ierusalem it selfe will I geue an Euangeliste.
Isa.41.28	But when I consyder there is not a man amonge them, nor any that can geue counsell, nor that when I examen them that can answer one word.
Isa.41.29	Lo, wicked are they Ꟶ vayne, wt the thinges also that they take in hand: yee, their ymages are but wynde Ꟶ vayne thinges.
Isa.42.1	Beholde, this is my seruaunte vpon whom I leane, myne electe, In whom my soule is pacifyed. I haue geuen hym my sprete, that he maye shewe forth iudgement and equitye among the Gentiles.
Isa.42.2	He shall not be an outcrier, ner lyfte vp his voyce. His voyce shal not be hearde in the stretes.
Isa.42.3	And a brosed rede shall he not breake, and the smoking flaxe shall he not quench: but faythfully and truly shall be geue iudgement,
Isa.42.4	not be pensyue nor carefull, that he maye restore ryghteousnes vnto the earth, and the Gentyles also shal kepe his lawes.
Isa.42.5	For thus sayeth God the Lorde vnto hym (euen he that made the heauens, and spred them abrode, and set forth the earth wt her increase: which geueth breath vnto the people that is in it, and spirite to them that dwell therin)
Isa.42.6	I the Lord haue called the in ryghteousnes, and led the by the hande. Therfore wyll I also defende the, and geue the for a couenaunnt of the people, and to be the lyght of the Gentiles.
Isa.42.7	That thou mayest open the eyes of the blynde, let out the prisoners from ther bondes Ꟶ them that syt in darcknesse, out of the dongeon house.
Isa.42.8	Euen I am the Lorde, and this is my name: And my glory wyll I geue to none other, nether myne honoure to grauen ymages.
Isa.42.9	Beholde, olde thinges are come to passe, Ꟶ new thynges do I declare. And or euer they come, I tell you of them.
Isa.42.10	Synge vnto the Lorde, a newe songe of thanckesgeuinge, blowe out his prayse from the ende of the worlde. They that be vpon the see, and all that is therin, prayse hym, the Iles and they that dwell in them.
Isa.42.11	Let the wyldernes with the cyties lifte vp her voyce, the townes also that they of Cedar dwell in. Lett them be glad that syt vpon rockes of stone, and let them crye downe from the hye mountaynes:
Isa.42.12	ascrybynge glorye vnto the Lorde, and magnifyinge hym amonge the Gentyles.
Isa.42.13	The Lorde shall come forth as a gyaunte, and take a stomack to him lyke as a fresh man of warre. He shall roare Ꟶ crie, Ꟶ ouercome his enemies.
Isa.42.14	I haue longe holden my peace (sayeth the Lorde) I haue bene styll and refrayned my selfe, but nowe I wyll crye lyke a trauelynge woman, Ꟶ at once wyll I destroye, and deuoure.
Isa.42.15	I will make wayste both mountayne and hill, Ꟶ drye vp euery grene thing that groweth theron. I will drye vp the floudes of water, and drincke vp the ryuers.
Isa.42.16	I wyll bring the blinde into a strete, that they knowe not. and lede them into a fote path, that they are ignoraunt in. I shall make darcknesse lyght before them, and the thynge that is croked to be streyght. These thinges haue I done vnto them, and not forsaken them:
Isa.42.17	They are fallen backe yee, and let them be ashamed earnestly, that hope in Idoles, Ꟶ saye to fashyoned ymages: ye are oure goddes.
Isa.42.18	Heare, O ye deafe men, and sharpen youre syghtes to se (O ye blinde.)
Isa.42.19	Who is blinde, but my seruaunt? Or so deafe, as my messaunger, whom I sent vnto them? For who is so blynde (faye they) as the perfecte man and so blynde as the Lordes seruaunte?
Isa.42.20	Thou vnderstondest moch, and kepest nothynge: the eares are open, Ꟶ no man heareth.
Isa.42.21	The Lorde is mercyfull vnto them for his ryghteousnesse sake: that his worde myght be magnifyed and praysed.
Isa.42.22	But the people them selues is robbed and troden vnder the fote chayned in dongeons and they all (I saye) be shut into preson houses. They be caryed awaye captiue and no man doth lowse them: They be troden vnder fote, and no man doth laboure to bring them agayne.
Isa.42.23	But who is he amonge you, that pondreth this, that consydreth it, Ꟶ taketh it for a warnynge in tyme to come?
Isa.42.24	Who suffred Iacob to be troaden vnder fote, and Israel to be spoyled? Dyd not the Lord? Because we haue synned agaynst him Ꟶ haue had no delyte to walke in his wayes, nether bene obedient vnto his lawe.
Isa.42.25	Therfore hath he poured vpon hym hys wrathfull displeasure, and stronge battayll, which fyreth hym on euery syde, yet wyll he not vnderstande. He burneth hym vp, yet syncketh it not into hys herte.
Isa.43.1	But nowe, the Lorde that made the O Iacob, and he that fashyoned the: O Israel, sayeth thus: Feare not, for I haue redemed the. I haue called the by name: thou art myne awne.
Isa.43.2	Yf thou goest thorow the water, I wilbe with the, that the stronge floudes shulde not pluck the awaye. And yf thou walckest thorowe the fyre, it shall not burne the, and the flame shall not kyndle vpon the.
Isa.43.3	For I am the Lord thy God the holy one of Israel, thy Sauioure. I gaue Egypte for thy deliueraunce, the Morians Ꟶ the Sabees for the:
Isa.43.4	because thou wast deare in my syght, and because I set by the, and loued the. I wyll geue ouer all men for the, and delyuer vp all people for thy sake,
Isa.43.5	feare not: for I am with the. I wyll bringe thy sede from the East, and gather the together from the west.
Isa.43.6	I wyll saye to the North, lett go. And to the South, kepe not backe: but bring me my sonnes from farre, and my daughters from the endes of the worlde.
Isa.43.7	Namely, all those that be called after my name. For them haue I created, fashyoned, Ꟶ made for myne honour.
Isa.43.8	Bringe forth that people, which is blinde Ꟶ yet hath eyes, which are deafe although they haue eares.
Isa.43.9	If all nacions come in one and be gathered together, which amonge them shall declare soche thynges, and tell vs what is to come? Let them brynge theyr witnesse so shall they be fre: els, let them heare, and saye, it is truth.
