Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.30.23	Beholde, on the other syde shall the wrath of the Lorde breake out as a stormy water as a mighty whirle winde: and shall fall vpon the heades of the vngodly.
Jer.30.24	The terrible displeasure of the Lorde shall not leaue of, vntyll he haue done, and perfourmed the intent of hys herte, which in the latter dayes ye shall vnderstande.
Jer.31.1	At the same tyme, sayth the Lord, shall I be the God of all the generatyons of Israel, and they shalbe my people.
Jer.31.2	Thus sayeth the Lorde: The people of Israel, which escaped in the wildernesse from the swearde, founde grace to come into theyr rest.
Jer.31.3	Euen so shall the Lorde now also apeare vnto me from farre, and saye: I loue the with an euerlasting loue, therfore, by my mercye I haue drawen the to me.
Jer.31.4	I will repayre the agayne, O thou daughter of Israel, that thou mayest be fast and sure. Thou shalt take thy tabrettes agayne, and go forth with them, that leade the daunce.
Jer.31.5	Thou shalt plante vynes agayne vpon the hylles of Samaria, and the grape gatherers shall plante, and commenly eate of it.
Jer.31.6	For the dayes shall come when the watchemen vpon the mount of Ephraim shall crye: aryse, let vs go vp vnto Sion to our Lorde God,
Jer.31.7	for thus sayth the Lorde: Reioyce with gladnes because of Iacob, crie vnto the head of the Gentils: speake out, syng, and saye: O Lorde saue thy people, the remnaunt of Israel, and make them whole.
Jer.31.8	Beholde, I wyll bringe them agayne from out of the north lande, and gather them from the endes of the worlde, with the blynde and lame that are amonge them, with the wemen that be great with chylde, and soch as be also delyuered: and the company of them that come agayne, shalbe greate.
Jer.31.9	They shall come weping and with mercyfull pitye wyll I bring them hyther agayn. I wyll leade them to the ryuers of water in a strayght waye, where they shall not stomble. For I am Israels father, Ꟶ Ephraim is my fyrst borne.
Jer.31.10	Heare the worde of the Lorde, O ye Gentiles, preach in the yles, that lye farre of, and saye: he that hath scatered Israel, shall gather hym together agayne, Ꟶ shall kepe hym as a shepherde doth his flocke.
Jer.31.11	For the Lord hath redemed Iacob, and ryd hym from the hande of the violent.
Jer.31.12	And they shall come, Ꟶ reioyce vpon the hyll of Sion, and shall haue plenteousnes of goodes, which the Lorde shall geue them. Namely, wheate, wyne, oyle, yonge shepe Ꟶ calues. And theyr conscience shalbe as a well watred garden, for they shall nomore be hongrye.
Jer.31.13	Then shall the mayde reioyce in the daunce, yee, both yonge and olde folkes. For I wyll turne their sorowe into gladnesse, and wyll conforte them from theyr sorowes and make them ioyfull.
Jer.31.14	I wyll powre plenteousnesse vpon the hertes of the prestes, and my people shalbe satisfyed with my goodnesse, sayth the Lord
Jer.31.15	Thus sayth the Lorde: The voyce of heuynes, weping and lamentation was heard on hye: euen of Rachel mournyng for her children, and wolde not be conforted, because they were awaye.
Jer.31.16	But nowe, sayth the Lorde, leaue of from wepynge and crienge, witholde thyne eyes from teares, for thy laboure shalbe rewarded, sayth the Lorde. And they shall come agayne out of the lande of their enemies:
Jer.31.17	Yee, euen thy posterite shall haue consolation in this, sayth the Lorde, that thy chyldren shall come agayne into their awne lande.
Jer.31.18	Moreouer, I heard Ephraim, that was led awaye captiue, complayne on this maner: O Lorde, thou hast correct me, Ꟶ thy chastenynge haue I receaued, as an vntamed calfe. Conuerte thou me, and I shalbe conuerted: for thou art my Lorde God:
Jer.31.19	Yee, assone as thou turnest me, I shall refourme my selfe: and when I vnderstande, I shall smyte vpon my thyghe. For verely I haue commytted shamefull thinges. For I haue borne the reprofe and confusion of my youth.
Jer.31.20	Upon this complaynte, I thought thus by my selfe: is not Ephraim my deare sonne? Is he not the childe, with whom I haue had all myrth and pastyme? For sens the time that I first commened with hym, I haue him euer in remembraunce: therfore, my very hert dryueth me vnto him, gladly and louynglye wyll I haue mercy vpon him, sayth the Lord.
Jer.31.21	Get the watchmen, prouyde teachers for the, set thyne hert vpon the ryght waye, that thou shuldest walke, and turne agayn, O thou daughter of Israel, turne agayne to these cityes of thyne.
Jer.31.22	Howe longe wilt thou go astraye, O thou shrynking daughter? For the Lord wyll worke a newe thing vpon earth. A woman shall compasse a man.
Jer.31.23	For thus sayth the Lorde of hoostes the God of Israel: It wyll come therto, that when I haue brought Iuda out of captiuite, these wordes shalbe heard in the lande and in hys cityes. The Lorde, which is the fayre brydegrome of ryghteousnes, make the frutefull, O thou holy hyll.
Jer.31.24	And there shall dwell Iuda, and all her cityes, the shepherdes, and husbandemen.
Jer.31.25	For I shall fede the hongrye soule, and refresh all faynte hertes.
Jer.31.26	When I hearde thys, I came agayne to my selfe, I mused, lyke as I had bene waked oute of a swete slepe.
Jer.31.27	Beholde, sayth the Lorde, the dayes come, that I wyll sowe the house of Israel, Ꟶ the house of Iuda, with men and with catell.
Jer.31.28	Yee, it shall come therto, that lyke as I haue gone about in tymes past to rote them out, to scatre them, to breake them downe, to destroye them, and chasten them. Euen so wyll I also go diligently aboute, to buylde them vp agayne, Ꟶ to plante them, sayth the Lorde.
Jer.31.29	Then shall it nomore be sayde: the fathers haue eaten a sower grape, and the chyldrens teeth are set on edge:
Jer.31.30	for euery one shall dye for hys awne mysdede, so that whoso eateth a sowre grape, hys teeth shalbe set on edge.
Jer.31.31	Beholde, the dayes come, sayth the Lorde, that I wyll make a newe couenaunt wt the house of Israel, and wt the house of Iuda:
Jer.31.32	not after the couenaunt that I made wt their fathers, when I toke them by the hande: and led them out of the lande of Egypt: which couenaunt they bracke: yee, euen when I as an husbande had rule ouer them, sayeth the Lorde.
Jer.31.33	But this shalbe the couenaunt that I wyll make with the house of Israel after those dayes, sayth the Lorde. I will plante my lawe in the inward partes of them, and wryte it in their hertes, Ꟶ wilbe their God, and they shalbe my people.
Jer.31.34	And from thens forth, shall no man teach his neyghbour or his brother, Ꟶ saye: knowe the Lorde. But they shall all knowe me from the lowest vnto the hyest, sayth the Lorde. For I will forgeue their mysdedes, and will neuer remembre their synnes eny more.
Jer.31.35	Thus sayth the Lorde, which gaue the sunne to be a lyght for the daye, and the moone and starres to shyne in the night: which moueth the see, so that the floudes therof waxe fearce: his name is the Lorde of hoostes.
Jer.31.36	Like as this ordinaunce shall neuer be taken oute of my syght, sayth the Lorde. So shall the sede of Israel neuer ceasse, but allwaye be a people before me.
Jer.31.37	Moreouer, thus sayth the Lorde: lyke as the heauen aboue cannot be measured, Ꟶ as the foundacions of the earth beneth maye not be sought out. So wyll I also not cast out the whole seede of Israel, for that they haue commytted, sayeth the Lorde.
Jer.31.38	Beholde, the dayes come, sayth the Lord, that the citye of the Lorde shalbe enlarged from the towre of Hananeel, vnto the gate of the corner wall:
Jer.31.39	From thens shall the ryght measure be taken before her vnto the hyll toppe of Gareb, Ꟶ shal come about Gaath,
Jer.31.40	and the whole valley of the deed carkases, and of the ashes, and all the feldes vnto the broke of Cedron: and vnto the corner of the horsgate towarde the east, where as the sanctuary of the Lorde also shalbe set. And when it is nowe buylded, and set vp of thys fasshyon, it shall neuer be be broken, nor cast downe any more.
Jer.32.1	These wordes spake the Lorde vnto Ieremy, in the .x. yeare of zedekiah king of Iuda: which was the .xviij. yeare of Nabuchodonosor,
Jer.32.2	what tyme as the kyng of Babylons hoost layed seage vnto Ierusalem. But Ieremy the prophet laye bounde in the courte of the preson, which was in the king of Iudas house:
Jer.32.3	where zedekiah the kyng of Iuda caused hym to be layed, because he had prophecyed of this maner: Thus sayeth the Lorde: Beholde, I wyll delyuer this citye into the handes of the kyng of Babilon, which shall take it.
Jer.32.4	As for zedekiah the kynge of Iuda: he shall not be able to escape the Chaldees: but surely he shall come into the handes of the kyng of Babylon: which shall speake wt him mouth to mouth: and one of them shall loke another in the face.
Jer.32.5	And zedekiah shalbe caryed vnto Babylon, and there shall he be, vntyll the tyme that I viset hym, sayth the Lorde. But yf thou takest in hande to fyght agaynst the Chaldees, thou shalt not prospere.
Jer.32.6	And Ieremy sayde: thus hath the Lorde spoken vnto me:
Jer.32.7	Behold, Hananeel the sonne of Selum thyne vncles sonne, shall come vnto the, and requyre the to redeme the lande that lyeth in Anathoth vnto thy selfe: for by reason of kynred it is thy right to redeme it, and to bye it out.
Jer.32.8	And Hananeel myne vncles sonne came to me in the court of the preson, accordynge to the worde of the Lorde, and sayde vnto me: Bye my lande, I praye the, that lieth in Anathoth in the contrey of Beniamin: for by heritage thou haste ryght to loose it oute for thy selfe, therfore redeme it. Then I perceaued that thys was the commaundement of the Lorde,
Jer.32.9	and so I bought the lande from Hananeel of Anathoth, myne vncles sonne, and weied him there the moneye: euen seuen syckles and ten syluer pence.
Jer.32.10	I caused hym also to make me a writing and to seale it: and called recorde therby, and weyed hym there the money vpon the wayghtes.
Jer.32.11	So I toke the euidence with the copye, when it was orderlye sealed and redde ouer,
Jer.32.12	and I gaue the euidence vnto Baruch the sonne of Neriah the sonne of Maasiah in the syght of Hananeel my cosyne, and in the presence of the witnesses, that be named in the euidence: and before all the Iewes that were therby in the courte of the preson:
Jer.32.13	I charged Baruch also before them sayinge:
Jer.32.14	The Lord of hostes the God of Israel commaundeth the, to take thys sealed euydence with the copie: and to laye it in an earthen vessell, that it maye longe continue.
Jer.32.15	For the Lorde of hoostes the God of Israel hath determyned that houses, feldes, and vyneyardes shalbe possessed agayne in this lande.
Jer.32.16	Now when I had deliuered the euidence vnto Baruch the sonne of Neriah, I besought the Lorde, saying:
Jer.32.17	O Lord God, it is thou that hast made heauen and earth with thy greate power and hie arme, and there is nothyng hyd from the.
Jer.32.18	Thou shewest mercy vpon thousandes, thou recompencest the wickednes of the fathers, into the bosome of the children that come after them.
Jer.32.19	Thou art the greate and mightye God, whose name is the Lorde of hoostes: greate in councell, and excellent in worcke. Thyne eyes loke vpon all the wayes of mens chyldren, to reward euery one after his waye: Ꟶ according to the frutes of his inuencions.
Jer.32.20	Thou haste done greate tokens and wonders in the lande of Egypte, as we se thys daye, vpon the people of Israel and vpon those men: to make thy name greate, as it is come to passe thys daye.
Jer.32.21	Thou hast brought thy people of Israel oute of the land of Egipt, with tokens, with wonders, with a myghtye hande, with a stretched out arme and wt greate terriblenes:
Jer.32.22	and hast geuen them this lande, lyke as thou haddest promysed vnto their fathers. Namely, that thou woldest geue them a lande, that floweth with mylke and honye.
Jer.32.23	Nowe when they came therin, and possessed it, they folowed nott thy voyce, and walcked not in thy lawe, but all that thou commaundedest them to do, that haue they not done, and therfore come all these plages vpon them.
Jer.32.24	Beholde, there are bullworckes made now agaynst the citye, to take it: and it shalbe wonne of the Chaldees that besege it, with swearde, with honger and death, and looke what thou hast spoken, that same shall come vpon them. For lo, all thynges are present vnto the.
Jer.32.25	Yet (saist thou vnto me, O Lorde God) and commaundest me, that I shall loose a pece of lande vnto my selfe, and take witnesses therto: and yet in the meane season the citye is delyuered into the power of the Chaldees.
Jer.32.26	Then came the worde of the Lorde vnto me, sayinge:
Jer.32.27	Beholde, I am the Lorde God of all fleshe, is there eny thynge then to hard for me?
Jer.32.28	Therfore thus saith the Lorde: beholde, I shall delyuer thys citye into the power of the Chaldees, and into the power of Nabuchodonosor the kynge of Babylon, they shall take it in.
Jer.32.29	For the Chaldees shall come, and wynne thys citye, and sett fyer vpon it, and burne it: with the gorgeouse houses, in whose parlers they haue made sacrifyce vnto Baal, and powred drynckofferynges vnto straunge Goddes, to prouoke me vnto wrath.
Jer.32.30	For seyng the chyldren of Israel, and the children of Iuda haue wrought wickednes before me euer from theyr youth vp, what haue they els done, but prouoked me wt the workes of their awne handes? sayth the Lorde.
Jer.32.31	Or, what hath this citye bene elles but a prouoking of my wrath, euer sence the daye that they buylded it, vnto thys houre wherin I cast it out of my sight,
Jer.32.32	because of the great blasphemyes of the children of Israel Ꟶ Iuda, which they haue done to prouoke me: yee, they, their kynges, their prynces, their prestes, their prophetes, the men of Iuda, and the cytesyns of Ierusalem.
Jer.32.33	When I stode vp early, and taught them and instructed them, they turned their backes to me, and not theyr faces.
Jer.32.34	They wolde not heare, to be refourmed and correct: but set their ydols in the house, that is halowed vnto my name, to defyle it.
Jer.32.35	They haue builded hye places for Baal in the valley of the chyldren of Hennom, to vowe theyr sonnes and daughters vnto Moloch: which I neuer commaunded them: nether came it euer in my thoughte, to make Iuda synne with soch abhominatyon.
Jer.32.36	And nowe therfore, thus hath the Lorde God of Israel spoken, concernynge this cytie, which (as ye youre selues confesse) shalbe delyuered into the hande of the kynge of Babylon, when it is wonne with the swearde, with honger and with pestilence.
Jer.32.37	Beholde, I will gather them together from all landes, wherin I haue scatered them in my wrath in my fearfull and great displeasure: and wyll bring them agayne vnto thys place, where they shall dwell safely.
Jer.32.38	And they shalbe my people, and I wilbe their God.
Jer.32.39	And I wyll geue them one hert and one waye, that they maye feare me all the daies of their lyfe, that they and their chyldren after them maye prospere.
Jer.32.40	And I wyll sett vp an euerlastyng couenaunt with them. Namelye, that I wyll neuer ceasse to do them good, and that I wyll put my feare in their hertes, so that they shall not runne awaye from me.
Jer.32.41	Yee, I will haue a lust and pleasure to do them good, and faythfully to plante them in this lande with my whole hert and with all my soule.
Jer.32.42	For thus sayth the Lorde: lyke as I haue brought all this great plage vpon this people, euen so wyll I also bring vpon them all the good, that I haue promised them.
Jer.32.43	And men shall haue their possessions in this lande, wherof ye saye nowe, that it shall nether be inhabited of people ner of catell: but be deliuered into the handes of the Chaldees.
Jer.32.44	Yee, lande shalbe bought for money, Ꟶ euidences made therupon, and sealed before witnesses in the countrey of Beniamin, and rounde aboute Ierusalem, in the cities of Iuda, in the cities that are vpon the mountaynes, and in them that lye beneth: yee, and in the cityes that are in the south. For I wyll brynge their presoners hither agayne, sayth the Lorde.
Jer.33.1	Moreouer, the worde of the Lorde came vnto Ieremy on thys maner, when he was yet bound in the court of the preson.
Jer.33.2	Thus sayth the Lorde, which fulfilleth the thing that he speaketh: the Lorde which perfourmeth the thing that he taketh in hand: euen he, whose name is the Lorde:
Jer.33.3	crye vnto me, Ꟶ I wyll answere, and shewe the great and hye thinges, which were vnknowen vnto the.
Jer.33.4	Thus (I saye) spake the Lorde God of Israel, concerninge the houses of thys citye, and the houses of the kinges of Iuda, that they are broken thorowe the ordinaunce and the sweard.
Jer.33.5	Because the enhabitours of this citie haue come to fight against the Chaldees: and they are fylled with the deed karcases of men, whom I haue sleyne in my wrath and displeasure: when I turned my face from thys citye, because of all her wickednes.
Jer.33.6	Behold, sayth the Lord, I wyll repayre Ꟶ heale their woundes, and make them whole: I will open them the large treasure of peace and trueth.
Jer.33.7	And I will returne the captiuytie of Iuda and Israel: and wyll set them vp agayne as they were afore.
Jer.33.8	From all mysdedes, wherin they haue offended agenst me, I will clense them. And all their blasphemyes which they haue done agaynst me, when they regarded me not, I will forgeue them.
Jer.33.9	And thys shall get me a name, a prayse, Ꟶ honoure among all the people of the earth, which shall heare all the good, that I wyll shewe vnto them: yee, they shall be afrayed and astonyed at all the good dedes and benefytes that I wyll do for them.
Jer.33.10	Moreouer, thus sayth the Lorde: In this place, wherof ye saye that it shalbe a wyldernes, wherin nether people ner catell shall dwell: in like maner in the cityes of Iuda Ꟶ without Ierusalem (which also shalbe so voyde, that nether people ner catell shall dwell there)
Jer.33.11	shall the voyce of gladnes be hearde agayne, the voyce of the brydegrome Ꟶ of the bryde, the voyce of them that shall singe: Prayse the Lorde of hoostes, for he is louynge and hys mercy endureth for euer: and the voyce of them that shall offer vp giftes in the house of the Lorde. For I will restore the captiuitie of this lande, as it was afore, sayth the Lorde.
Jer.33.12	Thus sayeth the Lorde of hoostes: It shall come yet therto, that in thys lande, which is voyde from men and catell, and in all the cityes of the lande, there shalbe set vp shepherdes cotages:
Jer.33.13	in the cityes vpon the mountaynes: and in the cyties that lye vpon the playne, and in the cyties of the southe. In the lande of BenIamin, in the feldes of Ierusalem, and in the cyties of Iuda shall the shepe be nombred agayne, vnder the hande of hym, that telleth them, sayeth the Lord
Jer.33.14	Beholde, the tyme commeth, sayeth the Lorde, that I will perfourme that good thynge, which I haue promised vnto the house of Israel and to the house of Iuda.
Jer.33.15	In those dayes and at the same tyme, I wyll bring forth vnto Dauid, the braunche of ryghtuousnes, Ꟶ he shall do equytie Ꟶ righteousnesse in the lande.
Jer.33.16	In those dayes shall Iuda be helped and Ierusalem shall dwell safe, and he that shall call her is euen God oure ryghteousnesse.
Jer.33.17	For thus the Lorde promyseth. Dauid shall neuer want one, to syt vpon the throne of the house of Israel:
Jer.33.18	nether shall the prestes and Leuites want one to offre allwaye before me burntofferinges, to kyndle the meatofferynges, and to prepare the sacrifyces.
Jer.33.19	And the worde of the Lord came vnto Ieremy after this maner.
Jer.33.20	Thus sayeth the Lord: maye the couenaunt which I haue made wt daye and nyght be broken, that there shulde not be daye and nyght in due season?
Jer.33.21	Then maye my couenaunt also be broken, which I made wt Dauid my seruaunte, and so he not to haue a sonne to reygne in hys throne. so shall also the prestes Ꟶ Leuites neuer fayle, but serue me.
Jer.33.22	For lyke as the starres of heauen maye not be nombred, nether the sande of the see measured: so wyll I multiplye the sede of Dauid my seruaunt, Ꟶ the Leuites my ministers.
Jer.33.23	Moreouer, the worde of the Lorde came to Ieremy, saying:
Jer.33.24	Consydrest thou not what this people speaketh? Two kynreddes (saye they) had the Lorde chosen, Ꟶ those same two hath he cast awaye. For so they haue despised my people Ꟶ they reputed them as though they were no people,
Jer.33.25	Therfore thus saieth the Lorde: If I haue made no couenaunt with daye Ꟶ nyght, Ꟶ geuen no statute vnto heauen Ꟶ earth:
Jer.33.26	then will I also cast awaye the sede of Iacob Ꟶ Dauid my seruaunt: so that I will take no prince out of his sede, to rule the posteritie of Abraham, Isaac Ꟶ Iacob. But yet I wil turne agayne their captiuitie, Ꟶ be mercyfull vnto them.
Jer.34.1	These are the wordes which the Lord spake vnto Ieremy what tyme as Nabuchodonosor the kynge of Babylon, Ꟶ all his Hostes (out of all the kingdomes that were vnder his power) Ꟶ all hys people, fought agaynst Ierusalem and all the cyties therof.
Jer.34.2	Thus sayeth the Lorde God of Israel: Goo, Ꟶ speake to zedekiah the kynge of Iuda, and tell hym. The Lorde sendeth the thys worde: Beholde, I wyll delyuer thys cytie into the hande of the kyng of Babylon, he shall burne it,
Jer.34.3	and thou shalt not escape hys handes, but shalt be led awaye presoner, and deliuered into his power. Thou shalt loke the kynge of Babylon in the face, and he shal speake with the, mouth to mouth and then shalt thou goo to Babilon.
Jer.34.4	Yet heare the worde of the Lorde, O zedekiah thou kynge of Iuda: Thus sayeth the Lorde vnto the. Thou shalt not be slayne with the swearde,
Jer.34.5	but shalt dye in peace. Lyke as thy fore fathers the kynges, thy progenitours, were brente: so shalt thou be brent also, and in thy mourninge they shall saye: oh Lord. For thus haue I determyned, sayeth the Lorde.
Jer.34.6	Then spake Ieremy the prophet all these wordes vnto zedekiah kynge of Iuda in Ierusalem:
Jer.34.7	what tyme as the kynge of Babylons hooste beseged Ierusalem, and the remnaunt of the cyties. Namely, Lachis and Azecach, which yet remayned of the stronge defensed cyties of Iuda.
Jer.34.8	These are the wordes that the Lord spake vnto Ieremy the prophete, when zedekiah was agreed with all the people at Ierusalem, that there shulde be proclamed a libertie:
Jer.34.9	so that euery man shuld let his seruaunt Ꟶ handmayde go fre, Hebrue and Hebruesse, and no Iewe to holde hys brother as a bonde man.
Jer.34.10	Nowe as they had consented, all the princes and all the people which had gathered vnto this agrement that euery man shulde set at lybertie his bonde seruaunte and bonde woman and no longer to holde them bonde euen so they were obedient, Ꟶ let them go free.
Jer.34.11	But afterwarde they repented, and toke agayne the seruauntes and hande maydens, whom they had lett go free, and so made them bonde againe.
Jer.34.12	For the which cause the worde of the Lorde came vnto Ieremye from the Lorde hym selfe, sayinge:
Jer.34.13	Thus sayeth the Lord God of Israel: I made a couenaunt with youre fathers, when I brought them out of Egypt, (that they shulde no more be bondmen) sayinge.
Jer.34.14	When seuen yeares are oute, euery man shall let hys bought seruaunte an Hebrue go fre, yf he haue serued hym syxe yeares. But youre fathers obeyed me not Ꟶ herkened not vnto me.
Jer.34.15	As for you, ye were nowe turned, Ꟶ did right before me, in that ye proclamed, eueryman to let his neighboure go free, and in that ye made a couenaunt before me, in the temple that beareth my name.
Jer.34.16	But yet ye haue turned youre selues agayne, and blasphemed my name. In this, that euery man hath requyred his seruaunt Ꟶ handmayden agayne, whom ye had let go quyte and fre, Ꟶ compelled them to serue you agayne, and to be youre bonde men, and bondwemen.
Jer.34.17	And therfore thus sayeth the Lorde: ye haue not obeyed me, euery man to proclame fredome vnto his brother Ꟶ neyghboure: wherfore, I wyll call you vnto a fredome, sayeth the Lord: euen vnto the swearde, to the pestilence, Ꟶ to honger, Ꟶ will make you to be plaged in all the kyngdomes of the earth.
Jer.34.18	Yee, those men that haue broken my couenaunt, Ꟶ not kepte the wordes of the appoyntement, which they made before me: when they hewed the calfe in two, Ꟶ when there wente thorowe the two halfes therof:
Jer.34.19	The Prynces of Iuda, the Princes of Ierusalem, the gelded men, the Prestes and all the people of the lande, which wente thorowe the two sydes of the calfe.
Jer.34.20	Those men wyll I geue into the power of theyr enemies, Ꟶ into the handes of them that folowe vpon theyr lyues. And their deed bodies shalbe meate for the foules of the ayre, Ꟶ beastes of the felde.
Jer.34.21	As for zedekiah the kynge of Iuda and hys Prynces, I wyll delyuer them into the power of their enemyes, and of them that desyre to slaye them, and into the hande of the kynge of Babylons hoste which nowe is departed from you:
Jer.34.22	But thorow my commaundement (sayeth the Lorde) they shal come agayne before thys cytye, they shall fyght agaynst it, wynne it, and burne it: Moreouer, I wyll laye the cyties of Iuda so waste, that no man shall dwell therin.
Jer.35.1	The wordes whyche the Lorde spake vnto Ieremy, in the raynge of Iehoakim the sonne of Iosiah kyng of Iuda, are these:
Jer.35.2	Go vnto the house of the Rechabites, Ꟶ call them out, and bringe them to the house of the Lorde into some commodyous place, and geue then wyne to dryncke.
Jer.35.3	Then toke I Iazaniah the sonne of Ieremy the sonne of Habaziniah, and his brethren, Ꟶ all his sonnes, and the whole housholde of the Rechabytes:
Jer.35.4	and brought them to the house of the Lorde into the closet of the chyldren of Hanan the sonne of Iegedaliah the man of God: which was by the closet of the Princes that is aboue the closet of Maasiah the sonne of Selum, which is the treasurer.
Jer.35.5	And before the sonnes of the kynred of the Rechabytes, I set pottes full of wyne, and cuppes, Ꟶ sayde vnto them: Drincke wyne.
Jer.35.6	But they sayde: we wyll dryncke no wyne for Ionadab the sonne of Rechab oure father commaunded vs, saying: ye and youre sonnes shall neuer dryncke wyne buylde no houses, sowe no sede, plante no vynes,
Jer.35.7	yee, ye shal haue no vineyardes: but for all youre tyme ye shall dwell in tentes, that ye maye lyue longe in the lande wherin ye be straungers.
Jer.35.8	Thus haue we obeyed the commaundement of Ionadab the sonne of Rechab oure father in all that he hath charged vs, Ꟶ so we drynke no wyne all oure lyfe longe: we, nor oure wyues, our sonnes and oure daughters.
Jer.35.9	Nether builde we any house to dwell therin, we haue also amonge vs nether vineyardes, ner cornelande to sowe:
Jer.35.10	but we dwell in tentes, we obeye, and do accordynge vnto all, that Ionadab oure father commaunded vs.
Jer.35.11	But now that Nabuchodonosor the king of Babylon came vp into the lande, we sayde, come, lett vs go to Ierusalem, that we maye escape the hooste of the Caldees and the Assyrians: and so we dwell now at Ierusalem.
Jer.35.12	Then came the worde of the Lorde vnto Ieremy saying.
Jer.35.13	Thus sayeth the Lord of hoostes the God of Israel: Go and tell the men of Iuda and the inhabitours of Ierusalem: Will ye not be refourmed, to obey my wordes saieth the Lorde?
Jer.35.14	The wordes which Ionadab the sonne of Rechab commaunded his sonnes, that they shulde drynke no wyne, are fast and surely kept: for vnto thys daye they dryncke no wyne, but obeye their fathers commaundement. But as for me, I haue stand vp early, I haue spoken vnto you, Ꟶ geuen you earnest warnynge: Ꟶ yet haue ye not bene obedient vnto me.
Jer.35.15	Yee, I haue sent my seruauntes, all the prophetes vnto you, I rose vp early, Ꟶ sent you worde, sayinge: O turne you, nowe euery man from his wycked waye: amende youre lyues, and go not after straunge goddes, to worshyppe them: that ye maye continue in the lande, which I haue geuen vnto you Ꟶ youre fathers, but ye wolde nether heare me, ner folowe me.
Jer.35.16	The chyldren of Ionadab Rechabs sonne haue stedfastly kepte their fathers commaundement, that he gaue them, but this people is not obedient vnto me.
Jer.35.17	And therfore thus sayeth the Lorde of hoostes the God of Israel: Beholde, I will bringe vpon Iuda Ꟶ vpon euery one that dwelleth in Ierusalem, all the trouble that I haue deuysed agaynst them. For I haue spoken vnto them, but they wold not folowe. I haue called vnto them, neuertheles they wold geue me no answere.
Jer.35.18	Ieremy also spake vnto the housholde of the Rechabites: Thus sayeth the Lord of Hostes the God of Israell: For so moche as ye haue obeyed the commaundement of Ionadab youre father, and kepte all hys preceptes, and done accordyng vnto all that he hath bydden you:
Jer.35.19	Therfore thus sayeth the Lorde of Hostes, the God of Israel: Ionadab the sonne of Rechab shall not fayle, but haue one out of his stocke to stande alwaye before me.
Jer.36.1	In the fourth yeare of Iehoakim the sonne of Iosiah Kynge of Iuda, came the worde of the Lord vnto Ieremy, sayinge.
Jer.36.2	Take a boke, and wryte therin all the wordes, that I haue spoken to the, agaynst Israel agaynst Iuda, and agaynst all the people, from the tyme that I beganne for to speake vnto the (in the raygne of Iosiah) vnto thys daye.
Jer.36.3	That when the house of Iuda heareth of the plage, which I haue deuysed for them, they maye peraduenture turne, euery man from hys wycked waye, that I maye forgeue theyr offences and synnes.
Jer.36.4	Then dyd Ieremy call Baruch the sonne of Neriah, and Baruch wrote in the boke at the mouth of Ieremy, all the wordes of the Lorde, which he had spoken vnto hym.
Jer.36.5	And Ieremy commaunded Baruch, sayinge: I am in preson, so that I maye not come into the house of the Lorde:
Jer.36.6	therfore go thou thyther, and reade the boke, that thou hast wryten at my mouth: Namely, the wordes of the Lord and rede them in the Lordes house vpon the fastynge daye, that the people, whole Iuda, and all they that come out of the cities, maye heare.
Jer.36.7	Peraduenture they wyll praye mekely before the face of the Lorde, Ꟶ turne euery one from hys wycked waye. For greate is the wrath and displeasure, that the Lorde hath taken agaynst this people:
Jer.36.8	So Baruch the sonne of Neriah dyd, accordinge vnto all that Ieremy the Prophete commaunded him, readinge the wordes of the Lorde out of the boke in the Lordes house.
Jer.36.9	And this was done in the fyft yeare of Iehoakim the sonne of Iosiah kynge of Iuda, in the .ix. moneth when it was commaunded, that all the people of Ierusalem shulde fast before the Lord, and they also that were come from the cyties of Iuda vnto Ierusalem.
Jer.36.10	Then redde Baruch the wordes of Ieremy out of the boke with in the house of the Lord out of the treasury of Gamariah the sonne of Saphan the Scribe, which is besyde the hyer lofte of the newe dore of the Lordes house: that all the people myght heare.
Jer.36.11	Nowe when Micheah the sonne of Gamariah the sonne of Saphan had hearde all the wordes of the Lorde out of the boke,
Jer.36.12	he wente downe to the kynges palace into the Scrybes chambres, for there all the Prynces were set. Elysama the Scribe, Dalaiah the sonne of Semei, Elnathan the sonne of Achbor, Gamariah the sonne of Saphan, zedekiah the sonne of Hananiah, with all the Prynces.
Jer.36.13	And Micheah tolde them all the wordes, that he hearde Baruch reade out of the boke before the people.
Jer.36.14	Then all the princes sent Iehudi the sonne of Nathaniah, the sonne of Selamiah, the sonne of Chusi, vnto Baruch, saying. Take in thyne hande the boke, wherout thou hast red before all the people, and come. So Baruch the sonne of Neriah toke the boke in his hande, Ꟶ came vnto them.
Jer.36.15	And they sayd vnto him. Syt downe, Ꟶ rede the boke that we maye heare also. So Baruch redd that they might here.
Jer.36.16	Nowe when they had hearde all the wordes, they were abashed one vpon another, and sayde vnto Baruch. We wyll certifye the kinge of all these wordes.
Jer.36.17	And they examyned Baruch, sayinge: tell vs, howe dydest thou write all these wordes out of hys mouth?
Jer.36.18	Then Baruch answered them: He spake all these wordes vnto me with his mouth, Ꟶ I wrote them in the boke.
Jer.36.19	Then sayde the princes vnto Baruch: Go thy waye, Ꟶ hyde the with Ieremy, so that no man knowe where ye be.
Jer.36.20	And they went into the kyng to the courte. But they kept the boke in the chambre of Elisama the Scribe, Ꟶ tolde the kyng all the wordes that he myght heare.
